Artist,Title,Lyrics
Da Uzi,Krvn,"2 ContributorsVatra i dim Lyrics[Tekst pesme ""Vatra i dim"" feat. DJ Shone]

[Uvod]
(Na beat-u DJ Shone, DJ Shone, DJ Shone)

[Strofa 1]
Na piću kuliram, svako me zumira
Kad krenem, turiram (Ooh)
Krv mi pulsira, ja bih da uživam
Za tebe uvijam (Ooh)

[Pred-Refren]
I više me ne drži mesto, ti sipaj dupli džin
Pravi se fin
I ove noći znam da mi budni smo do tri
Vatra i dim

[Refren]
Nije me blam, pa te noću dozivam
Sve bih da dam tebi, ljubav gram po gram
I nemam plan da se ovde foliram
I moj si, znaj, pa ti noćas poziram
Nije me blam, pa te noću dozivam
Sve bih da dam tebi, ljubav gram po gram
I nemam plan da se ovde foliram
I moj si, znaj, pa ti noćas poziram
You might also like[Strofa 2]
Za jedan sat znaš da ja ću doći
Dok si sam, piće mi natoči
To je plan da gori ove noći
Ti budi moj, vozi i ne koči

[Pred-Refren]
I više me ne drži mesto, ti sipaj dupli džin
Pravi se fin
I ove noći znam da mi budni smo do tri
Vatra i dim

[Refren]
Nije me blam, pa te noću dozivam
Sve bih da dam tebi, ljubav gram po gram
I nemam plan da se ovde foliram
I moj si, znaj, pa ti noćas poziram
Nije me blam, pa te noću dozivam
Sve bih da dam tebi, ljubav gram po gram
I nemam plan da se ovde foliram
I moj si, znaj, pa ti noćas poziramEmbed"
Da Uzi,Outro,"1 ContributorOUTRO Lyrics[Chorus]

Tell me what you see
Tell me what you think

Only one true king
Only one true king

Running a fishery
Catching fish you see
An allegory
Actual people not just a story

GODSPEED
GODSPEED
GODSPEED, whoa
GODSPEED
GODSPEED
GODSPEED, ey
GODSPEED
GODSPEED
GODSPEED

Please revert
If you never understood what I said first
You might also like[1st Verse]

How am I supposed write
How am I supposed to fight
How am I supposed to be a light, bearer
The Son of the most high:
The Christ, the truth, the life
The One and Bread of Life
The One who gave you sight, better
The One who made it right, ayt


Can save you
Never play but save you

Do you wanna fly sky high, till you sky dive, until your  mind sighs, lost your eyesight and your hindsight, so are you blind right?
Buzzing off of something that you thought would make you OG, oh geez, now you OD
Oh see, brodie,you low key smoke weed, you made a curse made a curse out of a blessing which is codeine
No see, 1...2, 1...2 , on the 1...2, now you want to, mic check, life test,do you like it, where's your life vest, life test like litmus, do you feel this, salvation a free gift, Christmas
Freely received now freely give see

[Chorus]

Tell me what you see
Tell me what you think
Only one true king
Only one true king

Running a fishery
Cathcing fish you see
An allegory
Actual people not just a story

GODSPEED
GODSPEED
GODSPEED, whoa
GODSPEED
GODSPEED
GODSPEED, ey
GODSPEED
GODSPEED
GODSPEED

Please revert
If you never understood what I said first

[2nd Verse]

People look for things around em' just to satisfy em'
Clearly they forgot about The One,TheGreat I AM
Vision 0/20 living from a place of blindness
If we willingfully sin then we have a crises
You can have a life time worth of information
Aviation
Levitation
Elevation

You can have a life time worth of information
With your pride you will just plumet like satan

Please listen here very clear and yo' Bro don't be scared
And that which you subjected to by default that you will fear
Let's think about it now if I die today where will I spend eternity
These thoughts were rounding mind which shock me internally ey

There's so many problems in this world if you can see
Especially rappers who have more cows than they unity
How many rappers you see who keep writing their lyrics
About girls,cloths and money but in person never live it

Let me get back at it
Just like a crack addict
(Burn out, Burn out)
Oh no, Let's burn now
With the passion
Busy acting
With a fraction
Of a fragment
He can take that
Set ablaze and
Give you rest and
Just because I
Right these verses
Doesn't mean I
Am perfect

This ain't your life stop living in a facade
His the one and only person who deserves your praise and applause
So lets all just give it to GOD
Without him it would be SPEED and I would be gone


No man knows the day nor the hour when the Son of Man shall come back
With that being said
BE READYEmbed"
Da Uzi,Şarkılar Sokaklara Ait,"39 ContributorsTranslationsEnglishŞarkılar Sokaklara Ait Lyrics[""Şarkılar Sokaklara Ait"" için şarkı sözleri]

[Nakarat: Motive]
İstedim hayatına dâhil olmayı ve beni uzaklaştırdın, bi' hainsin
Benim kalmadı mecalim, yerden bakınca anladım, gökyüzüne sahipmişsin
Şarkılar sokaklara ait ama bu bi' ilk ve sen ilklere sahipmişsin
Solan çiçeklerim mavi, bedenim benimle yirmi senedir ve sadık kalbim

[Verse 1: UZI]
Korkma, sıkıntı yok ya, sorun benim, tamam
Bi' yokla sol tarafı, hissettin mi ruha ait tek bi' nota? Sanmam
Neden kayıp gitti rotan?
Bizi neden erteledin, neden bağlandın bi' psikopata?
Yaşa, tüm hisleri tat
Kötü bütün anıları hemen silip at
Ya da sik-tir et, kaliteli kal
Üstümdeki enerjiyi bendеn geri al
Beni sana anlatmaktan inan hiç yorulmadım
Çok mu mutluyum ki? Uçurumun kenarındayım
Kеndimi kaybеttim ve çok farkındayım
Bunu ikimiz için başarmak zorundayım
Öyle içten güler miydin? Çaldın vaktim' yokken
Baktım o yok, derdim yok ama sanki daha güzel varken
Döküldüyse gerçekten saf cümlelerin kalpten
Artık buluşmalı tüm âşıklar henüz sağken
You might also like[Nakarat: Motive]
İstedim hayatına dâhil olmayı ve beni uzaklaştırdın, bi' hainsin
Benim kalmadı mecalim, yerden bakınca anladım, gökyüzüne sahipmişsin
Şarkılar sokaklara ait ama bu bi' ilk ve sen ilklere sahipmişsin
Solan çiçeklerim mavi, bedenim benimle yirmi senedir ve sadık kalbim

[Verse 2: Motive]
Attı yirmi sene, bi' gün bile dur demeden
Anılar yaşanıp dönüştü dövmelerime
Ateş gibiydim, bu soğukta sönmedim yine
Katlandı bedenim anılara, dövmelerine
Senle birlikte vazgeçmeliyim şehirden
Bi' aşkım sen, bi' aşkım o; ne yapmalıyız şimdi biz?
Arkasında kaldık yanında düşlediklerimizin
Beşiktaş'ı kaçıncı turlayışımız hep birlikte?
Pembe manzaralar çünkü yaşam siyah beyaz
Tersodaydım hep, bilirsin, ayakkabım yeni biraz
Sorumluluklarım kan içinde geçen bi' yaz
Senin omuzların benim yüklerimi sırtlayamaz

[Köprü: Motive]
İstedim hayatına dâhil olmayı ve beni uzaklaştırdın, bi' hainsin
Benim kalmadı mecalim, yerden bakınca anladım, gökyüzüne sahipmişsin

[Nakarat: Motive]
İstedim hayatına dâhil olmayı ve beni uzaklaştırdın, bi' hainsin
Benim kalmadı mecalim, yerden bakınca anladım, gökyüzüne sahipmişsin
Şarkılar sokaklara ait ama bu bi' ilk ve sen ilklere sahipmişsin
Solan çiçeklerim mavi, bedenim benimle yirmi senedir ve sadık kalbim
[Çıkış: Motive]
Şarkılar sokaklara ait ama bu bi' ilk ve sen ilklere sahipmişsin
Solan çiçeklerim mavi, bedenim benimle yirmi senedir ve sadık kalbim4Embed"
Da Uzi,Makina,"13 ContributorsWhoopty remix LyricsWhoopty you know it’s bout to get spooky
Rap god you know how I do beats
You know I get da snappin no QB
I stay fly I don’t walk on my two feet
I put ice on my bitch like I’m mooky
I’m big papa whenever she juicy
Yo bitch wanna dip I got blue cheese
I don’t gotta sweat her no coogi
She say she wanna give me that coochie ,wanna scratch on my body like Bruce lee
Told her back dat ass up like I’m Juve
Might catch me in da vert wit da uzi
Keep da stick in da car like I’m boosie
I might slide with the Drake like I'm Toosie
Keep a nina on me like I’m Drew Brees
That’s self murder how niggas accused me
You better duck down when I U.P
Niggas scared of for they life look you dead in yo eyes and I’m closing them bitches no boutique
You play and you done you gonna get sung we bring out them macs for you goofys
This 30 will spray ,you’ll get curried away i pull up like I’m Steph I dont shoot 3’s
After so many shots they goin hang over and then Imma pill out like a roofie
Gotta jet on they ass no jacuzzi
I put holes in they top like a Cufie
I don’t care bout yo bro and em stop hollering foe and em , 4 and em  get zipped like a Q.P
So tell yo whole cast that if they want a role then I’m shootin they ass like a movie
(swaged out )
Before you can blink imma lash after hittin him up They’ll be zipping  him up so I guess he up  in his bag now
Leave a nigga sleeping now his niggas woke
Heard the news and acted like I didn’t know
I be sonin niggas it ain’t different strokes
Punchin on da mic I ain’t Riddick Bowe
I be making money off of spittin crack every time I rap it’s like I’m dealing dope
Way before the rappin I was gettin' dope green And purple buds look like piccolo
If it don’t make Dollars then It don’t make sense got a N wit da green like kuhbreenee
Use to stuff so much green I’m my Louie and Gucci shit they should of called me Luigi
Man it’s only right that i murder these rappers grew up listening to Lil weezy
All of these famous rappers got trapped like a trick ,now they tryin to get out like Houdini
Had his bitch on my tip when she seen me
She going do as I wish like a genie
I’m da nigga his bitch wanna please me
I ain’t worried bout her man he peewee
Take his chick and I’m doing him greasy looking fa me he better be Stevie, bust a cap at his top like a Bennie
All my artist going spray no graffiti
You must of been drinking, do not get it twisted
My Nina blue tops like a fiji
I don’t run to da net I keep one inna neck I put two inna wrapper no Reesie‘s
He talking dat rah rah he must be out his māthā
La Cucaracha kick In his front door
We up in his casa, yeah you know que pasa
Choppas go blaka, we blowing on ganja
When my bullets fly niggas die like la bamba,we x him out then we bounce like wakanda
You might also like(Talking dat rah rah he must be out his māthā
La Cucaracha kick In his front door
We up in his casa, yeah you know que pasa
Choppas go blaka, we blowing on ganja
When my bullets fly niggas die like la bamba we x him out then we bounce like wakanda)

(Talking dat rah rah he must be out his māthā
La Cucaracha kick In his front door we up in his casa, yeah you know que pasa
Talking dat rah rah he must be out his māthā
La Cucaracha kick In his front door no arriba la raza rap Allahu Akbar)2Embed"
Da Uzi,Dua,"201 ContributorsTranslationsFrançaisУкраїнськаहिन्दीTürkçeEspañolPortuguêsРусскийMr. Morale Lyrics[Intro: John Shango & Kendrick Lamar]
It was one of the worst performances I've seen in my life
I couldn't sleep last night because I felt this shit–
Ooh, ah, ooh, ah
Ooh, ah, ah, ooh, ah, ah, ah, ah, ah
Yeah, yeah, yeah, yeah, yee

[Verse 1: Kendrick Lamar]
Enoch, your father's just detoxed, my callin' is right on time
Transformation, I must had a thousand lives
And like three thousand wives
You should know that I'm slightly off
Fightin' off demons that been outside
Better known as myself, I'm a demigod
Every thought is creative, sometimes, I'm afraid of my open mind

[Chorus: Kendrick Lamar]
Shit on my mind, and it's heavy
Tell you in pieces 'cause it's way too heavy
My diamonds, the choker is heavy
More lifе to give on demand, are you rеady?
Who keep 'em honest like us?
Who in alignment like us?
Who gotta heal 'em all? Us (Us)
When there's no one to call
You might also like[Interlude: Sam Dew]
Don't need no conversation
If it ain't 'bout the business, shut the door now
Bitch, it's a celebration
And if this shit ain't bussin', what's it for now?

[Bridge: Tanna Leone]
Steppin' out when the weight lifts
Floatin' on 'em (Ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, float, ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, float, ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, ooh-ooh-ooh, da-da)
Steppin' out when the weight lifts
Floatin' on 'em (Ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, float, ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, float, ooh-ooh-ooh, da-da)
Floatin' on 'em (Float, float, ooh-ooh-ooh, da-da)

[Verse 2: Kendrick Lamar]
Uzi, your father's in deep meditation
My spirit's awakened, my brain is asleep
I got a new temperature
Sharpenin' multiple swords in the faith I believe
I think about Robert Kelly
If he weren't molested, I wonder if life'd fail him
I wonder if Oprah found closure
The way that she postered the hurt that a woman carries
My mother abused young
Like all of the mothers back where we from
SSI bury family members
At the repass, they servin' Popeyes chicken
What you know about Black trauma?
F&Ns, kickin' back is another genre
Tyler Perry, the face of a thousand rappers
Using violence to cover what really happen
I know somebody's listenin'
Past life regressions to know my conditions
It's based off experience
Karma for karma, my habits insensitive
Watchin' my cousin struggle with addiction
Then watchin' her firstborn make a million
And both of them off the grid for forgiveness
I'm sacrificin' myself to start the healin' and...
[Chorus: Kendrick Lamar]
Shit on my mind and it's heavy
Tell you in pieces 'cause it's way too heavy
My diamonds, the choker is heavy
More life to give on demand, are you ready
Who keep 'em honest like us?
Who in alignment like us?
Who gotta heal 'em all? Us (Us)
When there's no one to call us (Us)

[Outro: Tanna Leone, Kendrick Lamar, Eckhart Tolle]
Say, ""Hydrate, it's time to heal""
Safe, you're frustrated, I can feel
Huddle up, tie the flag, call the troops, holla back
Huddle up, tie the flag, call the troops, holla back
Yeah, yeah, yeah, yeah
(Ooh-ooh-ooh, da-da)
(Ooh-ooh-ooh, da-da)
(Ooh-ooh-ooh, da-da)
People get taken over by this pain-body (Ooh-ooh-ooh, da-da)
Because this energy field (Ooh-ooh-ooh, da-da) that almost has a life of its own (Ooh-ooh-ooh, da-da)
It needs to (Ooh-ooh-ooh, da-da), periodically, feed on more unhappiness22Embed"
Da Uzi,Umrumda Değil,"1 ContributorManzaram Lyrics[Intro: Typhonza]
Manzaram, benim manzaram
Kayar aşağıya uçurumlardan
Tek renk siyah (ya) uçurtmamda
Yanar lambalar, uzak kavgadan

Manzaram, benim manzaram
Kayar aşağıya uçurumlardan
Tek renk siyah (ya) uçurtmamda
Yanar lambalar, uzak kavgadan

[Verse: Typhonza]
Vazgeçtim ben benden bu gece
Kitledim kendimi odama
Hüzüne karşı aldım cephe
Katilim sen ve de manzaram
Adını kazıdım ranzama
Resmin duruyo duvarda
Kalsın özürün alamam asla
Artık değilsin umrumda

[Nakarat: Rexx]
Düşler uzak çok yaşadığım yere göre
Evrenim, Yıldız çok; biri gecelerde
Durdum sadece ben sahilimde
Değişmez manzaram bu mavilerle
You might also likeDüşler uzak çok yaşadığım yere görе
Evrenim, Yıldız çok; biri gecelеrde
Durdum sadece ben sahilimde
Değişmez manzaram bu mavilerle

[Verse: Rexx]
Uzak da olsa umrumda değil
Bulucam Yıldız kayıcam bil
Davetlim olucan VIP loca
Zıplıycaz beraber sokucam moda
Olucak param, olucak şöhret
Giyicem yine Hoodie’mde kudret
Kısmet yok ben edersem gayret
Sadığız takıma biz herkes de hayret
Güller adası ve manzaram aynı
Kayıbım ben kayıp huzur bu gayrı
Nerde buldun beni, nerde buldun?
Kaybettin beni vertigomdun
Sence senin benden farkın var mı?
Sırtımda onca yük sen de vardın
Değişti kişiler, olayım aynı
Onca fotoğrafım sende kalsın

[Nakarat: Rexx]
Düşler uzak çok yaşadığım yere göre
Evrenim, Yıldız çok; biri gecelerde
Durdum sadece ben sahilimde
Değişmez manzaram bu mavilerle
Düşler uzak çok yaşadığım yere göre
Evrenim, Yıldız çok; biri gecelerde
Durdum sadece ben sahilimde
Değişmez manzaram bu mavilerleEmbed"
Da Uzi,ARASAN DA,"33 ContributorsTranslationsEnglishARASAN DA Lyrics[""ARASAN DA"" için şarkı sözleri]

[Giriş]
Unuttum seni
(Edokaleen)

[Nakarat]
Arasan da beni çok geç
Kaldı heveslerim kursağımda
Lütfen uzatma, yolum yol değil
Ölüm on beş adımlık uzakta
Arasan da beni, yok yüzüm
Söyliy'cek sözüm, artık çok geç
Lütfen uzatma, ya (Uh, u-uh)
(Lütfen uzatma, ey)

[Verse 1]
Gülün, yokmuş gibi yarın, sanki yokmuş gibi ölüm
Tokmuş gibi karnın, solmuş sanki çiçeklerin
Doluyo'sa iki cümleye de iki gözün
Nefretini yen, dön'ceğin kapı da benim
Hayatımda yalnız olmak kalıcı tek çözüm
Ama şu an ihtiyacım olan para değil
Hayatımız dizi madem, bu kaçıncı bölüm?
Silahını orospu çocuklarına çevir
You might also like[Köprü]
Karşılaşmak çok zor, gördüğün aynadan kaçmak, daha fazla delir
Yabancılaştım resmen, bıraktım kadere, inanırım, elbet gelir
Çok yorgun düştüm (Ya), bir gece karşımda belir (Ya)

[Nakarat]
Arasan da beni çok geç
Kaldı heveslerim kursağımda
Lütfen uzatma, yolum yol değil
Ölüm on beş adımlık uzakta
Arasan da beni, yok yüzüm
Söyliy'cek sözüm, artık çok geç
Lütfen uzatma, ya
(Uh, u-uh)

[Verse 2]
Gelme, bana istediğimi verme
Derme çatma hayallerimize perde çektim
Yaşıyorum mutlu olduğumuz günlerde
Madem böyle oluca'z o zaman hiç güvenme bana ve düştüm sana
Bi' kez daha valla kaçar giderim birden bire
Kader sorarsa sana görmedin beni, düşemem daha dilden dile
Büyüdüm, dert ekledikçe izledim ve güldüm
Utandım iyice, ""Dur,"" dedim, ""be Chavo büyüdün""
Umarım seni beyazlar içinde görürüm
O zaman gerçekleşir beklediğin ölümüm
Allah'ınız para, ciğerlerim is, ciğerlerim kara
Yanılmadım çünkü harbi güvenmedim sana
Umut değil, lütfen artık silah verin bana
Gözlerim kara
[Köprü]
Karşılaşmak çok zor, gördüğün aynadan kaçmak, daha fazla delir
Yabancılaştım resmen, bıraktım kadere, inanırım, elbet gelir
Çok yorgun düştüm (Ya), bir gece karşımda belir (Ya)

[Nakarat]
Arasan da beni çok geç
Kaldı heveslerim kursağımda
Lütfen uzatma, yolum yol değil
Ölüm on beş adımlık uzakta
Arasan da beni, yok yüzüm
Söyliy'cek sözüm, artık çok geç
Lütfen uzatma, ya
(Lütfen uzatma, ey)

[Çıkış]
Karşılaşmak çok zor, gördüğün aynadan kaçmak, daha fazla delir
Elbet gelir, bir gece karşımda belir
(Uh, u-uh)5Embed"
Da Uzi,Çekmeceden Yıldızlara,"18 ContributorsRüyalar 2 Lyrics[Verse 1]
Tattım küçük yaşımda Ghetto'yu
Doldururdum yıllar önce annemin evinde onca demoyu
İstediklerim vardı, olmalıydı bi' yolu
Şimdi Mercedes'te gururlandırırız Vio'yu
Eşref Paşa Lisesi'nde hayal kuran bir çocuk
Çekmece - Bakırköy Hattı, kaçak tren yolculuk
Breakdance, sokaklar, cepte yok ki bi' kuruş
Şimdi kanatlarım gökyüzüne dokunur
Hayal ederdim koskoca bi' stüdyo
Gözlerim doluydu çocukken hep, çünkü hüzün çok
On yedimde babam yok, dedim ""Artık zaman yok.""
Borç içinde yanlışlara düştüm, evet, yalan yok
On sekizde ayrıldım evimden, tertemiz çocukluğumdan
Bi' parça vermedim o lanet hayallerimden
Taksim, Bakırköy, ödenmeyen kiralar
Hiphop sayesinde hayatım değişti bi' anda

[Nakarat]
Rüyalar, rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular
Rüyalar, rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular

[Verse 2]
Hani hayaller karın doyurmuyodu ya?
Diploması olmayan adamdan sayılmıyodu ya?
Şimdi yok satarız inan karaborsada
Merdiven dayadık Çekmeceden yıldızlara
Gökyüzünde V, yeryüzünde biz, hedef bir
Artık rüyalarım da o kadar uzak değil
Hayal fabrikası gibi işler, M.O.B
Seni sen yapan düşlerin, emin ol ki ciron değil
Kovaladığım şey para değil, rüya
Çok bilmiş züppelere göre pişman olucaktım güya
Bi' dilek tuttum, gerçek oldu her şey o an
Bi' kelebeğim artık, yırtılıyo' kozam
You might also like[Bridge]
Gökyüzüne değdim ben
Bi'çok kötü güne değdi
Söyle benle eğer sevdiysen
İnan artık hepsi geçti bi' anda

[Nakarat]
Rüyalar, rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular
Rüyalar, rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular

[Verse 3]
Anne, Aysun abla, meleklerim...
Biraz daha var zamanı
Yanımda çocukluğum, oluyorum ailemin kahramanı
İzledim ölen kelebekleri, o solan renkleri
Buz gibi evleri, kopkoyu demleri
Mahalle öğretir hayali, engeli
Yaşlanır gözlerim, öylece bekledim
Kurak güneşleri, fırtına sesleri üstüne şarkılar, tetik nöbetleri
Sordum hep anneme, ""Bu biticek di' mi?""
Rüyalar, rüyalar, rüyalar

[Nakarat]
Rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular
Rüyalar, rüyalar, bir bir gerçek oldular
Kaygılar, korkular, uykusuz gecelerim son buldular1Embed"
Da Uzi,Kendine Bi’ Serseri Ismarla,"30 ContributorsKendine Bi’ Serseri Ismarla Lyrics[""Serseri Ismarla"" için şarkı sözleri]

[Giriş]
(H-H-Hypzex)

[Verse 1: UZI]
Üzgünüm, üzgünüm
Cidden üzdüm mü? Tüh gülüm (Ya)
Birden uyandım, mutluyum
Senden bunaldım, haklıyım
Hiç susar mıyım? Tek kural güven (A-ah)
Dip sulardayım, hiç çıkarma, git (Ya-ya)
Kuşkular büyük, hiç güvenmedik
Omuzlarda yük, hep frenle git, ya-ya (Ya)
İstersen yol gösteririm, kaybol (—bol, —bol, —bol, —bol)
Israr yok, gene net değilsin, rahat ol (Ol, ol, ol)
Zaten topladım geleceğimi zar zor (Zor, zor, zor, zor)
Başına gelenleri artık bizden sor
Tuttum hep kendimi boşa
Uyuzum, inan, geldiğim yaşa
Yaşıtlarım tiki, yaşıtlarım homo
Yaşadığım his sarayda paşa
Konuş aşağı, aşağı
Artık alıyorum seni taşağa
Özgür hislerin tadı başka
Bu yüzden koptum senden, çok pardon (Ya, ya)
You might also like[Ön Nakarat: Motive]
Gezip gördüm, kızım, bak
Shawty, yetiş hızıma
Uyan kan uykusundan
Sadece yarınları düşle (Uah), buna yok ki bulan mana

[Nakarat: Motive]
Rahat ol, buldum çoktan, bende yürеk sağlam (Ah, ah ah)
Seni isterim ısrarla
Kabul et, kabul еt; kendine bi' serseri ısmarla (Ah, ah, ah)
Kendine bi' serseri ısmarla

[Verse 2: Murda]
Yaşamak değil bi' neden (Ya)
Kalamam burada, yok bi' neden (Prr)
Geceler bana aşık geceler
Susamam, hemen anlatır heceler
Hani bak beni gözlüyor nereden
Nereden geldim ben bilemem
Yanıyor sadece gözlerin canım
Benden geçti bu seneler, seneler (seneler)
Direndim, direndim, hayatıma karşı durdum dimdik, ey (Grr)
Bunu bana sor, eli bana bol sadece ol cimri (Ya, ya)
Beni bana ver ya da seni al, hadi siktir git, yeah (Ya, ya)
Bu sokaklar serseridir ve buna şahit
Aşar beni, ben toparlayamam, kanar yeniden, yeah
Derler ""Geri gel"", sarar seni ben, sarar beni sen (Ya)
Aralarda kal, kararlarda boğul, sana hediyem (Sana hediyem)
Sana hediyem (Sana hediyem), sana hediyem
[Ön Nakarat: Motive]
Gezip gördüm, kızım, bak
Shawty, yetiş hızıma
Uyan kan uykusundan
Sadece yarınları düşle (Uah), buna yok ki bulan mana

[Nakarat: Motive]
Rahat ol, buldum çoktan, bende yürek sağlam (Ah, ah ah)
Seni isterim ısrarla
Kabul et, kabul et; kendine bi' serseri ısmarla (Ah, ah, ah)
Kendine bi' serseri ısmarla

[Verse 3: Motive]
Cat, kedi, pussy beni kesmedi, ah
Es—, es—, ah, esmer, BlackBerry, ah
Testim sensin, hayat beni kesmedi, ah
Beş gram yersin, baban seni beslesin, ah
HES kodu, telsiz; alışveriş çok
Yeni benim üstüm başım, pahalı
Geceleri olunca hep elin kolun bağlı
Yatış, sakin
Getto etkiledi beni ve dağıtıyo' odağımı
Sağa sola dağıt o cebindeki papağanı
Konuşma, carpe diem, yaşayalım anı
Etkiledi, bak, adımın yanındaki tik
Restoranda bıraktım yüklü tip, ah
Yattım kalktım bağladığım o ip, ah
Harca blakka, kalmasın nakit, black card (Pu-pu, pu, pu)
Honey, seni isterim ısrarla (Pu, pu, pu)
Bozmadım hiç, bak, mentalitem sağlam
[Ön Nakarat: Motive]
Gezip gördüm, kızım, bak
Shawty, yetiş hızıma
Uyan kan uykusundan
Sadece yarınları düşle (Uah), buna yok ki bulan mana

[Nakarat: Motive]
Rahat ol, buldum çoktan, bende yürek sağlam (Ah, ah ah)
Seni isterim ısrarla
Kabul et, kabul et; kendine bi' serseri ısmarla (Ah, ah, ah)
Kendine bi' serseri ısmarla2Embed"
Da Uzi,XXL,"1 ContributorBir Yaz Axşamı Lyrics[Bənd 1]
Bir yaz axşamı yandırdım şamı
Neçə vaxtdır görmürəm səni
Bir yaz axşamı taxdım nişanı
Sevgilim, sənin barmağına

Üzük qaşsiz qalıb, qızıl da xal saldı
Güzgünü toz aldı, qayıtmadın
Bu şam bütün gecə sönür, yanır necə?
Sönməsin, gur yansın bəlkə gəldin

[Nəqərat]
Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin

Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin

[Bənd 2]
Bir yaz axşamı döysən qapımı
Sənin addımını hiss etsəm
Gedərəm açım, evə buraxım
Nurla dolsun mənim boş evim
You might also likeSənin saçlarına taxardım bir sıra
Nərgiz güllərini xırda-xırda
Şam yansın, sönməsin, daş suya dönməsin
Ürəyi bölməsin iki yerə

[Nəqərat]
Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin

Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin

[Bənd 3]
Sən başqa evdə yerini tapdın
Boş bir ürəkdə yuva saldın
Ay, məndə hər axşam yandırıram şam
Bəlkə şam işığına gəldin

Gecə-uzun gecə, tənhalı bir gecə
Arzuları heçə salıbsan, yar
Üzük qaşsız qaldı, qızıl da xal saldı
Güzgünü toz aldı, qayıtmadın
[Nəqərat]
Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin

Ürəyim tup-tup döyünür hər dəfə
Sənin şəklini divarda görəndə
Qapını tuk-tuk kimsə döyəndə
Gedirəm açmağa bəlkə gəldin
Bəlkə gəldin, bəlkə gəldinEmbed"
