Artist,Title,Lyrics
Dee Nasty,21 DJ’s,2 Contributors21 DJ’s Lyrics21 DJ'sYou might also like1Embed
Dee Nasty,Chacun pour soi,"19 ContributorsDiscographie rap - 2001 LyricsJanvier :
* 15/01 : OGB - Vitry Club
- 30/01 : Sniper - Du rire aux larmes
Février :
* 22/02 : Futuristiq - Demain c'est maintenant
* 23/02 : Salif - Tous ensemble Chacun pour soi
Mars :
* 01/03 : Manu Key - Manuscrit
* 01/03 : Ness et Cité - Ghetto Moudjahidin
- 13/03 : Mc Solaar - Cinquième As
* 19/03 : NTM - Le Clash - B.O.S.S. vs IV my people
- 27/03 : Fonky Family - Art de rue
* XX/03 : Starflam - Survivant
Avril :
* 10/04 : Karlito - Contenu Sous Pression
- 24/04 : Rocca - Élévation
* 24/04 : Cut Killer - Cut Killer Show 2
* 27/04 : Doc Gyneco - Quality Street
Mai :
- 07/05 : Oxmo Puccino - L'Amour est Mort
- 15/05 : La Caution - Asphalte Hurlante
* 22/05 : Triptik - Microphonorama
* 28/05 : Stomy Bugsy - Prise D'otage (Maxi)
Juin :
* 18/06 : Intouchable - I Have a Dream (maxi)
- 25/06 : La Caution - Toujours Électriques (Maxi)
Juillet :
-

Août :
-

Septembre :
* 01/09 : 45 Scientific - 45 Scientific
* 03/09 : Tandem - Ceux qui le savent m'écoutent (EP)
* XX/09 : Kery James - Si c'était à refaire
- 24/09 : Rohff - La Vie Avant La Mort
Octobre :
* 02/10 : Les Rieurs - Ça y est enfin
- 09/10 : Chiens de Paille - Mille et un fantômes
* 10/10 : Dee Nasty - Nastyness
- 15/10 : Akhenaton - Sol Invictus
* 29/10 : Carré Rouge - De La Part De L'ombre
* XX/10 : Saïan Supa Crew - X Raisons
Novembre :
* 09/11 : Ol'Kainry - Au delà des apparences
* 26/11 : Lord Kossity - The Real Don
Décembre
- 10/12 : Fonky Family - Hors série volume 2
* XX/12 : Less du Neuf - Le temps d'une vie
Dates non connues :
- Akhenaton - AKH (Version A) (Maxi)
- Akhenaton - AKH (Version K) (Maxi)
- Akhenaton - AKH (Version H) (Maxi)
* Amara - Tout Seul (Maxi)
* Anfalsh - Que d'la haine
* Artistes multiples - Compilation ""Banque De Sons, Volume1""
* Artistes multiples - Compilation ""Première Classe Vol. 2 : Les Face-à-Face""
* Artistes multiples - Compilation ""Sachons dire NON Vol.2""
* Artistes multiples - Skunk Anthology
- Casus Belli - Lyon (Maxi)
- Dj Kheops - Ame sereine / J'ai plus d'air (Maxi)
* Double Face, Volume 3 (Compilation)
* Eskwad Productions (Weedy & Le T.I.N) - Guet-Apens 2
* Mental Kombat - Rap Superstar (Maxi)
* Octobre Rouge - Week-End à Meda (Maxi)
- Ol'Kainry - En Attendant
- Sheryo - Le salaire de la galère (Maxi)
- Shurik'N, Faf Larage - La légende des deux lames (Vynil)4Embed"
Dee Nasty,Clair et net,"24 ContributorsTranslationsEnglishTout n’est pas si facile Lyrics[Refrain]
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
[Couplet 1 : Kool Shen]
1983, il y a plus de dix ans déjà
Le Hip Hop en France faisait ses premiers pas
Il n'y avait pas de règles, pas de loi
Non, surtout pas de contrat
Pas de problèmes entre toi et moi
Tout était clair, du but à la manière
Dont tout devait se faire, naïf, novice, mais tellement fier
D'évoluer dans un système parallèle
Où les valeurs de base étaient pêle-mêle
Peace, Unity, Love and Having Fun
Le Hip Hop n'a jamais eu besoin de gun
Ni de gang, de toys, ni de bande
Mais plutôt de la foi de ce qui en défendent
La mémoire et l'éthique, les valeurs essentielles
Celles qui créent encore l'étincelle lorsque je me rappelle
Des premières heures du terrain vague de La Chapelle
A l'époque, les héros s'appelaient Aktuel
Lucien, Dee Nasty, T(e)-Col et Meo
Big up, big up pour être restés au-ssi longtemps tout en haut
De l'affiche, aussi haut que le flow de mes mots
Il en aura fallu du boulot, des heures et des heures
Et des jours et des jours, et des années, même
Pour que le Hip Hop tienne
Tout ne fût pas si facile pour le Suprême
You might also like[Refrain]
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil

[Couplet 2 : Joey Starr]
Tout ne tient qu'à un fil, donc l'on se doit d'être habile
Car l'amitié mais aussi la sincérité, ouais
Sont des choses qui à tout moment peuvent déflagrer
C'est le côté obscur que cache notre nature
Ouais ! J'en ai l'exemple, ça m'a foutu une trempe
Qui m'a ouvert les yeux sur ce sujet bien épineux, tant mieux
Croyant que la galère nous ralliait sous une bannière
Croyant que la galère faisait de nous des frères
Hier, c'était le cas, pas si longtemps, dis-moi
Non, trois, quatre ans maximum, puis il y a eu maldonne
A savoir la façon dont a évolué notre histoire
Et ô combien l'unité, même en pensée, est illusoire
Oh ! C'est bon, laissez tomber les mouchoirs
C'est OK, on est toujours là pour foutre la foire
Effectif diminué et un obstacle déjà sauté
Qui nous a à peine freiné, mais sachez que
[Refrain]
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
[Couplet 3 : Kool Shen]
On a grandi ensemble, on a construit ensemble
Je me remémore les discussions que l'on avait ensemble
Et nos rêves, tu t'en souviens de nos rêves ?
Quand on était dans les hangars, quand on sentait monter la fièvre
Putain, c'est loin, tout ça, c'est loin
J'ai passé mon adolescence à défoncer des trains
Je ne regrette rien
On a tellement tutoyé de fois le bonheur qu'on pourrait mourir demain
Sans regret, sans remords
Notre seule erreur était de rêver un peu trop fort
En omettant le rôle important que pouvait jouer le temps
Sur les comportements de chacun, pourtant
On venait tous du même quartier
On avait tous la même culture de cité
Ouais ! C'était vraiment l'idéal, en effet
On avait vraiment tout pour réussir, mais, mais
Tout n'est pas si facile
Les destins se séparent, l'amitié, c'est fragile
Pour nous, la vie ne fut jamais un long fleuve tranquille
Et aujourd'hui encore, tout n'est pas si facile
[Refrain]
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil
Tout n'est pas si facile, tout ne tient qu'à un fil3Embed"
Dee Nasty,Comme Une Fusion,"26 ContributorsNocif Lyrics[Paroles de ""Nocif"" ft. Damso]

[Intro : Hamza & Damso]
Baby
Baby
Baby

[Refrain : Hamza]
Baby, j'ai câblé pour toi
Sans intérêt, me d'mande pas pourquoi
Ce soir, j'innove, j'fume la zaza
Un tas de tourments qui m'suivent et qui m'suivront pour l'reste de ma life

[Couplet 1 : Hamza]
Ce love est dangereux et se consomme comme une drogue (Drogue)
La première fois qu'on s'est vus, c'était nasty dans la loge (Loge)
J'aime beaucoup ton approche ('che) mais tu sais, j'n'aime que les lovés, mon cœur est codé, nan
Mais que dois-je encore t'expliquer ? Qui pourrait éclaircir ce mystère que t'entretiens autour de moi ?
La nuit nous appartient mais tu veux continuer, jusqu'à tout déchirer

[Refrain : Hamza & Damso]
Baby, j'ai câblé pour toi
Sans intérêt, me d'mande pas pourquoi
Ce soir, j'innove, j'fume la zaza
Un tas de tourments qui m'suivent et qui m'suivront pour l'reste de ma life  (Ma life)
Yes, babe, chemise ouverte
You might also like[Couplet 2 : Damso]
Oh-la-la-la-la-la, j'n'ai plus vraiment le moral, la-la-la-la
Des putes à foison, serviettes étanches mouillent comme dauphins, dauphines (Coquine, salope, oui)
Salope veut mon juice comme toutes ses copines (Hey)
J't'ai menti dans les yeux (Eh), j't'ai dit qu'j'tais amoureux (Ouais)
Mais dis-moi, qu'est-ce qu'un cœur brisé pourrait faire de mieux ? (Mmh)
Avancer seuls à deux (Oui), traverser vent et feu (Oui)
Dire au monde qu'au final, souffrir, c'est c'qu'on fait de mieux, oh, oh, oh-oh

[Refrain : Hamza]
Baby, j'ai câblé pour toi
Sans intérêt, me d'mande pas pourquoi
Ce soir, j'innove, j'fume la zaza
Un tas de tourments qui m'suivent et qui m'suivront pour l'reste de ma life

[Pont : Hamza & Damso]
Essuie toi ta salive, t'es comme toutes tes copines
Un peu trop possessive, ne t'approche pas, j'suis nocif
Oh, na-na-na-na, la tain-p' me grimpe et saute sur moi
J'te préviens, faut qu'ça reste lowkey, ils calculent pas c'qu'on dit, des fois, j'm'ennuie
Donc je rode toute la night, toute la night
Donc je rode toute la night (Oh baby, donc je rode), toute la night (Oh-oh-oh-oh)

[Refrain : Hamza]
Baby, j'ai câblé pour toi
Sans intérêt, me d'mande pas pourquoi
Ce soir, j'innove, j'fume la zaza
Un tas de tourments qui m'suivent et qui m'suivront pour l'reste de ma life
[Outro : Hamza]
Toute ma life
Oh, babe, it's alright
Oh, babe, it's alright
Oh, babe, it's alright1Embed"
Dee Nasty,Deenastyle,"1 ContributorDeenastyle Lyrics[Refrain (*2)]
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Tout le monde lève la main dans la salle
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Fais moi oublier que j'crève la dalle

[Couplet 1]
Elles sont toutes en train de rêver
Qu'elles sont comme ma femme toujours à mes cotés
Chienne tu profanes ta virginité
Condamnée à moisir tous les jours que Dieu fait
Rien à foutre j'suis en train de m'éclater
Allez barre-toi salope, t'es pas une femme respectée
Tu bouffes des capotes, ton sexe peut parler
Y a des chiens qui chipotent pas sur une bonne ne-chie
Pousse-toi d'mon chemin, je parle au DJ jusqu'au petit matin
Mets du Fat Funky, fais pas ta putain avec du Wu-Tang pourri
Mets-nous du vrai son, de la nostalgie
T'es peut-être né trop tôt pour comprendre c'que je dis
Toi tu faisais dodo, je sillonnais Paris
C'est pas au Bobino que tout est parti
Bien avant l'Globo, je connaissais Dee Nasty
C'était chaud avant 82, rien qu'on tournait sur le dos l'dimanche après-midi
J'te montre les photos, t'hallucines, je te dis
Plus raide est le niveau comparé à aujourd'hui
You might also like[Refrain (*2)]
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Tout le monde lève la main dans la salle
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Fais moi oublier que j'crève la dalle

[Couplet 2]
Tout le monde sur la piste, on va rayer ça vite
Mon nom est sur la liste, pas besoin d'invite
Qui résiste à la 808
Rude t'as rien inventé en programmant ce beat
Mais c'est d'la bombe, d'la balle, d'la dynamite
C'est pour les mecs du monde qu'ont les boules d'un pit
Gangster des ondes, rien qu'ils m'irritent
De plus en plus ils abondent comme les termites
Ou j'les fais fondre, ou j'les effrite
Dans ma main j'les malaxe comme du bon shit
Je suis cool relax tel un tireur d'élite
Tout ce que je veux c'est kiffer un maximum sur No Limit
Tout le monde est en mouvement, ne te fais pas de mauvais sang
De 7 à 77 ans viens avec nous passer du bon temps
Mais sur la scène des sound t'as les rude-boys qui grondent
Les girlies qui fondent, les sound boys creusent leurs tombes
La vibe est profonde tu t'laisses pousser les cheveux
Pendant que d'autres se tondent et vont voter Pen Le
Nous on est cool feel irie, on s'exprime la nuit
Big Red pon the mic qui anime c'est
Si comme nous t'as la nostalgie y a un os t'as pas l'âge si
Je vois que t'as pas la rage alors tu comprends ce que je dis
Ou tu passes la nuit dans une cage, ou tu viens féki
Toi t'as été suffisamment sage pour être puni
Sache que c'est
[Refrain (*2)]
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Tout le monde lève la main dans la salle
Pour les femelles et les mâles
Big Red s'installe
Mets-nous du son d'chacal
Fais moi oublier que j'crève la dalleEmbed"
Dee Nasty,Deenastyle 2013,"2 ContributorsDeenastyle 2013 Lyrics[Couplet: Real Fake MC]
Something's on in your town
Can you hear that sound
I bet it's strict from the underground
It's my man Yoshi crushing MCs down
One by one XXX
Grand Master XXX Zulu Nation baby
XXX rock the party
All my B-Boys goes ""Yeah""
All my B-Boys goes ""Ohh""
Your speakers XXX (spreads) Hip-Hop Momo

[scratchs]You might also likeEmbed"
Dee Nasty,Freestyle NTM Assassin,"14 ContributorsDiscographie rap - 1995 LyricsJanvier :
-

Février :
-

Mars :
* 21/03 : Les Fabulous Trobadors - Quel sera notre futur ? (EP)
* 28/03 : NTM - Paris sous les bombes
Avril :
* 19/04 : Les Fabulous Trobadors - Ma ville est le plus beau park
Mai :
- 03/05 : Fabe - Befa surprend ses frères
Juin :
* 02/06 : Assassin - Homicide volontaire
* 05/06 : Cool et sans Reproches - Plus français que moi tu meurs
* 16/05 : Ménélik - Phénoménélik
Juillet :
-

Août :
* 12/08 : Mellowman - La voie du mellow
Septembre :
* 13/09 : Cut Killer - Mixtape n°10 : Freestyle
Octobre :
- 20/10 : Akhenaton/Chili - Métèque et mat
- XX/10 : Les Sages Poètes de la rue - Qu'est-ce qui fait marcher les sages
Novembre :
* 13/11 : Alliance Ethnik - Simple et funky !
* 20/11 : De Puta Madre - Comme une ball' dans la tête
* 22/11 : Double Pact - Impact N°3
Décembre :
- 01/12 : Akhenaton - L'Americano (EP)
* 11/12 : Tout Simplement Noir - Dans Paris Nocturne
Dates non connues :
* ABS - C'est la fête
* AK 700 Chapitre 1 - AKTB/Impact
* Antidote - L'Instinct (Maxi)
* Assassin - L' Odyssée suit son cours (Maxi)
- Artistes multiples - La Haine (B.O.)
* B Love - Où est la différence ? (Maxi)
* Boboch 1 Pakt - La Putain 2 ta race (Maxi)
* Daddy Lord C & La Cliqua - Freaky Flow/Les Jaloux (Maxi)
* Daddy Yod - Le Survivant
* Da Soul Man - Da Soul Man est un âne
- Démocrates D – La voie du peuple
- Different Teap - La route est longue (Maxi)
* Dynamic TRC - Chrinique funeste (Maxi)
- Expression Direkt - Mon Esprit Part En C.. (Maxi)
- Fabe - Lentement mais surement (EP)
* Hasheem - II Groove (Maxi)
- IAM -  Une femme seule / Remix sachet blanc (EP)
* Independant - Independant (Maxi)
*Indifonkigene - Les Masksandifonkitreme (Maxi)
- La Cliqua - Conçu pour durer (EP)
* Master Love - C'est comme vous voulez (Maxi)
* Melaaz - Je marche en solitaire
* Moda & Dan - Le Mec fier le plus sophistiqué (Maxi)
* Negkipakafelafet - Plitaplitris
* Negmarrons - Lyrical
* Nomad Présente Inspiration - Les beureus du rap arrivent (Maxi)
* Nosé ft. Ménélik - Quelle aventure (Maxi)
* Positive Black Soul - Salaam
* Ricco -  On s'la donne
* Rod - Nouveau Départ (Maxi)
* Rollercone - Reste éveillé (Maxi)
* Saï-Saï - Le ragga ça l'fait
* Silent Majority - Cursew (Maxi)
* Sléo - Ensemble pour une nouvelle aventure
* Timide Et Sans Complexe – Psychose
* Timide et Sans Complexe - Plastique (Maxi)
* Yaya - Mal en point (Maxi)
* Artistes multiples - Dee Jays D'Élite (Compilation)
* Artistes Multiples - Le Hip-Hop dans tous ses états (Compilation)
* Artistes multiples - Ragga Raleti Volume 1 (Compilation)
* Artistes multiples - Raï (B.O du film)
Date à confirmer :
* Artistes multiples - L'art d'utiliser son savoir
* Dee Nasty & Big Brother Hakim - Même le diable ne peut plus m'aider (Maxi)3Embed"
Dee Nasty,Hip-Hop (Qu’importe la discipline),"5 ContributorsHip-Hop (Qu’importe la discipline) Lyrics[Scratches: Dee Nasty]

[Couplet 1]
[Dabaaz]
J'ai découvert le hip-hop vers 87
Casquette, baskets, même plate, fat laces
Ghetto blaster, starter, Grandmaster
Exaspère les profs et les gosses dansent par terre
Scratcher, breaker, rapper, graffer
Maintenant les Mc's rappent en français
Freestyle, sur Deenastyle, Rapline
Walkman, grosses Nike, Adidas et grosses baffles
Retour à la source, au départ de la course à l'époque
J'étais le mouton blanc dans la brousse
Discret, je rappais en douce
Dans l'son, je claquais mon flooze
Hip-hop nostalgique, j'retourne à la source

[Black Boul']
Au petit dèj je consomme voyelles et consonnes
Les syllabes me consolent de mon sort de mon solde
Mais j'me fous qu'on m'ponctionne tant que le funk sonne
Que les breakers ont l'bon sol que les platines fonctionnent
Que les morceaux s'enchaînent par centaines et m'entraînent
A l'antenne et enseignent, à l'ancienne et dans l'thème
Sans peine, sans qu'j'm'en plaigne, sans plaie, sans qu'j'en saigne
Pour ceux qui dansent, ceux qui peignent, ceux qui tchatchent comme des teignes
You might also like[Refrain: Jango Jack]
Ma casquette mon ghetto blaster
Hip-hop à la folie
J'breakais dans les halls ou sur les pavés
Hip-hop à la folie
Battle sur le mic ou sur les dancefloors
Hip-hop à la folie
Mon poska ma bombe, c'est le ghetto
Hip-hop à la folie

[Couplet 2]
[Dany Dan]
Le nègre est jeune, dingue, célèbre, [?]
Beaucoup d'amis très peu d'ennemis parce que l'micro m'a fait
Et je n'donne pas dans la drogue ou l'arnaque, j'suis dans le sport et la drague
J'suis un ange, mais chaque strophe est un diable
A tous les designers qui s'trouvent en dèche
J'vais vous donner du taf, car dès qu'je rappe beaucoup retournent leurs vestes
Et j'n'use pas de griffes pour leur tordre le coup
16 mesures devraient suffire à t'faire mordre la boue
Car la rue m'a nommé l'Roi de la ville, mon sceptre un micro HF
Mais sur les planches, j'préfère avoir un fil
Je fais facilement salle comble, mon nom les attire
On monte sur scène comme on baise, on crache et on se retire
Papier, stylo, studio, micro, jeux d'mots, cash flow, télé, radio, hip hop!
[Black Boul']
Hip-hop, ça y est t'es ma go
Je sais, ça fait démago
J'laisse les faux cracher des ragots
Les [?], cacher des magots

[Refrain]
Ma casquette mon ghetto blaster
Hip-hop à la folie
J'breakais dans les halls ou sur les pavés
Hip-hop à la folie
Battle sur le mic ou sur les dancefloors
Hip-hop à la folie
Mon poska ma bombe, c'est le ghetto
Hip-hop à la folie

[Interlude]
One for the treble, two for the bass, yes yes yo, and you don't stop
On veut du hip, hop, on milite, en kickant sur le beat yo and you don't stop

[Couplet 3]
[Black Boul']
Ça sent le requin, mais ce son te requinque, sensass!
Les disciplines sollicitent 4 des 5 sens
La vue pour le graff, le goût pour la rime
Le toucher pour la danse, l'ouïe pour les platines
[Dabaaz]
Qu'importe la discipline, sois redoutable
Bombe ou tague, scratche ou grab, sinon taffe les vocables
Et passe le mic, battle, pas d'complexe
Compète, contest, trop d'textes complexes
Contexte complètement effervescent
Concrètement, l'mouvement naissant
Fatcap, une vague de tags envahit l'asphalte
Graffeur cramé comme Lee Harvey Oswald

[Refrain]
Ma casquette mon ghetto blaster
Hip-hop à la folie
J'breakais dans les halls ou sur les pavés
Hip-hop à la folie
Battle sur le mic ou sur les dancefloors
Hip-hop à la folie
Mon poska ma bombe, c'est le ghetto
Hip-hop à la folieEmbed"
Dee Nasty,Inutile De Résister,"7 ContributorsNe t’inquiète pas Lyrics[Couplet 1 - Demi Portion]
Chacune d'mes traces est machiavélique
On dit qu'mon flow est mélancolique
La prod' est signée En'Zoo, t'as ressenti l'truc d'Amérique ?
Y'a des lignes, t'as des rimes, et si t'es hip-hop t'es partant
Si t'as fini, rembobine et reçois mon son comme partage
Qu'on s'attache et qu'on placarde
De nuit ou sous une lampe
Si j't'ai éclairé sur l'sujet, pourquoi on s'amuse mieux en Hollande ?
Ça taffe depuis un moment
C'est tout c'qu'on veut retransmettre
Notre rap n'a pas d'visage, c'est tout c'qui fait sa beauté
Excusez-nous d'être honnêtes, d'aimer l'hip-hop à la lettre
Pour moi un bon son d'Big L c'est mieux qu'les filles d'à coté
J'ai trop d'choses à noter, demande à R.Can
J'suis de Sète jusqu'à Perpi', et ceux qui m'traduisent en Espagne
Gueuler ou me taire, parler ou mentir
Le stylo Bic d'Harry Potter, pas une magie pour rebondir
Un album que j'm'enterre, j'viens d'loin comment vous dire
Et que Dieu m'en soit témoin, j'n'ai pas d'maille pour les coquines
J'n'ai pas l'temps je le confirme
Si tu n'm'aimes pas je fais avec
J'parle français, ma consigne sans la CB de Ben Affleck
Sans l'CV de ceux qui grimpent, qu'on retrouve une fois en-bas
Pendant qu't'étais dans tes studios, ben ton père s'tuait au taf
Inutile d'chercher une dame, d'après la reine tu ne comptes pas
Fais l'calcul : ça n'aide plus d'avoir un BEP compta'
Ça sert à quoi de rester stable, souriant voire amical ?
À force de regarder les gens, j'comprends tes douleurs cervicales
You might also like[Refrain x2 - Demi Portion]
Ne t'inquiète pas on est tous pareils
Toi qui vit autre part écoute, my man
Je crois que l'écriture et la musique t'amènent
Voir que chacun d'entre nous a un p'tit problème
Woho

[Couplet 2 - R.Can]
Oh mon Dieu qu'elle nous a fait progressé
Big up à ceux qui nous ont lâchés, qui n'ont connu que la période d'essai
On est dedans depuis le début, sans notice, très impliqués
Tu peux courir avant qu'mes valeurs ne se pervertissent
J'zappe ceux qui trahissent, j'regarde ceux qui sourient
J'suis comme un gamin quand Dee Nasty fait mon warm-up à Paris
Alors non merci si mon rap n'est pas porteur de message
S'il n'est pas une bouée dans l'aquarium où le Monde nage
S'il n'est pas une perche tendue vers un avenir optimiste
Secouez-moi si un jour il perd sa flamme militantiste
Hip-hop jusqu'à l'amour comme Nabil Zéroual
Le plus important c'est le chemin, pas d'atteindre l'étoile
Intègre et sans aucun problème existentiel
Bien sûr que l'rap c'était mieux avant, et ça c'est officiel
J'parle de valeurs, de message, pas d'instrumentale
Mais d'ceux qui sont dessus et te saoulent en faisant l'apologie du mal
Avec le temps tu t'rendras compte qu'ils ne sont même pas fiables
Ils ignorent tant d'choses, ils connaissent même pas Fabe
Nous on est chauds, opé sans la te-car d'Affleck Ben
Avec l'envie d'offrir à nos proches ce que vise Amel Bent
Voilà ce qu'on défend, la façon dont on l'imagine
Rachid, j'comprends qu'tu n'veuilles pas d'pâtes dans ton tajine
Les fondations feront la tenue de tes entreprises
Le but n'est pas qu'elles soient bancales comme celle érigé à Pise
[Refrain x2 - Demi Portion]
Ne t'inquiète pas on est tous pareils
Toi qui vit autre part écoute, my man
Je crois que l'écriture et la musique t'amènent
Voir que chacun d'entre nous a un p'tit problème
WohoEmbed"
Dee Nasty,Je pars,"1 ContributorJe pars LyricsAh yeah
Ah yeah

[Scratches]
""Pour de bon, je pars""
""Je pars""

[Couplet 1]
Vivre dans la honte, dans la peur du lendemain
Dégoûté de vivre et d'exister chaque matin
Vivre avec la folie des idées morbides
Qui me rongent, m'attaquent la tronche, me bouffent le bide
Complètement esseulé, j'me sens triste à dégueuler
Me v'là dans un engrenage que j'ai du mal à arrêter
Personne avec qui partager toutes mes souffrances chroniques
J'dois me battre pour éviter un destin tragique
Je crie, je hurle, déchire le silence
J'suis prisonnier ici, ma voix parcourt des distances
Malgré la misère, la colère passée
Malgré les troubles contre lesquels j'ai dû lutter
Je pense plutôt positif, regarde l'avenir
Même si, comme Sœur Anne, je ne vois rien venir
Peut-être qu'un jour j'verrai le soleil me sourire
Il me donnera la chance d'oublier le pire
J'irai sous les tropiques ou n'importe où ailleurs
Même si le beau temps ne garantit pas le bonheur
Où que je sois sur Terre, j'serai p't-être toujours un crevard
Qui oublie ses cauchemars et rêve qu'il part!
You might also like[Refrain]
Ah yeah!
Je pars!
Ah yeah!
Je pars!
Ah yeah!
Je pars!
Je pars!

[Couplet 2]
Enseveli sous les décombres d'un monde à la dérive
Qui asservit les gens puis après les esquive
Je prends ce qu'on me donne mais on ne me donne rien
Ai-je suffisamment la rage pour me donner les moyens
Il faut vraiment qu'je bouge, la liberté j'en crève
J'peux plus bouger vraiment alors j'bougerai en rêve
Voyager à travers le monde c'est c'que j'aurais voulu
Mais pour s'offrir un voyage certains traversent la rue
Je ne contrôle plus rien même pas mon imagination
En plus, paraît qu'pour fuir il y a des solutions
J'ai trop de spectres enfouis
Qui me démangent jour et nuit
Les démons de la poussière veulent être mes amis
Ils me proposent des rêves en échange de ma vie
Ma vie sur laquelle j'ai jamais eu d'contrôle
Ma vie dans laquelle j'aurai jamais l'beau rôle
Confiance en personne, j'ai perdu la foi
J'porte en moi des remords comme on porte une croix
Me laisse guider par les bas instincts comme les rats
Tous mes réflexes humains sont si loin déjà
Où que je sois sur Terre j'serai p't-être toujours un crevard
Qui oublie ses cauchemars et rêve qu'il part!
[Refrain]
Ah yeah!
Je pars!
(pour de bon je pars)
Ah yeah!
Je pars!
(pour de bon je pars)
Je pars!
Je pars!
(pour de bon je pars)

[Couplet 3]
Après des années d'errance, j'regarde ma vie
Je n'y vois que du sombre, rien de très joli
J'ai voulu m'évader, j'connaissais le prix
Qu'il fallait payer pour le voyage au bout d'la nuit
J'y ai laissé mon âme, mon gent-ar, mes amis
J'ai gagné des regrets mais jamais je n'renie
Que j'suis un drôle d'oiseau, un drôle de zèbre
Qui plus que la lumière, préfère les ténèbres
Puisque la pénombre et les jnouns sont mes partenaires
J'aurais sûrement une XXX pas m'en faire
En attendant, j'me laisse aspirer
Je ferme les yeux, je glisse, j'évite de penser
Si je voyais l'amour, même en rêve
Sûrement, j'affronterai des souffrances sans trêve
Y en a qui font partie de ceux qui toujours se relèvent
Qui luttent même s'ils savent que leur existence sera brève
C'est pour celui qui dit qu'les paroles ressemblent à la brume
Si y en a qui pensent que c'est à titre posthume
Qu'on apparaît sur le vinyle, à la radio, sur une compil'
P't-être qu'en matière de résurrection le démon est habile
En matière d'introspection le diable est un Kabyle
Qui se torture, se morfond, s'fait d'la bile
Qu'a jamais eu d'chaleur, qu'a jamais eu d'espoir
On oublie les cauchemars, on rêve qu'on part!
[Refrain]
Ah yeah!
Je pars!
(pour de bon je pars)
Je pars!
Je pars!
(pour de bon je pars)
Ah yeah!
Ah yeah!

[Outro]
Nique la khala, originale arbya
XXX
(Ah yeah)
Ah yeah
XXX
DJ Dee Nasty
Pour de bon je pars!Embed"
