Artist,Title,Lyrics
Nekfeu,Nique les clones Part. II,"114 ContributorsTranslationsEnglishNique les clones Part. II Lyrics[Paroles de ""Nique les clones Part. II""]

[Intro]
Je ne vois plus que des clones, ça a commencé à l'école
À qui tu donnes de l'épaule pour t'en sortir ?
Ici, tout l'monde joue des rôles en rêvant du million d'euros
Et j'ai poussé comme une rose parmi les orties, ouais
Je ne vois plus que des clones, ça a commencé à l'école
À qui tu donnes de l'épaule pour t'en sortir ?
Ici, tout l'monde joue des rôles en rêvant du million d'euros, ouais
Nique les clones

[Couplet 1]
Je t'avais promis qu'un jour tu te rappellerais de nos têtes
Je ne suis pas prêt de me taire
De la primaire au lycée, déprimé, je me sentais prisonnier
Parce que les professeurs voulaient toujours me noter
Pourtant, j'aimais les cours, j'étais différent
De tous ceux qui me disaient : ""Soit tu subis, soit tu mets les coups""
Moi, je rêvais d'aventure, griffonnais les devantures
J'attaquais tout ce qui m'était défendu
Rien à péter de toutes leurs émissions télé de vendus
Je voulais voir le monde avant d'être rappelé devant Dieu
Et, pour ne pas qu'on se moque de moi, je bouquinais en cachette
Pendant que les gamins de mon âge parlaient de voitures
Un des gars de l'époque bicravait des Armani Code
Et, un beau jour, il a ramené une arme à l'école
J'étais choqué de le voir avec un glock (Oui !)
J'en ai rien à foutre de vos putains de codes (Oui !)
J'avais peur, je l'ai dit, mais j'ai un cœur, je le dis
Mais je suis toujours là pour mes putains de potes
Maintenant, pour lui, le bruit des balles est imprimé dans le crâne
Ceux qui traînaient dans le bât' l'ont entraîné vers le bas
You might also like[Pont 1]
Faut jamais céder à la pression du groupe
D't'façons, quand tu fais du mal, au fond, tu ressens du doute
Faut jamais céder à la pression du groupe
D't'façons, quand tu fais du mal, au fond, tu ressens du doute

[Refrain]
Je ne vois plus que des clones, ça a commencé à l'école
À qui tu donnes de l'épaule pour t'en sortir ?
Ici, tout l'monde joue des rôles en rêvant du million d'euros
Et j'ai poussé comme une rose parmi les orties
Je ne vois plus que des clones, ça a commencé à l'école
À qui tu donnes de l'épaule pour t'en sortir ?
Ici, tout l'monde joue des rôles en rêvant du million d'euros
Et j'ai poussé comme une rose parmi les orties

[Couplet 2]
Je suis un nomade, ne me dites pas qu'on est bons qu'à stagner
Casse-toi, moi, je ne me sens pas casanier
Instable, ne me parlez pas de m'installer
Quand t'es différent des autres, on veut te castagner
T'es malheureux quand t'as qu'un rêve et que tes parents ne veulent pas
Traîner vers le bas, t’inquiète, je te promets de me battre
