Artist,Title,Lyrics
Doc Gynéco,Nirvana,"45 ContributorsNirvana Lyrics[Paroles de ""Nirvana""]

[Couplet 1]
Je sors de chez moi, salut mon gars
Tu sors de prison, dis moi comment ça va ?
Tu veux que je t'enregistre les nouveaux sons
Le dernier Ministère et la première consultation
Tu veux être à la page avant de rejoindre l'entourage
De ceux qui boivent du douze ans d'âge
Prisonnier du quartier, pris dans la fonce-dé
Plus rien ne m'étonne, plus rien ne me fait bander
Depuis que j'ai la tête collée sur une pochette
Certaines font semblant de ne pas me reconnaître
D'autres me guettent, s'entêtent, m'embêtent
Alors je les baise... (ah ouais)
Et tout est si facile quand on marche dans sa ville
Même les bleus pour moi sont en civil
Je veux changer d'air, changer d'atmosphère
Je vais me foutre en l'air comme Patrick Dewaere
Me droguer aux aspirines, façon Marilyn
Oooh..... faut que je me supprime

[Refrain]
Comme Beregovoy, aussi vite que Senna
Je veux atteindre le nirvana
Comme Beregovoy, clic clic boum !
Aussi vite que Senna
Je veux atteindre le nirvana
You might also like[Couplet 2]
C'est donc ça la vie, c'est pour ça qu'on bosse
Voir son gosse traîner dans le quartier
Dans une poche les feuilles OCB
Dans une chaussette la boulette à effriter
Une cage d'escalier et le tout est roulé
Mais stone, le monde est stone
Y'a plus de couche d'ozone
Et les seins des meufs sont en silicone
Tu rêves de pez, fini le guez
1 2 3 tu m'emmènes avec toi
4 5 6 cueillir du vice
7 8 9 dans ton cabriolet neuf
J'ai connu les bandes, les gangs
Les meufs de gang bang, et les gros bang
Bang bang dans la tête de mes amis
N'y pense même pas si tu tiens à ta vie
J'ai troqué ma famille, contre ces amis
Et je me moque de ton avis
Je veux me doper à la Maradona
Car je suis triste comme le clown Zavatta

[Refrain]
Comme Beregovoy, aussi vite que Senna
Je veux atteindre le nirvana
Comme Beregovoy, clic clic boum !
Aussi vite que Senna
Je veux atteindre le nirvana
[Couplet 3]
Le docteur ne joue plus au fraudeur
J'achète des tickets par simple peur
D'avoir à buter un contrôleur
Je flirte avec le meurtre, je flirte avec mon suicide
Vive le volontaire homicide
Je ne crois plus en Dieu et deviens nerveux
Allah, Krishna, Bouddha ou Jéhovah
Moi j'opte pour ma paire de Puma
Elle guide mes pas à pas
J'ai fait le bon choix, et j'y crois
Je n'ai pas touché, mais caressé tous mes rêves
Je demande une trêve, le Doc est en grève
Plus rien ne me fait kiffer
Plus rien ne me fait marrer
De la fille du voisin, je suis passé
À de jolies mannequins très convoités
Ma petite amie, elle est belle, elle est bonne
Elle s'appelle Brandi Quinones, si tu veux je te la donne
Car plus rien ne m'étonne
J'en ai marre des meufs, j'en ai marre des keufs
C'est toujours la même mouille, toujours les mêmes fouilles

[Refrain]
Comme Beregovoy, aussi vite que Senna
Je veux atteindre le nirvana
Comme Beregovoy, clic clic boum !
Aussi vite que Senna
Je veux atteindre le nirvana6Embed"
Doc Gynéco,Vanessa,"26 ContributorsVanessa Lyrics[Paroles de ""Vanessa""]

[Couplet 1]
Non, je n'ai pas oublié tous ces talons carrés
Ces filles aux beaux fessiers qui firent fureur cet été
Je lis SAS pour me remémorer
Je rêve de bas résilles, de filles qu'on déshabille
Qui glapent et s'égosillent, et déjà mes yeux brillent
Devant une photo de ... oh Vanessa
Que je mate à la mort, j'ai déjà des remords
Car je pense à des ventre-à-ventre, à des corps-à-corps
À du va-et-vient, encore, encore
Oh Vanessa je pense à toi, j'ai les dessous mouillés mouillés
Je dois me réveiller
Toilettes plus lavabo, changement de caleçon
Recouché aussitôt et je fais dodo
Dans ma tête j'entends résonner
La phrase préférée des gamins du quartier :

[Refrain]
J'veux une tasse-pé yeah yeah yeah yech
J'veux une tasse-pé yeah yeah yeah yeah yech
Dis-moi, pourquoi tu fais ça
Pourquoi tu veux pas sortir avec moi?
Vanessa...
You might also like[Couplet 2]
Lenny, c'est fini, il t'a pris la tête
Big nichons, planque à chichon
La boulette, c'est dans la chaussette
Petit conseil à ma starlette
Je suis un pro, le Doc Gynéco
Je déroule les slips d'un coup
Puis ils roulent sur les cuisses et s'enroulent comme un scoubidou
Parlons de Scooby-Dooby-Doo
Même Daphné me fait craquer
Ce n'est qu'un dessin mais je veux l'animer
Tous les premiers samedis du mois
J'ai les deux mains sous les draps
Et mon petit coussin pour m'essuyer les doigts
Canal pour actif, à minuit c'est extra
Sur le petit écran je m'imagine avec Vanessa
Sa bouche fiévreuse, nos étreintes ravageuses
Sa langue brûlante et son corps excité
Sa voix haletante, bordée d’obscénités
Son fond de gorge et mon sucre d'orge
Ses mains pleines de réactions en chaîne, oh !
Je me réveille en sursaut et...

[Refrain]
J'veux une tasse-pé yeah yeah yeah yech
J'veux une tasse-pé yeah yeah yeah yeah yech
Dis-moi, pourquoi tu fais ça
Pourquoi tu veux pas sortir avec moi?
Vanessa...
[Couplet 3]
Contaminé le soir, je me réveille pour crier
Après avoir rêvé de totale nudité
Vaporeuse, humide, suave et chaleureuse
D'expériences sadiques, de plaisirs maléfiques
De tétons mordillés, de cambrure et de volupté
Pratique sans complexe du sexe
De jambes entrelacées, respiration coordonnée
D'orgie clandestine, d'abstinence brisée
Recherche des douces, Vanessa
Dans ta bouche mon pouce
Jouissance primaire, jouissance secondaire
Tertiaire, quaternaire......
Je veux une rate, une seuf, une meuf, mais je...

[Refrain]
J'veux une tasse-pé yeah yeah yeah yech
J'veux une tasse-pé yeah yeah yeah yeah yech
Dis-moi, pourquoi tu fais ça
Pourquoi tu veux pas sortir avec moi?
Vanessa...2Embed"
Doc Gynéco,Viens voir le docteur,"41 ContributorsViens voir le docteur Lyrics[Paroles de ""Viens voir le docteur""]

[Couplet 1]
Comme beaucoup de filles tu rêves d’être Brenda
D’avoir ton Dylan et d’insulter ton papa
Tu viens d’avoir quinze ans, mmmmh intéressant
Ne dis rien à tes copines, je ne dirai rien à tes parents
Mais si tu acceptes ces conditions
On jouera à des jeux polissons
Tu seras Hélène et je serai tous les garçons
Je serai l’abeille qui va lécher ton miel
Je te ferai ton premier baiser
Mais ne sois pas fâchée contre les filles d’à côté
Qui dans leur classe de mannequin veulent m’attirer
Test psychologique, méfie-toi des bluffs astrologiques
Si tu te demandes comment draguer cet été
Pour te conseiller je suis OK
Monte sur mon podium
N’aie pas peur de l’homme ni de son spéculum
Tu n’aimes pas les mineurs et préfères les majeurs
Bravo, girl
Mon cabinet est ouvert à toutes les heures
Pour toi, ma chérie, viens voir le docteur

[Refrain]
Viens, voir, viens voir le docteur
Non, n’aie pas peur
You might also like[Couplet 2]
Cette année, oui, c’est ton année
Tout le monde te l’a répété
Tu seras avocat comme a dit ta mère
Ou médecin comme le veut ton père
Le bac c’est l’enfer, cette année t’as flair
Normal quand on passe sa vie en boîte de nuit dans le délire
Tu as raison d’allier travail et plaisir
Mais laisse de côté l'écrit que tu maitrises mal
Je te ferai passer l’oral sur ma fleur de mâle
Viens réviser, oui viens réviser
Révise tes mathématiques en mesurant ma trique
Pour te faire délivrer mon ordonnance
Passe à mon cabinet, mais en cas d’absence
Je te rappelle qu’il faut t’appelles
Si je ne suis pas là que tu rappelles
Je t’épelle mon numéro de phone-tél
Le 36 63 63 40
Le docteur devient correcteur pour sa patiente
Comme mon cœur, mon cabinet est ouvert à toutes les heures
Pour toi, ma chérie, viens voir le docteur

[Refrain]
Viens, voir, viens voir le docteur
Non, n’aie pas peur
[Couplet 3]
Ça fait cinq ans que tu travailles au même endroit
Que tu classes, ranges pour la même paie à fin du mois
Ton patron te fait des avances et pour l’instant tu recules
Ton mari critique tes dépenses alors tu tricotes des pulls
Tu veux sortir et aller en soirée mais il est trop occupé
A regarder Weah, Ginola et ses potes du PSG
Femme battue rime avec coupe du monde
Si relation sexuelle s’accorde avec victoire
Ne compte pas sur l’équipe nationale qui foire
Il se saoule, il joue aux boules
Et toi pour que ta vie s’améliore t’attends ta promotion
Et la montée de Marseille en première division
Si tu cherches un amant, si tu veux un mec marrant
Mon cabinet est ouvert à toutes les heures
Pour toi, ma chérie, viens voir le docteur

[Refrain]
Viens, voir, viens voir le docteur
Non, n’aie pas peur

[Outro]
""- Ha mademoiselle ce n'est pas possible, le docteur ne reçoit que individuellement
- Oh écoutez, je connais le docteur, et...
- Bon, déshabillez-vous
- Complètement ?!
- Bah oui !""2Embed"
Doc Gynéco,Ma salope à moi,"21 ContributorsTranslationsEnglishMa salope à moi Lyrics[Paroles de ""Ma salope à moi""]

[Couplet 1]
Y'a beaucoup d'ragots qui circulent sur ton dos
Entendu des cassettes et j'ai vu des vidéos
T'as fait des saltos dans la cage d'escalier
Y'a écrit ""Tass-pé"" avec ton nom sur mon palier
Mais j'te pardonne, pour toute la vie
Fais-toi fourrer, si t'as envie
Mais l'aime jamais, t'as juré sur ta vie
Moi j'veux une tass-pé i-é-i-é-i-é
Y'a des tass-pé i-é-i-é-i-é
Dans tous les quartiers i-é-i-é-i-é
Des meufs grillées i-é-i-é-i-é
Qu'on a fait tourner i-é-i-é-i-é

[Refrain]
Quoi qu'on dise sur toi, ma salope à moi
Quoi qu'on dise sur toi, j'suis love de toi
Quoi qu'on dise sur toi, t'es ma salope à moi
Quoi qu'on dise sur toi, girl, j'suis love de toi

[Couplet 2]
À toi le frère, que je n'ai jamais eu
Et toi la femme, qui m'fera jamais cocu
M'ouvre pas ta porte
Faut pas qu'je sorte
Les rues sont mortes
La bière est bien trop forte
Y'a aucun salaud, qui pourra te souiller
T'es belle comme une doudoune que je viens de dépouiller
Tu m'dis la vérité pour mon confort sécurité
Cet hiver j'te donne du sexe en attendant l'été
C'est pour elle que je dérape, et que mon rap sent la fleur
J'ai rangé mon jeu d'frappe et ma pince Monseigneur
Acceptez cette prière, elle vient du cœur
Ma Tass poupée i-é-i-é-i-é
Y'a des tass-pé i-é-i-é-i-é
Dans tous les quartiers i-é-i-é-i-é
Des meufs grillées i-é-i-é-i-é
Qu'on a fait tourner i-é-i-é-i-é
You might also like[Refrain]
Quoi qu'on dise sur toi, ma salope à moi
Quoi qu'on dise sur toi, j'suis love de toi
Quoi qu'on dise sur toi, t'es ma salope à moi
Quoi qu'on dise sur toi, meuf, j'suis love de toi

[Interlude]
Ma tass ma tass ma tass ma tass poupée
Ma tass ma tasse-pé ma tass ma tass poupée

[Couplet 3]
On peut trouver d'l'amour sur la rue Clignancourt
Mais si t'es camionneur, attends ton tour
Si ça te fait flipper, d'aimer une tass-pé
Tu peux l'échanger, la faire tourner
Mais tu seras goute-dé, faut respecter
Même les tass-pé i-é-i-é-i-é
Font des bébés i-é-i-é-i-é
Y'a des tass-pé, dans tous les quartiers
Des meufs grillées i-é-i-é-i-é
Qu'on a fait tourner i-é-i-é-i-é

[Refrain]
Quoi qu'on dise sur toi, ma salope à moi
Quoi qu'on dise sur toi, j'suis love de toi
Quoi qu'on dise sur toi, t'es ma salope à moi
Quoi qu'on dise sur toi, meuf, j'suis love de toi
[Outro]
T'es ma salope à moi...
J'suis love de toi...
Ma tass ma tass ma tass ma tass poupée
Ma tass ma tasse-pé ma tass ma tass poupéeEmbed"
Doc Gynéco,Dans ma rue - High for the Chronic!,"25 ContributorsTranslationsEnglishDans ma rue - High for the Chronic! Lyrics[Paroles de ""Dans ma rue - High for the Chronic!""]

[Couplet 1]
Ma rue est bourrée de vice
À chacun ses délices, à chacun sa 8.6
Dans ma rue, les lascars se serrent la main
Ce n'est pas comme dans le show-biz où les mecs se font la bise
Dans ma rue, les Chinois s'entraident et se tiennent par la main
Les Youpins s'éclatent et font des magasins
Et tous les lascars fument sur les mêmes joints
Dans ma rue, c'est une pub pour Benetton
Et tout le monde écoute les mêmes sons à fond
Mangeurs de casher ou de saucisson
Dans ma rue, je suis posé, je marche tranquille dans la ville
J'esquive les civils et reste le patron du style
À chacun sa banlieue. La mienne, je l'aime
Et elle s'appelle le 18ème

[Couplet 2]
Dans ma rue, pour communiquer il faut être trilingue
Et faire attention quand on marche sur des seringues
Se méfier des dingues qui sortent leurs flingues
Dans ma rue, les péripatéticiennes craquent pour du Crack
Les pompiers les réveillent en leur mettant des claques
Personne ne veut tenter le bouche à bouche
Les clodos s'échappent pour ne pas prendre de douche
Dans ma rue, le vendeur de grec veut nous empoisonner
Sa viande est bizarre, son huile est périmée
Comme moi l'épicier fait ses courses à Ed
Il m'revend les mêmes produits que j'achète l'aprés-midi
4 ou 5 fois plus cher la nuit
Dans ma rue, ça vole, ça viole
Mais qu'est-ce que tu veux ? À chacun sa banlieue
La mienne, je l'aime et elle s'appelle
You might also like[Couplet 3]
Porte de la Chapelle, terminus
Tout le monde descend, reste ou prend son bus
Bienvenue dans ma rue
Où la crasse colle à tes pieds sur le trottoir comme de la glu
Bienvenue dans ma rue
Où les pigeons meurent dans le caniveau
À force de manger du dégueulis de toxico
Dans ma rue, autant de flics que de mecs cocus
Le coiffeur raconte des blagues au dealer
Les policiers donnent des planques aux voleurs
Le facteur aide le maquereau à relever les compteurs
J'ai été élu président de ma rue
J'ai placé mes ministres, tout le monde est corrompu...
À chacun sa banlieue. La mienne, je l'aime
Et elle s'appelle le 18ème

[Outro]
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up
I'm high for the chronic and I can't get up3Embed"
Doc Gynéco,Boxe avec les mots,"2 ContributorsVidéothèque : Ärsenik Lyrics2014

11 décembre : Suicide commercial (Lino)
24 octobre : Wolfgang (Lino)
27 août : VLB (Lino feat. T-Killa)
9 avril : 12ème Lettre (Lino)
2013

9 juillet : C'est là-bas (Calbo feat. VR)

2011

19 mai : Philosophie de Pare-Choc (feat. 2Bal)

2007

Mille et Une Vies (Lino)

2005

Où Les Anges Brûlent (Lino)
Paradis Airlines (Lino)

2002
You might also likeJ't'emmerde
Regarde le Monde
P.O.I.S.O.N

1998

Affaires de Famille (feat. Doc Gynéco & Assia)
Boxe avec les MotsEmbed"
Doc Gynéco,Passement de jambes,"25 ContributorsPassement de jambes Lyrics[Couplet 1]
Tenu éloigné du niveau des pros
Je reviens agile comme Bebeto
Guette ma technique, je suis physique
Numéro 1 au classement des tchatcheurs
La division 1 ne me fait pas peur
Le Kaiser du rap, le roi, le pape
Mène l'attaque et les sponsors attaquent
On m'attaque et j'évite les tacles
C'est comme à l'entrainement quand je saute les obstacles
Je me ballade sur le terrain musical
Je tue au micro comme je shoote dans la balle
Sur ta console, tu luttes à Kick Off
Moi je marque des buts même à Dino Zoff
Je suis le filou, Michel Platini qui échappe aux griffes
Du gros Basile Boli Oui j'en veux, comme Rummenigge
Je mouille mon maillot, quand je suis au micro

[Refrain]](212475)
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, un passement de jambes
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, une mise à l'amende

[Couplet 2]
Transfert effectué, l'homme de l'année a enfin signé
Prêté par la Secte au Virgin AC
Ma tchatche est brossée, tous mes mots sont cadrés
Même Mark Landers en tombe à la renverse
À l'aise dans mes Copa, stylé en Diadora
Je suis le prince du parc Guadalajara
On fait la ola pour Umbro Gynéco
Et hou ha, hou ha, pour Cantona
Rescapé de la grand époque des Verts
Je remonte le score quand ma Clinique perd
Vainqueur de la coupe des vainqueurs de coupe
Le lion indomptable a de la force dans ses shoots
J'ai le Ballon d'Or, le micro d'or
Le Soulier d'Or et les Disques d'Or
Les hooligans sont gan, morgan de moi
Et comme ils disent : vive le roi !
You might also like[Refrain]
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, un passement de jambes
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, une mise à l'amende

[Couplet 3]
Rencontre au sommet, TF1 retransmet
La crise sera cardiaque dans les foyers français
C'est moi qui arrache la qualification
Je marque de la main et empoche le pognon
Ce soir je vous mets... de l'huile est sur le feu !
Coup de sifflet final, pas de prolongations
J'ai mené le bal, repasse-toi mes actions
J'ai des millions de francs cachés dans mon jardin
Je bois du Cacolac, ça c'est Jean Pierre Papin
Le foot c'est malsain, comme la musique y'a que des requins
Pas d'échange de maillot, tu pourrais prendre mon flow

[Refrain]
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, un passement de jambes
C'est un passement de jambes, sur le beat je flambe
Un passement de jambes, une mise à l'amende6Embed"
Doc Gynéco,Sacrifice de poulets,"4 Contributors[RGF] OldSkool Sunday Lyrics001. Rocé - On s'habitue
002. Scred Connexion - Scred Connexion (Un nouveau nom dans ta collection)
003. Oxmo Puccino - L'Amour est mort
004. OFX - Je n'ose y croire
005. Ideal J - Le Combat Continue (2)
006. Beat de Boul - Dans la Sono
007. Suprême NTM - On est encore là
008. East - Straight From The Underground
009. MC Solaar - Samedi Soir (Sur un Banc)
010. IAM - Un bon son brut pour les truands
011. Zoxea - Rap, musique que j'aime
012. Sheryo - Ghetto-Trip
013. Triptik - Panam'
014. Vicelow feat. Akhenaton, Sako & Rachel Claudio - Nouvel Automne remix
015. Hocus Pocus - Une Zone de Tensions
016. Doc Gyneco - L'Homme qui ne valait pas dix centimes
017. Fabe - Comme un Rat dans l'Coin
018. X-Men - Retour aux Pyramides
019. Kohndo - Un Idéal
020. Explicit Samouraï - X. Plicit Sentence
021. Akhenaton - Entrer dans la Légende
022. N.A.P. - Le Ghetto Pleure
023. Diam's - Premier Mandat
024. Passi feat. Akhenaton - Le Monde est à Moi
025. Mo'vez Lang feat. Zoxea - On vient de loin
026. Chiens de Paille - Comme un Aimant
027. Nakk feat. Les 10', Wallen - On se reverra là-haut
028. Lunatic - Introduction
029. Hocus Pocus - Seconde Formule
030. Koma - Et si chacun…
031. Bambi Cruz - Ouvre les yeux
032. Haroun - La Routine
033. Mokless - Ca tourne pas rond
034. Morad - Un Point c'est Tout
035. Koma - Loin des Rêves
036. Fabe - Classique
037. Passi feat. Les Choeurs de l'Armée Rouge - Emeutes
038. Saïan Supa Crew - La Preuve par 3
039. MC Solaar - La Belle et le Bad Boy
040. La Cliqua - Tué dans la Rue
041. Ärsenik - L'Enfer remonte à la surface
042. Les Sages Poètes de la Rue - Bons Baisers du Poste
043. Lunatic - Le Crime Paie
044. IAM - Demain, c'est loin
045. Suprême NTM - Laisse pas traîner ton fils
046. X-Men - Pendez-les ! Bandez-les ! Descendez-les !
047. Sir Doum's - Je lutte en rimant
048. Scred Connexion - Partis de Rien
049. Ideal J - Hardcore
050. Oxmo Puccino - L'Enfant Seul
051. Doc Gyneco - Dans ma Rue
052. Assassin - La Formule Secrète
053. Busta Flex - J'fais mon job à plein temps
054. Rocé - Plus d'Feeling
055. Too Leust - Le Roseau
056. Explicit Samouraï - Le Roseau
057. MC Solaar - Nouveau Western
058. Fabe - Excusez-nous
059. Fabe - Des Durs, des Boss… des Dombis !
060. Fabe - L'Impertinent
061. Fabe - Le Rap et Moi
062. Fabe - L'Emmerdeur Public n°1
063. Rohff - Génération Sacrifiée
064. La Rumeur - L'oiseau fait sa cage
065. Ministère A.M.E.R - Sacrifice de Poulets
066. Ideal J - Si je rappe ici
067. Hocus Pocus - 7.fa.7
068. Saïan Supa Crew - KLR
069. Oxmo Puccino - L’Amour est mort
070. Suprême NTM - Outro
071. Dicidens feat. Lunatic - De Larmes et de Sang
072. MC Solaar - Solaar Pleure II
073. OFX - France
074. Time Bomb - Explose
075. Time Bomb - Les Bidons veulent le Guidon
076. IAM - Petit Frère
077. Fonky Family - Art de Rue
078. Lunatic - Le Son qui met la Pression
079. Disiz la Peste - J’pète les plombs
080. Shurik’N - Samourai
081. MC Solaar - Obsolète
082. Saïan Supa Crew - 14.02.2002
083. Les Sages Poètes de la Rue - Qu’est-ce qui fait marcher les Sages ?
084. MC Jean Gab’1 - J’t’emmerde
085. Mafia K’1 Fry - Pour Ceux
086. Akhenaton - J’ai pas de face
087. Oxmo Puccino - Mama Lova
088. Booba feat. Nessbeal - Sans Ratures
089. MC Solaar - Arkansas
090. Hocus Pocus - Panique au Saloon
091. Fabe - Aujourd'hui
092. Saïan Supa Crew - J'adore ça
093. Suprême NTM - Seine-Saint-Denis Style
094. Rohff - 94
095. Shurik'N feat. Akhenaton - Manifeste
096. Mo'vez Lang feat. Mala - C'est ça gars
097. Ministère A.M.E.R. - Plus vite que les balles
098. Ideal J feat. Demon One & Rohff - L'Amour
099. La Clinique - On avance
100. Rocé - Pour l'Horizon
101. 11'30 contre les Lois Racistes
102. Booba - Repose en Paix
103. Oxmo Puccino - L'Amour est mort, mets...
104. KDD - Qui tu es ?
105. X-Men - J'attaque du Mike
106. IAM - Pharaon Reviens
107. Ärsenik - Boxe avec les mots
108. Expression Direkt - Dealer Pour Survivre
109. Passi - Les Flammes du Mal
110. Chiens de Paille - Maudits soient les yeux fermés
111. Suprême NTM - Le Monde de Demain
112. Oxmo Puccino feat. Booba - Pucc' Fiction
113. 113 - Les Princes de la Ville
114. Doc Gyneco - Nirvana
115. Akhenaton - Mon Texte, le Savon
116. Fabe - La Tête Haute Tenue
117. Saïan Supa Crew - G-Padpo
118. MC Solaar - Caroline
119. Casey - Dans nos Histoires
120. Keny Arkana - VictoriaYou might also like16Embed"
Doc Gynéco,Né ici,"29 ContributorsNé ici Lyrics[Paroles de ""Né ici""]

[Couplet 1]
Là-bas, il fait chaud, on boit l'eau du coco
Sous les cocotiers, les filles sont dorées
Les maillots mouillés et les bondas bombés
Ça sent le Colombo, les plats épicés
Y a du zouk à fond, des fruits de la passion
Francky Vincent est le saint patron
On coupe la canne pour en prendre le sucre
Mélanger citron vert et rhum Trois Rivières
Bologne ou La Mauny et oui c'est clair
Clair comme l'eau comme l'eau de la mer
J'y vais quand c'est gratuit, congés bonifiés
Dis-moi Timal, est-ce que tu connais ?
Suis-moi dans les hauteurs de la Soufrière
Je suis le guide touristique qui t’emmène en Basse-Terre
On tape une pointe pour aller à la pointe
C'est du frotter-frotter et des gens qui s'éreintent

[Refrain]
Ma mère est née là-bas
Mon père est né là-bas
Moi, je suis né ici
Dans la misère et les cris
(bis)
You might also like[Couplet 2]
C'est le deuxième couplet, j'espère qu'on va clipper
Tu pourras voir la tristesse de mon quartier
Ici tout est gris, ça s'appelle Paris
Les rues sont mortes, les filles décolorées
Pour rester bronzées, elles brûlent sous UV
Toujours fâchée, la fille de la ville
Est agressive comme un flic en civil
Il y a comme une odeur de gaz sur les Champs-Élysées
Et des bombes pètent dans le RER D
Ma mère est fatiguée, je la laisse respirer
Je vis de mon côté et tente de subsister
""Arrête de rapper"" me crie-t-elle toute la journée
""Ce n'est pas sérieux, trouve un métier""
Fumer ça donne faim, je suis Arsène Lupin
Je tape à E.D même sans les mains
Sur mon canapé, on est moins serrés
C'est sûr certains se sont fait soulever
Je pense aux novices et n'oublie pas mes complices

[Refrain]
Ma mère est née là-bas
Mon père est né là-bas
Moi, je suis né ici
Dans la misère et les cris
[Couplet 3]
J'veux porter des shorts de toute ma vie
Avec mon escorte, quitter Paris
Manger du poisson grillé sur la plage du Gosier
Prendre des bains de mer avec le ministère
Mais je me suis noyé, je ne sais pas nager
Les rues sont profondes et mènent toutes au boulevard Ney
Comment s'en sortir pour la fille du quartier
Elle croit que pour percer, il faut se faire trouer
Certains jouent au foot et veulent devenir pros
D'autres dealent et rêvent de kilos
Les seringues mortes se ramassent à la pelle
Sur les trottoirs de la rue La Chapelle
On protège nos fils de tout ce vice
Dans les cours d'école on ne sniffe plus de colle
Drogue et alcool ont pris le monopole
Ma vie n'est pas simple, elle n'est pas funky
Moi, je suis né ici et mon enfant aussi

[Refrain]
Ma mère est née là-bas
Mon père est né là-bas
Moi, je suis né ici
Dans la misère et les crisEmbed"
Doc Gynéco,Les filles du moove,"20 ContributorsLes filles du moove Lyrics[Paroles de ""Les filles du moove""]

[Couplet n°1]
Mandarina double M, etc
Les sacs remplis de tracts de soirées
La chaussure, y'a pour les talons carrés
Morgan ou Kookaï pour les sapes serrées
Le tout parfumé au Trésor, leur parfum sacré
La plupart en BEP, les meilleures passent un bac G
Elles rêvent de cinéma et de rôles à la Madonna
De chanter comme Vanessa, et de mecs comme Apache
Elles veulent des flashs de photo, défiler sur du yoyo
Toutes ces femelles envoutées par Chanel, Paco
Ne se soignent plus chez Gynéco
Leur livre de chevet s'appelle Photo, Mode ou Casting
Elles prennent des cours et courent de casting en casting

[Refrain]
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
[Couplet n°2]
Toc, toc, toc, quoi de neuf Doc ?
Toc, toc, toc, suis-je en cloque ?
Enfin tu vas toucher des allocs
Avec l'argent de ton enfant
Tu iras en soirées rap, jazz, rock
Pas de Pampers, mais du Poppers
Au lieu de lui acheter des couches
Tu essaieras de rentrer au Bains-douches
Tu l'appelleras Malcom, Jordan ou Dylan (Oh nan il ment)
À trois mois tu l'emmèneras à Châtelet-les-Halles
À six mois tu lui présenteras son nouveau Papa Squale
À neuf mois il mangera au KFC
Et à un an, il ira tout seul en soirée
Les filles du mouvement rêvent d'enfants assortis
À leur sac, à leurs sapes, je suis pas d'ac´, mais je m'en tape
Depuis que Nike a sorti des Jordan pour tout petits pieds
Les filles de soirées veulent de tout petits bébés
You might also like[Refrain]
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens

[Couplet n°3]
C'est Barbie Zoulette qui va dans toutes les fêtes
Elle joue la starlette et moi ça me prend la tête
Elle sort avec Ken même sans plastique
Rappelle-toi de l'époque ou tu sautais à l'élastique
Ton sac de bonbons devenu carnet de téléphone
Fini d´être mignonne, tu préfères être bonne
Respecte-toi, je ne le ferai pas pour toi
Une fille du mouvement, ça tourne avec le vent

[Refrain x2]
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens
Je suis une fille du moove, tu mens

[Outro]
J'aime la rouler, la feuille à rouler
J'aime la fumer, la p'tite fille bien roulée
J'aime la rouler, la feuille à rouler
J'aime la fumer, la p'tite fille bien roulée
J'aime la rouler, la feuille à rouler
J'aime la fumer, la p'tite fille bien rouléeEmbed"
