GeniusName,Title,Lyrics,Artist
Green Montana,4RM,"7 Contributors4RM Lyrics[Paroles de ""4RM""]

[Couplet 1]
Nouveau Monde Riche, fin d'leur temps, ta haine j'ressens, nouveau monde, yeah
On dirait qu'j'ai pas d'conscience, sans prétention, on les fuck
J'suis dans sa schneck, fin d'rée-soi, bitch, c'est bre-som quand j'ressors, yeah
Pourquoi tu m'regardes comme ça ? (Yeah) J'veux que des sommes colossales (yeah)

[Refrain]
J'rentre pas tant qu'je suis pas riche, quatre roues motrices, tout droit vers l'sommet, yah
Faut qu'tu fasses ta valise, j'course ce biff, j'ai même plus sommeil, yah
Ne me dis pas qu'j'ai tort, négro, tout s'monnaie (tout s'monnaie), yah

[Couplet 2]
J'veux un Aventador, y'a qu'cette monnaie qui soigne ma colère, NMR rien qui nous stoppe, VVS, diamants, dans le périscope
Elle croit j'prends de la coke, elle croit qu'j'vais crever dans l'bloc
Yeux rouges quand tu t'endors, sur le corps, j'ai plein d'métaux en or (mmh)
Toujours à l'heure pour c'billet, elle repart la shneck pliée
C'est NMR, j'le redis encore, tout s'monnaie, dis pas que j'suis en tort
Elle cherche un negro riche et en forme, j'crois pas en la chance, moi, je fais en sorte
J'donne toute ma vie pour ce paquet d'billets, on les baise, loin devant au score
J'suis dans sa schneck, négro, j'entends crier (crier)

[Refrain]
Tous les jours sous emprise j'rentre pas tant qu'je suis pas riche
Quatre roues motrices, tout droit vers l'sommet, yah
Faut qu'tu fasses ta valise, d'course ce biff, j'ai même plus sommeil, yah
Ne me dis pas qu'j'ai tort, négro, tout s'monnaie (tout s'monnaie), yah
You might also like[Outro]
Non, ne fais pas d'grands gestes
J'l'ai jamais vu, elle me dit qu'on s'connaît, yahEmbed",Green Montana
Green Montana,6AM,"7 Contributors6AM Lyrics[Intro]
Eh

[Refrain]
Six heures du mat', j'ai le mort, oh, Mountain n'a aucun remord
Wesh, négro, y a du biff dans la poche, comment dire qu'ils ont raté le coche ?
J'peux pas vivre avec moyens du bord, Green 'tana plutôt côté nord
Tu trahiras qu'une fois, va niquer tes morts, il crève, on descendra la dette à ses mômes

[Couplet unique]
13-37, inverse les rôles, ils nous appellent comme des super-héros
Jeune négro, j'ai l'truc dans la peau, jeune tox', vas-y, prends ton héro'
Personne ne vit ça, fiston, c'est d'la comédie ça
Quelques zéros sur la Visa, fumée nocive dans l'habitacle
Ils bouffent par le cul nos histoires, ok, pour ces négros, j'ai pas d'espoir
Elle attend que la de-mer disparaisse, avec elle, sors de l'hémisphère
La beu-her, c'est pas un mystère, négro, l'cône est vide, j'le remplis vite fait
Puis, j'les prends de vitesse, yeah

[Pont]
Blanc monnaie j'y go, croise les ients-cli dans mon bigo
J'regarde même pas derrière le rideau, vis pour le gang, remplir le frigo
Défoncer sa pussy, charger des kilos (charger des kilos)
Yeah, roule dans la city défoncé, yeah
Chacun son tour, négro, j'veux monter, yeah
You might also like[Refrain]
Six heures du mat', j'ai le mort, oh, Mountain n'a aucun remord
Wesh, négro, y a du biff dans la poche, comment dire qu'ils ont raté le coche ?
J'peux pas vivre avec moyens du bord, Green 'tana plutôt côté nord
Tu trahiras qu'une fois, va niquer tes mortsEmbed",Green Montana
Green Montana,92i MAYBACH,"13 Contributors92i MAYBACH Lyrics[Paroles de ""92i MAYBACH""]

[Refrain]
Liasse de cent dans l'froc, la gorilla dans l'corps, j'ai pas 15 ans
Dans la nette-ca je cendre, elle m'demande que je change, j'dis sans raison, hun
Pièges et risques qu'on prend, j'y laisse du sang chaque saison
Percocet au fond d'mon rre-ve, j'fête leur trahison, eh
Qu'est c'qu'j'vais faire de tout c't'oseille ? Qu'est c'qu'j'vais faire de ton nom ?
Etiqueté, NMR, bien équipé faut pas hausser le ton, eh
J'sens aucun danger, ne suis pas ces putes, ils ont la poisse, nan
Plein de couteaux dans le dos, bébé d'vengeance j'ai la soif, han

[Couplet unique]
Tu sais j'comprends as-p, à ma table ils aimeraient s'assoir
Tu fumes ta cigarette, j'suis sous Cali' du matin au soir
Tu sais c'est normal, moi j'allais pas t'offrir un Longchamp
Nan, le futur est noir, bébé on en a plus pour longtemps
Boîte est séquentielle, passe plus les rapports c'est monotone
NMR, dans le ciel, maman j'ai vendu beaucoup d'albums, han
Fonce-dé, fais le tour d'la ville, en moi j'ai plusieurs drogues
Grr, on les baise sans prendre d'élan, tache de sang sur le t-shirt blanc
Elle le sait, à la drogue j'enseigne, à la drogue j'encense
Mort dans l'film, t'es même pas au casting, j'suis au studio plein-temps
On fuck ceux qu'ils s'inventent, personne n'est innocent
Han, toute façon, qui va nous empêcher de manger
You might also like[Refrain]
Liasse de cent dans l'froc, la gorilla dans l'corps, j'ai pas 15 ans
Dans la nette-ca je cendre, elle m'demande que je change, j'dis sans raison, hun
Pièges et risques qu'on prend, j'y laisse du sang chaque saison
Percocet au fond d'mon rre-ve, j'fête leur trahison, eh
Qu'est c'qu'j'vais faire d'tout c't'oseille ? Qu'est c'qu'j'vais faire de ton nom ?
Etiqueté, NMR, bien équipé faut pas hausser le ton, eh
J'sens aucun danger, ne suis pas ces putes, ils ont la poisse, nan
Plein de couteaux dans le dos, bébé d'vengeance j'ai la soif, hanEmbed",Green Montana
Green Montana,ADN,"7 ContributorsADN Lyrics[Paroles de ""ADN""]

[Refrain]
De la haine dans l'corps, j'veux c'cash, j'le reconnais, y a pas l'choix, négro, fais la money
J'laisse mon ADN dans sa gorge, j'ressens rien si j'laisse la capote
Ils switch de camp, j'peux pas comprendre, j'ai pas d'frein, dis-moi comment j'm'arrête
Fais ce cash et repose en paix, nique ta race, t'es calmé après
Pétasse, mets pas toute la cigarette, j'trace ma route, ne me donne pas d'leçon
Sont claqués, savent pas innover, niquer dеs grands-mères : c'est ça l'thème
Loyal, négro, moi, jamais j'changе d'équipe, elle m'envoie plein d'DM
Fais fumer, j'ai encore la haine, j'veux pas savoir c'est quand l'enterrement
J'ai plein d'salades (Brr), yeah

[Couplet unique]
Un truc en fer sur moi, cherche pas à comprendre, l'escale est loin (NMR), yeah
Faut qu'j'en fume au moins un, yeah, yeah, yeah
Je les baise, y a pas d'temps d'arrêt (Brr), t'sais que y a que la mort qui t'attend (Brr)
J'comprends pas, t'as encore b'soin d'un plan, j'vais la laisser encore en plan (En plan)
J'veux ken, pas d'relation (Relation), yeah, c'que j'te dis, l'dis à personne, non
Gelato, négro, m'assomme (Gelato, négro, m'assomme), bitch, NMR sur la carte (NMR)
Gucci, Prada, j'la lève en i (I), kichta multicolore me réveille
Toi et moi, négro, c'est pas pareil (Brr), tu tires, obligé d'rendre l'appareil

[Refrain]
De la haine dans l'corps, j'veux c'cash, j'le reconnais, y a pas l'choix, négro, fais la money
J'laisse mon ADN dans sa gorge, j'ressens rien si j'laisse la capote
Ils switch de camp, j'peux pas comprendre, j'ai pas d'frein, dis-moi comment j'm'arrête
Fais ce cash et repose en paix, nique ta race, t'es calmé après
Pétasse, mets pas toute la cigarette, j'trace ma route, ne me donne pas d'leçon
Sont claqués, savent pas innover, niquer des grands-mères : c'est ça l'thème
Loyal, négro, moi, jamais j'change d'équipe, elle m'envoie plein d'DM
Fais fumer, j'ai encore la haine, j'veux pas savoir c'est quand l'enterrement
J'ai plein d'salades (Brr), yeahYou might also likeEmbed",Green Montana
Green Montana,​alfred borden,"10 Contributors​alfred borden Lyrics[Paroles de ""alfred borden""]

[Couplet Unique]
Beaucoup de Henny', de maux de tête, tu crois encore que les gens s'aiment
Les salles sont pleines, on les enchaine, autours de mon cou une grosse chaine
J'fais du cash, j'peux pas me rendre, babe, j'me suis confié ils s'en servent
On peut rien faire sans sexe, quand elle suce ma bite elle fait sans stress
Enorme pilon de marocain, elle a mon blase tatoué sur les seins
On peut rider si t'es sincère, elle ouvre les cuisses et je m'insère
J'croyais qu'on s'ressemblait, recharge la Henny', argent m'obsède
C'est pas magique on fait semblant, j'baisse la vitre : fin, fin, fin
Toujours sanglant eux ils renoncent, j'investis, ils perdent leurs temps
J'ai encore la meilleure came, j'ai le style et les barres
Remplit ma pocket, pas l'time pour une p'tite salope
Kichta énorme, j'vais les baiser, hun-hun
Tou-touh j'ai mes diamants, enfoiré c'est seulement
L'ennemi est seul roule vite, laisse mes couilles pendre
J'ai des grosses pièces maman, ressert mon cup très lentement
Personne nous a aidé, salope, j'peux encore tout gâcher, salope
Ventes dans toutes la Belgique, jusqu'à Paris, Marseille, salope
Greenzer crame la scène, salope, NMR de vrais hommes
La fumée me cogne la tête, salope, son de l'alarme d'l'hôtel, salope
J'fonce vers le sommet, salope, j'achète ce qui me plait, mmhYou might also likeEmbed",Green Montana
Green Montana,Amsterdam,"9 ContributorsAmsterdam Lyrics[Refrain]
Un, deux, trois hey
Kilos pas le time de penser nan, nan
J'ai pécho cette me-ca pas loin de Dam-dam
Pe-ra c'est la de-mer sur ma vie, oh
Bibi car y a trop la dalle-dalle, hey
Pas de pansements j'laisse pas fermer la plaie
Colis j'transporte inquiet pour ma paie
J'dépose la salade aux yen-yen
Elle m'dit faut te ranger nan, nan

[Couplet]
Elle m'dit faut te ranger nan, nan
J'la buterai elle et son amant
Billets pour sécher tes larmes
Plus jamais j'leur tendrai la main
Elle est plus moche que mon karma
La teu-cha comme un ananas
Il n'restera que nous à la fin
Fais pas le con, donne-moi l'argent j'ai ma teille
Il n'restera que nous à la fin
Gros pilon pur dès le matin
J'veux la baiser c'est pas malsain, nan
Boulot j'fais des bouts ensuite vendus à bon prix
Ça sert à rien c'est l'histoire de ma vie
You might also like[Refrain]
Un, deux, trois hey
Kilos pas le time de penser nan, nan
J'ai pécho cette me-ca pas loin de Dam-dam
Pe-ra c'est la de-mer sur ma vie, oh
Bibi car y a trop la dalle-dalle, hey
Pas de pansements j'laisse pas fermer la plaie
Colis j'transporte inquiet pour ma paie
J'dépose la salade aux yen-yen
Elle m'dit faut te ranger nan, nanEmbed",Green Montana
Green Montana,​bank,"17 Contributors​bank Lyrics[Paroles de ""bank"" ft. Josman & Tiakola]

[Refrain : Green Montana]
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque

[Couplet 1 : Green Montana]
Fume ce gaz nocif comme personne
Ce que j'te confie, faut qu'tu l'dise à personne
Quelques centaines de gramme de beuh, j'réceptionne
Hey, défoncé la night encore, j'me questionne
En étant tout seul, millions d'euros, du gaz j'consomme
Sans toi ce sera pas pareil mais ce cash console
J'ai la pills dans mon cup, j'bois ça même si c'est du poison
On attend que tu fasses tes preuves, les bras nous croisons, yeah

[Refrain : Green Montana & Josman]
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque
100, 200, 300, 400 balles dans l'compte en banque (Yeah)
100, 200, 300, 400 balles dans l'compte en banque (Ouais)
100, 200, 300, 400 balles dans l'compte en banque (Yeah, yeah, let's go)
100, 200, 300, 400 balles dans l'compte en banque (Yeah)
You might also like[Couplet 2 : Josman]
Yeah, yeah, hey, pansement d'billets sur cœur qui saigne
Nouveau virement Sepa, j'remercie l'charbon, j'remercie l'seigneur (Yeah)
Green dans la feuille, fumée nocive dans le Cayenne (Woh)
Tous mes négros ont la dalle, les crocs des hyènes (Yeah)
Zéro, zéro, zéro, zéro, zéro dans l'compte en banque, yeah
Cinq zéros, zéros, zéros, zéros, zéros dans l'compte en banque, yeah (Yeah)
Cinq bulles après la virgule, les sommes à six chiffres, j'me sens comme Chief Keef
Abat la hess, that's that shit I don't like, j'me souviens, j'avais des trous dans mes pompes Nike, là j'ai

[Refrain : Green Montana & Josman]
100, 200, 300, 400 balles dans l'compte en banque (Yeah)
100, 200, 300, 400 balles dans l'compte en banque (Yeah, yeah)
100, 200, 300, 400 balles dans l'compte en banque (Yeah)
100, 200, 300, 400 balles dans l'compte en banque

[Couplet 3 : Tiakola]
Pas à 8 heures du mat' qu'on a su faire des maths, nous au milieu d'un game où on s'fait que du mal
J'connais mon boulot, j'plais à l'audimat, plus besoin de forcer, ils savent qu'on fait mal
Plus j'pense à moi plus je me sens menacé car j'n'ai plus besoin d'coup d'poing financier
Plus de grimace, sourire d'un employé à la fin du mois, oh

[Outro : Tiakola]
400 balles dans l'compte en banque
400 balles dans l'compte en banque
La vie est dure, l'argent donne envie
400 balles dans l'compte en banque, noEmbed",Green Montana
Green Montana,​barcelona92,"22 ContributorsTranslationsEnglish​barcelona92 Lyrics[Paroles de ""barcelona92"" ft. SDM]

[Refrain : Green Montana]
J'change d'ennemis mais jamais de camp, j'suis chez Fendi quand l'envie me prend
Est-c'que tu m'vois v'nir ? Est-c'que tu l'sens ? Est-c'que tu m'vois v'nir ? Grah-boom
Y a des percocets qui agissent dans mon ventre, j'peux pas te l'donner, j'dois te l'vendre
Ouais, suce-moi la bite, nous, on est tout devant, n'ouvre pas la porte sinon, je te devance

[Couplet 1 : Green Montana]
Glock 40 que je garde avec moi, j'les connais as-p, ils sont pas avec moi
Ellе parle sur toi et ellе baise avec moi, je crains rien, nan, j'ai Dieu avec moi
Ils ont R, ils peuvent pas investir, ils font l'R, ils sont pas invincibles
Numéro un, c'est pour ça que j'insiste, faire ce cash, c'est à ça que j'incite
Et j'préfère quand ils sont hors de ma vue, la réussite est au bout de la rue
T'as pas un rond, j'le sens et je le vois, j'crame la scène, je n'ai même plus de voix
C'qu'on m'a dit, je l'ai pas oublié, sans monnaie, moi, j'peux pas roupiller
Combler la SACEM, han, j'ai pas l'temps d'm'occuper de là-celle
Et c'est bizarre, on a percé, je crois, finir millionnaire, bitch, est-c'que tu me crois ?
La Hennessy qui me détruit le foie, tranquillement, je pose mon cul sur le toit
La chemise Prada n'est faite que de soie par c'qu'ils m'rendront jamais tout ce qu'ils me doivent
Dix-huit carats, c'est la bague sur mon doigt, Hennessy pure, négro, c'est c'que je bois

[Refrain : Green Montana]
J'change d'ennemis mais jamais de camp, j'suis chez Fendi quand l'envie me prend
Est-c'que tu m'vois v'nir ? Est-c'que tu l'sens ? Est-c'que tu m'vois v'nir ? Grah-boom
Y a des percocets qui agissent dans mon ventre, j'peux pas te l'donner, j'dois te l'vendre
Ouais, suce-moi la bite, nous, on est tout devant, n'ouvre pas la porte sinon, je te devance
You might also like[Couplet 2 : SDM]
Tout est réel, pute, arrête de rêver, j'vois le ciel se coucher, se lever
J'suis comme Ky'-Ky' sur l'couloir, ça va vite, j'suis 92i, à la mort, à la vie
Bah, c'que tu fais, on l'a vu et revu, j'suis mort sous Jack mais au fond, je revis
Belek à toi quand l'démon se réveille, j'les vois trembler, mon talent, je révèle (Eh)
Plein d'rappeurs à chier (À chier)
Frappe, j'vends, ton rappeur achète, c'qu'est à toi, j'vais pas t'l'acheter, j'vais t'l'arracher
C'est du plaqué qu't'as sur ta chaine, t'as pas d'sous, donne la laisse, j'vais la promener ta chienne (Sale chien, buh)
Métal froid si tu fais l'chaud (Grah, grah)
Lame chauffée, j'découpe le shit, j'suis simple, j'ai du cke-cra sur le réchaud
Dans ma té-c', volent des anges déchus, tu viens d'l'acheter, j'l'avais déjà
Qu'est c'tu veux dire ? Développe, tu veux l'showcase ? Prépare l'enveloppe
J'prends l'coup franc, lucarne, j'l'enveloppe, c'lui qui vivra, verra (9.2.1.4.0)

[Refrain : Green Montana & SDM ensemble]
J'change d'ennemis mais jamais de camp, j'suis chez Fendi quand l'envie me prend
Est-c'que tu m'vois v'nir ? Est-c'que tu l'sens ? Est-c'que tu m'vois v'nir ? Grah-boom (Oh-oh-oh)
Y a les percocets qui agissent dans mon ventre (Ouais), j'peux pas te l'donner, j'dois te l'vendre (Grah, grah, grah)
Et suce-moi la bite (Grah, grah, grah), nous on est, tout devant, n'ouvre pas la porte sinon, je te devance (Han-han-han)

[Outro : SDM]
Gros, c'est réel
Oh-oh-oh-oh
NMR, bitch
Ocho, Ocho, OchoEmbed",Green Montana
Green Montana,BB part. 2,"4 ContributorsBB part. 2 Lyrics[Paroles de ""BB part. 2""]

[Refrain]
Bébé, laisse-moi l'temps, j'sais pas sur qui j'peux compter
Toujours dans les dièses d'avant, ferme les stores, ferme à clé
Follow-moi, pas ces enfants et j'vais t'finir
Dans la ville, je cons' à fond, j'vends des boulettes cellophannées

[Couplet unique]
Bébé, vas-y, laisse-moi l'temps, dans deux piges, on bouge, qu'est-ce t'en penses ?
Moi j'm'en bats les couilles qu't'entendes que j'veux baiser l'État dans l'plan
Un kilo d'weed dans l'sang, pédés retournent leur stes-ve
Par là, y a des clients,prends tout le pilon, fait le job, hey
J'lui dis : ""J'bosse plein temps, reste pas là pour prendre mon argent""
Cash sinon ça a pas d'sens, cache monnaie que j'dois prendre pour maman
J'tire dans sa tête, oh non, plein d'sang sur fond blanc
Avec un stick, j'm'endors, j'connais pas d'flic, moi, non, non

[Refrain]
Bébé, laisse-moi l'temps, j'sais pas sur qui j'peux compter
Toujours dans les dièses d'avant, ferme les stores, ferme à clé
Follow-moi pas ces enfants, et j'vais t'bénir
Dans la ville, je cons' à fond, j'vends des boulettes cellophannées
Bébé, laisse-moi l'temps, j'sais pas sur sur qui j'peux compter
Toujours dans les dièses d'avant, ferme les stores, ferme à clé
Follow moi pas ces enfants, et j'vais t'bénir
Dans la vie, je course à fond, j'vends des boulettes cellophannées
You might also like[Pause instrumentale]

[Refrain]
Bébé, laisse-moi l'temps, j'sais pas sur qui j'peux compter
Toujours dans les dièses d'avant, ferme les stores, ferme à clé
Follow-moi pas ces enfants, et j'vais t'bénir
Dans la ville, je cons' à fond, j'vends des boulettes cellophannées
Bébé, laisse-moi l'temps, j'sais pas sur sur qui j'peux compter
Toujours dans les dièses d'avant, ferme les stores, ferme à clé
Follow moi pas ces enfants, et j'vais t'bénir
Dans la vie, je course à fond, j'vends des boulettes cellophannéesEmbed",Green Montana
Green Montana,BB PART. 3,"21 ContributorsBB PART. 3 Lyrics[Paroles de ""BB PART. 3""]

[Intro]
J’peux pas attendre demain, yah, j'ai le cœur gris, brisé
Prends ma queue sans les mains, j'ai l'regard distant
Bébé, l'passé, y en reste rien, j'suis suivi par un angel
Il m'sert à faire la guerre aux tiens
J'allume un Backwood, je localise la pute, je lui brise les reins (reins)

[Refrain]
Ne-jau trop puissant, jamais suffisant, yah (jamais suffisant, yah)
J'fais monnaie en créchant
Quand les rentrées sont grosses, j'ai pas d'pression (Greenzer)
Bébé veut me call, elle a plеin d'questions (ouh, han)
'tasse pleurе, négro, toujours en vie, j'arrête pas d'caresser l'Glock dans le vaisseau (han)

[Couplet unique]
3 six je bois la pisse, j'peux me les faire, dans l'coffre, je puise (oh)
J'revends parce que c'est la crise
Dans l'froid, j'déstocke, ""grr, bitch"" (grr)
J'veux bâtir un empire, kil' par kil', j'coupe à la machine ('chine)
Ces gars n'ont pas de style, j'les déteste, VVS gloire à la ville
Moi, j'sais même plus dans quel sens j'dois comprendre
Bitch, crois pas qu'j'plaisante (plaisante)
J'veux crever riche à l'écran, Green Montaign, sale pute, j'me présente, yeah
De nous, même pas une putain d'photo récente
Monnaie en poche, négro, personne ne rivalise
J'laisserai sa tte-cha dans l'désordre, yeah, yeah
You might also like[Refrain]
Ne-jau trop puissant, jamais suffisant, yah (ne-jau trop puissant, jamais suffisant, yah)
J'fais monnaie en créchant
Quand les rentrées sont grosses, j'ai pas d'pression (sans pression)
Bébé veut me call, elle a plein d'questions (let's go)
'tasse pleure, négro, toujours en vie, Green Montaign, VVS

[Pont]
J’peux pas attendre demain, yah, j'ai le cœur gris et brisé
Prends ma queue sans les mains, j'ai l'regard distant
Bébé, l'passé, y en reste rien, j'suis suivi par un angel
Il m'sert à faire la guerre aux tiens
J'allume un Backwood, je localise la pute, je lui brise les reins (reins)

[Refrain]
Ne-jau trop puissant, jamais suffisant, yah (jamais suffisant, yah)
J'fais monnaie en créchant
Quand les rentrées sont grosses, j'ai pas d'pression (Greenzer)
Bébé veut me call, elle a plein d'questions (ouh, han)
'tasse pleure, négro, toujours en vie, j'arrête pas d'caresser l'Glock dans l'vaisseau

[Outro]
Et du cash pour les hoesEmbed",Green Montana
