Artist,Title,Lyrics
Iron Sy,Avant de quitter la Terre,"1 ContributorAvant de quitter la Terre Lyrics[Intro: Iron Sy]
Dis l'heure 2 hip-hop rock
Dis l'heure 2 hip-hop rock

[Couplet 1: Iron Sy]
Ma tête me fait trop mal
J'te l'dis, j'suis obligé d'comate
Mon cerveau part vite vers le Père aux cieux
Avant d'quitter la Terre, j'ai tèj mon cœur au feu
Ma tête va pas tenir
J'assassine mon esprit pour pas vous nuire
Alcool shit [?] burning
Mon cerveau illicite veut m'conduire vers les abîmes

[Refrain: Christophe Leroy & Iron Sy]
Ma tête me fait mal
Et je n'peux pas dormir
Non non non, tu peux pas, non non non non, tu peux pas
Non non non, tu peux pas, non non non non, tu peux pas
L'ombre de [?]
Caché au sein de ma chapelle

[Couplet 2: Christophe Leroy]
Celui qui j'étais
A fermé la porte un matin
Impasse et regrets
Ces cœurs que j'aurais dû briser
You might also like[Refrain: Christophe Leroy & Iron Sy]
Ma tête me fait mal
Et je n'peux pas dormir
Non non non, tu peux pas, non non non non, tu peux pas
Non non non, tu peux pas, non non non non, tu peux pas
L'ombre de [?]
Caché au sein de ma chapelle

[Couplet 3: Iron Sy]
Donc j'pars, j'pars
Et mes pas s'emparent
De mon cœur malade qui souffre sans qu'on l'soigne
J'ai mal, j'veux rejoindre les miens partis
Le ciel m'a l'air juste alors adieu j'suis d'sortie, ouais
Sur Terre, j'ai laissé mon corps
Iron c'est son blaze et je brise ses remords
Il aime les bang-bang et sa bande
Il vit dans la pègre et dans l'au-delà [?]

[Couplet 4: Christophe Leroy]
J'ai passé ma vie à fuir
À m'évader en rêve
À pousser des soupirs
Afin d'arrêter de souffrir
Je demande une trêve
À ce monde qui me fait rire
[Couplet 5: Iron Sy]
Ma tête me fait trop mal alors j'ai fui
Là où j'suis on m'condamne, tous les anges m'ont banni
J'ai demandé la paix, j'ai reçu la guerre
De retour sur Terre j'm'entraîne pour l'enfer
Donc me voici, toujours en bas, sur l'qui-vive
Le cerveau instable et mon cœur dans la dérive
Les fous, les fourbes, les despotes, les pervers
Les fachos, les traîtres, c'est qui alimente mon calvaire

[Refrain: Christophe Leroy & Iron Sy]
Ma tête me fait mal
Et je n'peux pas dormir
Non non non, tu peux pas, non non non non, tu peux pas
Non non non, tu peux pas, non non non non, tu peux pas
L'ombre de [?]
Caché au sein de ma chapelle

[Outro: Iron Sy]
Dis l'heure 2 hip-hop rock (Iron)
Dis l'heure 2 hip-hop rock (Leave)
Dis l'heure 2 hip-hop rock (Issap)Embed"
Iron Sy,Bon ou mauvais,1 ContributorBon ou mauvais Lyrics[Lyrics]You might also likeEmbed
Iron Sy,Brouilldé,"5 ContributorsBrouilldé Lyrics[Couplet 1]
Loin des schmits, je rédige ce texte
Rien pour moi, tout pour les tess'
Je me sacrifie à chaque fois que je kick
Car ces morceaux je les fait pas pour le fric
Rien pour moi, tout pour la street
J'écris ce seize après une cuite
Rien pour la fuite, tout pour l'attaque, bang !
Rien à foutre que la BAC vienne !
Brouilldé depuis ti-peu
On me respecte sans aucun coup de feux
J'ai fait mes gammes aux kilogrammes
Paye-moi cash je suis trop ambitieux
Paye-moi cash je suis trop ambitieux
Moi je fais du rap pour t'ouvrir les yeux
Toi tu rappes pour ouvrir tes fesses
Comme B.H.L t'es tricard aux cieux
Ils pensent tous que j'ai fait du biff
J'aurais pu mais je suis trop nerveux
Je suis parti avec le cul propre
Moi j'ai pas fait ce que le sheitan veux
Toi tu viens avec la bouche sale et t'as sucé pour cette banqueroute
À chaque fois que tu fais un freestyle tu mets tous tes potes sur écoute

[Refrain]
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
On me respecte sans aucun coup de feu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
On me respecte sans aucun coup de feu
Car j'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
[Couplet 2]
Allergique à l'imposture
Tu seras crédible quand tu prendras une balle
Tu joues le gangsta devant des immatures
Mais chez les youv' ton courage tombe en panne
Sur ton âme il y a des vergetures
Ton rap accouche des phrase du sheitan
Wesh ti-peu écoute pas ces ploucs
T'auras le cerveau de Jean-Claude Van Damme
Les négros mangent où j'ai pissé
Toi t'arrives quand je me suis cassé
Négro je suis dans toutes les cités
Je suis comme la famille Diakité
Rappeur topless : ferme tes fesses
Ici ça caille, remet ta veste
Gare pas ta caisse au B.I.S
Car on la vide comme à Bucarest !
J'me sacrifie car je suis un soldat
Je te braque quand même car je suis insolvable
Ta femme m'adore  car je suis un sauvage
La justice ne m'aime pas j'ai le teint du coupable
Ils sortent des skeuds pour passer a table
Ephémères comme mon splif
Les rappeurs ont pété un câble
Moi je vends et toi tu sniffes
[Refrain]
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
On me respecte sans aucun coup de feu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
Brouilldé depuis ti-peu
On me respecte sans aucun coup de feu
Car j'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieux
J'ai fait mes gammes en kilogrammes
Paye-moi cash, je suis trop ambitieuxYou might also likeEmbed"
Iron Sy,C’Quoi L’Diez,"1 ContributorC’Quoi L’Diez Lyrics[Intro]
Yeah, yeah yeah yeah ha ha ha !
Iron, Boulaye ouaye Waay waay waay

[Refrain]
C'est quoi l'diez, c'est quoi l'dez !
L’État veut nous faire ter-sau
Ils veulent pas qu'on s'intègre !
Ils préfèrent nous voir ber-tom
C'est quoi l'diez, c'est quoi l'biz' !
Moi j'suis venu pour quer-cro
J'suis pas venu pour quer-cra !
Me mettre une balle dans l'caisson

[Couplet 1]
Que se passe-t-il dans nos cités ?
Ils prennent un malin plaisir à nous enfermer x4
C'est la triste réalité, toi même tu sais comment ça se passe
Ils te jugent selon ta fortune, ils te jugent selon ta classe
Ils te jugent selon ta couleur, ils te jugent selon ta race
Avec la discrimination le système sera jamais efficace
T'as pas remarquer que c'est tout le temps les mêmes qu'on pourchasse
Bouh ! Même quand ils nous ont, on se fait une fiction sur ta face
Les erreurs judiciaires, tous les jours, ils en font en masse
C'est le symbole de [?] qui subit tout le temps la masse
Que se passe-t-il dans nos cités ?
Ils prennent un malin plaisir à nous enfermer
You might also like[Refrain]
C'est quoi l'diez, c'est quoi l'dez !
L’État veut nous faire ter-sau
Ils veulent pas qu'on s'intègre !
Ils préfèrent nous voir ber-tom
C'est quoi l'diez, c'est quoi l'biz' !
Moi j'suis venu pour quer-cro
J'suis pas venu pour quer-cra !
Me mettre une balle dans l'caisson

A FINIREmbed"
Iron Sy,Croque mort,"3 ContributorsCroque mort Lyrics[Couplet 1]
Ça rafale sale dans l'ter-rer, 2000 E [?] déter'
Arme de guerre, cagoule au front
Gants en latex, bécane à fond
L'hémoglobine se mélange au goudron
L'hémoglobine amortie pas les plombs
Ratatata deux cents décibels
""Pah !"" huit milles E la tombe en marbre
Mon pote est devenu croque-mort
Il habite dans les quartiers nords
Impacts de balles dans l'décors
Mon pote est devenu croque-mort
Chez lui jamais le client revient
Sur sa boutique il y a écrit en gros ""Chez moi jamais le client se plaint""
Habillé comme Undertaker (Undertaker), tout l'monde à peur (tout l'monde à peur)
Dès qu'il te touche starfoullah, ta mère pleure (ta mère pleure)
Frère c'est ton heure (ton heure)
Le quartier brûle (le quartier brûle)
Si tu survis, mon pote lui il perd des thunes

[Refrain]
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
(Est devenu croque-mort, est devenu croque-mort)
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Il tourne en ville pour trouver des corps
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
(Est devenu croque-mort, est devenu croque-mort)
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Il tourne en ville pour trouver des corps
You might also like[Couplet 2]
Il a qu'deux mesures, t'as trop parlé [?] sale pouki
Il a qu'deux mesures si tu touches à la femme d'un mari jaloux, grosse bi-bi
Mon-mon-mon pote est devenu croque-mort parce que franchement y'a un bizz à prendre
Dans-dans-dans les tess ça tire à mort et au placard les frères se pendent
Mon pote est devenu croque-mort après le décès de sa mif'
Mon pote ne fait pas la dif', un macchabée c'est du biff
C'est un tas d'biff, ouais quand t'es triste il débarque avec un devis
Il sent quand tu vas partir, tout pour la mort, rien pour la vie
Pessimiste et sans amour, chétif comme Éric Zemmour
Il veut la guerre pour faire du blé, il veut qu'tu sois calibré
Ca-ca-ca-cali-ca-calibré pour faire du blé
Il veut ta mort anticipée

[Refrain]
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
(Est devenu croque-mort, est devenu croque-mort)
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Il tourne en ville pour trouver des corps
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
(Est devenu croque-mort, est devenu croque-mort)
Mon pote est devenu croque-mort
Mon pote est devenu croque-mort
Il tourne en ville pour trouver des corps2Embed"
Iron Sy,Du berceau au tombeau,"2 ContributorsDu berceau au tombeau Lyrics[Couplet 1]
J'suis né pendant que mon père logeait comme il a pu
J'suis sûr dés que j'ai vu le jour il a plu
On m'a coupé le cordon dans ce pays qui est pas le mien
Dès que j'ai ouvert les yeux j'ai vu du sang dans mes mains
J'ai crié, pleuré, j'avais l'âge d'être un saint
Mais hélas, j'ai grandi entre le mal et le bien
On veut changer mon grain, mais l'humain n'a pas de pixel
On a voulu me pendre, j'étais trop lourd pour la ficelle
On a voulu me vendre, j'ai craché ; j'étais pas tout seul
On a voulu me brûler, mais j'avais déjà l'étincelle
J'ai grandi les yeux ouverts avec des séquelles au cœur
J'ai vu que c'était ken, mon cas semblable au cocker
Sans peur, j'ai appris de ce soldat sans fleur
J'ai commencé à [XXX] de ton père à ta sœur
Inconscient, dans ma propre haine j'étais coincé
J'ai préféré frapper, plutôt que de pincer
Entassé dans une piaule, j'ai appris à pas cafter
Le cerveau plâtré, ces bâtards voulaient me placer

[Refrain x2]
Du berceau je t'explique
Mon enfance trop statique
Comme mon cas critique
Pour mon tombeau j'ai pas de fric
You might also like[Couplet 2]
Mon adolescence a commencé très tôt
J'avais l'high top qui tenait grâce au pento
Ciré sur le crâne, bercé par des tempos
J'étais pé-sa en fluo comme un vulgaire macro
Je voulais m'assagir, mais j'étais trop clépto'
Je voulais ken, sans savoir ce que c'était un clito
L'école je voulais quitter, ça me soulait les leçons
Je croyais qu'au bout du monde on y allait en métro
J'aimais trop cogner, j'étais fan de Bruce Lee
Tous le temps collé, j'oubliais cahier, vres-li
Tous ce que je voulais, je le volais comme Dy
Alors mon père me cognait attaché à mon lit
Je préférais Menace que Tom et Jerry
Ça me rendais instable, je devenais haineux et aigri
Connerie sur connerie, j'avais déjà un peur-bi
Je voulais même une caisse sans avoir le permis

[Refrain x2]
Du berceau je t'explique
Mon enfance trop statique
Comme mon cas critique
Pour mon tombeau j'ai pas de fric

[Couplet 3]
À 18 piges j'ai géré mes litiges
Garde à v', dépôt, pointage, placard et TIG
Devenu adulte, j'suis tombé vite dans la prise
De la tise, j'avoue le sheitan m'a perquis'
Sans taf, ni sport, ni stage, ni maitrise
Le CV vide, pour taffer faut que je me défrise
Sans supplier, je suis ici et je représente
Je suis pas prêt de filer même si je traine dans la fiente
Je suis pas le meilleur exemple, je sais j'assume
Mes responsabilités passent pas dans ma plume
Chaque jour on voit des meufs à poil
Si se brûler était un taf, beaucoup seraient dans mon poêle
Mais moi dans ma peine, je cogite ma flemme
La vie je la traine, pourtant ma vie je l'aime
La vie je l'aimeEmbed"
Iron Sy,Entre L’Amour et la Haine,"4 ContributorsEntre L’Amour et la Haine Lyrics[Refrain : Alpha 5.20]
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Génération Scarface, territoire 9.3
Boy si t'es un bon guetteur viens tafer pour moi
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Territoire sensible, pas de mal renoi
De bis-canna de bis-canna de bis-canna frérot

[Couplet 1 : Alpha 5.20]
Ne nous pointe pas du doigt on est les premiers sur le terrain
Génération Scarface, plein de noirs et maghrébins
Des noichs qui bicravent, Orly par Gonesse
Dans le ghetto c'est carnage Sevran 93
Et de retour à Orgemont réunion de gangstas
Super M Hood Boss taxiphone rue du ...
Boy boy trouve ta meuf à l'hôtel avec moi
Elle répond pas au phonetél elle parle mal sur toi
Continue à l'appeler toi t'es trop sensible
Plus t'écoutes mon rap sauve ta vie comme la Bible
C'est Alpha 5.20 dans une Alpha Romeo kahlouch
Mitraillettes toujours pleines 93 cartouches
Négro parle mal moi j'suis comme Lucky Luke
Garde mes nerfs à vif juste comme Jo Dalton boy
You might also like[Couplet 2 : Blackillah]
Blackill c'est dangereux comme une balle dans un canon pourrait te mettre hors jeu
...
La vengeance est un plat qui se mange froid on a dû le congeler
100 G 200 G 300 G pour commencer


[Refrain : Alpha 5.20]
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Génération Scarface, territoire 9.3
Boy si t'es un bon guetteur viens tafer pour moi
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Territoire sensible, pas de mal renoi
De bis-canna de bis-canna de bis-canna frérot

[Couplet 3 : Iron Sy]
Je trouve la paix que quand je fais la guerre
Je chasse je traque ceux qui m'ont baisé naguère
Je marche ulcéré toujours le cul serré
Regarde bien ma gueule m'enculer faut pas essayer
Je lâche pas les armes c'est avec ça que j'ai fondé
Si j'enterre la hache mon royaume peut s'effondrer
Donc j'suis méfiant j'attaque avant de céder
Je veux que mon blaze reste comme tous ces rois décédés
Ma place dans ce biz j'ai été la chercher
Avant d'être aiguisé franchement j'ai dû lutter
Je me suis pas relooké comme tous ces ploucs
J'baffe la vérité donc vas y écoute
On pourrit comme des bêtes dans un taudis
Je m'endors en baskets en jean et en teddy
Bercé par l'amiante bordé par des parkas
Je vis dans la zermi y'a que des rats sous mon parquet
Je vis dans un squat même si je paye mon loyer
J'ai frôlé la mort trop vite comme Laurent Boyer
L'État et mon teint collent pas vous le voyez
À force de me freiner je roule la roue voilée
[Couplet 4 : Paler]
Baisse la tête lève les bras j'arrive ici comme un braco
J'suis le man qui vient d'en bas comme un clando dans un cargo
Mon blaze c'est Paler ...
Mate le secteur c'est la pénurie
J'arrive dans le ghetto je te laisse ahuri
Frérot roule dans ma part
Nous on fonce on avance
J'avance les sourcils foncés belek à ta tronche

[Refrain : Alpha 5.20]
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Génération Scarface, territoire 9.3
Boy si t'es un bon guetteur viens tafer pour moi
Y'a qu'un pas négro entre l'amour et la haine
Moi j'ai du le franchir, mon coeur est rempli de peine
Territoire sensible, pas de mal renoi
De bis-canna de bis-canna de bis-canna frérotEmbed"
Iron Sy,Face à Nos Ennemis,"2 ContributorsFace à Nos Ennemis Lyrics[Refrain : Naja & Iron Sy]
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano j'pense qu'à cogner
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano on pense qu'à cogner

[Couplet 1 : Naja]
Bondy, s'en sortir qu'est-ce t'en dis
Notre univers s'enflamme, un extincteur pour l'incendie
Dans ce contexte on grandit
On veut tous gagner, ne pas s'faire ken, on préfère être bandits
C'est tout c'que ce système demande
Nous mettre à pied, vider de sens nos idées
Nous enfermer, nous désarmer quand on ose
Aller plus loin, dépasser les murs les limites
On se lève, ils nous font tomber, ils nous bouffent à l'usure
On est sur le ring sans protection, sans gants
On veut gagner mais peu de temps d'réflexion
Donc c'est nous et nous-mêmes et cette envie de vaincre le monde
On a du souffle, on vit encore, on tient debout, faut qu'on fonde
Moi j'ose parce qu'ils espèrent ma défaite
J'rêve de victoire mais tout est fait ici pour mon échec
Ma cause, les miens, mes idées et mon camp
S'ils tentent de m'renverser j'suis sur le ring, j'attends
You might also like[Refrain : Naja & Iron Sy]
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano j'pense qu'à cogner
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano on pense qu'à cogner

[Couplet 2 : Iron Sy]
Mes phrases traversent ma cage pour m'placer dans ton crâne
Mes phrases touchent ton bouc, ton cœur, ton âme
C'est pour les puristes, pour les pauvres pas les plus riches
J'viens sauver l'rap, j'ai mon brevet d'secouriste
Iron le touriste dans c'biz de trav
J'suis ici car mon rap a vesqui la cave
J'ai écrit dans une ambiance sale [?]
Sur des beats toujoursn toujours qui chialent
J'suis pas un crooner, boy j'ai rien d'un lover
Je joue aucun rôle, j'm'appelle pas Danny Glover
Ma vie un combat, j'me tape pour graille
Dans le rap on m'voit pas comme le Sheitan
Pour l'instant j'suis en train d'm'étirer
J'viens frapper un bon coup et après j'vais m'tirer
J'touche au foie, à l'arcade et j'couche
J'donne pas l'choix, j'ai l'rap pure souche
J'viens t'détrôner, ta femme détourner
Mon jeu d'jambes attire, mes ennemis j'fais tourner
Autour du ring comme Ali ou Roy Jones
J'avance en direct, ton visage je bombe
[Refrain : Naja & Iron Sy]
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano j'pense qu'à cogner
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano on pense qu'à cogner

[Couplet 3 : Naja]
Gauche droite, uppercut et esquive
Notre parcours se dessine pendant qu'le [?]
J'arrive, on m'dit Naj', n'abandonne pas ton rêve
J'ai posé l'pied, j'ai pris l'mic, j'ai vu beaucoup se mettre en grève
J'ai appris à ne jamais crier victoire trop tôt
C'est facile, avec un peu on se détruit-auto
C'est vrai que constamment, je me rends compte que j'peux
Alors je tente, puis j'me tape jusqu'à vouloir y mettre le feu

[Couplet 4 : Iron Sy]
J'viens bien vi-ser l'adversaire [?]
Lyrical animal, Iron t'envoie à Bicêtre
J'fais mal, one shot, ça pisse dix flaques d'un coup
Trop d'carrières durent, dix sacs dans un trou
J'vais les voir, mon souffle pue la victoire
J'les travaille au corps, uppercut fin d'l'histoire
Arbitre, fais sonner l'gong
J'suis trop lourd, mon album fera même chialer King Kong
[Refrain : Naja & Iron Sy]
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano j'pense qu'à cogner
Face à nos ennemis, on n'a pas l'choix, obligé d'se frapper
Nos dents grincent, on marche les poings serrés
Armés dans les vestes, parano on pense qu'à cognerEmbed"
Iron Sy,Flée Flée ! (Soirée Impec),"2 ContributorsFlée Flée ! (Soirée Impec) Lyrics[Intro]
Iron Sy
Yo, yo

[Couplet 1]
Beat, old school style, new school die
[?] emmène les ch... du sky et la d'fouf
Des tasses pour le zoo, des tains-tains, des [?] pour mes [?]
Du plein plein, la fête de Sy c'est un scoop
Rien qu'des Noirs flée flée (flée flée)
Pétés, mêlés à une tasse, une pute, une chienne [?]
Iron Sy pas [?]
Pas d'vieille meuf aux cheveux mêlés
Rien qu'des tasses au flow miellé
DJ Spank, balance le son
Où les Noirs kiffent, mouillent leurs caleçons
Où les meufs kiffent, frottent les garçons
Ici c'est trop d'meufs pour un gars
Trop d'bluff aux nanas, trop d'leust à gala
En bref soirée pépère
Emmène ton fils, ta femme, ta fille, ton chien et même ton père
Si t'es haineux fous l'camp au Caire
Soirée impec, t'en es au cœur
Iron Sy j'en suis l'auteur

[Refrain (*2)]
Rien qu'des Noirs flée flée
(flée flée)
Ici c'est pété
(pété)
Y a plein plein d'nénés
(nénés)
C'est frotti-frotta
C'est sexe drogue et plein d'nanas
You might also like[Couplet 2]
Trois heures du mat', trente degrés
La salle est pleine, pas d'regret
Personne aux chaises, tous levés
Certains dansent le breakdance, smurfent
Apprennent les [?] et les mœurs
Bouge ton fion et ton torse
Suis la cadence, pète les phones
Si y a pas d'chance [?] l'alcool, retente ta chance hein
Iron Sy j't'l'ai dit, même die kiffe les meufs les ladies
Même style, pas [?] compagnie
Les bras en l'air, visage fier comme [?]
Conscience propre, visage fier, pas d'galère
C'est non-stop, dans la salle rien qu'des soss'
Coureurs de jupons, acharnés d'mamaille
En dehors c'est l'quartier bifton
[?] c'est parfait
Laisse les soucis, c'est un pas d'fait
Soirée impec, c'est chez flée flée
Sors les millions, ici l'mister [?]
Les filles disent ""mais qu'il est mignon"", Mister tatillon

[Refrain (*2)]
Rien qu'des Noirs flée flée
(flée flée)
Ici c'est pété
(pété)
Y a plein plein d'nénés
(nénés)
C'est frotti-frotta
C'est sexe drogue et plein d'nanas
[Couplet 3]
Keum sans meuf, meuf sans keum
Teuf plein d'reufs qui hochent leur phone, leur cœur et leurs seufs
Aucune meuf céliba, donnent leur fion sans blabla
Veulent ton zizi, pas d'gue-bla
Les reums râlent, la soirée s'achève, finis ton kif et ton rêve
Prépare tes cliques, tes claques et ton [?]
[?] à la porte comme [?]
La foule dehors c'est fini
Les meufs oublient leur sac bikini
Aucune meuf pour Junior, rien
Y a nada et Junior, bien
La boîte est libre d'mon sponsor
Sors les cotillons, ici Mister [?]
Les filles disent mais qu'il est mignon, Mister Tatillon

[Refrain (*2)]
Rien qu'des Noirs flée flée
(flée flée)
Ici c'est pété
(pété)
Y a plein plein d'nénés
(nénés)
C'est frotti-frotta
C'est sexe drogue et plein d'nanas
[Scratches]
""Make em clap to this""Embed"
Iron Sy,Gaz Lacrymogène,"5 ContributorsGaz Lacrymogène Lyrics[Couplet 1 : Iron Sy]
Le cash dans la bouche des mômes depuis la crèche
Le cash, cette gue-dro qu'on cache pas dans la tess
Pour du cash, certains crachent sur leur dignité
Un coup par ci, un coup par là, faut pas imiter
Réellement j'veux palper en culbutant
J'suis pas le genre de type qui prend des thunes en boîtant
Certains ont sucé la bite à Satan
Juste pour une avance ces enculés prennent des clans
Y'a que les putes qui se font de l'argent fils
La patience paie donc mourir tôt j'évite
...

[Couplet 2 : KER]
On est tous dans le rap pour baiser ce biz
Pourquoi depuis la naissance je voulais déjà un kalash
Ici on me check depuis le décollage
...
Mais juste nostal
Sauvage est mon continent sache le maintenant
...

[Refrain : Alpha 5.20]
Sens la rage sens la haine dans nos gènes
...
On frappe pas à la porte, on les défonce puis on rentre
You might also like[Couplet 3 : Sinik]
Tu peux m'appeler le magicien je fais des tours affolants
D'un seul coup j'ai transformé le commissarait en cerf volant
...
Je vends les plaquettes ou les barettes en édition limitée bref
Foncedé sous Marie Jeanne ...
Ma colère a
Attends je finis ma bouteille puis je te la casse dans la tête
Ça c'est pour mes gars sous l'oeil de la caméra
...

[Couplet 4 : Paler]
...

[Couplet 5 : Douma]
...

[Refrain : Alpha 5.20]
...

[Couplet 6 : Alpha 5.20]
...
J'ai plongé en apnée sans oxygène ni scaphandre
...
Et comme 2pac all eyez on me
...
[Outro : Iron Sy]
...Embed"
