Artist,Title,Lyrics
JNR Slice,À la tess,"9 ContributorsÀ la tess Lyrics[Paroles de ""À la tess""]

[Couplet unique]
Le terrain c'est pas comme ça (ça), j'la pe-cou mieux que Ramsay ('say)
J't'avance et tu m'rends mes sous (sous), j't'avance et tu rends mes loves (loves)
Ça fait deux heures que c'est mort (mort), ça fait deux heures que ça rode (rode)
Les tits-pe revendent la mort (mort), les cains-ri sont dans la merde (lets' go)
Moins que rien veut la masse (chose), retrouve son corps à la messe (she, she, she, she)
J'suis dans l'bâtiment, sa mère (mère), personne ne touche à ma paire
J'peux attraper yeux rouges quand tu m'énerves et tous les mois, j'arrondis le salaire
Tu m'dois des chromes, y a pas d'galère et le P38 arrange toutes les affaires

[Pré-refrain]
La résine, le réseau, le terrain, le bédo, les faux frères qui disent tous au dépôt
J'suis dans l'bâtiment et ça depuis, 200 boules le platro, pour te faire, on reviendra en jogging
J'ai enlevé mes chaînes, tous mes jugs, le regard est froid comme le Joker

[Refrain]
Eh, eh, j'suis dans l'Féfé, j'ai mon fer, fer
J'dois faire d'l'argent pour ma mère
Y a d'la monnaie qui m'appelle
J'suis mieux chez moi, à la tess, à la tess, à la tess
Tu dis : ""JR, j'ai la pêche""
Tu dis : ""JR, j'ai la pêche à la tess, à la tess""
J'suis mieux chez moi, à la tess
J'dois faire d'l'argent pour ma mère
Y a d'la monnaie qui m'appelle
J'ai mon fer, j'suis dans l'Fer', ouais, ehYou might also like1Embed"
JNR Slice,243 (North Slice Freestyle #5),"3 Contributors243 (North Slice Freestyle #5) Lyrics[Paroles de ""243 (North Slice Freestyle #5)"" ft. Kalash Criminel]

[Intro : Kalash Criminel]
Eh (Eh)

[Refrain : Kalash Criminel & JNR Slice]
Faut des sous pour maman (Han-han), pour le reste, gros, t'inquiète (Han-han)
J’ai pas le cœur à la fête (Han-han), je sais qu'la mort nous guette (Oh-oh)
Faut des sous pour maman (Han-han), pour le reste, gros, t'inquiète (Han-han)
J’ai pas le cœur à la fête (Han-han), je sais qu'la mort nous guette (Oh-oh)

[Couplet 1 : Kalash Criminel]
Eh, le succès sans bonheur, c'est un échec (Okay), j'avais pas un mais c'était avant (Ah bon)
En enfer, y aura pas d'milkshake (Bon courage), va l'dire aux mythos, aux avars (Tah-tah-tah)
J'pardonne handicap comme Ivar (Sauvage), jamais été en état d’ivresse (Sauvage, sauvage)
Tout c’que j'dis dans mes sons, c’est vrai (Gang), la vraie famille, c'еst dans l'livret
On est Zaïrois (Fort), on est trop fiеrs (Fort), les gens pensent même qu'on est hautains (Gang)
Check de l’épaule à Greg Guillotin (Ouh), pour les pédophiles, faut la guillotine, let's go

[Refrain : Kalash Criminel & JNR Slice]
Faut des sous pour maman (Han-han), pour le reste, gros, t'inquiète (Han-han)
J'ai pas le cœur à la fête (Han-han), je sais qu'la mort nous guette (Oh-oh)
Faut des sous pour maman (Han-han), pour le reste, gros, t'inquiète (Han-han)
J'ai pas le cœur à la fête (Han-han), je sais qu'la mort nous guette (Oh-oh)

[Couplet 2 : JNR Slice & Kalash Criminel]
243 (Gang), 243 (Yeah)
J'imagine la vida sous te-shi marocain (Woaw), j'encaisse en quarantaine (Let's go, gang, gang)
L'assurance vie sous l'oreiller, on vient d'en bas (Sauvage) comme si c'était banal (Gang)
Y a vraiment c'que tu veux : des chargeurs intégrales (Les shooters), des gros vendeurs de came (Yeah, gang, gang)
On sait qu't'es pas d'accord, on va pas parler morse (Nan, nan, nan)
J'ai des contacts à mort (À mort, à mort, tah-tah-tah)
You might also like[Refrain : Kalash Criminel, JNR Slice & ensemble]
Faut des sous pour maman (Sous pour maman), pour le reste, gros, t'inquiète (Pour le reste, gros, t'inquiète)
J'ai pas le cœur à la fête (Le cœur à la fête), je sais qu'la mort nous guette (La mort nous guette)
Faut des sous pour maman (Sous pour maman), pour le reste, gros, t'inquiète (Pour le reste, gros, t'inquiète)
J'ai pas le cœur à la fête (Le cœur à la fête), je sais qu'la mort nous guette (La mort nous guette)
Faut des sous pour maman (Han-han), pour le reste, gros, t'inquiète (Han-han)
J'ai pas le cœur à la fête (Han-han), je sais qu'la mort nous guette (Oh-oh)
Faut des sous pour maman (Han-han, gang), pour le reste, gros, t'inquiète (Han-han, R.A.S)
J'ai pas le cœur à la fête (Han-han, sauvage), je sais qu'la mort nous guette (Oh-oh, tah-tah-tah)Embed"
JNR Slice,4 ÉTOILES,"6 Contributors4 ÉTOILES LyricsJ'écrivais dans l'fond du bloc, j'avais ma sacoche, mes couilles et une prod
Surtout pas faire comme les autres
La créativité m'emmène beaucoup de potes
Ils font les voyous, wey , wey
Ils font les khey'ou, wey, wey
Mais c'est des voyous du net, c'est des tass'
On sait que c'est des flocko d'après sont tié-quar

[??] la panoplie
J'peux pas béton pour du [??]
J'ai ma famille et des frères à nourrir
(Bang bang) dans les chevilles
Obligés de les faires, ellе donne le ""go"" pour prendrе sa paie
Il guette d'en haut pour prendre sa paie
En vrai tout le monde dépend d'une paie

[Refrain]

4 Étoiles, dans les vapes j'repense au miens
C'est la même mélodie qui revient
Tellement qu'il parle sur moi, il peut pas
Snapper quand j'suis en ville, c'est dommage
4 Étoiles, dans les vapes j'repense au miens
C'est la même mélodie mon négro
Tellement qu'il parle sur moi, il peut pas
Snapper quand j'suis en ville, c'est dommage
You might also likeDe toute les façons, j'suis grillé
De toute les façons
De toute les façons, j'suis cramé
Donc rajoute des glaçons

La vie de bandit me fascine
Y'a du bon ne-jau, du marron
Dans tout les coins sombres, tout les coins sombres
J'suis grillé, tout les coins sombres
De toute façon, des milliers
Toutes les façons, tout les coins sombres
J'suis grillé, tout les coins sombres
De toute façon, des milliers
Toutes les façons, tout les coins sombres

Plus de trente sur le terrain
Si tu fait une faute, haut les mains
Sa vise la barre, les re-fré à la barre
Même en championnat, j'met la main

Toi t'es mort dans le film
T'es pas dans la bande annonce, t'es pas dans le script
Ils m'font gol-ri, ils font les crips
Sa les attrape, ils deviennent crispés
J'ai jamais vu ça de ma vie
Paris c'est magique, j'ai des bougs en moins
Sa visser corona [??]
Les comptes sont fait, [??] jours en moins
Font que je dois charbonner plus que eux
Paris c'est magique, j'ai des bougs en moins
Sa visser corona [??]
Les comptes sont fait, [??] jours en moins
Font que je dois charbonner plus que eux

[Refrain]

4 Étoiles, dans les vapes j'repense au miens
C'est la même mélodie qui revient
Tellement qu'il parle sur moi, il peut pas
Snapper quand j'suis en ville, c'est dommage
4 Étoiles, dans les vapes j'repense au miens
C'est la même mélodie mon négro
Tellement qu'il parle sur moi, il peut pas
Snapper quand j'suis en ville, c'est dommage

De toute les façons, j'suis grillé
De toute les façons
De toute les façons, j'suis cramé
Donc rajoute des glaçons

La vie de bandit me fascine
Y'a du bon ne-jau, du marron
Dans tout les coins sombres, tout les coins sombres
J'suis grillé, tout les coins sombres
De toute façon, des milliers
Toutes les façons, tout les coins sombres
J'suis grillé, tout les coins sombres
De toute façon, des milliers
Toutes les façons, tout les coins sombresEmbed"
JNR Slice,59US,"6 Contributors59US Lyrics[Paroles de ""59US""]

[Couplet 1]
J'avais 15 ans, j'grattais un texte pendant qu'mon reuf retire ses chaînes
AMG, s'prend balle dans la tête, tremblement d'terre, j'suis plus le même
C'est la rue, la vraie, gros, c'est H.E.M, j'sais qu'y a ZK, Kinsha au hebs
J'appelle Nyda, ce soir j'missile les frères, envoie d'la cons', Lazhar s'occupe du reste (ouh)
Ils sont venus acheter la mort, et moi, je vends comme si c'était la vie, donne un p'tit 1000 eu', il ôte la vie (let's go)
J'suis nostalgique quand j'y repense (oh, oh) , mais là, tout ça c'était avant (yeah, yeah)
J'vois tous les p'tits sur le deux temps (nan, nan), j'vais sur les Champs et je dépense (nan, nan)
Mais peu de frères qui m'ont donné (nan, nan), y avait Reda et mes deux gants (nan, nan)
Ça m'a pété pour un vieux plan, j'appelle Gradur, j'ressors en un instant (oh, oh)
M'ont dit : ""Le J, belek ton buzz"" (nan, nan), j'leur dis : ""Maman veut des vacances"" (nan, nan)
À la base, j'suis pas un rappeur (ouh)

[Refrain]
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey (let's go)
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey (let's go)
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey
Mais j'ai acheté nouvelle auto', j'écoute plus ceux qui parlent autour

[Couplet 2]
Mais dis-moi, c'est combien en fait que tu veux ? On t'visser en traître (oh, oh)
Que d'la beuh, des bonbonnes dans l'four, mais tu veux, toi tu veux qu'on s'allie pour l'four
T'étais bon, t'étais bon, mais t'es plus dans l'truc, impossible de me voir quand j'débarque en soum
Elle veut voir mon chez moi et c'qu'il y a en dessous, j'peux l'avoir pour des mois mais je reste au dessus (ouh)
Mais j'suis dans l'3 litres, j'écoute du Sheff G, j'suis pas content (we gettin' money)
J'm'arrête au feu rouge, j'entends pas c'qu'elle dit, le son est trop fort
Et tout l'monde veut briller, j'ai mon étoile, tu parles mal de chez nous, nous on t'éteint
Il faut pas qu'la monnaie nous divise, nan, il faut pas qu'la monnaie nous divise, nan (ouh, let's go)
You might also like[Refrain]
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey (let's go)
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey (let's go)
Donne ta monnaie, j'pense qu'à charbonner, en vrai de vrai, j'suis là pour le blé, hey
Mais j'ai acheté nouvelle auto', j'écoute plus ceux qui parlent autour2Embed"
JNR Slice,À la bourre,"9 ContributorsÀ la bourre Lyrics[Paroles de ""À la bourre""]

[Intro]
Hé, Kelim, Kelim, Kelim, envoie du briquet s'te-plaît
Eh, eh, eh, eh eh, eh
Eh, eh, eh, eh eh, eh
Mousta made this song, boy
Eh, eh, eh, eh, eh, eh (eh)
Eh, eh, eh, eh, eh, eh (eh)
Ho (eh), check, eh eh (eh), oh, eh (eh)
Yeah, eh (eh), oh, yeah, yeah (eh)
Hun, hun, yeah (eh), yeah

[Couplet 1]
J'suis dans la durée (eh, hey), à mort les condés (eh, hey)
Fuck le rrain-té (eh, hey), mais tu me connais (oh, hey)
Nous, c'est la cité (eh, hey), j'suis dans ma lancée (eh, hey)
Illimité sur le terrain, en bolide, je pense qu'à débiter (yeah, yeah, yeah)
Tu reviens déter', chaud comme à Détroit
Des méchants gars, on détruit (han), c'est la rue, la vraie, tu en déduis (han)
Les 500 meujs, on détourne (han), la voyoucratie n'est pas finie (han)
10 000 en cash, on oublie (han), de côté, on laissera la folie (ah)

[Refrain]
J'arrive serein à la bourre, trafique la mort et la beuh
Les tits-pe sont au labo', pas d'rris-pou en collabo' (she, she, she)
Mets d'côté pour deux lambos, on t'connaît pas, va là-bas
J'suis pas ton keum à la base, nous, on vient que pour la baise
J'arrive serein à la bourre, trafique la mort et la beuh
Les tits-pe sont au labo', pas d'rris-pou en collabo' (she, she, she)
J'mets d'côté pour deux lambos, j'mets d'côté pour deux lambos, on t'connaît pas, va là-bas, on t'connaît pas va là-bas
You might also like[Outro]
Let's get it (yeah, yeah, yeah)
Let's get it (yeah, yeah)
Moi, j'veux que ça, la bonbonne, le que-sa
Moi, j'veux que ça, la bonbonne, le que-sa
Moi, j'veux que ça, la bonbonne, le que-saEmbed"
JNR Slice,Bénéfice,"3 ContributorsBénéfice Lyrics[Paroles de ""Bénéfice""]

[Intro]
Ah sha (ah sha, ah sha)
Ah sha, ah sha, ah sha
Ah shi

[Refrain]
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice

[Couplet unique]
Y a ceux qui reprennent le four et ceux qui prennent la fuite
En toute honnêteté, j'fais parti d'ceux qui s'en fichent
Rabats tous les fours, 10 heures-minuit, dans le froid
Ça pète pas à 6, cache-toi, sur toi, y a une fiche
Bosseur est en forme, cavale si y a les renforts
Là, j'suis au [ren-fo ?], les keufs savent que j'ai rien fait
Pour des sous en masse, dis-moi combien n'l'ont pas fait ?
Pour des sous en gros, dis-moi combien enfermés ?
J'fais tout ça pour ma famille, pour du cash, j'suis affamé
Même si t'es armé, tes potos peuvent te la mettre
Tri-tri-triple bénéfice, j'fais des chromes que par un d'[?]
On sait que tu mens, viens pas nous faire le méchant
Chargé, là, j'ai dû nashave, on connaît tous l'anarchie
Mon te-te fait des bulles et y a ma pute qui s'emballe
Le re-fou tourne en balle, sonne en bas, prends ton 20 balles
Les keufs prennent en fila', moi, j'pars sur l'allée d'urgence
Au près d'moi, y a Simba, si j't'avance, c'est des deux sens
Africain né en France, [sale pays/ça l'prix ?] pour vivre en Afrique
Vrai voyou a du fric et dépense pas dans les filles
Moi, j'reconnais les faux et ceux qui me donnent la force
Mon ex veut gratter sa to-ph', moi, y a qu'l'argent qui m'attire (qui m'attire)
En place tous les matins, ma puce vaut plus que mon tél'
Et maintenant, qu'j'suis monté, les grands, j'les vois comme les p'tits
Là, c'est plus comme avant, les tits-pe veulent des avances
Les beatmakers parlent en vert, hamdoulah, on est en vie
Fais la transac' en vif, les flics, on connaît leurs vices
Ça sent, j'détalle la veille et j'remets tout chez la vieille
Bonbonne cachée dans le Capri-Sun
Les keufs ont le seum donc ils pètent la première SIM
J'connais des dealers qui ont aucun sous
Remboursent toutes les sommes ou bien tout pour deux-trois folles
J'connais des bandits qui prennent deux-trois kil'
You might also like[Refrain]
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice
Chacun gère son four, pour le bénéf', bénéfice
D'la douce ou d'la dure ? Pour le bénéf', bénéfice

[Outro]
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)
Pour le bénéf', bénéfice (pour le bénéf', bénéfice)1Embed"
JNR Slice,Boom,"4 ContributorsBoom Lyrics[Paroles de ""Boom"" ft. Prototype Plvs]

[Intro : JNR]
J'suis avec mon gars Bou, t'vois c'que j'veux dire

[Couplet 1 : Prototype & JNR]
Si ça sent les carottes on arrivera par l'autre côté
Où ne se trouve pas le ballon car on a la balle à nos pieds
Comprenda ou bang, KO t'es une fleur on t'arrose (bleh)
Ton nom dans leur bouche mais tu n'es personnes à nos yeux (yeah)
Si ça sent les carottes la balle sera de notre côté
La balle sera dans ton camp quand tu l'auras prise dans ta te-tê
J'suis pas loin du hood, t'es une fleur on t'arrose
Ton nom dans ma bouche mais tu n'es personne à nos yeux
Woh, Woh, woh, Proto-bina eh
Grosse part du gâteau on devient piranha
Rotte-ca la coke, il se fait des rails
Genre t'es un train, bah on viendra te dérailler

[Refrain : Prototype & JNR]
Ouh-ouh-ouh (ouh, ouh, ouh)
On reviendra pour (On reviendra tout à l'heure) t'faire un boum (bang dans la tête)
T'faire des boum (bang ça fait mal)
Ouh-ouh-ouh (ouh, ouh, ouh)
On reviendra pour (On reviendra tout à l'heure) t'faire un boum (bang dans la tête)
T'faire des boum (bang ça fait mal)
You might also like[Couplet 2 : JNR & Prototype]
J'ai pété en un soir, les gow disent "" Oh là là""
Quand j'dormais dans l'four j'vendais du soir au mañana
J'ai tellement bossé pour être là, t'étais pas là
J'en ai rien à foutre, je sais qu'les tits-pe font hela, eh
Ouh-ouh-ouh
J'pourrais t'en donner mais c'est chiant
J'mets pas le prix, j'la prends cette chose, t'inquiète ça bouge, un coup c'est chaud
J'te vois en bizarre quand c'est chaud mais j'ai déjà fait tous mes choix
Et tous mes res-frè font leurs choix mais tous mes res-frè sont méchants, non
Mais tous mes res-frè sont méchants, argent a odeur alléchante
Elle sourit, elle connait le chant, nettoie mes ennemis et mes jantes
Fait bleh une taffe devant les gens, la flemme de tirer dans les jambes
Allez vous cacher dans les chambres, wouah
Regarde mal le canon et tu vas plus nous voir
Bang bang, wouah
Regarde mal le canon et tu vas plus nous voir

[Refrain : Prototype & JNR]
Ouh-ouh-ouh (ouh, ouh, ouh)
On reviendra pour (On reviendra tout à l'heure) t'faire un boum (bang dans la tête)
T'faire des boum (bang ça fait mal)
Ouh-ouh-ouh (ouh, ouh, ouh)
On reviendra pour (On reviendra tout à l'heure) t'faire un boum (bang dans la tête)
T'faire des boum (bang ça fait mal)
Ouh-ouh-ouh (ouh, ouh, ouh)
On reviendra pour (On reviendra tout à l'heure) t'faire un boum (bang dans la tête)
T'faire des boum (bang ça fait mal)Embed"
JNR Slice,Booska Denzel Jr (North Slice Freestyle #5),"5 ContributorsBooska Denzel Jr (North Slice Freestyle #5) Lyrics[Intro]
Eh (eh-eh)
Eh (eh-eh)
Woo-

[Couplet 1]
J'dois trouver la solution, faut beaucoup de munitions (j'dois trouver la solution, trouver la solution)
J'me salis pour mes opps, j'envoie personne au charbon (j'me salis pour mes opps)
Le sourire d'innocent mais j'suis là pour les thunes (thunes, thunes)
On a les mêmes valeurs, sauf que moi j'suis plus tenace (fils de p')
J'fais du business en France, comme du business en Belgique, avec mes plugs d'Hollande j'achètе un fer allemand (let's go)
En c'momеnt j'ai la niaque, j'vais dépenser, 6.35 est tout neuf, on coupe tes ligaments (roh)
J'ai des ennemis mais j'les connais pas tous, j'pourrais tirer (boom), et prendre 10 ans
Disons que j'veux pas perdre mon temps sans raison (raison), 10 ans pour qu'ma go s'fasse baiser par un autre (hein)

[Pont]
Parano j'arrive un quart d'heure avant d'la voir, j'ai vu son faux regard, pas remarqué ses faux cils
Pourtant son faux boulard en dit long sur la suite, mes frérots, ballons ne font pas le tour du monde
Les pires amendes ne viennent pas par lettres, ils sont pas recommandé, décoffre de ton plavon
J'vois la misère devant mes yeux, les politiciens aussi mais depuis leurs salons

[Refrain]
Si j'te laisse à terre ne crois pas que j'peux pas te fumer comme Denzel
Ramasser, compter, je trie au moins vingt fois, mon ce-sa remplis de olivette
Pour l'amour des loves, combien de fois j'ai dosé ? combien de fois j'ai compté ? combien de fois j'ai nié ?
Tout n'est pas si rose, combien de fois j'ai volé ? combien de fois j'ai frappé ? combien de fois j'ai tiré
You might also like[Couplet 2]
Faut savoir tout le monde fait des erreurs, quand tu jobes, tu n'as pas l'droit
J'en ai vu des comme toi, petit, costaud ou pas, maitrise le sujet comme s'ils vendaient depuis l'jeune âge
T'as rien dans les poches, t'es qu'un clochard, et tu viens nous faire le mec au shtar
Qui a fait du mitard au placard, pourtant j'connais très bien vers chez toi, ils te connaissent même pas
Mal entouré, comme un keuf j'suis bien équipé, j'vais m'en tirer, j'prends du temps mais j'suis motivé
T'as parlé mal, les microbes vont pas t'effleuré, t'as parlé mal, les microbes vont pas t'effleuré
J'suis remplis d'mauvaises idées, pas d'sécurité, j'peux pas hésité
C'est ta mère pas la mienne qui va s'effondrer, j'me suis mouillé pour l'blé, il m'a essoré

[Pont]
Parano j'arrive un quart d'heure avant d'la voir, j'ai vu son faux regard, pas remarqué ses faux cils
Pourtant son faux boulard en dit long sur la suite, mes frérots, ballons ne font pas le tour du monde
Les pires amendes ne viennent pas par lettres, ils sont pas recommandé, décoffre de ton plavon
J'vois la misère devant mes yeux, les politiciens aussi mais depuis leurs salons

[Refrain]
Si j'te laisse à terre ne crois pas que j'peux pas te fumer comme Denzel
Ramasser, compter, je trie au moins vingt fois, mon ce-sa remplis de olivette
Pour l'amour des loves, combien de fois j'ai dosé ? combien de fois j'ai compté ? combien de fois j'ai nié ?
Tout n'est pas si rose, combien de fois j'ai volé ? combien de fois j'ai frappé ? combien de fois j'ai tiréEmbed"
JNR Slice,Booska Slice,"4 ContributorsBooska Slice LyricsJe la tire par ses tresses, elle me dit “JNR j'ai un mec
Il sait qu'j'suis pas une sainte fais bellek”
J'sors de l'appart capuchée avant toi
Centaine demi-tour dans le bât avant toi
J'vendais l'amour à tout-va avant toi
T'étais le toutou collé sous mes doigts
Maintenant j'me retrouve sur Booska-P
J'Fuck l'OPJ ey
C'est fini l'époque des PJP
La vingtaine j'croyais avoir tout pigé
Personne t'a poucav à part ton propre LJ
C'est le sang de la veine, mais c'est pas ton GP (hey)
2.3.800 GP (Gibert) J'lui demande comment j'opère (j'opère)


Toi tu vas tirer sur les gens, toi tu vas tirer sur qui?
J'atteins ton point g c'est léger, viens chez-nous y a pas d'légende
Affaire d'abrutis pour des go finit souvent en bain d'sang, en bain d'sang
Affaire d'abrutis pour des go finit souvent en bain d'sang

Ah ah ah quand c'est chaud oh oh
J'ai la guitare qui fait boom boom sur les gens, boom boom sur les gens
J'ai la guitare qui fait boom boom sur les gens, boom boom sur les gens

Tu veux nous voir pour l'croire mais j'suis à la tess tess tess
J'suis dans le bâtiment quand ça merde j'finis par khalis sous despi
J'pense à papa qui repose en paix, aujourd'hui sur Booska PP (hahaha oula)
Aujourd'hui sur Booska P P P P
J'déclare mon premier P P P P
Fais d'la vente rapide et éphémère
Du bénéf non je suis pas fier
Il pensait que j'étais défoncé une heure pour voler son BM
Une heure pour voler sa Rolex
Une heure pour voler même son ex, eh eh eh eh
You might also likeToi tu vas tirer sur les gens, toi tu vas tirer sur qui?
J'atteins ton point g c'est léger, viens chez-nous y a pas d'légende
Affaire d'abrutis pour des go finit souvent en bain d'sang, en bain d'sang
Affaire d'abrutis pour des go finit souvent en bain d'sang (let's go)

Ah ah ah quand c'est chaud oh oh
J'ai la guitare qui fait boom boom sur les gens, boom boom sur les gens
J'ai la guitare qui fait boom boom sur les gens, boom boom sur les gens
Ah ah ah quand c'est chaud
Ah ah ah quand c'est chaud
C'est Booska Slice
Rendez-vous sur Booska-P
C'est Booska Slice
Rendez-vous sur Booska-P
C'est Booska Slice
Rendez-vous sur Booska-P
Rendez-vous sur Booska Slice
Rendez-vous sur Booska-PEmbed"
JNR Slice,BROLIK,"6 ContributorsBROLIK Lyrics[Paroles de ""BROLIK""]

J'ai du mal à faire woo, woo
Le Brolik sur moi fait des trous, woo, woo
J'ai du mal à faire tout, woo, woo

[Refrain]
Le Brolik fait des trous
Je [??] jamais ma joue
J'ai du mal à faire tout
À chaque fois du dé-voue
J'suis toujours sûr de nous
Au quartier y'a qu'des fous
(mhh)

[Couplet 1]
J'ai mille E en plus sur le bénéfice
J'repense au retombées de la veille
J'repense au retombées quand j'suis pas loin de tous
Ces fils de putes qui parlent en scred'
Elle veut de moi jusqu'à la mort
Je la veut que le temps d'un soir
L'autographe [??] reste encore quelques minutes
Le temps de rouler un pilon toute la nuit, tous les jours c'est la même
Tous les jours c'est la même, j'attend [??] qui purge sa peine
J'ai sept connasses au bout du tel'
À l'autre bout, les ien-clits m'harcèlent
À l'air autour dans un gros binks
Nerveux comme si c'était la guerre
Joint d'beuh et j'oublie toute ma peine
Joint d'beuh
You might also like[Refrain]
Le Brolik fait des trous
Je [??] jamais ma joue
J'ai du mal à faire tout
À chaque fois du dé-voue
J'suis toujours sûr de nous
Au quartier y'a qu'des fous
(hey, non, yeah yeah)

[Couplet 2]
On t'parle pas, toi tu l'ouvres
Plus de sous, plus d'embrouilles
N'hésite pas quand c'est pour des loves
Des big sse-lia, comme Boston George
Moi j't'ai pas appeler pour qu'on joue
Et j'ai jamais forcé les gens
Obligé d'être à l'heure au four
Et de recompter tout les dimanches

Tout les dimanches, la crypto comme monnaie d'échange
Mais c'est pas facile de faire des choix
Toute la zone sait que j'ai mes chances
Ça parle de moi, quand j'viens, j'le choppe
Même si c'est l'frère d'untel, j'm'en moque
J'ai loué la chambre la plus haute
Et dire qu'avant j'étais dans l'hall
[Refrain]
Le Brolik fait des trous
Je [??] jamais ma joue
J'ai du mal à faire tout
À chaque fois du dé-voue
J'suis toujours sûr de nous
Au quartier y'a qu'des fous
(hey, non, yeah yeah)

Le Brolik fait des trous
Je [??] jamais ma joue
J'ai du mal à faire tout
À chaque fois du dé-voue
J'suis toujours sûr de nous
Au quartier y'a qu'des fousEmbed"
