Artist,Title,Lyrics
Jamal Thioune,11,"10 Contributors11 Lyrics[Intro]
Youv Dee
Gear 3
Yo
Slay

[Refrain]
J'suis trop dans ma bulle, encore une qui veut donner son boule
J'suis toujours dans l'abus, j'suis toujours dans l'abus
Tous en train de faire la course aux likes, gros teh' de gelato, j'suis trop high
Ohhhh
J'suis dans le 11 ouais, j'suis dans le 11
Rien qui bouge, nan rien qui change
À part les jours et l'compte en banque
Ohhhh

[Couplet unique]
J'suis trop dans ma bulle, yo yo, j'suis trop dans ma bulle, yo yo
Obnubilé par la thune, yo yo, toute ma vie, je pense que biff, biff, biff
J'veux plus voir charbonner la miff, miff, miff, fils de putain t'écoutes Lil 10, 10, 10
Désolé d'faire la diff', diff', diff', moi j'peux canner demain comme X et Lil Peep
Tu voulais qu'on kiffe qu'on s'côtoie, j't'ai laissé sans contact
T'inquiète pour l'addition, c'est pour moi, j'vais payer sans contact
Tu m'as trouvé distant deu-spi direct après qu'on s'voit
Focus dans ma mission baby, j'veux des nouveaux contrats, ohhh
Au milieu d'l’œil du cyclone
Seule solution : shit, massa, clope, weed, verre d'alcool
Si près du succès, si près d'la mort
You might also like[Refrain]
J'suis trop dans ma bulle, encore une qui veut donner son boule
J'suis toujours dans l'abus, j'suis toujours dans l'abus
Tous en train de faire la course aux likes, grand verre de gelato, j'suis trop high
Ohhhh
J'suis dans le 11 ouais, j'suis dans le 11
Rien qui bouge, nan rien qui change
À part les jours et l'compte en banque
OhhhhEmbed"
Jamal Thioune,2017,"4 Contributors2017 Lyrics[Paroles de ""2017""]

[Intro]
Yeah, yeah
Sommes-nous seul dans l'univers ?
L'homme à toujours observé les étoiles dans l'espoir de découvrir des preuves de l'existence d'autres formes de vie
Mais la vérité n'est pas là
Elle se trouve ici
(Ah gars)

[Refrain]
Ah gars, j'vais remplir le Parc et le Vélodrome
J'fais c'que je veux, j'aime pas trop quand c'est monotone
C'est dangereux de me signеr, d'me lâcher des sommеs
Pourtant j'fais tomber du cash comme si c'était l'automne
Dans ma tête c'est un manga, j'suis le héros, boy
Nique sa mère, à l'anime, j'suis resté au top
Même sur mon dos j'ai des piques comme un stégosaure
Ah gars, dans ma tête j'suis l'personnage principal
Apparemment t'es pas prêt poto, assieds-toi
Ils ont bandé sur la dégz et le récital
C'est moi l'maire de Paris, fuck les municipales
Tout c'qu'ils font, j'trouve ça moyen, pour moi c'est du noise
On arrive, on récupère, on kiffe et on taille
J'crois qu'elle s'imagine déjà dans mon hentai
Tu vas t'faire tacler ta gow par un emo boy
You might also like[Post-Refrain]
Yah, yah, yah, yah
Poto, j'arrive, je le dissèque, je ressuscite le Youv Dee de 2017, hey
Yah, yah, yah, yah
Et bientôt ça part en sucette car je suscite [?] sur 7

[Couplet unique]
Je viens d'une autre dimension, je viens d'une autre planète et j'sais que j'dénote
J'les éteins, j'fais des emotes, moi j'suis le goat, un peu comme Riot
Haut les mains, je cambriole en buvant mon Candy'Up
C'est vrai que t'es mignonne, deux-trois rapports, j'trouve ça fair enough

[Pont]
Poto, j'arrive, je le dissèque, je ressuscite le Youv Dee de 2017, hey
Et bientôt ça part en sucette car je suscite [?] sur 7

[Refrain]
Ah gars, j'vais remplir le Parc et le Vélodrome
J'fais c'que je veux, j'aime pas trop quand c'est monotone
C'est dangereux de me signer, d'me lâcher des sommes
Pourtant j'fais tomber du cash comme si c'était l'automne
Dans ma tête c'est un manga, j'suis le héros, boy
Nique sa mère, à l'anime, j'suis resté au top
Même sur mon dos j'ai des piques comme un stégosaure
Ah gars, dans ma tête j'suis l'personnage principal
Apparemment t'es pas prêt poto, assieds-toi
Ils ont bandé sur la dégz et le récital
C'est moi l'maire de Paris, fuck les municipales
Tout c'qu'ils font, j'trouve ça moyen, pour moi c'est du noise
On arrive, on récupère, on kiffe et on taille
J'crois qu'elle s'imagine déjà dans mon hentai
Tu vas t'faire tacler ta gow par un emo boy
[Outro]
Ah gars
Ah garsEmbed"
Jamal Thioune,7 sur 7,"13 Contributors7 sur 7 Lyrics[Paroles de ""7 sur 7""]

[Intro]
Hey, yeah, yeah
Hey, yeah
J’aime bien quand on s’prend pas la tête, quand tu partages mon canapé
Demain, s’tu veux, on parlera d'eux, viens, on reprend où on était
Elle a un dos sa mère, le genre de dos qui peut te rendre inconscient, frère
Elle a mis son Chanel, apparemment là, ça va être une courte soirée

[Couplet 1]
J’aime bien quand on s’prend pas la tête, quand tu partages mon canapé
Demain, s’tu veux, on parlera d'eux, viens on reprend où on était
Elle a un dos sa mère, le genre de dos qui peut te rendre inconscient, frère
Elle a mis son Chanel, apparemment là, ça va être une courte soirée
Est-ce que c’est grâce à la musique ou parc'que j’fais péter du Louis Vui'
Que tu dis qu’j’ai les meilleurs mélo', que j’ai l’droit d’avoir tous ces éloges ?
Et si j’avais pas la musique, et si j’avais même pas de fric
Est-ce que tu m’auras donné l'heure ou penses-tu qu’on en serait là ?

[Pré-refrain]
Viens avec moi sous le soleil, viens, on se fait pas de promesses
Pour ça, en vrai, y a pas de recette, qui de nous est le plus honnête ?
Elle a maquillée ses pommettes, elle a couru dans la forêt
Elle a vu le loup dans ses rêves, ensuite, tout s’est évaporé
You might also like[Refrain]
Ouais, j’te reçois 7 sur 7, là, c’est toi qui monte sur scène
On dirait qu’on est seuls sur terre donc fais ça pour moi
Pour moi, réponds-moi, viens, on parlera demain
J’m’en bats les couilles, viens, on y va tout droit
Ouais, j’te reçois 7 sur 7, là, c’est toi qui monte sur scène
On dirait qu’on est seuls sur terre donc fais ça pour moi
Pour moi, réponds-moi, viens, on parlera demain
J’m’en bats les couilles, viens, on y va tout droit

[Couplet 2]
Attends, je re-roule, après, j’me ressers, j’préfère te garder que pour le dessert
J’crois qu’j’suis à son goût, j’crois qu’elle veut me faire, la taille de son boule dans son Marine Serre
J’suis comme son gourou, avec elle, j'suis vi-ser, elle veut qu’on s’embrouille, que j’lui fasse la misère
Pour toi, j’me battrais même s'ils sont plusieurs, pour toi, j’fais le ménage, j’enlève la poussière
Désolé, chérie, j’avais pas le temps, des fois, j’revois tes cheveux dans le vent
J’sais que j’te fais des guillis dans le ventre, carrément t’as des fourmis dans les jambes
J’sais qu’j’suis une galère, vrai Sénégalais, on pense qu’au khaliss
Pense qu'à la monnaie, on a couru après l’oseille, il fallait, j’suis dans la tchop, j’écoute Tame Impala

[Pré-refrain]
Viens avec moi sous le soleil, viens, on se fait pas de promesses
Pour ça, en vrai, y a pas de recette, qui de nous est le plus honnête ?
Elle a maquillée ses pommettes, elle a couru dans la forêt
Elle a vu le loup dans ses rêves, ensuite, tout s’est évaporé
[Refrain]
Ouais, j’te reçois 7 sur 7, là, c’est toi qui monte sur scène
On dirait qu’on est seuls sur terre donc fais ça pour moi
Pour moi, réponds-moi, viens, on parlera demain
J’m’en bats les couilles, viens, on y va tout droit
Ouais, j’te reçois 7 sur 7, là, c’est toi qui monte sur scène
On dirait qu’on est seuls sur terre donc fais ça pour moi
Pour moi, réponds-moi, viens, on parlera demain
J’m’en bats les couilles, viens, on y va tout droitEmbed"
Jamal Thioune,A quoi ça sert,"5 ContributorsA quoi ça sert Lyrics[Paroles de ""À quoi ça sert""]

[Couplet 1]
Comment j'dois faire pour m'sortir de là?
Ça fait déjà bien longtemps qu'j'essaie
10 piges que j'm'enfume comme un connard
25 que j'sais pas c'que j'fous là

[Refrain]
À quoi ça sert?
À quoi ça sert?
À quoi ça sert?
Et dans ma tête y a rien qui change, j'suis dans un traquenard
À quoi ça sert?
Et dans ma tête y a rien qui change, j'suis dans un traquenard

[Couplet 2]
J'sors de mon sommeil, j'suis d'mauvaise humeur, faut qu'j'pète un gros joint d'be-her
Cette nuit j'ai zoné, vu toutes les couleurs, j'crois qu'j'aurai mieux fait d'me taire
J'ai des visions, j'me sens investi d'une mission, que des trucs en douce
Le système dans lequel on vit est si vicieux, dans la gue-dro tous
Mais c'que la plupart préfèrent que ça reste officieux, ils se fréquentent tous
Dis moi pourquoi j'devrai faire pareil?

[Refrain]
À quoi ça sert?
À quoi ça sert?
À quoi ça sert?
Et dans ma tête y a rien qui change, j'suis dans un traquenard
À quoi ça sert?
Et dans ma tête y a rien qui change, j'suis dans un traquenard
You might also like[Outro]
À quoi ça sert?
À quoi ça sert?
À quoi ça sert?
À quoi ça sert?
HahahaEmbed"
Jamal Thioune,B.A.C,"14 ContributorsB.A.C Lyrics[Paroles de ""B.A.C"" ft. Lil Toe]

[Couplet 1: Youv Dee]
J'fais que des big move, j'mérite un dix sur dix
J'connais la ristourne, j'connais le vice du type
J'ai que des tch-bi à dispo, ma te-bi est disputée
J'connais le discours, j'sais comment disquetter

[Refrain: Youv Dee]
Hey, bienvenue au club, bienvenue au club, y a des vampires et des thugs
Hey, bienvenue au club, là où les histoires sont réglées par le gun
Hey, bienvenue au club, là où tu peux même te faire sauter par des keufs
Hey, bienvenue au club, bienvenue au club, bienvenue au club

[Couplet 2: Youv Dee]
J'veux la tête du roi sur un plateau
Y a des clones de moi j'suis trop flatté
J'arrive comme cerise sur le gâteau
Les yeux rouges et pupilles dilatées
J'met 3K dans le manteau
C'est le mien personne me l'a prêté
Trop d'people dans la te-tê
T'imagines pas les voix que j'entend
J'suis dans comme un 4x4 tout-terrain
Ça met des tates-pa, j'suis serein
Petit je parlais Fourchelangue
J'étais comme Tom Jedusor
Le son qui matraque les oreilles
C'est comme à Bagdad, c'est chaud et
Bébé j'ai pas l'time désolé
On m'envoie des mauvais sorts
You might also like[Refrain: Youv Dee]
Hey, bienvenue au club, bienvenue au club, y a des vampires et des thugs
Hey, bienvenue au club, là où les histoires sont réglées par le gun
Hey, bienvenue au club, là où tu peux même te faire sauter par des keufs
Hey, bienvenue au club, bienvenue au club, bienvenue au club

[Couplet 3: Lil Toe]
I've been [?] me and my dawgs tryna get millions (What?)
I know the days over, but if he cross me off, I'm gon' kill him (Gra-ta-ta)
A hundred rounds up in the drum, don't be a victim (Yeah)
You really thought you'd get away, gotta be kiddin' (What?)
Now I'm hangin' out the window with my brother, hit the list
This .9 millimeter finna take it to the end (Yeah)
How the fuck you still broke? That shit make me upset (Ayy, yeah, ayy)
Tell her I just want the top, I don't really want the sex (Ayy, yeah, ayy)

[Refrain: Youv Dee]
Hey, bienvenue au club, bienvenue au club, y a des vampires et des thugs
Hey, bienvenue au club, là où les histoires sont réglées par le gun
Hey, bienvenue au club, là où tu peux même te faire sauter par des keufs
Hey, bienvenue au club, bienvenue au club, bienvenue au club1Embed"
Jamal Thioune,Bad Bitch,"13 ContributorsBad Bitch Lyrics[Paroles de ""Bad Bitch"" ft. Arsn & Assy]

[Couplet 1 : Assy]
On a rien sans rien, en c'début d'année, en vrai j'suis pas serein
J'sais qu'il y a mes reufs derrière moi, j'suis pas solo
T'as fait la bad bitch et je passe mon chemin, de toi, j'ai pas besoin
Non, ça va pas recommencer, laisse ça au passé, qu'des mégots écrasés
Des messages effacés, j'y étais préparé, mon cœur est réparé
Mais va-t'en loin de moi, va-t'en, j'fais que penser à demain
J'crois que j'ai besoin de vacances, ces traîtres m'ont mis hors de moi, yeah
Tout est carré, angle droit, yeah, on n'a pas vraiment eu le choix
Non, non, je n'serai jamais la proie, je me ferait plus jamais avoir

[Pré-refrain : Youv Dee]
J'ai l'temps, ils sont tous contaminés, jet lag donc j'roule deux joints d'affilé
J'me lève, j'vois les 'teilles que j'ai vidées, j'dois pull up comme missile téléguidé
J'ai l'temps, ils sont tous contaminés, jet lag donc j'roule deux joints d'affilé
J'me lève, j'vois les 'teilles que j'ai vidées, j'dois pull up comme missile téléguidé

[Refrain : Youv Dee]
Tu fais la Bad Bitch pourquoi ? T'étais une Barbie pourtant
Tu fais crari sur Insta' mais t'es une Bad Bitch pour moi
Tu fais la Bad Bitch pourquoi ? T'étais une Barbie pourtant
Tu fais crari sur Insta' mais t'es une Bad Bitch pour moi

[Couplet 2 : Arsn]
J'vois tout noir comme Bruce Wayne, on baise, on prend tout l'blé, j'ai ma vie en main
J'me bats toute la journée, j'suis pas pris de panique, fuck les haters, tant qu'la famille me valide
J'ai l'te-shi jaune, certain l'appellent ""le Bart"", t'inquiète papa, j'fais pas d'trafique de haschich
Mais j'me débrouille pour faire rentrer le cash, j't'avoue qu'à trente piges, je risquerai l'asile, ouey ouey
J'veux faire mon truc, je veux poser ma pierre à l'édifice
J'vais pas repeat mais pour l'bateau, t'es pas ready, fils de pute
Tu devrais t'barrer d'ici, pense à l'oseille, je m'enfume dans le van (je m'enfume dans le van)
On veut la vie de luxe, ouais la santé, la villa dans le Var
You might also like[Pré-refrain : Youv Dee]
J'ai l'temps, ils sont tous contaminés, jet lag donc j'roule deux joints d'affilé
J'me lève, j'vois les 'teilles que j'ai vidées, j'dois pull up comme missile téléguidé
J'ai l'temps, ils sont tous contaminés, jet lag donc j'roule deux joints d'affilé
J'me lève, j'vois les 'teilles que j'ai vidées, j'dois pull up comme missile téléguidé

[Refrain : Youv Dee]
Tu fais la Bad Bitch pourquoi ? T'étais une Barbie pourtant
Tu fais crari sur Insta' mais t'es une Bad Bitch pour moi
Tu fais la Bad Bitch pourquoi ? T'étais une Barbie pourtant
Tu fais crari sur Insta' mais t'es une Bad Bitch pour moi

[Couplet 3 : Youv Dee]
On aura zéro regrets, négro dans mon équipe, que des vrais
Il y en a beaucoup qu'on effraie, j'ai peu d'amis car l'humain est mauvais
Mais j'ai promis que je finirai jamais dernier
Tu m'as distrait avec ton gros cul, j'arrive même plus à rester concentré
Faut que j'achète une nouvelle jaquette, faut que j'achète une nouvelle sacoche
J'ai dit qu'j'arrêtais la cigarette mais j'ai encore fumé un paquet
J'ai ma SACEM mais j'ai pas touché, qui est plus fort ? Personne tu sais
Arsn, Assy, mes kheys, venez, on fouette tous ces wack MC
On a toujours eu trop d'avance, yeah, trop versatiles pour la France, yeah
Un concert ils sont en transe, yeah, t'as pas d'argent t'es au Crous, yeah
Easy on fait ça, futuriste est la vision, zizi tu veux ça
Bad Bitch kiffe que le saleEmbed"
Jamal Thioune,Bails,"6 ContributorsBails Lyrics[Intro]
Slay
Slay, slay
Yo, yo, yo

[Refrain]
Pardon bébé, j'dois faire la maille
J’suis concentré dans mes bails
J'vais sûrement dead comme une rockstar, oh
On fume la frappe, tu fumes la caille
J'veux pas penser comme eux
J’veux pas penser comme eux, j'ai pas
L'temps de me poser, je peux
Caner demain, j'veux pas
Penser comme eux, j'veux pas
Penser comme eux, j'ai pas
L'temps de me poser, je peux
Caner demain

[Couplet unique]
Ouais bébé, j'dois faire la maille, hey
J’suis concentré dans mes bails et j’pense qu'à ma paye
Ouais, j’peux caner demain ou finir en quarantaine, slay
J'vois ces pussys niggas qui voudraient gratter ma fame
Et j'suis dans le top ten, j'pense à l’époque de la cantine
Encore un cocktail, j'ai pas dépensé un centime
Là, j'écris sans thème, ouais, ça c'est que mon ressenti
J'vois tous mes fantômes, j'suis le foyer de l'incendie
On s'est vu dans le tro-mé, t'as fait crari tu sais pas qui je suis
Ils en veulent encore, ils en veulent encore, j'finirai en premier
Au cas où tu l'aurais pas compris, j'les ai mis d'accord
J'les ai mis d'accord, tout ça pour un DM
You might also like[Pont]
Nan, y'aura pas d'happy end
Tu veux du love, moi j'veux des billets
J'suis en Uber, t'es à pieds, tout ça pour un DM
Nan y aura pas d'happy end
Tu veux du love moi j'veux des billets
J'suis en Uber, t'es à pieds

[Refrain]
Pardon bébé, j'dois faire la maille
J'suis concentré dans mes bails
J'vais sûrement dead comme une rockstar, oh
On fume la frappe, tu fumes la caille
J'veux pas penser comme eux
J'veux pas penser comme eux, j'ai pas
L'temps de me poser, je peux
Caner demain, j'veux pas
Penser comme eux, j'veux pas
Penser comme eux, j'ai pas
L'temps de me poser, je peux
Caner demainEmbed"
Jamal Thioune,Bastos (Freestyle),"8 ContributorsBastos (Freestyle) Lyrics[Intro]
Encore une bastos, si t'as pas compris, nous, on casse tout
Les petits ont découvert la kush et ça croit que ça vit dans Narcos (ah gars)
Slay slay, Skuna Boi
Hey

[Couplet 1]
Encore une bastos, si t'as pas compris, nous, on casse tout
Les petits ont découvert la kush et ça croit que ça vit dans Narcos
Tout en camo dans mon sarcophage, alcool, sexe, narcotiques
Un contrat, deux contrats, rien qu'on graille, rien qu'on signe (ah gars)
J'suis ici que pour les narguer et j'vais les larguer, ouais c'est mes targets
Fils de putain font que jacter mais j'vais les tarter avec le projet
Tu nous verras jamais par terre, on veut les sommes, on veut les sommets
Attends, je fais une aparté, toi, combien tu fais de sous dans l'année ?
C'est difficile de faire pareil, allez, un million, je disparais ('parais)
ODP tout est carré, arrête, arrête un peu d'faire crari (crari)
En vérité c'est marrant, ils me font tous rigoler comme Fary (Fary)
Tout ce que je veux, j'aurai, t'inquiète, partez devant, ouais, j'arrive

[Refrain]
Plus d'un tour dans mon sac-sac, jaloux ne peut pas m'saquer
J'fais tout seul ma musique, besoin de personne pour me guider
Bats les reins ils vont suck-suck, jusqu'à ce que j'sois à sec
Son gros cul fait des secousses-secousses parce que j'suis dans sa schneck
Plus d'un tour dans mon sac-sac, jaloux ne peut pas m'saquer
J'fais tout seul ma musique, besoin de personne pour me guider
Bats les reins ils vont suck-suck, jusqu'à ce que j'sois à sec
Son gros cul fait des secousses-secousses parce que j'suis dans sa schneck
You might also like[Couplet 2]
J'ai té-fri, j'ai roulé un putain d'teh, des ke-més qui copient plus d'un frère
Faut khalass le loyer, putain d'merde, cours après la monnaie, putain d'merde
Ah gars, putain d'merde, des euros, des dollars, faut en faire
Effacer ma douleur puis ma peine
J'ai té-fri, j'ai roulé un putain d'teh
Et j'suis dans le Uber, j'me pose, j'suis reconnu par le chauffeur, chauffeur
Va niquer ta grand-mère, personne, personne me dira c'que j'dois faire, j'dois faire
La flemme de faire mes locks, la flemme, la flemme d'aller chez le coiffeur, coiffeur
Eux, c'est que des cafards, haineux, jaloux dès que t'as le confort, confort
Bébé, j'suis désolé, oui, ma bae, j'ai pas de sentiment, pas de love
Perdu dans mes idées, dans ma tête, nan, j'aime pas les humains, nique les clones
Tu vas halluciner tu vas hlef, maintenant, j'vais les fumer, ils sont morts
Ça y est, c’est décidé, là, c'est bon, c'est bon faut les baiser, faut les fuck

[Refrain]
Plus d'un tour dans mon sac-sac, jaloux ne peut pas m'saquer
J'fais tout seul ma musique, besoin de personne pour me guider
Bats les reins ils vont suck-suck, jusqu'à ce que j'sois à sec
Son gros cul fait des secousses-secousses parce que j'suis dans sa schneck
Plus d'un tour dans mon sac-sac, jaloux ne peut pas m'saquer
J'fais tout seul ma musique, besoin de personne pour me guider
Bats les reins ils vont suck-suck, jusqu'à ce que j'sois à sec
Son gros cul fait des secousses-secousses parce que j'suis dans sa schneckEmbed"
Jamal Thioune,Beaucoup,"18 ContributorsBeaucoup Lyrics[Intro]
Skuna boi, yah hey

[Refrain] x2
Beaucoup de haineux sur mes côtes mais beaucoup de zéros sur mon compte
J'ai beaucoup de Berry sur la tête et beaucoup de bédos sur les paumes
Beaucoup de rappeurs, c'est des clones ouais, beaucoup sont acteurs, c'est des faux
J’ai beaucoup trop d'avance c'est la fin ouais, beaucoup de talent j’ai les crocs

[Couplet 1]
Beaucoup de haineux sur mes côtes mais beaucoup de zéros sur mon compte
J'ai beaucoup de paras qui enquêtent sur ma situation financière
Beaucoup de négros qui me copient mais peu de négros qui ont compris
J’crains que la maladie en fait mais poto j'vois pas la vie sans keh (ah gars)
Dans ce jeu très peu d’adversaires, personne derrière à remercier
J’suis pas comme eux et ma mère sait que j’étais destiné à percer
J’connais tous leurs ces-vi par cœur, aujourd’hui, les rôles sont inversés
J’avais du mal à m’endormir mais le bruit des euros m’a bercé
J’suis concentré mon trip, là, j’ai une mixtape à drop
Encore une qui veut ma dick, fuck, encore une qui veut ma mort
Désolé, j’aime trop la trap, ne m’en veut pas si j’ai tort
Avant l’oseille c’est la miff et c'est l’oseille avant l’amour

[Pré-refrain]
J’suis prêt à tempête, wesh le temps passe belek, on pousse
Nan nan, j’touche pas ta pute, on pense qu’au cash, on pense qu’aux ous-s
J’suis pas ton pote, j’suis pas ton gars, j’suis pas ton soss
Nous, on fume que la frappe, j’té-fri, mon teuteu fait d’la mousse
You might also like[Refrain] x2
Beaucoup de haineux sur mes côtes mais beaucoup de zéros sur mon compte
J'ai beaucoup de Berry sur la tête et beaucoup de bédos sur les paumes
Beaucoup de rappeurs, c'est des clones ouais, beaucoup sont acteurs, c'est des faux
J’ai beaucoup trop d'avance c'est la fin ouais, beaucoup de talent j’ai les crocs

[Couplet 2]
Beaucoup de talent j’ai les crocs ouais, beaucoup qui trouvent que j’suis en trop ouais
Beaucoup de faux, faut faire un tri ouais, beaucoup qui sont au fond du trou
Slay, hey, ah gars, beaucoup de pilons, beaucoup d'beuh ouais
Beaucoup d'biff donc beaucoup d’Gucci, beaucoup de style donc beaucoup d'pussy, hey
J’viens pas d’ici, j’suis du futur, un par un, j’les ai tous fait taire
Niquer des mères, c’est ma culture et sortir à Paris, j’ai fait l’tour
J’me suis séparé du nectar, j’suis bien avec ma tise et mon teh
Ici pour augmenter les scores, la moula pour ma mère et mon père

[Pré-refrain]
J’suis prêt à tempête, wesh le temps passe belek, on pousse
Nan nan, j’touche pas ta pute, on pense qu’au cash, on pense qu’aux ous-s
J’suis pas ton pote, j’suis pas ton gars, j’suis pas ton soss
Nous, on fume que la frappe, j’té-fri, mon teuteu fait d’la mousse

[Refrain] x2
Beaucoup de haineux sur mes côtes mais beaucoup de zéros sur mon compte
J'ai beaucoup de Berry sur la tête et beaucoup de bédos sur les paumes
Beaucoup de rappeurs, c'est des clones ouais, beaucoup sont acteurs, c'est des faux
J’ai beaucoup trop d'avance c'est la fin ouais, beaucoup de talent j’ai les crocs
[Outro]
Skuna boi, yah heyEmbed"
Jamal Thioune,Bendo,"15 ContributorsTranslationsEnglishBendo Lyrics[Intro]
Hey
Ah gars, ah gars
Skuna Boi
Youv Dee, Skuna Boi, yah, hey
Slay, hey, slay, hey, slay, hey
Ah gars

[Couplet 1]
J'vois tous tes G dans la perte, yah, demande pas c’que j'porte, ouh
J’crois que j’vais vider la bank ah gars, j’ai le mot de passe, j’ai le code, j’ai tout
Salope té-mon dans mon tel-hô, j’veux rien voir de ta city
J’la baise par nécessité, elle mettra pas les pieds chez Dee
J’entends les petits faire ""Slay slay"", nouveau réveil, c’est nouvelle paie
Bientôt, j’viens rider la Bentley, ils copient mon délire, j’suis leur Sensei
J’suis le next level ah, concu' lèche des queues (yah)
J’suis le best nigga Monkey, les baises nigga, j’crois
Que les fakes négros vont faire la tête, négro j’suis
Dans l’arène mais j’vois pas, d'concu' j’suis solo, hey
J’fais la diff’ dans le rap, Youv Dee : roi des pirates
J’trouve ça rigolo yah, ta gow qui m’follow

[Pré-refrain]
J’suis trop cheaté pour le jeu, y'a des mmes-gra sur la beu’
Ces négros copient Monkey mais ces négros n’sont pas bookés
Elle donne son cul, j’dis oki, j’savais quand elle m’a ajouté
Zéro ssion-pre moi, j’suis content, si tout va bien dans mon gang
Oh yeah
You might also like[Refrain]
J’suis dans mon bendo, yah, avec une belle connasse
J’ai ma bouteille de lean, j’suis dans le métro 5
Elle veut goûter mon bois, j’l'aurais zappé demain
J’peux pas douter de moi, j’sais que j'les baise de loin
J’suis dans mon bendo, yah, avec une belle connasse
J’ai ma bouteille de lean, j’suis dans le métro 5
Elle veut goûter mon bois, j’l'aurais zappé demain
J’peux pas douter de moi, j’sais que j'les baise de loin

[Couplet 2]
Et oui, je flex comme d’hab, dans la sacoche plein de cash
Tout pour le seille-o, yah, tout pour le seille-o yah
Les haineux comprennent pas pourquoi je brasse comme ça
Tout pour le seille-o, yah, tout pour le seille-o yah
Fils de putain, faire d’la mala c’est déconseillé, yeah
Plus gros virement de ton année, j’l'ai dépensé hier
Tu me verras plus jamais rassurer mon conseiller
J’ai pas de CV mais y'a beaucoup sur ma CB
2018 : ça va sévir, copie pas trop, ça va se voir
J’vois tous les faux, j’vois leur ce-vi, elle sait ce qu’il l’attend ce soir
Vous êtes à quatre sur la semi, on est à trois dans la Benz noire
Ils voudraient savoir ce que je vis, je sais qui a douté de moi

[Pré-refrain]
J’suis trop cheaté pour le jeu, y'a des mmes-gra sur la beu’
Ces négros copient Monkey mais ces négros n’sont pas bookés
Elle donne son cul, j’dis oki, j’savais quand elle m’a ajouté
Zéro ssion-pre moi, j’suis content, si tout va bien dans mon gang
Oh yeah
[Refrain]
J’suis dans mon bendo, yah, avec une belle connasse
J’ai ma bouteille de lean, j’suis dans le métro 5
Elle veut goûter mon bois, j’l'aurais zappé demain
J’peux pas douter de moi, j’sais que j'les baise de loin
J’suis dans mon bendo, yah, avec une belle connasse
J’ai ma bouteille de lean, j’suis dans le métro 5
Elle veut goûter mon bois, j’l'aurais zappé demain
J’peux pas douter de moi, j’sais que j'les baise de loinEmbed"
