Artist,Title,Lyrics
Jey Brownie,GTB,"14 ContributorsGTB Lyrics[Paroles de ""GTB""]

[Pont]
J'sais qu'j'suis un ghetto boy (un ghetto boy)
Le sourire de ma mère, c'est ma best of joy (c'est ma best of joy)
Je dois faire du le-sa, j'ai pas le choice (le-sa, j'ai pas le choice)
Oh-oh-eh (Oh-oh-eh)

[Refrain]
Je connais des gars qui peuvent briser ta carrière, belek quand tu m'parles, fais pas des manières, manières
Entre nous, j'ai mis des barrières, y aura pas d'retour, baby girl, va voir ailleurs (Va voir ailleurs)
Elle a senti qu'j'avais du cash, donc elle vеut donner son derrière
Mais nе croit pas qu'j'veux te marier, si on sexe, c'est parce que j'veux juste te voir hier, ouais

[Pont]
J'sais qu'j'suis un ghetto boy (un ghetto boy)
Le sourire de ma mère, c'est ma best of joy (c'est ma best of joy)
Je dois faire du le-sa, j'ai pas le choice (le-sa, j'ai pas le choice)
Oh-oh (Oh-oh)

[Couplet]
Tout Paname la connaît, elle vit que pour ses abonnés
Elle noie ses soucis sur du Jack Honey
Tout c'qui l'intéresse c'est d'la money, yeah (eh-eh-yeah-yeah)
Gaddamn, j'vois qu'ce game devient dangereux
Pourtant j't'avais dit que d'nous, ces négros étaient envieux
T'as voulu faire la bitch, reviens pas maintenant que je switch
À cause de toi, je diss avec plein d'mes OG's
Me force pas de rider, j'préfère rester au lit
Comme Pac, quand j'suis dehors y a all eyes on me
Ma lifestyle se résume à faire d'la money
Y a que du réel, pas d'Monopoly
Me force pas de rider, j'préfère rester au lit
Comme Pac, quand j'suis dehors y a all eyes on me
Ma lifestyle se résume à faire d'la money
Y a que du réel, pas d'Monopoly
You might also like[Pont 2]
Arrête un peu tes manières, quand c'est fait, c'est fait, pas d'retour en arrière
J'suis comme dans un fait divers, j'suis tellement pété que j'vois même plus la bannière
Arrête un peu tes manières, quand c'est fait, c'est fait, pas d'retour en arrière (J'sais qu'j'suis un ghetto boy)
J'suis comme dans un fait divers, j'suis tellement pété que j'vois même plus la bannière (Le sourire de ma mère, c'est ma best of joy)

[Refrain]
Je connais des gars qui peuvent briser ta carrière, belek quand tu m'parles, fais pas des manières, manières
Entre nous, j'ai mis des barrières, y aura pas d'retour, baby girl, va voir ailleurs (Va voir ailleurs)
Elle a senti qu'j'avais du cash, donc elle veut donner son derrière
Mais ne croit pas qu'j'veux te marier, si on sexe, c'est parce que j'veux juste te voir hier, ouais

[Outro]
Ghetto boy, best of joy
Ghetto boy, best of joyEmbed"
Jey Brownie,Cadenacer,"11 ContributorsCadenacer Lyrics[Paroles de Cadenacer feat. Tiakola]

[Intro : Tiakola]
Hein, hein, hein-ein
Hein, hein, hein, hein, hein-ein

[Couplet 1 : Jey Brownie]
J'arrive déter’ comme dans Hennessy, me prends pas la tête j'suis dans ma frénésie
J'ai tellement de mélos qu’j'en deviens indécis, hier ils me méprisaient, maintenant me félicitent
Faut faire de la monnaie encore et encore en restant dans mon coin, sans disrespecter nobody
Et si tu manques de respect, j'vais te montrer [?]
Un minimum : nan, un maximum de kichta, yeah (yeah-yeah-yeah)
J'suis un mec de Paname (hein), c'est normal que j'ai la vista, eh
Déter' comme un maghrébin, touche à ma maille, tu t'en sortiras pas anodin
T’allumer comme un londonien, quand y a embrouille, ils disparaissent comme Aladin

[Pré-refrain : Tiakola & Jey Brownie]
(Hein, hein, hein, hein, hein-)
J’me rappelle toujours pas de la veille
(Hein, hein, hein, hein, hein-)
Mais ce qui est sur mon négro, c'est que tu me dois de l’oseille, yeah
(Hein, hein-)
Il me faut la maxi kichta dans la sacoche
(Hein, hein-)
On veut la maxi kichta dans les ches-po
You might also like[Refrain : Jey Brownie]
De la monnaie, j'vais pas m'en lasser
Mon seul but c'est de me surpasser
T’façon demain si j'meurs elle va me remplacer
Donc mon cœur je vais cadenasser
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille

[Couplet 2 : Tiakola]
J'pense à tous ceux qui font les sous, j'pense à tous ceux qui se débrouillent seuls
J'pense à ces gens qui font des discours une fois que t'es dans ton cercueil
Trop de mauvaises langues qui s'ajoutent, trop de mauvais œil qui regardent
J'pense à ces gens qui se considéraient, mais aujourd'hui ca les comptent pas
Et j'me demande c'est quelle vie ? Demande c'est quelle vie ?
Ils ont la voix qui sonnent faux, ca fait un moment que j'médite
C'est un bolide allemand qui s'invite, allemand qui s'invite
Ils ont la voix qui sonnent faux, ca fait un moment que j'médite
Evidemment il faut qu'j'reparte à zéro
Faut qu'je fasse des sous, pour l'avenir on verra
Quand t'as plus un rond, on te prend pour un blaireau
Evidemment il faut qu'j'reparte à zéro

[Pré-refrain : Tiakola & Jey Brownie]
(Hein, hein, hein, hein, hein-)
J'me rappelle toujours pas de la veille
(Hein, hein, hein, hein, hein-)
Mais ce qui est sur mon négro, c'est que tu me dois de l'oseille, yeah
(Hein, hein-)
Il me faut la maxi kichta dans la sacoche
(Hein, hein-)
On veut la maxi kichta dans les ches-po
[Refrain : Jey Brownie]
De la monnaie, j'vais pas m'en lasser
Mon seul but c'est de me surpasser
T'façon demain si j'meurs elle va me remplacer
Donc mon cœur je vais cadenasser
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille
Je pense qu'à faire de l'oseille

[Couplet 3 : Jey Brownie & Tiakola]
Je pense qu'à faire de l'oseille, dans mes sons je parle souvent de l'oseille
Je viens d'une famille nombreuse faut pas que j'me gourre en suivant tes conseils
Tu me mettras sur un piédestal dans deux ou trois piges, promis
J'serai dans le top, top, damn devant [?]
J'pense qu'à faire l'oseille, dans mes sons j'parle souvent d'oseille
Et comme d'hab', ils ont grave le seum, car c'est l'avocat qui nous sauve
J'pense qu'à faire l'oseille, dans mes sons j'parle souvent d'oseille
Et comme d'hab', ils ont grave le seum, car c'est l'avocat qui nous sauve

[Outro : Tiakola & Jey Brownie]
Evidemment il faut qu'j'reparte à zéro
Faut qu'je fasse des sous, pour l'avenir on verra
Quand t'as plus un rond, on te prend pour un blaireau
Evidemment il faut qu'j'reparte à zéro
De la monnaie, j'peux pas m'en lasser
Mon seul but c'est de me surpasser
De façon demain si j'meurs elle va me remplacer
Donc mon cœur je vais cadenasserEmbed"
Jey Brownie,Décisif,"6 ContributorsDécisif Lyrics[Paroles de ""Décisif""]

[Refrain]
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
Je sacrifie mes week-ends, faire du sale yes i can
Crois moi que je peux car mon flow est incisif
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
J'ai sacrifie mes week-ends, faire du sale yes i can
Crois moi que je peux car mon flow est incisif

[Couplet 1]
Toujours posé dans le bendo, venir nous test à ça no no
J'suis venu représenté le Congo, normal que j'ai trop des combos
Tu sais moi je charbonne everyday, couleur ébène donc j’en fait deux fois plus
Quand j'ai de sombres idées, je prie le cieux pour que le soleil me guide
Elle prétend me connaitre mais d'où ? Elle m'dit qu'elle va estomper mes doutes
Mais je trouve que l'amour dans le flou, on finira par en arriver à bout
Je me sens comme un étranger à Moscou, je suis pas prêt pour vos interviews
C'est ça c'est juste un avant goût, pose pas de questions c'est très embêtant

[Refrain]
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
J'ai sacrifie mes week-ends, faire du sale est sacré
Crois moi que je peux car mon flow est incisif
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
J'ai sacrifie mes week-ends, faire du sale yes i can
Crois moi que je peux car mon flow est incisif
You might also like[Couplet 2]
Je ne veux plus perdre mon temps
Pour les plans sous j’suis pas hésitant
J'attendais ce moment depuis longtemps
Pour découper la prod souhaite moi bon appétit
Toujours dans plans compromettant, j'découpe l’instru comme dans le vieux temps pour
Eux c'est très embêtant
J'me rappelle toujours de la veille
Moi j'suis de moi parce que j'ai trop d'orgueil
Ils veulent concurrencer tout le temps mais ils ne sont pas compétents
Ma mélodie est hors du temps

[Refrain]
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
J'ai sacrifie mes week-ends, faire du sale est sacré
Crois moi que je peux car mon flow est incisif
Faut que je fasse la diff, c'est pour ça que j'innove
À chaque morceau je me dois d'être décisif
J'ai sacrifie mes week-ends, faire du sale yes i can
Crois moi que je peux car mon flow est incisifEmbed"
Jey Brownie,Faits divers,"7 ContributorsFaits divers Lyrics[Paroles de ""Faits divers""]

[Refrain]
Ce négro doit des sous, dois-je finir dans un fait divers ?
Entre le bien et le mal j'suis vraiment duper
Car je vois tous les week-end yeah
Et tu sais qu’on fuck le système yeah
Si on récolte vraiment ce que l'on sème
À quoi réfléchir c'est vraiment nécessaire
Pour agir à la mexicaine yeah
Ton sang va couler comme une citerne yeah

[Couplet 1]
C’est pas de ma faute en vrai si ce genre de chose arrive
C'est que t'as surement fait quelque chose à mon insu
Comme un astronaute je suis prêt à risquer ma vie pour t'allumer même si t'es Clay Cassius
Tu sais que j'ai rien à perdre en vrai, j'suis que dans les bails concrets
Avec mes négros on fuck le système, c'est pour ça qu’on t’as tchin tchin en vrai
Crois pas que j'étais en état d’ivresse, je l'ai fais à mes dépends et personne va
Tergiverser
Avant tu faisais le mec déter, maintenant tu perd tes couilles et ton sang a été versé
Différentes sapes, différentes barrières
Le canon va jamais s'enrayer

[Refrain]
Ce négro doit des sous, dois-je finir dans un fait divers ?
Entre le bien et le mal j'suis vraiment duper
Car je vois tous les week-end yeah
Et tu sais qu’on fuck le système yeah
Si on récolte vraiment ce que l'on sème
À quoi réfléchir c'est vraiment nécessaire
Pour agir à la mexicaine yeah
Ton sang va couler comme une citerne yeah
You might also like[Outro]
Là j'suis dans les bails
Si je die, no cry
Dieu assure la gestion, ne pose pas de questions
Là j'suis dans les bails
Si je die, no cry
Dieu assure la gestion, ne pose pas de questions
Dieu assure la gestion, ne pose pas de questions
Si je die, no cry
Dieu assure la gestion, ne pose pas de questionsEmbed"
Jey Brownie,Fascinant,"7 ContributorsFascinant Lyrics[Paroles de ""Fascinant""]

[Pré Refrain]
L’impression de tomber dans le vide
Je me noie dans du Hennessy, non
Je me sens bizarre ouais
Quand je sombre, c’est le soleil qui me guide
Réussir c’est ma seule issue, non
M’regarde pas bizarrement

[Refrain]
La musique est fascinante
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distant
La musique est fascinante
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distant

[Couplet 1]
Je deviendrais pas distant
Dans la vie tu ne peux pas réussir en hésitant
Mais faut pas se précipiter
Fais les choses bien et ça viendra
Trop de fois je me suis senti négligé
Ils croyaient pas en moi, certains de mes proche me méprisaient
À présent faut pas minimiser
Mon côté zaïrois m’a aidé à ne pas dériver
Y’a pas si longtemps, ouais
Je traînais avec mes ennemis car en mes amis ils se déguisaient
Ma voix perdurera dans le temps
Car je représente mes anciens comme les pyramides de Guizeh
L’impression de tomber dans le vide
Je me noie dans du Hennessy, non
You might also like[Pré Refrain]
L’impression de tomber dans le vide
Je me noie dans du Hennessy, non
Je me sens bizarre ouais
Quand je sombre, c’est le soleil qui me guide
Réussir c’est ma seule issue, non
Regarde pas bizarrement

[Refrain]
La musique est fascinant
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distant
La musique est fascinante
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distant

[Couplet 2]
Regarde pas bizarrement
Débrouillard même dans le blizzard
Je trouverais une issue avant de crier Mayday
Toujours était sincère moi ouais
Débrouillard pas un veinard
Dans ma vida tout ce que j’ai, c’est mérité
Des choses je me suis privé, sacrifié mon temps dur était le choix crois moi
Au bout du tunnel, j’aperçois le destin
J’ai juré de n’plus zonner dehors avec la street
J’suis toujours en désaccord
Sur ma vida yeah yeah
Donc la magie faut battre des records
Du studio, des disques d’or
Oh oh oh oh
L’impression de tomber dans le vide
Je me noie dans du Hennessy, non
[Pré Refrain]
L’impression de tomber dans le vide
Je me noie dans du Hennessy, non
Je me sens bizarre ouais
Quand je sombre, c’est le soleil qui me guide
Réussir c’est ma seule issue, non
Regarde pas bizarrement

[Refrain]
La musique est fascinante
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distant
La musique est fascinante
Ma vie devient fascinante
Je signe des contrats, que des K
Mais je deviendrais pas distantEmbed"
Jey Brownie,Grizbi,"7 ContributorsGrizbi Lyrics[Paroles de ""Grizbi""]

[Refrain]
1-2-3 Soleil
Passe mon oseille, j'attendrai pas la veille
Y'a que ma family qui m'émerveille, ramène mon oseille
J'ai des billets sur moi donc je vais peek a boo (Peek-a-boo-peek-a-book)
La plus part du temps ceux qui viennent sont toujours des meufs en couple (yeah)
Un coup d'un soir je me casse vu que j'suis déjà en couple (Peek-a boo peek-a-boo)
J'ai des billets sur moi donc j'vais peek a boo (Ah, ah, ah, ah)

[Couplet 1]
Elle kiffe mon côté bad boy à la Chris Breezy (à la Chris Breezy)
Tony Montana, mentalité, négro laisse-moi faire du grisbi
Défoncer sans être en état d'ivrеsse c'est mon côté bizarre
Toi tu cours dеrrière des fesses, c'est ton côté guignard
M'appelle pas j'suis pas du matin (Yeah, yeah, yeah, yeah)
J'ai l'image de ma bitch dans la tête (Yeah, yeah, yeah, yeah, yeah)
Mon négro t'as capter la gimmick (Gimmick-gimmick)
Pour le seille-o moi j'ai pas de limites (Limites, yeah)
J'suis au studio comme au labo-bo
Flem envoie la sauce t'as capter la collabo
On fuck les ragots
Même le tarpé de ta go (eh)
Si y'a un plavon on y go go faut d'la money à gogo et se la péter à Chicago (Yeah, yeah)
Et se la péter à Chicago (Yeah, yeah)
Se la péter à Chicago (Yeah, yeah)
Faut de la money à gogo et se la péter à Chicago (Yeah, yeah, eh, eh, yeah, yeah)
You might also like[Refrain]
1-2-3 Soleil
Passe mon oseille, j'attendrai pas la veille
Y'a que ma family qui m'émerveille, ramène mon oseille
J'ai des billets sur moi donc je vais peek a boo (Peek-a-boo-peek-a-book)
La plus part du temps ceux qui viennent sont toujours des meufs en couple (yeah)
Un coup d'un soir je me casse vu que j'suis déjà en couple (Peek-a boo peek-a-boo)
J'ai des billets sur moi donc j'vais peek a boo (Ah, ah, ah, ah)

[Couplet 2]
J'suis au studio comme au labo-bo
Flem envoie la sauce t'as capter la collabo
On fuck les ragots
Même le tarpé de ta go (eh)
Si y'a un plavon on y go go faut d'la money à gogo et se la péter à Chicago (Yeah, yeah)Embed"
Jey Brownie,Inhaler,"7 ContributorsInhaler Lyrics[Paroles de ""Inhaler""]

[Refrain]
Ils veulent me faire ils veulent me faire
Toujours protéger initié par le fer
Le flow est passe partout
Ça fait partie des mes atout
Toujours protégé initié par le fer
De la pure il a inhalé eh eh il a inhalé eh eh
Met ton pied dans nos bendos y’a que des famous yeah
De la pure il a inhalé eh eh il a inhalé eh eh
Met ton pied dans nos bendos y’a que des famous yеah
Et même le week-end on fait d'la monеy yeah
La langue de Molière faut manier il y aura pas de laisser aller
Et même le week-end on sais bien s’amuser
L’ambiance il faut tamiser t’inquiète bb ça va aller

[Couplet]
Trop d’agilité habilité que tu ne peux pas understand
Je fait la cours à la moula même si j’aurais plus des blem
Ils voulaient me faire la peau mais je suis plus que deux
J’suis celui qu’il faut éviter en réalité
Mon flow les terrifies
Souvent tenter par esprit maléfique
Mais y’a que Dieu que je glorifie
Je fait du bien autour de moi mon âme se purifie
Yeah yeah ils auront du mal à résistez quand ils vont understand
You might also like[Pont]
Encore deux piges on verra
Même s’il veulent que na kweya

[Refrain]
Ils veulent me faire ils veulent me faire
Toujours protéger initié par le fer
Le flow est passe partout
Ça fait partie des mes atout
Toujours protégé initié par le fer
De la pure il a inhalé eh eh il a inhalé eh eh
Met ton pied dans nos bendos y’a que des famous yeah
De la pure il a inhalé eh eh il a inhalé eh eh
Met ton pied dans nos bendos y’a que des famous yeahEmbed"
Jey Brownie,Laptop,"6 ContributorsLaptop Lyrics[Paroles de ""Laptop""]

[Refrain]
J’ai fait trop d’efforts, trop d’efforts, pour en arriver là
J’ai fait trop d’efforts, trop d’efforts, pour qu’on en reste là
Devant le laptop, je pense à ma vie de demain
En vrai demain n’existe pas, non je fais que tourner en rond
Je finirais au top ouais
Vivre ensemble au jour le jour, sans penser au lendemain, c’est la seule façon d’être heureux

[Couplet 1]
J’traine pas dans le bendazi
Faut que j’passe dans les magazines
Pas le temps de tourner en rond
Faut que j’m’y mette à fond, sans toucher ecstasy
Poser sur le rooftop, je nargue l’ennemi leur flow est inexistant
Je finirais au top, peu importe leur avis
Ici on fuck ton avis, on peut te rafaler dans Paris la nuit
On le fait sans courtoisie vu que t’es remplie d’insolence
Je fais que je suis béni à vie, je m’en rappelle quand revient la nuit
Façon ma mère me le dit la zik embellit ma vie
Pourquoi j’fais de la zik en vrai ?
Pourquoi ma voix adoucit les pétasses ?
Et pourquoi avoir la vie d’un monégasque ?
Fait que les jaloux deviennent nombreux
Pourquoi j’fais de la zik en vrai ?
Pourquoi ma voix adoucit les pétasses ?
Et pourquoi avoir la vie d’un monégasque ?
Fait que les jaloux deviennent nombreux
You might also like[Refrain]
J’ai fait trop d’efforts, trop d’efforts, pour en arriver là
J’ai fait trop d’efforts, trop d’efforts, pour qu’on en reste là
Devant le laptop, je pense à ma vie de demain
En vrai demain n’existe pas, non je fais que tourner en rond
Je finirais au top ouais
Vivre ensemble au jour le jour, sans penser au lendemain, c’est la seule façon d’être heureux

[Couplet 2]
Vivre ensemble au jour le jour, surmonter épreuves dans la vie de tous les jours
Lyriquement faut que j’me mette à jour, ma famille compte sur moi, faut pas que j’me
Gourre
J’ai fait trop d’efforts, trop d’efforts, passer mes nuits à trouver des métaphores
Pour leur prouver qu’ils ont eu tort de remettre en question le flow que j’élabore
L’instru je dévore, je séchais la school pour gratter à midi
Multicolore est le flow, depuis tipeu c’était déjà prédéfini
Ils s’moquaient de moi au départ, mauvaise idée
Maintenant je fais que des bangers, j’allume le feu comme Hallyday
Pourquoi j’fais de la zik en vrai ?
Pourquoi ma voix adoucit les pétasses ?
Et pourquoi avoir la vie d’un monégasque ?
Fait que les jaloux deviennent nombreux
Pourquoi j’fais de la zik en vrai ?
Pourquoi ma voix adoucit les pétasses ?
Et pourquoi avoir la vie d’un monégasque ?
Fait que les jaloux deviennent nombreux
[Refrain]
J’ai fait trop d’efforts, trop d’efforts, pour en arriver là
J’ai fait trop d’efforts, trop d’efforts, pour qu’on en reste là
Devant le laptop, je pense à ma vie de demain
En vrai demain n’existe pas, non je fais que tourner en rond
Je finirais au top ouais
Vivre ensemble au jour le jour, sans penser au lendemain, c’est la seule façon d’être heureuxEmbed"
Jey Brownie,Le fer,"6 ContributorsLe fer Lyrics[Paroles de ""Le fer""]

[Couplet 1]
J’vais le faire, j’vais le faire, pour mes négros
Cette année j’suis trop déter, faut remplir le frigo
Surveille ta baby girl elle fait sonner mon bigo
Surveille ta baby girl
Bientôt les pieds dans le game game les haineux bazo tala nga bizarre
Quand j’y réfléchis mais God damn c'est pas de ma faute si ils sont guignards
Moi je sais faire que des bangers demande à Flem
Même quand je suis pas en état d’ivresse
Tuer l’instru c’est ça mon emblème, je fais ça depuis le temps
Là j’essaye de faire les choses bien, me prend pas la tête pour faire ce qui te convient
J’suis un débrouillard comme Franklin, j’te promet qu’ils se souviendront de moi
Quand j’étais en manque d’oseille, y’avait quelques frères et ma tigresse toujours sur le tec
Maintenant de moi ma daronne est fière et le daron n’en parlons pas

[Refrain]
Touche pas à ma moula hey
Touche pas à ma moula
Y’a que pour ça que j’peux te délaisser, menacer
Touche pas à ma moula hey
Cette année j’suis trop déter
Crois moi que j’vais le faire
Touche pas à ma moula hey
Y’a que pour ça que j’peux te délaisser, menacer
Touche pas à ma moula hey
Cette année j’suis trop déter
Crois moi que j’vais le faire
You might also like[Couplet 2]
J’vais le faire, j’vais le faire
Cette année j’suis trop déter
L’argent au bled faut que je transfère
Ma family a trop souffert
Te mêle pas de mes affaires nazo kebisa yo
Mes potos se mettent à visser ils n’ont pas le choix
J’débarque à l’envers la visière remplie de mauvaises idées
L’opinel caché dans l’Goyard si tu fais l’excité
Pensées à toi mais en vénèr
Ce soir tu seras pas veinard
Te démolir c’est mon devoir
Bientôt les pieds dans le game game les haineux bazo tala nga bizarre
Quand j’y réfléchis mais God damn c'est pas de ma faute si ils sont guignards
Moi je sais faire que des bangers demande à Flem
Même quand je suis pas en état d’ivresse
Tuer l’instru c’est ça mon emblème, je fais ça depuis le temps

[Refrain]
Touche pas à ma moula hey
Touche pas à ma moula
Y’a que pour ça que j’peux te délaisser, menacer
Touche pas à ma moula hey
Cette année j’suis trop déter
Crois moi que j’vais le faire
Touche pas à ma moula hey
Y’a que pour ça que j’peux te délaisser, menacer
Touche pas à ma moula hey
Cette année j’suis trop déter
Crois moi que j’vais le faireEmbed"
Jey Brownie,Movie,"13 ContributorsMovie Lyrics[Paroles de ""Movie"" ft. Freeze Corleone]

[Intro : Freeze Corleone]
(Ekip, ekip, ekip)

[Refrain : Jey Brownie]
Comme tu crois qu'la vie, c'est un movie (Movie)
Bah, regarde-nous de travers (Pah)
J'ai l'impression d'avoir déjà tout vu (Tout vu)
Et j'y repense après deux-trois verres (Ouais, oh yeah)
J'peux pas faire deux fois la même erreur (Même erreur)
J'referai jamais la même erreur (Même erreur)
J'peux pas faire deux fois la même erreur (Yeah, yeah)

[Couplet 1 : Freeze Corleone]
J'fais pas la même erreur deux fois, j'm'allume comme si j'ai deux foies
Pour mon argent, multiplication, minimum, c'est deux fois
Tu crois qu'la vie c'est un film, la seule chose qui tient ta vie, c'est un fil
Défense, attaque, négro, j'ai v'là les insignes
Freeze Corleone, chaque année, TOTS et TOTY, concu', on les graille comme des rôtis
6.6.7, mafia, noir sur noir comme des gothiques (Han)
Ils m'voient plus, j'ai pas passé la deuxième (Sku)
Elle m'dit : ""T'es dans l'top 2 et, négro, t'es pas deuxième""

[Pré-refrain : Jey Brownie]
Ne mets pas ton nez dans mes affaires, han
J'ai tout à gagner mais rien à perdre, han
J'peux le faire en vrai
Pourquoi tu mets ton nez dans mes affaires ?
J'me plais dans la Terre
J'peux le faire en vrai, woh, oh
You might also like[Refrain : Jey Brownie]
Comme tu crois qu'la vie, c'est un movie (Movie)
Bah, regarde-nous de travers (Pah)
J'ai l'impression d'avoir déjà tout vu (Tout vu)
Et j'y repense après deux-trois verres (Ouais, oh yeah)
J'peux pas faire deux fois la même erreur (Même erreur)
J'referai jamais la même erreur (Même erreur)
J'peux pas faire deux fois la même erreur (Yeah, yeah)

[Couplet 2 : Jey Brownie]
Je sais qu'ces mecs là venaient m'faire la peau (Venaient m'faire la peau)
Mais dans les pockets, j'ai c'qu'il faut (J'ai c'qu'il faut)
Non vraiment, j'ai peur que des impôts
Oh my god, la sique-mu c'est facile
J'fais des bangers en impro'
Je suis très prolifique en mélodies, crois-moi que c'est nécessaire
À chaque mélo', ses fesses applaudissent, j'ai mes gimmicks, mes mimiques, j'prospère

[Couplet 3 : Freeze Corleone]
Sers-lui un verre de Hennessy, j'me sers un verre de lean
Pas d'sèche, j'suis concentré pour faire deux lignes comme si j'viens d'faire deux lignes
Alejandro Sosa, mentalité, laisse-moi faire du grisbi
6.6.7, industrie, envoie des disques comme si on fait du frisbee

[Pré-refrain : Jey Brownie]
Ne mets pas ton nez dans mes affaires, han
J'ai tout à gagner mais rien à perdre, han
J'peux le faire en vrai
Pourquoi tu mets ton nez dans mes affaires ?
J'me plais dans la Terre
J'peux le faire en vrai, woh, oh
[Refrain : Jey Brownie]
Comme tu crois qu'la vie, c'est un movie (Movie)
Bah, regarde-nous de travers (Pah)
J'ai l'impression d'avoir déjà tout vu (Tout vu)
Et j'y repense après deux-trois verres (Ouais, oh yeah)
J'peux pas faire deux fois la même erreur (Même erreur)
J'referai jamais la même erreur (Même erreur)
J'peux pas faire deux fois la même erreur
Yeah, yeahEmbed"
