Artist,Title,Lyrics
Kévin Valleray,2 Pour Sang (Freestyle),"7 Contributors2 Pour Sang (Freestyle) Lyrics[Couplet 1]
L'ambiance est morose, je la mets sur un pétard
Ça pue l'eau de rose, j'viens juste de marquer mon territoire
J'fais des classiques, pas d'lézard, comme Mozart
Fais pas l'con comme Zemmour en traitant l'rap de sous-art
Enfant de la patrie, si y a bagarre j'suis de la partie
J'protège mon beau visage, mes potes et mes parties
C'est parti, allumez-les tous, ces racistes me fatiguent
Une balle dans la tête d'un facho est pour moi une forme de gâterie
J'connais le b.a.-ba, toi au pire on t'verra pas
Un Emmanuel peut souvent cacher un Benalla
Signer en maison d'disque n'a rien changé à ma morale
J'fume pas d'shit, herbivore comme le koala
Tu voulais me soulever, bah me voilà, ne me ratez pas
D'où je viens la vengeance est d'or, 24 carats
.22, plus dangereux qu'un rageux
Un homme droit et loyal, qui se prête à son jeu ?
J'fais des hits, des bombes, des sous, des éclats
Si ça ne tenait qu'à moi, Jamel Debouzze aurait ses bras
Marine Le Pen n'aurait pas d'voix, son père serait stérile
S'attaquer à Médine, qu'est-ce que c'est puéril, débile
J'suis mwaka légendaire, mon passé est mystérieux
Les keufs viennent me chercher, trouvent des armes qui viennent de chez eux
J'rigole puis j'suis sérieux
J'passe d'un flic fanatique à un juge véreux, rien d'curieux
Pour l'instant j'm'amuse, la suite s'ra incroyable
Un mwaka platine, c'est rare comme un sourd et muet bavard
Des miettes à la concu', j'suis à 2%
Depuis qu'Dieu m'a conçu, ouais, ouais j'leur fout l'seum
Qui vivra verra, j'suis ivre d'eau plate
J'ai cru voir un cobra prendre à quatre pattes un mille-pattes
Carrière paranormale, tu testes ça ira mal
J'laisse aucune preuve, d'ailleurs j'vais tuer l'caméraman
You might also like[Skit : Voix d'un juge]
Maître Arneton, j'écoute

[Refrain 1]
Justice : scélérate, comparution immédiate
J'suis au dépôt, manque de pot : y a qu'des rats, et pas d'chatte
Sortir, j'en ai hâte, j'dois poser quelques pépites
Nouveaux amis, j'en ai as-p, plus d'place comme à mon zénith
Justice : scélérate, comparution immédiate
J'suis au dépôt, manque de pot : y a qu'des rats, et pas d'chatte
Sortir, j'en ai hâte, j'dois poser quelques pépites
Nouveaux amis, j'en ai as-p, plus d'place comme à mon zénith

[Pont 1]
Quel sera mon sort, prochain album prochain score
Ma p'tite fille, mi amor
Pour elle j'pratique la mise à mort
Réels sont mes ceaux-mor
Putain il bouge encore !

[Refrain 2]
Lè badman boss gunshot
Everybody ka run, run, run, run
La pam ni full contact
Lé bolides ka pren lanvol
Oh real shatta pa ka izé bal an syèl
Pou renn fenm fol, pou renn fenm fol
Badman no run, badman no run
[Post-refrain 1]
Ou sav la ri a ni plein mafia
Ka joué dépi la vi'a, yeah
Boss a lyrics mi na mix san bui da six, six, six

[Couplet 2]
La pani favè la pani valè yo ka pren la viw a lè
An camarade ki la? Mandé famn ou ki londjè cal la i bay talè
Andan la ri'a pani relax yen ki brakaj T-Max
Cagoule et casque cé lè bagay la ka vini
Pli rèd ou ka wè tombé lé mask
Ou ka chiffré yo ka mendéw an tax
En glock en xanax an ka pren dé taff
Premier la ka vini rakèt ka trapé an kèkèt an face
Mi an dédikas-kas
Bélier, pliziè allié, pliziè pallier
Et ammen lié n lo ka balancé no nié no nié
Badman pa ka fè ka do nou tout kay ni mèm lôdè la adan ka vo tout kacho l'été la ka fè bien cho

[Refrain 2]
Lè badman boss gunshot
Everybody ka run, run, run, run
La pam ni full contact
Lé bolides ka pren lanvol
Oh real shatta pa ka izé bal an syèl
Pou renn fenm fol, pou renn fenm fol
Badman no run, badman no run
[Post-refrain 2]
Ou sav la ri a ni plein mafia
Ka joué dépi la vi'a
Ka joué dépi la vi'a, aEmbed"
Kévin Valleray,4 Croisées,"8 Contributors4 Croisées Lyrics[Refrain]
Adan 4 croisées an paka tremblé
Bondyé sel an ka doué
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé
Kouté mwen byen !
Adan 4 croisées an paka tremblé
Pass an paka pè pon socié
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé

[Couplet 1]
Tou sa mwen ni men goumé bay
An pa jen ouvè pon la pot' ba pon sheitan
Préci kon dealè ka van shit au détail
An ka posé son la an ni frisson ka pran mwen mè an pa ka moli
Chak fraz sé on rime
An pa biswen ba la dime pou Papa la fè mwen signe !
Monté, démonté
Jounou a tè ki ka konté
Ja ni lontan manman di mwen pa ay fly la y pani Bondyé
Ahahahah..

[Refrain]
Adan 4 croisées an paka tremblé
Bondyé sel an ka doué
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé
Kouté mwen byen !
Adan 4 croisées an paka tremblé
Pass an paka pè pon socié
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé
You might also like[Couplet 2]
An ja renkontré konbien diablesse
An pa ka bwè pon vyé messe
An trouvé mwen adan bisness
An fè preuve de finesse
An pa pon boug a dé vitesse
An pa ka rentré adan maléfice
Ou sav an béni
Chimen la long et dificil
An ni la foi
En sé on vwé nigga, on fucking nigga
Chien paka pissé enlè mwen an pa pon vyé pyé bwa
A pa diab a yo ké touché si mwen, no non !

[Refrain]
Adan 4 croisées an paka tremblé
Bondyé sel an ka doué
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé
Kouté mwen byen !
Adan 4 croisées an paka tremblé
Pass an paka pè pon socié
A pa diab a yo ké fe'm tombé
Lajen paka fe'm chanjé7Embed"
Kévin Valleray,À jamais,"15 ContributorsÀ jamais Lyrics[Couplet 1]
On s'était promis de tout niquer avant d's'en aller là bas
Depuis que t'es parti, homie, j'ai fait le tri autour de moi
Putain, j'ai tellement la haine que tu ne sois plus là
J'regarde tes photos et j'rigole tout seul dans le coeur j'ai le goût des larmes
A jamais, à jamais, à jamais, mon négro
A jamais mon frérot, parti trop tôt, bien trop tôt

[Pré-refrain]
Éternellement gravé dans mes souvenirs
J'me dis souvent que t'es sûrement mieux là-bas
Il me reste plein de grandes choses à accomplir
T'inquiète on va s'revoir, on va s'revoir

[Refrain]
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
Et le temps passe j'aimerais tellement te faire revenir
On m'dit c'est la vie mais j'm'en fous de leur histoire
Solidaire à la guerre, présent dans tous mes fous rires
J't'écris ce soir, hmm hmm

[Couplet 2]
Eh ouais poto j'ai bien grandi, j'traîne plus dans la rue, tu sais
Tu m'avais bien dit qu'un jour j'serai entendu au-delà des portes du lycée
J'espère que t'es fier de ton négro, ta maman partage souvent mes nouveautés
J'la vois pas trop souvent, mais t'inquiète, une fois au pays j'irai l'embrasser
J'ai vu ton fils, putain, il te ressemble
Tu es en lui ça se ressent, il est si innocent
C'est toi à 100%, mais en plus mignon
J'en rigole mais qu'est-ce que ça m'fait chier
Hmmm hmmmm
[Pré-refrain]
Éternellement gravé dans mes souvenirs
J'me dis souvent que t'es sûrement mieux là-bas
Il me reste plein de grandes choses à accomplir
T'inquiète on va s'revoir, on va s'revoir

[Refrain]
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
Et le temps passe j'aimerais tellement te faire revenir
On m'dit c'est la vie mais j'm'en fous de leur histoire
Solidaire à la guerre, présent dans tous mes fous rires
J't'écris ce soir, hmm hmm

[Pont] (x3)
On pense à toi
À jamais mon frérot sûr, ne t'inquiète pas
On ne change pas
Et à chaque fois, je lève mon verre pour toi
Yeah nigga, on pense à toi
À jamais mon frérot sûr, je ne t'oublie pas
On ne change pas
On évolue c'est sûr, mais la famille bouge pas
[Refrain]
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
I miss you more and more, more and more
Et le temps passe j'aimerais tellement te faire revenir
On m'dit c'est la vie mais j'm'en fous de leur histoire
Solidaire à la guerre, présent dans tous mes fous rires
J't'écris ce soir, hmm hmmYou might also like2Embed"
Kévin Valleray,Aller simple (Petit pays),"11 ContributorsAller simple (Petit pays) Lyrics[Couplet 1]
Il n'y a que l'océan qui nous sépare, quelques horloges et quelques puits
J'ai subitement perdu mon âme de fêtard, j'suis vieux je fais la gueule depuis
Il fallait inévitable départ, si ça marche pas je reviendrai tant pis
Je rêve de chaleur et de lueur, ma liberté elle est ailleurs
[Refrain]
Petit pays, je t'aime beaucoup
Petit pays, je t'aime beaucoup
Pourquoi tu pleures ? À bientôt mama, à bientôt mama
Non, n'aies pas peur ça ira là-bas, ça ira là-bas
Oh, ça me fend le coeur oh mama, coeur oh mama
Woaw, woaw
Yeah (x4)

[Couplet 2]
Condamné à partir, on m'a dit que cette année je n'aurai pas le choix
J'ai repoussé l'échéance, j'ai l'impression de m'enfuir
C'est cliché mais c'est vrai je meurs de froid
Ils m'ont beau faire des beaux sourires, mais ne m'ont jamais rappelé pour un toit
Célèbre et nomade, cette nuit dans un fou rire
J'm'endormirai ailleurs encore une fois, je rêve de toi

[Refrain]
Petit pays, je t'aime beaucoup
Petit pays, je t'aime beaucoup
Pourquoi tu pleures ? À bientôt mama, à bientôt mama
Non, n'aies pas peur ça ira là-bas, ça ira là-bas
Oh, ça me fend le coeur oh mama, coeur oh mama
(Talk to dem mi daddy)
[Couplet 3 : Ralph Valleray]
Partir, par nécessité, ou par amour
Ou pour un enfant, ou pour voir le vaste monde
Te regarder par le hublot, avec tristesse
Le coeur serré, quitter ceux que l'on aime
Pour d'autres cieux, pour d'autres terres
Se consoler un peu, par une espérance, un possible bonheur
Ailleurs, mon pays, ma terre
J'ai enchâssé ton nom dans l'écrin de mon coeur
Et je pleure
Et j'espère aussi, qu'à la faveur de jours meilleurs
Je reviendrai me délecter de tes senteurs, de tes saveurs
De tes beautés insulaires, de la chaleur
De l'exubérance de mon peuple, épidermique et fier
Oui, j'espèreYou might also like2Embed"
Kévin Valleray,À ma rue (Lucevan),"7 ContributorsÀ ma rue (Lucevan) Lyrics[Prod by Hi Stakes]

[Couplet 1]
La nuit je traîne avec mes niggas
Je sais qu'tu m'attends
Tu sais qu'je suis passionné par la money
J'ai des liasses de billets dans le sang
Pourquoi se déchirer pour si peu ?
Tu t'fais du mauvais sang
J'te mets à l'aise, t'as une jolie vie
Malgré ça tu m'fais la leçon
C'est comme ça que j'ai grandi, malgré mes efforts
J'adore braver les interdits, c'n'est pas de ma faute
Come on, girl come on, hin hin
Tout c'que j't'avais promis, maison sur la colline
Tous tes caprices j'les réalise, une vie d'adrénaline
Come on, come on

[Refrain]
T'as juré de m'épauler, dans le meilleur et le pire
Tu m'dis qu'tu sauras me rendre heureux
J'suis plus tranquille avec mes millions
T'as promis de m'épauler, dans le meilleur et le pire
Tu m'dis qu'tu sauras me rendre heureux
J'suis plus tranquille avec mes millions
[Couplet 2]
J'ai la vie devant moi, j'vais mourir avec toi
À la fin de ce mois, on ira où tu voudras
On s'est connus en chien dans ma vie j'avais si peu
J'passais tout mon temps dans les strip-clubs
Je sais que ta famille n'aime pas trop les bandits
Je n'ai pas de limite, ils t'ont déjà dit
De me quitter, mais qui saura mieux que moi te faire aimer la vie ?
Allongée dans mon lit, t'avais pas besoin d'avis
Ne parle pas de prison, j'suis un négro libre au fond de l'âme
Pourquoi tu paniques ? Pourquoi tu parles de drame ?
Jamais ces policiers ne sauront me condamner

[Refrain]
T'as juré de m'épauler, dans le meilleur et le pire
Tu m'dis qu'tu sauras me rendre heureux
J'suis plus tranquille avec mes millions
T'as promis de m'épauler, dans le meilleur et le pire
Tu m'dis qu'tu sauras me rendre heureux
J'suis plus tranquille avec mes millions

[Outro]
J'ai la vie devant moi, j'vais mourir avec toi
À la fin de ce mois, on ira où tu voudras
J'ai la vie devant moi, j'vais mourir avec toi
À la fin de ce mois, on ira où tu voudras
J'ai la vie devant moi, j'vais mourir avec toi
À la fin de ce mois, on ira où tu voudrasYou might also like1Embed"
Kévin Valleray,Anesthésie (Outro),"9 ContributorsAnesthésie (Outro) Lyrics[Paroles de ""Anesthésie (Outro)""]

[Couplet]
J'suis parti d'en bas, je suis resté comme j'ai été
Grandi loin des chevaux, on rêvait d'rouler en Fé-Fé
Traité comme misérable, mis à I'écart de la fête
Aujourd'hui, ça crache des vainqueurs pour les chansons qu'on a faites
J'suis pas parti à la neige mais mon bloc est plein de CC
Mon coeur a de la veine, il en coule des larmes d'AVC
Je n'ai pas les moyens de nettoyer toute mon âme
Alors, je paie pot de vin à policiers еt gendarmes
Yeah
Y a d'la cocaïnе dans les canettes
Quand ça devient chaud, y'a plus d'arrêtes
Il est tout petit, ils sont pas nets
(Il est tout petit, ils sont pas nets)
Mais y'a des Kevin, des Mohamed
A part Skyrock, j'voudrais une planète
(Yeah, yeah, yeah, yeah)

[Refrain]
J'ne sens même plus la douleur, j'suis anesthésié
Même en hiver, j'ai des couleurs, j'suis né en été
Ma Rolex n'leur donne plus l'heure, l'aiguille a pété
J'ne sens même plus la douleur, j'suis anesthésié
You might also like[Outro]
Gang, gang, gang, gang, gang, gang, ouh
Gang, gang, gang, gang, gang, gang, ah
Gang, gang, gang, gang, gang, gang, ah
Gang, gang, gang, gang, gang, gang
An an, ahEmbed"
Kévin Valleray,Anything a Anything,"1 ContributorAnything a Anything LyricsAyo, Shorty
Bring some bloodclat
Yein ki big bomboclat bonda kon Cardi
Notnice inna di party
Nuff badman, nuff gunman
Nuff money man, no funny man, no dutty mind
Bare hot gyal, bare bad gyal, big batty gyal
Fanm BBL ek fanm natwal
JBL ou bien gros Marshall
Sa irréel, sa mons my gyal, Notnice
Lè nou pati pou nou chill
Nou pa ni combin
Anything a anything
Nou pa vin pèd pon fil
Pass en kay la, yein ki bèl fanm (gyal)
En kay la, yein ki bèl fanm (gyal)
En kay la, yein ki bèl fanm, Notnice
Cheap Glock boh
Pa joué adan'y sé pa an Nitendo
Sa ka fèt a tè ou bien an mitan d'lo
Pa mété'y à la fèt si I ni Nicanto
I pé èt millionè passé nimpot ki boss
Nou pa ka palé nou en mode oui dawg, no
Peu impot' la sa yé ou sav we can go
Et yo té ja diw Mwaka Boss ka check yein ki vacabon
Fanm a gro fesse kon sac à dos
Bwè d'lo, hin-hin
Collé enlè moun pou nou pé bè'y, hin-hin
Pas piess bwet djin-djin
Ba nou bar la, ennou pa fè manyè
Fout bien, hin-hin
Ou vini épi en lascar, hin-hin
Man pa ka prend piess ladjè ba fanm
Surtout lè fanm'lan même pas tan mwen
Lè nou pati pou nou chill
Nou pa ni combin
Anything a anything
Nou pa vin pèd pon fil
Pass en kay la, yein ki bèl fanm
En kay la, yein ki bèl fanm
En kay la, yein ki bèl fanm, ah-ah-ah
Baby gyal, whine pon me
Whinе pon me
Montré mwen sa ou envi jodi
Man lé sеnti en punany
Ou ni en ti manniè salope délè ka fè'm plaisi
Touch me, touch me if you want me
Nuff badman, nuff gunman
Nuff money man, no funny man, no dutty mind
Bare hot gyal, bare bad gyal, big batty gyal
Fanm BBL ek fanm natwal
JBL ou bien gros Marshall
Sa irréel, sa mons my gyal, Notnice
Lè nou pati pou nou chill
Nou pa ni combin
Anything a anything
Nou pa vin pèd pon fil
Pass en kay la, yein ki bèl fanm (gyal)
En kay la, yein ki bèl fanm (gyal)
En kay la, yein ki bèl fanm, NotniceYou might also likeEmbed"
Kévin Valleray,Après l’automne,"24 ContributorsAprès l’automne Lyrics[Refrain]
Gentil mwaka veut plier la France
Motivé depuis l'adolescence
Dieu m'a donné la voix et l'intelligence
Dieu m'a donné l'attaque et puis la défense
J'appelle fruit du labeur ce que tu appelles chance
En sous effectif je cours avec plus de vaillance  (Hin hin)
J'ai consommé l'amour à outrance
J'emmerde Jean-Marie depuis la naissance
Ainsi que sa fille l'orang-outan
Moi aussi j'ai trouvé ça dégoutant
Mais seras-tu Charlie après l'automne ?
Selon le vent et selon l'iPhone (Hin hin)

[Couplet 1]
J'regarde mes frères et je sais ce qu'ils pensent
Restera-t-il Kalash, malgré l'avance ?
Même après la guerre je ne jette pas ma lance
À part le mépris, rien ne vaut mon silence
Doté d'intelligence, je n'ai pas foi en la science
Je serai plus fort si mon peuple a confiance
Huit et demi aux devoirs n'est pas signe de déficience
J'réfléchis juste à la vraie vie et mon avenir durant mes absences
Hypocrisie camouflée sous drapeau tricolore de tolérance
Bon français quand ça se passe bien, devant l'échec reviennent les différences
Anmwé, Anmwé
Jeune homme brillamment sombre est lâché
Anmwé, Anmwé, Anmwé
[Refrain]
Gentil mwaka veut plier la France
Motivé depuis l'adolescence
Dieu m'a donné la voix et l'intelligence
Dieu m'a donné l'attaque et puis la défense
J'appelle fruit du labeur ce que tu appelles chance
En sous effectif je cours avec plus de vaillance  (Hin hin)
J'ai consommé l'amour à outrance
J'emmerde Jean-Marie depuis la naissance
Ainsi que sa fille l'Orang Outan
Moi aussi j'ai trouvé ça dégoutant
Mais seras-tu Charlie après l'automne ?
Selon le vent et selon l'iPhone (Hin hin)

[Couplet 2]
Amoureux du son depuis la naissance
Papa joue du Bob avec aisance
Lumière allumée, je sens des présences
Histoires de sorcellerie depuis l'enfance
L'histoire de mon peuple j'en ai connaissance
Pas grâce à l'école et son insouciance
Si mon peuple était si méchant qu'il le prétend l'Afrique ne souffrirait pas en silence
Dire que tu me tolères est signe de colère cachée
Le commissaire et sa commère avaient vraiment l'air fâchés
Le petit mwaka est libéré
Ça parle de complot antillais, de bavure annonçant la sortie d'un CD
Ils ont des locks, ils sont noirs, donc la bite bien gonflée
Ces chanteurs savent penser, Ô mon Dieu tuez-les
Tuez-les, tuez les, tuez les !
(Hin hin)
[Refrain]
Gentil mwaka veut plier la France
Motivé depuis l'adolescence
Dieu m'a donné la voix et l'intelligence
Dieu m'a donné l'attaque et puis la défense
J'appelle fruit du labeur ce que tu appelles chance
En sous effectif je cours avec plus de vaillance  (Hin hin)
J'ai consommé l'amour à outrance
J'emmerde Jean-Marie depuis la naissance
Ainsi que sa fille l'Orang Outan
Moi aussi j'ai trouvé ça dégoutant
Mais seras-tu Charlie après l'automne ?
Selon le vent et selon l'iPhone (Hin hin)You might also like6Embed"
Kévin Valleray,Arrête ton film,"1 ContributorArrête ton film Lyrics[Pont]
Hey yo rude boi, enlève ton doigt sur la gâchette
Les balles fusent, le gilet pare-balles ne sauvera pas ta tête
Hmm
Hey yo rude boi, enlève ton doigt sur la gâchette
Ça les amusent, il est temps que tout cela s'arrête
Anyway... Ouais !

[Refrain]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais !

[Couplet 1]
Aujourd'hui tout l'monde veut kill
Beaucoup de jeunes voient la gâchette trop facile
Y'en a même qui rêve de s'acheter un missile
Pour une question d'réput, pour une question d'fille
Quand tu tombes en prison, t'écris beaucoup de coups d'files
Plus le temps passe, plus les amis se défilent
Boy! Ta mama ne dors pas tranquille
La tristesse a laisse des marques et un débile
Anyway...
[Refrain]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais !

[Couplet 2]
Ne met pas tout sur le dos du système
Ne te justifis pas en disant qu't'as la haine
Car nombreux sont ceux qui vivent le même problème
Pas de money, mais t'as pu acheter un gun
Depuis tout petit, c'est toujours la même rogen
Le clip à la télé promotionne les badmen
Mais les radios ne veulent pas passé les conscious thèmes
20 ans après, c'est toujours idem
Ils te font écouter ce que tu veux entendre
Et beaucoup d'artistes ne sont pas ce qu'ils prétendent
Pendant que tu dors en prison avec ton gang
Ils se la collent douce avec leurs boysbands

[Refrain]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais !
[Pont]
Hey yo rude boi, enlève ton doigt sur la gâchette
Les balles fusent, le gilet pare-balles ne sauvera pas ta tête
Hmm
Hey yo rude boi, enlève ton doigt sur la gâchette
Ça les amusent, il est temps que tout cela s'arrête
Anyway... Ouais !

[Refrain]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles"" (Krr-rr-rr!)
Il ne faut pas répondre à n'importe quel coup d'file, ouais !

[Outro]
Carcel, si la base est dans les radios
Marre de voir mes frères sur les infos... Oi!
Toujours les mêmes scénarios
J'préfère encore aller... au studio
Comme Falaminalé
Krr-rr-rr!Embed"
Kévin Valleray,Arrête ton film (Remix),"1 ContributorArrête ton film (Remix) Lyrics[Pont : Kalash & L-A-S-Nico]
Hey yo rude boi, enlève ton doigt sur la gâchette (Kalash)
Les balles fusent, le gilet pare-balles ne sauvera pas ta tête (L-A-S)
Hmm (Remake!)
Hey yo rude boi, enlève ton doigt sur la gâchette (Remix)
Ça les amusent, il est temps que tout cela s'arrête (OK)
Anyway... (Ugh) Ouais !

[Couplet 1 : L-A-S-Nico & Kalash]
Dans la Matrix tu sors le gun, pour fermer des gueules
Mais les keufs t'enferment seul et ça t'fou l'seum
Les films électrisent ton esprit, despite
Comme un brolic, tu t'crois dans Metal Gear Solid
Pour toi la vie c'est une Playstation
Appuie sur play t'es jeune, s'te plait, arrête de dire t'es cheum (Kaboom!)
Enlève ton doigt sur la gâchette
On va t'enfermer avec leurs vachéts, ton gilet pare-balles, j'le rachète
La violence nous colonise
Les cercueils et les tombes se multiplient, quoi qu'on en disent
Pendant ce temps, les imposteurs trompent les jeunes avec leurs bises
Soundboy, écoute Kalash : ""arrête ton film.""
Anyway... Ouais !

[Refrain : Kalash]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais !
[Couplet 2 : Kalash]
Aujourd'hui tout l'monde veut kill
Beaucoup de jeunes voient la gâchette trop facile
Y'en a même qui rêve de s'acheter un missile
Pour une question d'réput, pour une question d'fille
Quand tu tombes en prison, t'écris beaucoup de coups d'files
Plus le temps passe, plus les amis se défilent
Boy! Ta mama ne dors pas tranquille
La tristesse a laisse des marques et un débile
Anyway...

[Refrain : Kalash]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais !

[Couplet 3 : Kalash]
Ne met pas tout sur le dos du système
Ne te justifis pas en disant qu't'as la haine
Car nombreux sont ceux qui vivent le même problème
Pas de money, mais t'as pu acheter un gun
Depuis tout petit, c'est toujours la même rogen
Le clip à la télé promotionne les badmen
Mais les radios ne veulent pas passé les conscious thèmes
20 ans après, c'est toujours idem
Ils te font écouter ce que tu veux entendre
Et beaucoup d'artistes ne sont pas ce qu'ils prétendent
Pendant que tu dors en prison avec ton gang
Ils se la collent douce avec leurs boysbands
[Refrain : Kalash & L-A-S-Nico]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles""
Il ne faut pas répondre à n'importe quel coup d'file, ouais ! (OK)

[Couplet 4 : L-A-S-Nico]
Tire des coups d'feu, tu t'fais des files
Donne des coups d'queue, ta vie défile
Et t'écoutes que tes amis débiles
Et puis les coups d'Dieu, écoute, je...
M'inspire, espire et touche
Ton bout, tes pulsations
T'es partis en couilles, t'as plus d'calcons
Attends tu sors l'brolic juste pour la réputation
J'propulse, en plus t'as le son
Mais le juge peut t'bloquer à vie
Mais c'est c'que j'ai appris
Casse pas les couilles, tu connais pas la vie
Tu te prens pour qui quand tu dis : ""Ça donne même pas envie."" ?
Gros, y'a trop d'victimes
Alors, arrête ton film
[Pont : Kalash & L-A-S-Nico]
Hey yo rude boi, enlève ton doigt sur la gâchette (L-A-S)
Les balles fusent, le gilet pare-balles ne sauvera pas ta tête (Kalash)
Hmm
Hey yo rude boi, enlève ton doigt sur la gâchette (Enlève ton doigt sur la gâchette)
Ça les amusent, il est temps que tout cela s'arrête (Ouais !)
Anyway... Ouais !

[Refrain : Kalash]
Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles
Hollywood a fait beaucoup de victimes
Mi say again: ""Soundboy arrête ton film, ouh
Avant que le Ciel coupe ton file
Beaucoup sont tombés pour des problèmes inutiles"" (Krr-rr-rr!)
Il ne faut pas répondre à n'importe quel coup d'file, ouais !

[Outro : Kalash]
Carcel, si la base est dans les radios
Marre de voir mes frères sur les infos... Oi!
Toujours les mêmes scénarios
J'préfère encore aller... au studio
Comme Falaminalé
Krr-rr-rr!
StreetEmbed"
