Artist,Title,Lyrics
Luv Resval,++,"19 Contributors++ Lyrics[Paroles de ""++"" ft. Savage Toddy]

[Refrain - Luv Resval]
Plusieurs flammes, plusieurs démons dans la caisse (dans la caisse)
Plusieurs balles, plusieurs billets pour ses fesses (plus de thune)
Plusieurs flammes, plusieurs démons dans la caisse (ho ouais)
Plusieurs balles, plusieurs billets pour ses fesses
Beaucoup d'fumée j'en abuse
J'veux plus rouler dans un bus
Plusieurs billets dans la puce (ho ouais)
Plus de cash il m'en faut plus
Beaucoup d'fumée j'en abuse (ouais)
J'veux plus rouler dans un bus
Plusieurs billets dans la puce
Plus de cash il m'en faut plus (yeah, yeah)

[Couplet 1 - Luv Resval]
Gros j'suis dans mon thème j'suis toujours dans mon gang (j'suis dans mon benks)
Et dans mes cauchemars j'ai poigné Johnny Dang (Johnny, johnny)
Poigné Johnny Dang attitude Johnny Depp (ouais johnny Depp)
Négro sur la scène dans l'viseur j'ai ta tête (ouais j'ai ton cul)
J'arrive en léger comme le CDG
J'serai riche et faudra m'tuer si tu veux m'en empêcher (ouais)
J'ai ma came histoire d’abréger, juste pour les sécher
J'suis dans l'bolide comme un PDG, dieu pardonne mes péchés
Ouh Yeah elle arrive quand tu l’appelles fume un bédo juste avant la mort (juste avant la mort)
Derniers moments c'est trop tard elle arrive même si t'es pas d'accord (sale fils de pute, ho ouais)
Y barré dans la trap j'ai du love si t'en demande encore (quoi ?, Ouais)
La concurrence retrouvée avec traces de uzi sur le corps (quoi ?, Quoi ?)
J'suis toujours paré pour l’interro j'bédave sur la terrasse ton rap est pas terrible, Eh
J'fais des dommages collatéraux dans l'oeil j'ai un téra, regarde quand j’atterris, hou
J’envoie des ballons aux latéraux faut qu t’arrêtes de pé-ra t'es juste un intérim
J'emmène du sirop pour l'apéro j'fais danser l'opéra juste avant qu'on périsse (j'fais tout pour le gang)
Ouh Yeah J'vais fumer trois doobies  juste après j'm'assoupis (sale fils de pute)
Position accroupie pour ta sœur la groupie (ta soeur la tchoin)
J'fais tourner ta copine j'fais tourner la toupie (ouais, ouais)
C'est une bombe j'la dégoupille gros mon cerveau fait des loopings
Vous êtes mes fistons (Wawawawa, Ouh)
On prépare la dope comme des cuistots (quoi ?)
J'reconte le bifton (ho ouais)
Les yeux rouges j'me sens comme Méphisto
J'suis né sur Krypton
Les humains j'les mange comme Balisto (j'les graille)
Gros t'es pas listé (quoi ?)
Ma lean est plus belle que Callisto (ho ouais)
Beaucoup d'fumée j'en abuse
J'veux plus rouler dans un bus
Plusieurs billet dans la puce (ho, ho)
Plus de cash il m'en faut plus
Beaucoup d'fumée j'en abuse
J'veux plus rouler dans un bus (skrt, skrt)
Plusieurs billet dans la puce
Plus de cash il m'en faut plus (bang bang)
You might also like[Couplet 2 - Savage Toddy]
Ouh Yeah hin wa Hey
Take a nigga bitch to the motel (hou)
J'suis posé j'ai la weed j'suis dans l’hôtel (quoi ?)
T'essaies de me joindre j'suis d'jà au tel (allô ?)
J'crache tous mes soucis dans fumé au ciel (yeah)
Regarde ta meuf on la choppe (han)
J'ai les armes dans le froc (quoi ?)
Le rap j'le voit comme une grosse pomme
[Un vent ?] vous tous c'est sur j'la croque (yeah)
Hey j'ai des jordan t'as des crocs (t'as des crocs)
Ils vont tous cavale d'vant le glock (le glock)
Beaucoup d'choses dans mes poches (mes poches)
Beaucoup d'amour pour mes proches (pour mes proches)
T'as vendu ta reuss comme une frappe (quoi ?)
Mais quand on la voit elle est moche (nan)
J'veux rouler dans des énormes porches (yeah)
Quand j'allume le stick la lumière me sert de torche (yeah)
J'allume un pure t'allumes une clope
Dans la trap pour la money (ouh)
Jamais j'mettrais une salope en cloque
Savage Todd tu me connais (yeah)
J'écris mes freestyle en 5 minutes
Quand j'prend des drogues ma santé elle elle diminue
Ramène ton crew entier dans l'rap pour les fume y m'faudrait seulement quoi ? Juste 1 minute, salope
[Refrain - Luv Resval]
Plusieurs flammes, plusieurs démons dans la caisse (ouais dans la caisse)
Plusieurs balles, plusieurs billets pour ses fesses (plus de thune)
Plusieurs flammes, plusieurs démons dans la caisse (ho ouais)
Plusieurs balles, plusieurs billets pour ses fesses (rla, rla)
Beaucoup d'fumée j'en abuse
J'veux plus rouler dans un bus
Plusieurs billet dans la puce (ho ouais, rah-fa-fa-fa)
Plus de cash il m'en faut plus
Beaucoup d'fumée j'en abuse (ho ouais)
J'veux plus rouler dans un bus
Plusieurs billet dans la puce
Plus de cash il m'en faut plus (yeah)Embed"
Luv Resval,¥1,"4 Contributors¥1 Lyrics[Intro]

Yeah  (yeah)
Ouay, yeah  (yeah)
Ouuu  (trap trap, trap trap)
Esketit  (sketit sketit)
Yeah, ouay  (yeah, yeah)
Ya (x7)
Hann, hey

[Couplet seul]

T'es juste bonne pourquoi tu fais la miss ?  (ouais)
Le rap de ton mec sent la pisse  (ouais)
J'veux la monnaie j'ressors de l'abysse  (ouais)
Fais belek' sur le terrain ça glisse  (yaah yeah)
Dans la chambre en violet j'retapisse  (draa)
Cette pétasse vend son cul pour un kys
Dans la trappe, dans le piège chez les keufs pas d'indice
J'ai des potes qu'on pas vendu qu'un 10  (yeah, ouay)
J'ai des potes qu'on pas vendu qu'un 10  (han yeah)
Ta copine on la frotte sur lapis, ça sent bon comme un demi kilo d'canabis  (han ouh)
Vend la dope recompte le bénéfice
Fume la dope dépense le dénéfice
R.E.S VAL dans tes orifices
S/o Kaaris mon fils va tirer sur ton fils
Calé, tu veux m'appeler mais j'suis pas là
J'ai Lucifer sur les talons, le score est salé
La mort appelle j'réponds : ""Allo ?"", sur l'terrain j'envoie tous les ballons
J'arrive au galop, tu parles du fric que d'la mala
J'veux vous niquer ça s'ra pas long, j'le fais pour mes salops
Prononce 3x sirop codéiné j'apparais dans ton salonYou might also likeEmbed"
Luv Resval,¥10,"15 Contributors¥10 Lyrics[Paroles de ""¥10 (Freestyle)""]

[Intro]
Ah ouais, ah ouais ah ouais ah ouais (yeah)
Ah ouais, ah ouais ah ouais ah ouais (trap trap trap trap)
Ah ouais, ah ouais ah ouais ah ouais
Yeah, yeah, yeah, yeah

[Refrain]
Les yeux rouges, j'plane au-dessus d'eux comme Mephisto (Mephisto)
Sur mes poignets, sur mon cou, j'veux des cristaux (wah-wah-wah-wah)
Les yeux rouges, j'plane au-dessus d'eux comme Mephisto (gang gang gang gang)
Sur mes poignets, sur mon cou, j'veux des cristaux (shi, shi), ouu yeah

[Couplet unique]
J'le fais pour le khalis, yeah
Dans l'monde des merveilles avec Alice, ouh yeah
Tu passes pas les qualifs, ouh
A la fin du match on égalise, ouh yeah
Sirop dans mes valises, ouh
J't'ai déjà dis bientôt j'les dévalise, ouh yeah
J'découpe comme un canif, ouh
J'commence esclave et j'finis calife, ouh yeah
Chargeur, munitions infligent la punition (trap trap trap trap)
J'arrive dans son fion en pleine ébullition (rrah rrah)
Et bientôt j'ai la permission, j'arrive dans l’émission (rrah pow pow pow)
J'mets des balles avec précision, j'annonce ta démission
J'suis dans la trap, plusieurs démons dans la caisse et ces salauds m'ont dit qu'j'allais prier
Quand-est-ce qu'on s'attrape ? Beaucoup d'fumée dans la pièce si tu viens, tu finis l'cerveau grillé
J'connais la date de ton décès et l'adresse, tout est noté dans mon calendrier
J'ai trouvé la porte de l'entrée du paradis mais les darons m'ont dit qu'fallait prier, ouh yeah
Bombarde sur l'A6, fonce-dé dans l'A7
A table j'suis assis, j'attends mon assiette, fils de pute
Dans la pharmacie ou bien sur la scène, bats les couilles
J'arrive voie rapide, j'refais mes lacets, ouh ouais
Ramène le cash, quoi ? Si tu veux coca dans ton zen, ouh yeah
Mais qu'est-ce tu nous caches, quoi ? J'ai l’œil du démon pour les ken, ouh yeah
J'remonte d'un étage, pour gagner j'me sers de ta haine, ouh yeah
Sirop fait des tâches, tu parles de ma mère on va baiser la tienne, ouh yeah
You might also like[Refain]
Les yeux rouges, j'plane au-dessus d'eux comme Mephisto (Mephisto)
Sur mes poignets, sur mon cou, j'veux des cristaux, fils de pute
Les yeux rouges, j'plane au-dessus d'eux comme
Sur mes poignets, sur mon cou, j'veux des cristaux, skelay shit1Embed"
Luv Resval,10K,"2 Contributors10K Lyrics[Paroles de ""10K"" ft. Savage Toddy]

[Intro : Luv Resval]
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000, j'voudrais 10 000
J'voudrais 10 000 sur ma chaîne, 10 000 sur ma chienne, hey
J'voudrais 10 000, wouh, j'voudrais 10 000
J'vou-, j'voudrais 10 000 sur ma chaîne
J'voudrais, j'voudrais, hey, wow, j'voudrais, wouh

[Refrain : Luv Resval]
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier

[Couplet 1 : Luv Resval]
Négro, j'veux 10 000 partout dans mes poches, sur ma vie, c'est comme ça qu'on sera guéri
J'fume un gros niak, j'suis content quand j'décolle mais la vie devient moche quand j'atterris, hey
Nique la police, nique la mairie, gars j'fabrique des potions d'codé', j'fais des séries, hey (potion, potion)
J't'ai dis, j'suis young quand j'atterris, t'oublies toute la codé' dans mon soda cherry, hey
Je sais qu'tes potos nous imitent, négro (wow), sur mon poignet j'aurais 10 000, négro (ayah)
J'avance trop vite, you can't see me aux dolls, j'aurais 6 000, j'les mange comme Happy Meal, négro
Tout l'monde est die dans la cité du diable (gang gang), mon négro j'connais tous les habitants (gang gang)
Codé-Fanta pour la mi-temps, j'reviens comme Rivai pour signer tous les titans
On veut finir sur le toit (yah), faire d'la money comme avocat (yeah),
Mettre les billets dans le sac (yessay), pillé comme un dealer d'coca', hey
P2 sur le niaks, range le teushi dans un bocal
Fumeur de line, j'suis au max, j'ai l'incendie dans ma boca, ouh
Resval, Savage dans son vagin, ouh, bæ assieds-toi sur mon machin, ouh
Tout ces MC fanés veulent nous tester (hey) mais négro, j'les baise même quand j'suis à jeun, ouh (ouais)
Négro, j'les baise même quand j'suis à jeun, ouh
Me parle pas j'suis pas ton frangin, ouh
You might also like[Refrain : Luv Resval]
10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier

[Couplet 2 : Savage Toddy]
J'ai une chaîne autour du cou comme un esclave
Tu t'mets à rapper devant moi, je m'esclaffe
Remballe ton vieux flow, remballe ton vieux zetla
Si ces salopes te tendent la perche, gros jette-la
J'voyage pas mais le sirop m'fait des jet-lag
Bientôt j'visser la dope à tous ces vieux shlags
Plane au-dessus d'ces négros comme sur un delta
Izuri Gang, faut sauter n'importe quel tas
J'suis dans le piège, avec les kheys (avec les kheys), tu veux passer mon équipe à la loupe, tu trouveras pas de traître (jamais)
J'suis dans le siège, avec le Res' (yes, yes), avec Oltouch sur le clip, tu le sais qu'on est toujours au frais
Trapping dans l'club avec thuggy, trapping dans l'club j'suis le pluggy
Trapping dans l'club avec coc', trapping dans l'club avec thuggy
À l'année, j'suis dans un buggy, j'écoute ma mère, j'veux une Audi
J'écoute pas tes rimes de salope, j't'écoute pas car t'es inaudible
Bitch, j'suis rapide, à la course j'bats même Flash McQueen
Qu'est-ce que tu baragouines ? Pétasse sans talon, n'est pas ma queen
Bitch, j'suis agile, j'suis sur la Terre et pas Tatooine
Ta salope est pas tatouée, tu peux chopper le rap à La Fouine
Savage Toddy, ¥ung Kidd, on arrive dans l'équipe pour leur apprendre la vie à toutes ces salopes
J'suis comme au bowling, j'suis la boule, c'est les quilles, donc graille les MC comme des putains d'escalopes
Rapide et agile, j'mets des doigts à ta fille, pour les prendre sur ma vie que c'est bien trop facile
Trappeur de 6-Men détruit que des hymens, devant nos vies et nos équipes, toi tu galopes
[Refrain : Luv Resval]
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panier
J'voudrais 10 000 sur ma chaîne, hey, 10 000 sur mon poignet
J'voudrais 10 000 pour ma chienne, hey, 10 000 dans mon panierEmbed"
Luv Resval,¥11,"11 Contributors¥11 Lyrics[Intro]
Yo, yo, yo, yo, yo (ouais), yo (ouais), yo (ouais), yo (ouais), yo, yo (quoi ?), yo (sku)

[Couplet unique]
Si tu crois qu'j’suis mauvais, bah, t'as pas tort, canon gamma, y en a trois à bord
Ramène monnaie pour qu'on soit d’accord, j'connais l'humain : toujours ""moi d'abord""
Tu resteras figé devant l'roi d'la mort, bateaux pirates arrivent bien à bord
Sirop violet, que des chiennes à bord, me sens tout en haut comme Albator
J'lui tire dans la bouche, pas l'temps d’articuler, j’regarde mes pantins qui sont tous dans l'arène
J’utilise mes chakras pour les manipuler, Y.LUV immatriculé
Tu pries tous les jours pour être au paradis, surtout pas rejoindre ceux qui sont partis brûler
Tu voudrais m'avoir dans la game mais je pop sur la map au hasard donc va t'faire enculer
Fais couler comme un grand siffleur (quoi, quoi ?), j'mets l’Euphon dans des grandes liqueurs (chu, chu)
Sors ma queue comme le grand biffleur, pour la ken, j'lui ai offert six fleurs (esskeetit)
Dans l'arène, j'me sens comme Stifler (splash), la cocaïna te blanchit l'cœur (cash)
Elle est trop bonne, j'ai le gland qui pleure dans la chambre d'hôtel de ta splendide sœur
J'suis sur le trône comme le grand Freezer, rameute l'argent des enfants mineurs (ouh, ouh, ouh)
J'retourne la 'teille comme un grand leaneur, j'retourne la 'teille comme un grand leaneur, yeah, yeah (rich)
Et même si j'suis banni, j'suis maudit, j'apparais comme Stan Lee (esskeetit)
L'amour de ta famille, les traces de tes souvenirs ont tous disparu comme tes amis
Pommes au sirop, j'fais des voyages, négro, j'fais des grimaces comme si j'voyais des Shinigami (chuch)
Yeah, tu veux nous stopper donc préviens tes négros qu'on s'organise
Que la roulette pour le Tali, j'suis sur plusieurs terrains comme ceux qui pratiquent polygamie
Fusionnée comme l'Occitanie, République de l'Empire imposée comme en Mauritanie (yeah)

[Outro]
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, LuvYou might also likeEmbed"
Luv Resval,¥147,"6 Contributors¥147 Lyrics[Intro]
Eh (vion vion)
1.4.7 (vion vion)
1.4.7 (ouais, ouais)
1.4.7 (vion vion)
1.4.7 (woh)
1.4.7 (vion-vion yeh)
Bang

[Pré-refrain]
Me voilà, me voici (ouai), j'suis plus fort, j'vais les baiser cette fois-ci ('sketit)
Arrière du gamos, mon négro j'suis assis, cette nuit, j'ai rêvé qu'j'baisais la voisine
1.4.7, de Cy-Menne à Roissy (wah), j'appelle Cokein, dans la zone, faut pas moisir (wah)
Et ce mois-ci, né dans la morgue (squa), rouge est mon sabre et j'me sens comme Vador (yeah yeah)

[Refrain]
J'aperçois des putes dans ma khapta (pute), tu parles de moi, ça m'fait doucement peur (wah)
J'regarde le ciel et j'te touche dans l'cœur (wah), décale ces bitchs en un mouvement d'teub
J'aperçois des putes dans ma khapta (pute), tu parles de moi, ça m'fait doucement peur (eh)
J'regarde le ciel et j'te touche dans l'cœur (eh), décale ces bitchs en un mouvement d'teub (eh  eh eh)

[Couplet 1]
Casse-dalle, j'vois ça, faut qu'je graille ça (ouais), y a c'gars, matte ça, j'fais des cascades (vion, vion, vion)
J'éclate ça, khapta, pour mes rabza (ouais), sale chatte, casse-toi, on veut pas d'ça (squa)
Crevé pour la monnaie, j'suis bloqué devant la sonnette
T'auras jamais c'qu'on a donné, bois d'la cyprine en bâtonnet (nion-nion-nion, flash-flash)
Costard nil, mets des grosses tartines si tu causes pas, j'tire dans la prostate ivre (pa-pa)
Grosse batte, oui, pour ses grosses babines, et j'aime trop ma lean quand j'l'aromatise (bou-bou, yeah)
T'aimes trop ma rime quand j'les traumatises, sur la gauche, j'pratique des acrobaties
J'ai la technique du coup, c'est trop facile (j'ai la technique du coup, c'est trop facile)
J'ai la technique du coup, c'est trop facile (1.4.7)
You might also like[Pré-refrain]
Me voilà, me voici, j'suis plus fort, j'vais les baiser cette fois-ci (squa)
Arrière du gamos, mon négro j'suis assis (squa), cette nuit, j'ai rêvé qu'j'baisais la voisine (squ-squa)
1.4.7, de Cy-Menne à Roissy (yeah), j'appelle Cokein, dans la zone, faut pas moisir (ouh)
Et ce mois-ci, né dans la morgue, rouge est mon sabre (ouh) et j'me sens comme Vador (shoo-shoo)

[Refrain]
J'aperçois des putes dans ma khapta (wouh, wouh), tu parles de moi, ça m'fait doucement peur (ouais ouais)
J'regarde le ciel et j'te touche dans l'cœur (wouh, wouh), décale ces bitchs en un mouvement d'teub (ouais)
J'aperçois des putes dans ma khapta (bla-boom), tu parles de moi, ça m'fait doucement peur (wouh, wouh)
J'regarde le ciel et j'te touche dans l'cœur (eh), décale ces bitchs en un mouvement d'teub, yeah (on y va)

[Couplet 2]
La bédave nous laisse des séquelles (quoi ?), fils de pute, c'est pas bon si ça colle (fils de pute)
Être un violeur, maintenant, c'est légal (c'est légal), y a des femmes et les vrais, c'est lesquelles ? (Y a des putes)
La que-mar grossit sur l'épaule et ma haine atterrit dans les bras d'Ezekiel (d'Ezekiel)
Massa marron remplie d'boulettes ébènes, j'ai vu la mort et j'te jure qu'elle est belle (ouh)

[Outro]
1.4.7 (ouais, ouais)
1.4.7 (eske', vion)
1.4.7 (eske', vion)
1.4.7 (eske', vion)
1.4.7 (yeah, vion)
1.4.7 (yeah, vion)
1.4.7 (nion, woh, squa)
J'fais les bails en 1.4.7, yeah (yeah)1Embed"
Luv Resval,¥1 (¥88 #1),"1 Contributor¥1 (¥88 #1) Lyrics[Intro]
Han(yeah, boy)
Yeah!
Ouh!(trap trap, trap trap)
(esskeetit esskeetit esskeetit)
Yeah, boy (yeah)
Yah yah yah (han)
Han, hey

[Couplet unique]
T'es juste bonne pourquoi tu fais la miss?
Le rap de ton mec sent la pisse
J'veux la monnaie, je ressors de l'abysse
Fais belek sur le terrain ça glisse
Dans la chambre, violet je retapisse
Cette pétasse vend son cul pour un kiss
Dans la trap, dans le piège, chez les keufs pas d'indice
J'ai dеs potes qu'on pas vendus qu'un 10 (jamais, yeah boy)
J'ai dеs potes qu'on pas vendus qu'un 10
Ta copine on la frotte sur la piste, ça sent bon comme un demi kilo de cannabis(Han ouh)
Vend la dope recompte le bénéfice
Fume la dope dépense le bénéfice
R-E-S-VAL dans tes orifices
S/O Kaaris: mon fils va tirer sur ton fils
Calé, tu veux m'appeler mais j'suis pas là
J'ai Lucifer sur les talons
Le score est salé
La mort appelle j'répons ""allo""
Sur l'terrain j'envoie tout les ballons
J'arrive au galop
Tu parles du fric : que d'la mala
J'viens vous niquer ce s'ra pas long
J'le fais pour mes salops
Prononce 3 fois sirop codéiné, j'apparait dans ton salon (hey oh)You might also likeEmbed"
Luv Resval,1min2vibe confinement*,"2 Contributors1min2vibe confinement* Lyrics[Couplet unique]

Yeah

Elle fume ce gas (yeah)
Elle fume ce gas (yeah yeah)
Elle suit ce rêve (ce rêve)
Elle suit ce rêve (yeah)

(ohhh)

J’suis seul, elle le sait (elle le sait)
Je sais qu’elle le cherche (je sais)
Chemin vers le ciel (vers le ciel)
Chemin vers le ciel

J’suis dans la mustang (mustang), j’suis dans la mustang (mustang) yeah
Bientôt j’deviens poussière (poussière), le temps passe bientôt j’deviens poussières (ye-yeah)

Un battement d’cil (yeah)
Laisse moi tranquille (ah)
Elle prend cette pill (pills)
Et par terre j’coma (coma-a)
Les poches plein d’dollars (dolla-ars)
La drogue dans l’coll-al (coll-al)
You might also likeElle suit ce rêve (rêve)
J’avance dans la neige (eh)
J’ai sorti le glaive (yeah)
J’avance dans la benz (yeah)Embed"
Luv Resval,¥2,"3 Contributors¥2 Lyrics[Couplet unique]


Mets la thune dans l'sac j'arrive dans ma fusée, la poisse me suit mais j'suis rusé
Et j'bois cette lean gros j'aime en abusé, j'me détruit l'cerveau juste pour m'amuser
J'voulais grandir sheitan a refusé, sheitan a refusé,  jeune enfant sur l'banc des accusés
Légendaire j'finis dans un musée
Igo c'est comment ? J'ai du te-shi marron collant donc passe au bendo fais ta commande
Igo c'est comment ? Tu veux rapper mais t'es trop lent donc j'finis mon texte en rigolant
Igo c'est comment ? Ce soir j'lui déchire son collant, j'suis toujours pas riche pour le moment
Igo c'est comment ? Tout les soirs j'pense à maman faut que j'mettes tous ces rappeurs à l'amande

[Refrain]

Mets la thune dans l'sac
Mets la thune dans l'sac
Mets la thune dans l'quoi ?

Mets la lean dans l'sac
Mets la lean dans l'sac
Mets la lean dans

Mets la thune dans l'sac
Mets la thune dans l'sac
Mets la thune dans l'quoi ?
You might also likeMets la lean dans l'sac
Mets la lean dans l'sac
Mets la lean dansEmbed"
Luv Resval,20 ans,"22 Contributors20 ans Lyrics[Paroles de ""20 ans""]

[Intro : tag]
A-A
AWA the mafia, my nigga

[Intro]
Le temps n'va qu'dans un sens
J'transforme 5 en 500
Devant l'ciel étincelant, la lune éclaire les bains de sang
Tous les jours à plein temps, tant qu'la shoes est, yeah (ouais)

[Refrain]
Le temps n'va qu'dans un sens
J'transforme 5 en 500
Devant l'ciel étincelant, la lune éclaire les bains de sang
Tous les jours à plein temps, tant qu'la shoes est clinquante
Et j'regarde chaque printemps disparaître comme mes 20 ans

[Couplet unique]
Y'a pas d'gentils, maman dit : ""Faut faire attention""
J'agrandis, pars en vrille comme un sale bandit dans mon ascension
J'pars sans diplôme pas d'mention, donne la mort dans un battement d'cil
J'avance comme un apprenti en bas, tranquille, quand j'éclate mon pilon
Pars en ville, Predator, dans la roche moi j'laisse ma rosace
Pluie d'la mort dans l'averse m'arrosa, veulent me faire mais j'suis plus d'accord
Ouais mon frère, gaffe aux filles, fais gaffe aux filles que des masochistes
Sur nos têtes que les oiseaux chient, j'termine la verte et je re passe au shit, oh
J'ai l'sang qui glace, guette le temps qui passe, négro
6.9.6, RS lean, tout est ice, négro
Huit, neuf, dix pétasses comme dans City Vice, négro
Chiennes veulent mes chaînes, plus de chiennes pour la life, négro
Dans la suite, j'aime ses lèvres à l'amande, deux femelles dans la chambre
Cette folle m'embrasse avec la langue
Dans ses yeux j'ai vu l'danger, son regard sucré comme une mangue
Ma vie j'me sens comme dans un manga, fumée qui s'échappe d'un bang
Bientôt lassé du VV, masse de gens qui nous divisent
Matrice de l'état pour les civils, matrice comme le temps qui va si vite
Ici, deux femelles roulent un missile, trempe tes seins dans la piscine
Dissipé tu parles, j'réponds : ""Si, si"", Giuseppe recharge comme en Sicile l'AK
Là ça va pas, fume la drogue juste pour cesser l'vacarme
Là ça va pas, fume la drogue juste pour cesser l'vacarme
Shit, shit, codéine, liasses de billets dans des skinny jeans
J'sais qu'j'vais brûler, j'le fais pour les milliers, et quand j'aurai le milli' j'danse le Billy Jean
Une fin sans suite, comme cette vie, le ciel qui vient nous plier
Le printemps fuit, comme cette fille, qui t'a sûrement oublié
Un ange déchu descend les poings liés, destins liés
Roses fanées, mortes, brûlées par l'aube sur les escaliers
You might also like[Outro]
Printemps, disparaître comme mes 20 ans
Et j'regarde chaque printemps disparaître comme mes 20 ans
Et j'regarde chaque printemps disparaître comme mes 20 ans
Tant qu'la paire est clinquante, tant qu'la paire est clinquante
Et j'regarde chaque printemps disparaître comme mes 20 ans
Et j'regarde chaque printemps disparaître comme mes 20 ans
Et j'regarde chaque printemps disparaître comme mes 20 ans
Tant qu'la paire est clinquante, tant qu'la paire est clinquante
YeahEmbed"
