Artist,Title,Lyrics
MC Circulaire,Demain c’est trop tard,"25 ContributorsDemain c’est trop tard LyricsAssis sur un banc à l'arrêt d'car
On boit de la Valstar
On tripe sur des 103 customs de bâtard
Le Mobchop sur les genoux
On kiffe comme des fous
En même temps dans l'bled, gros, y'a rien d'autre à tre-fou
Tout est fermé, y'a rien d'ouvert
Et les seules lumières qu'y a, c'est celles des lampadaires
Alors, on fait les cailles, t'sais, on fait les gros
On fait des gueu-ta au marqueur ou au blanco...
Aurélie est une salope ! Comment tu sais ça ?
Parce qu'elle baise avec tout l'monde... sauf avec moi
Ici, les relations humaines, c'est l'abîme
Ici pour s'marier, on crache pas sur sa cousine
Ici, tu comprends vite que tu baises ou tu t'fais baiser
Chaque bled a son instit ou son curé
Ici, pas d'internet, c'est le minitel
3615 code mon cul et tu t'branles sur des pixels
Alors, à 15 ans tu commences à fréquenter Mado
30 ans d'carrière, 15 syphilis, 12 blénos
Et si tu mets pas d'capotes, mon pote, t'as vite compris...
... putain ça brûle quand j'fais pipi !
Mado, c'est une daronne, mais elle sait t'faire darder l'dard
Et j'connais personne qui porte aussi bien l'léopard
Le code c'est : une bougie allumée, c'est occupé
Si y'en a deux, y'en a un d'dans et un autre sur l'bidet
Mado, c'est ni un canon, ni cageot
C'est juste une pute de campagne avec deux-trois chicots
Mais, c'est la pute de not' bled et c'est comme ça
Tu sais ici-bas, on ne choisit pas…
Parce qu'ici-bas mon gars, hé bah y'a rien à choisir
A part p't'être l'état dans l'quel tu vas finir !
Alors, on a tout prévu pour la cuite
On a chargé à mort les sacoches de la 88
Valstar, Jenlain, Picon et Amer Alsacien
Et s'il reste plus rien parce que t'as tout fini
T'inquiète, il reste la goutte à papi !
Ici on picole pas, on se saborde
Ici l'alcool c'est quand t'as pas les couilles pour la corde
Alors avoir une vie sobre, j'en ai fait le deuil
Hardcore est la campagne, froid s'ra mon cercueil !
Je ne laisserai pas d'héritage, il n'y aura rien à prendre
Je préfère m'achever plutôt que de me pendre
T'façon tout l'monde s'en branle, on est la France oubliée
Dans mon quartier y'a jamais eu de MJC !
Pourtant la misère est là, j't'assure qu'elle est bien réelle
Elle s'cantonne pas qu'dans les banlieues, elle est universelle
Combien de familles au chômdu qui survivent grâce aux allocs
Y'a plus de darons alcooliques, qu'en cure de désintox
L'Etat nous laisse dans not' merde, et on verra plus tard
On est qu'une bande de crevards gouvernée par des bâtards
On est pas la France qui squatte les halls, mais les arrêts d'car
Et ici-bas on sait bien que demain c'est trop tard…
You might also like[Interlude à l'arrêt de car] : Bon on trace ? ouais on s'casse…

Assis sur un banc au Central Bar
On boit notre Ricard
On jacte avec deux, trois alcooliques notoires
Ça parle de tout, ça parle de rien
Et surtout d'rien, les discussions d'bar ça va jamais bien loin
Des r'lents d'cendards et d'latrines
Jacky, René, Dédé, Nanard, c'est la dream team
C'est quatre hommes, pour faire vivre un bar
J'parle plus d'piliers, mais d'colonnes de comptoir
C'est, par jour, un litre de Ricard
Et ça vient t'traiter d'camé quand tu tires sur un pétard
C'est la plus belle collection d'fraises que t'aies jamais vue
Ils sont même plus cuits, ils baignent dans leur jus
Ils sont chez eux, c'est des oufs
Quand ils débarquent dans l'rade, ils sont en pantoufles
Politiquement correct, ils s'en battent les boules
Ici ça parle de négros et d'bougnoules
Y'a des envies de meurtres et des claques qui s'perdent
Mais j'sais qu'ça éclabousse quand on frappe dans la merde
Alors, je les méprise, je les ignore
Ils sont tout aussi cons qu'ils s'ront rapidement morts !
Et si tu veux pisser, mon pote, tu vas dehors
Ici c'est des porcs et les chiottes, ils sont hardcores !
Ces putains d'gogues sans dec', c'est l'Vietnam
Ça pue la merde et l'nuoc man…
Dans c'putain d'rade en formica gondolé
Où d'puis les années 70, y'a jamais rien qu'a bougé
Y'a une photo d'Poulidor accroché au mur
Et sur les verres de Jupiler, y'a des fissures
Y'a pas d'billard, ça coûte trop cher
Et puis l'tapis, ça supporte mal la bière
Mais y'a le babyfoot, et ça c'est d'la dynamite !
J'ai fait gagné la France bien avant 98 !
Dans c'putain d'rade j'ai acquis tous mes honneurs :
MC circulaire dans l'top ten du flipper
Pour vous servir, Lulu et René
En 30 ans d'carrière, ils ont pas oublié d'picoler
Le fusil à portée d'main, c'est des barjes
Engueulez pas la patronne, le patron s'en charge !
D'temps en temps, une baston, c'est festif…
Et quand y'a les manouches, whooo ! ça d'vient sportif !
Et compte pas sur les pompiers pour t'soigner
Le temps qu'ils arrivent, t'as cicatrisé…
L'décor est planté, il est triste à pleurer
Mais c'est not' lot quotidien et y'a rien qui va changer
Dans mes yeux, plus aucune lueur d'espoir
Car ici-bas on sait bien que demain c'est trop tard
Spéciale dédicace, tous les mecs des bleds paumés
Qui squattent les arrêts d'car…
Qu'ont fait des graffs au blanco…
Pour les potos… dédicace à Nassim…
On l'a fait ensemble ce putain d'Vietnam…2Embed"
MC Circulaire,103 SP,"8 Contributors103 SP Lyrics103SP
One hundred and three S - P

103 SP !
Un coup d'accélérateur
A 100 kilomètres heure
Y'a plus personne dans l'rétroviseur
Rien à branler des fils de bourges
Qui s'la pètent en scooter
Le booster
C'est pour les tapettes

103SP !
Fous un coup d'kick
Et c'est la claque
Même pour les flics
C'est la panique
En break Nevada fait pas l'crack
Moi et mon équipe
Sur mon secteur
Entre tonnerre mécanique
Et Easy Rider


103SP
One hundred and three S - P
Vas-y accélère dans l'vide avec ta chiotte
Qui fait l'bruit d'un canard qu'on sodom'
Sur ma 103 SP j'suis un bonhomme
Quand j'la démarre
Elle fait l'bruit d'une Harley'
Même si j'ai l'pot d'échappement qui fume
Comme Bob Marley
You might also likeJ'lai custome
De A a Z
Avec ca j'suis un Hells Angel
Dans les rues d'mon bled
Selle en ""beurshom""
Guidon menotte
Béquille latérale
La centrale c'est pour les fiottes

Y'a du lourd y'a du gros
Y'a du carbu Dell'Orto
Y'a du kit Gilardoni
Et du pot Polini
Y'a d'la roue pleine
Et les gardes boues chromés
Si tu l'fais a l'italienne
T'auras le guidon torsadé
J'ai l'pot Ninja
J'ai un replica
Avec ca j'conduit pas j'pilote comme Ayrton Cena
Sur les routes de campagne
Qui fleure bon l'drame
Les sorties d'boîte de nuit
Et la paraplégie
103SP
Pour tout ceux qu'en ont
Allongé sur l'réservoir et la tête dans l'guidon
Si y'a quelqu'un en face de moi
Ca l'fera pas
Y'a d'grandes chances que ca s'termine en Bouilla
Façon pizza !
Trois options
Une vache une voiture un tracteur
Si j'ai un peu d'fion ce s'ra la bagnole du facteur
Tout facon ca n'fait rien
Car tel est mon destin
Peu m'importe de mourir
Sur mon terrible engin

One hundred and three S - P
103SP
One hundred and three S - P

103 SP !
Un coup d'accélérateur
A 100 kilomètres heure
Y'a plus personne dans l'rétroviseur
Rien à branler des fils de bourges
Qui s'la pètent en scooter
Le booster
C'est pour les tapettes
103SP !
Fous un coup d'kick
Et c'est la claque
Même pour les flics
C'est la panique
En break Nevada fait pas l'crack
Moi et mon équipe
Sur mon secteur
Entre tonnerre mécanique
Et Easy Rider

One hundred and three S - P
One hundred and three S - P

Ouais ma gueule, pour tous ceux qu'ont ridé l'tonnerre mécanique

N'oublies pas
Mets ton que-sca s'tu veux pas finir trauma'
One hundred and three S - P
103 SP !
One hundred and three S - PEmbed"
MC Circulaire,85 Rouge et Noir,"2 Contributors85 Rouge et Noir LyricsEn rouge et noir

[Philippe Katerine]
Les vendéens sont pas si fous
Partiront pas sans croire en vous
Sans croire, sans croire
Partiront pas sans croire (x2)

On les attendait pas à ce niveau là
Comme des écossais ils n'ont jamais baissé les bras
As-tu déjà fais partie d'une équipe, C'est fantastique !
De faire partie d'une équipe
C'est comme des planètes qui s'alignent
Se dispersent et se replacent en ligne
As-tu déjà fais partie d'une équipe, C'est magnifique !
De faire partie d'une équipe

Les vendéens sont pas si fous
Partiront pas sans boire un coup
Sans boire, sans boire
Partiront pas sans boire (x2)

Je lève mon verre à tous les p'tits gars des Herbiers
Que ni l'or ni l'argent n'ont caressé
Les vendéens sont pas si fous
Partiront pas sans boire un coup
Je lève mon verre à tous ces peuples massacrés
Qui n'ont jamais su oublier : La Vendée!
You might also likeLe rouge : le sang de notre ennemi
Le noir : pour notre deuil (x2)


[MC Circulaire]
5 doigts sur un HF
Je viens te parler de VHF
Grosse dalle, grosse frappe, Grosse c'est la recette
C'est la revanche de la province sur Paname
L'éternel duel de David contre Jonathan
La différence de niveau, je la vois pas trop
De toute façon j'suis nul en math, J'calcule pas les divisons
On monte sur la capitale pour la victoire
Ce soir je suis comme Jeanne Mas : En rouge et noir

Je crois pas aux contes de fées mais j'espère une chose
Que ce soit la p'tite bête qui mange la grosse
Toute une ville, tout un peuple derrière une équipe
Circulaire, Myth Syzer (En rouge et noir)

[Philippe Katerine]
Les vendéens sont pas si fous
Partiront pas sans croire en vous
Sans croire, sans croire (x2)

Je lève mon verre à tous à tous ces gens qui ont dis non
Qu'ils aient eu tort ou bien raison
Ils ont dit non, non, non
Un peuple massacré!

Je lève mon verre au peuple consacré
Je lève mon verre au 8-5, 8-5, 8-5 (x3)Embed"
MC Circulaire,A.C.Minable,"5 ContributorsA.C.Minable Lyrics[Intro]
Avant de t'apprendre à manger du pâté j'crois que j'aurais du commencer par t'apprendre à rapper (rire). Ah putain les mecs merde sans déconner, quand on sait pas rapper, faut pas rapper, ok ? Nous aussi on a nos instrus, alors balance le son fils de pute

Ok
Mc Circulaire
Réponse à la réponse assez minable
De Jean Foutre et Grospanini
Hardcore gars
Ok

[Couplet : Mc Circulaire]
Vous vous mettez à deux pour clasher le prophète normal
Aucune punchline vous frappez comme des gonzesses
T'as mis qu'une semaine pour répliquer
Mais une semaine pour chier cette merde tu dois être constipé
Vous doutez de mon orientation sexuelle mais
Pourquoi toutes vos phases tournent autour de ma rondelle
Tu traites de raciste, ca me fait gol-ri
Moi mon clash ne pue pas l'homophobie
Yeah ""Gros panini"", qu'est-ce tu me parle d'anneau gastrique
Dis moi gros tas ça fait combien de temps que t'as pas vu ta bite
T'as surkiffé mon flow j'ai jamais kiffé le tiens
Normal vu que t'en as pas la queue d'un
Je suis Vendéen et Morbihannais
Je suis né à Lorient fermez vos gueules s'il vous plait
Avant de tacler vous auriez du vous rencarder
Avant de sortir ton album t'aurais du apprendre à rapper
Moi j'ai des classiques je suis respecté
Toi t'as chopé le melon et une boîte de pâté
C'est marrant que ton pote me compare à Seth Gueks
Quand j'écoute ""New Porn"" y'a comme un relent ""Bistouflex""
T'as de belles vidéos mais tu sais pas rapper
Ça sert à rien d'avoir une grosse bite si c'est pour pas bander
J'reste le patron, que tu veuilles ou non
On mélange pas les serviettes et les tampons
Mc Circulaire
Alors comme ça si je vais chez toi
On va me faire ci, on va me faire ça
Ptit jeu, sans déc mec porte tes couilles pour une fois
Si je te croise merdeux, je te plie en deux
T'inquiète si je te pète les dents, tu suceras mieux
Tu dégaines moi j'ai pas de gun je me sers ailleurs
Mentalité [?] de ferrailleur je te refais la gueule avec un extincteur
Tu trouves que je suis vilain que j'ai une sale dégaine
Mais moi je suis pas un gros porc avec un poireau sur le zen
Ou un gringalet avec les yeux de Droopy
C'est Demis Roussos en featuring avec Mister Bean
Pas le temps pour un feat, je l'ai trouvé pour un clash
J'ai éradiqué les ersatz de BZH
Si t'as pas compris comment tu veux que je te le dise
85 Crew ain't nothing to fuck with
Et pour la R19 y'a pas d'erreur
Odeur de merde c'est quand j'ai enculé ta petite sœur
Mc Circulaire
Reeeeeeal breizhoneggerYou might also likeEmbed"
MC Circulaire,BZH,"7 ContributorsBZH Lyrics[Intro]
HAH !
Ouais ouais mon p'tit bigouden !
Lève tes mains, bien en l'air !
Pour la patrie d'la pomme de terre !
22, 29, 35, 56
Pour tous les frères tombés sous les vagues
WEST SIDE !

[Couplet]
Chaque été c'est la même pitié
J'vois fleurir sur mon secteur des putains d'maillots du PSG
Ces fils de pute font les caïds sur notre territoire
T'inquiète, les parisiens on sait les recevoir
À coups d'batte, à coups d'crosse, de fusil à pe-pom
Ma couille y'a pas qu'Paris, qu'est sous les be-bom

Ouais ! À coups d'batte, à coups d'crosse, de putain d'pétoire
Tu vas t'bouffer des pruneaux mais ce sera pas dans ton far
Fais pas ta terreur, avec ta crêpe au beurre
Sinon j'te trucide à grands coups d'bolées d'cidre
J'suis une teigne pour la Bretagne, j'te ken à coups d'tatanes
Tu sais d'quoi j'cause, alors fais pas l'âne

Si tu t'la pètes, j'te pète
Si tu fais l'cake, j'te break le neck
Façon Jean Madec
Au mic' j'ai la haine, j'me défoule ça s'déchaîne
Mon flow t'caramélise (pow pow !), comme un kouign-amann
You might also likeComme le sale shit, j'chauffe, moi jamais j'm'effrite
J'suis indestructible, dur comme du granite
Sors ton revolver et tire en l'air d'Roscoff à Questembert
Pour la patrie d'la pomme de terre

J'place une dédicace à tous les bretons qui kiffent le bon son
J'en place une spéciale pour Pelot d'Hennebont
Ici c'est la rue, ici c'est l'ghetto
Ici y'a des bombes qui pètent dans l'Mac Do
Comme à Quévert, et tu faisais moins l'fier
Pour un putain d'Big Mac, t'aurais pu nager dans viscères
ARB, tu connais, bah tu connais pas
Et si tu sais mon gars, tu sais pas
Si tu parles, on t'reverra pas
Ici, c'est comme ça
Sur c'son qu'arrache, en lettres de feu BZH

Smoke un buzz de zeb', ça vient pas du Maghreb ni d'Paname
Ici ça pousse comme à Amsterdam
La jument d'Michao, elle a pas tout fumé
Dans les prisons de Nantes, ils pourront t'en parler
On nous taxe de tox', mais c'est pas faux
Y'a pas d'fumée sans feu, pas d'bled sans poivrot
J'me déchire, mais faut qu'j'reste lucide
Un breton n'meurt pas, il s'suicide
Sur cette instru glauque à s'flinguer
À finir raide au bout d'une corde tressée
Peu d'vendus, beaucoup d'pendus
Peuplade authentique qu'a des couilles au cul

22, 29, 35, 56
Une minute de silence, pour l'Amoco Cadiz
Et viens pas m'parler d'c'te putain d'44
La Loire-Atlantique, mec, j'en ai rien à battre
J'vis ici, et j'emmerde Paris
Kenavo ça veut pas dire bonjour espèce d'abruti
T'empruntes ma culture et t'voudrais qu'j'sois gentil ?
Putain mais barre-toi d'ici !

J'ai pas b'soin d'toi pour vire, tire
J'crois qu'tu pollues l'air que j'respire
Retourne bouffer l'bitume avant qu'j'te déchire
Paname, c'est attach'
Ici c'est chez moi, BZH !

[Outro]
HAH !
Ouais ouais mon p'tit bigouden !
Spéciale dédicace pour La Bretonnière, La Cochère
Bréquigny
Maurepas
Guvnen
Parco-Pointer
Pour tous les frères tombés sous les vagues
22, 29, 35, 56
WEST SIDE !
Hahaha ouais ouais mon p'tit bigouden !
Lève tes mains, bien en l'air !
Pour la patrie d'la pomme de terre !
HEUH !Embed"
MC Circulaire,Ca vient de Vendée,"4 ContributorsCa vient de Vendée LyricsOne two one two
Un putain d'son d'fou
Eight Five crew
Dealer d'mogettes
Prends ça dans ta tête

Pop pop pop
C'est du hip-hop
Ça vient d'Vendée
Ma p'tite salope

Un putain d'son qui pète
Comme un cul bordé d'mogettes
J'crois qu'tu l'as d'viné mec
Ça vient d'Vendée

Putain d'son d'gangster
Qui sort d'mon ghetto blaster
A t'faire peur
Ça sort d'mon secteur
Mec, la Vendée

De Font'nay à Saint-Jean-d'Monts
En passant par Luçon
On r'présente la Vendée
Et ses bas-fonds (Ouais!)
You might also likeY'a pas qu'à Paname
Où à Marseille
Qu'ça craint
Ici c'est l'bouseux qui fait l'larcin
Et lâche pas l'affaire
Sauf si t'es un gland
Et évite les poulets, man
Surtout si t'es d'Chalans
C'est comme ça qu'ça s'passe ici
Et pas autrement
100% rap de paysan
J'aurais pu m'la jouer mac
Avec une douzaine de salopes
Te dire qu'Font'nay c'est d'la balle
Et qu'la Vendée c'est hip-hop
Mais c'est pas vraiment l'cas et j'crois qu'tu t'en doutes
100% rap de plouc
Du rap de bouseux
Les pieds dans l'lisier
C'est ça qu'tu veux non?
Et bah c'est ça qu'on va t'donner
D't'façon, j'm'en fous, j'rape pour les miens...
Vendéens...

On est des fous, (ouais)
Des ventres à choux
Comme des sapajoux
On débarque sur l'beat
On fout la merde et c'est tout
Fais pas l'caïd, on sait qu't'as les pétoches
Fais pas l'cake, mec, on a la brioche...
On est des fous, (ouais!)
Des ventres à choux
Sortis du Puy du Fou
On débarque sur l'beat
On lâche les pitts et c'est tout

Et si t'es Nantais
Mon gars c'est parfait
Pas b'soin d'motif
Pour t'fumer comme un gros splif

Vendée, vendée, vendéens (x2)

Ici y'a pas d'bloc, pas d'béton, pas d'bande
Ma couille, c'est la crème de la crème, de l'underground
Le bagne, la campagne
Ici ça pue la merde, pas l'macadam
Du hip-hop de bouseux
Complètement cramés
Purs produits d'la consanginité (ouais!)
Vendéens, jusqu'au bout des seins
Y'a pas d'honte à ça, sauf si t'es Ligérien
Mais là j'm'en bats, la ce-ra
Ramène pas dans mon secteur ta face de rat

Fait pas l'kakou
Ou j'te cloue l'caquet
Fais pas ton p'tit cake, mec, de Nantais, eh !
Fais pas l'caïd, fais pas ta caille
Oublie pas ma couille qu'ici c'est mon bercail
Rap de Vendéens mais pas d'vendus
Anti-ligériens, ça ça t'troue l'cul
V'nir de banlieue certifie pas l'produit
À Malakoff mec, c'est une putain d'tragédie
D't'façons j'm'en fous, j'rappe pour les miens
Vendéens

(refrain)

Et non, ici c'est Font'nay, Font'nay
Ven-Vendéen
Font'nay, Font'nay
Ven-Vendéen

Un putain d'son hot
Pour qu'tu t'p'lotes
Faut qu'ça frotte
Un putain d'beat
Qui décalotte

Un putain d'son
Pour qu'y'ait friction
Ça vient d'Vendée
Ça ça t'troue l'fion

Nantais, j'veux qu'ça t'fasse mal
J'veux qu'ça t'heurte
J'veux qu'ça t'pénètre
J'veux pas qu'ça flirte
Si ça t'fait rien
J'rappe pour les miens
Vendéens

(refrain)

D'Roche-sur-Yon again
Spéciale dédicace pour tous les mecs en zon-pri
Zon-pri du bled tu connais la zon-mai d'arrêt
Ouais, à Font'nay, on l'a tous fait
Cette dédicace n'est bien sûr pas pour les pointeurs
À qui j'souhaite le pire, nulle par ailleurs

8-5 ouest side

(Merci à Damien pour ces paroles)Embed"
MC Circulaire,Faites entrer l’accusé,"3 ContributorsFaites entrer l’accusé LyricsCOUPLET 1
Né dans la casse, d'un putain de cas soc'
Quand c'est pas ta caisse c'est ta meuf que j'désosse
J'fais dans l'gloque, le malsain
En fait, j'étripe tout c'qui passe à portée de main
Au mauvais endroit, au mauvais moment
Un coup de sang, j'décallote ta boite crânienne pour chier d'dans
J'fais pas semblant, j'laisse aucun témoin
J'appartiens à l'école des frères Jourdains
Sauvage, impulsif, ça peut partir en couilles
Comme dans l'chalet des Flactif
Pas de garderie, pour le p'tit Grégory
Comme baby-sitter, j'suis du genre Emile Louis
Le bruit et l'odeur ( le bruit et l'odeur !)
Y'a une perquise chez ton ferrailleur
Y'a les pelleteuses qui creusent de partout
Les flics sont comme des taupes dans le jardin d'Dutroux

REFRAIN
Quand c'est sauvage, que c'est violent...
- Je suis présent
Quand y'a des tripes et du sang...
- Je suis présent
Quand y'a des pleurs, des cris d'enfants...
- Je suis présent
Au mauvais endroit, au mauvais moment...
- ( hahaha ! ) Je suis présent...
You might also likeCOUPLET 2
Y'a rien qu'des fous, et des consanguins
Mais ici les chats font pas des chiens
J'ai le cursus classique du tueur
Et ma putain d'mère, c'est ma putain d'soeur !
J'suis un gourmet, les cadavres j'aime les bouffer
Donc si tu m'sers du bébé, j'veux pas d'surgelé
Ou ça s'finira façon Reviriégo
Avec ta putain d'face dans le fourneau !
Quand y'en a trop, ou qu'c'est pas bon
J'file les restes aux cochons
Dans l'humain tout est bon à becter
Comme dit Aimé Jacquet :
"" ça coute pas plus cher de bien manger ""
Le sex avec les morts c'est gratuit, y'a pas d'soucis
Y'a pas d'sequelles sans survie
J'ai mes réseaux, mon métier j'le connais
Si tu veux des vierges, j'te fournirais

REFRAIN

COUPLET 3
Fais pas ta faignasse, ta tombe, tu la creuses
Si tu veux pas que j'te fiste le cul avec une tronçonneuse
Cherche pas à t'débattre ou à t'défendre
Ici tu peux gueuler, y'aura personne pour t'entendre
Fais honneur au serial killer
J'veux qu'tu couines dans ta pisse quand viendra ton heure
J'veux voir la terreur dans tes yeux de Bambi
J'veux qu'ta dernière phrase soit : "" J'vous en supplie ""
On s'arrête pas là, sinon y'a un problème
Pour un bon meurtre, faut d'la sueur, du sang, et du sperme
Alors avant de t'tuer, j'vais t'violer ou inversement
- non j'vais t'violer et t'tuer en même temps
J'vais t'faire passer l'envie de vivre à grands coups de chaux vive
Et tu feras la couv' du nouveau Detective
J'suis dans la récidive, et j'suis pas prêt de m'arrêter
Un jour, j'aurai mon "" Faites entrer l'accusé ""
REFRAIN

"" Une petite pensée pour mes victimes, ouais, quand j'me branle ! ""Embed"
MC Circulaire,Gilbert (feat. Boulos),"1 ContributorGilbert (feat. Boulos) Lyrics[MC Circulaire]
Ici y'a pas d'tromé, pas d'RER
Si tu veux bouger c'est l'103 SP, l'car, ou ta mère
On écoute du rap à fond comme des fanatiques pour les lyrics
Quand on monte le son, c'est qu'ya lunatic

On essaie de copier, mais c'est nul à chier
Kho c'est tellement bas, pour en parler, faudrait qu'j'aille chez l'kiné
Ah! Putain, quelle rime de blédard
Mais faut du temps pour manier son art

J'regarde autour de moi, j'trouve ça curieux
Pourquoi tout c'que j'écoute ça vient d'banlieue
Pourquoi y'a pas dеs mecs comme nous, des gars qui viеnnent des trous
Pour rapper la campagne sans trop faire les fous

Binouze et zeudou, va y envoie la prod'
J'mets tout le monde à l'amende sans être à la mode
Cassette d'instru, toujours à l'avant dans la ture-voi
On fait notre planète rap dans un break Nevada

Et tu peux pas comprendre si t'es pas d'ici
855 666, c'est le son qui t'fou la calvitie
C'est pour les bistrots, les poivrots
Les gars qui bossent dans l'aggro
Les 103 SP peugeot
Pas pour les Piaggo
You might also likeOn est pas des ienclits, on est pas des bandits
On fait la fashion week le samedi chez Stockomani
Ben oui, on est pas partis bien haut
C'est pas bien beau
Fallait pas nous donner un micro

On est l’anomalie génétique
Comme Gilbert Montagné qui donne des leçons d'conduite
C'que j'fais dans l'rap, j'comprends même pas
Comme dit la lionne, ma qué porqué putana

[Boulos]
Comme des putains d'zombie, on fait qu'zoner, cloper
Les yeux sont éclatés, c'est l'son des éclopés
Que des cassos pur jus, éternels locataires
On s'allume tous les soirs, c'est comme des lampadaires

Bordel! Génération cramée, qu'a bouffé les graviers
Qu'on des parcours de vie, des chicots d'travers
On aspire le hasch comme grammaire
Prends le thé comme grand-mère
On s'démolis pour pas s'foutre en l'air --ta mère

On baisent nos snicks au bar, on s'nique, on boit
On s'dit qu'on doit faire autre chose
Mais les bottes sont prises dans un vil creuvoir
Jeunesse morte dans les villes dortoirs
On tise, on vide nos poires, les flics notoires
Nous connaissent mieux que les filles trottoirs
Ici les jeunes sont mépau, on meurt et on est pauvres
Le diable à fumé le p'tit ange sur mon épaule
Ça fait d'ja une époque, nos villes ont toujours 20 ans d'retard
Les gens d'ici ont l'étincelle des crêves la faim dans l'regard
Gueule de bizarre, cœur de blizzard
Élevés sous la grisaille, tous exacerbants
Bah, j'ai vu les meilleurs, les pires âmes
Les p'tits savent que ça prend[?] ça si t'es pas le fils à chez nous
Beaucoup portent leur vie d'merde sur le visage --Dommage

C'est vrai qu'ça s'voit sur nos gueules
Qu'on est qu'des gueuschla
Dioul[?] l'picon rends dès que j'la lève pour tout mes samouraïs d'la misère
Merde, c'est juste la dèche
La prochaine fois, c'est mon derche
Qui resaluera l'commissaire, eh
Ah ça joue les fous, mais pour un mec dans l'biz gros
Semblerait qu't'en dises trop
J'vomis du blues, mon rap des chansons d'bistro
C'est pour les ploucs, c'est pour les enfants qui s'droguent --les enfants qui s'droguent
ORJ, cassos crou, aubergine casse vos trous
Si t'es bouqueur et qu'tas les couilles, place nos groupes
MC circulaire, Boulos
On remplit pas des grosses salles
On remplit des sâles grossesEmbed"
MC Circulaire,HP,"5 ContributorsHP Lyrics[Intro]
J'ai le son pour les sauvages
Du hip-hop old-school, grosses boules, qui posent les couilles sur la table
Rien à branler, à la Rambo
J'bute le beat avec ma bite et mon couteau
Tu veux du lourd ? On t'rentre dans l'lard !
Avec du gros kick de campagnard
Tu veux qu'ça pète ? Mec c'est l'but !
T’inquiètes tu vas mouiller ton calbut

[Couplet]
Au moins y'as pas d'coup d'pute, c'est clair
Le ploucsta mon gars : c'est gras et c'est vulgaire
On cherche pas la finesse ni la propreté
*Bruit de pet* et c'est sur Nantes qu'on est venu chier
""Ça vient d'Vendée"", première attaque, j'cherche le contact...
Y'en a pas un qui bouge la patte
Les MC s'excitent, ils hésitent
Entre m'clasher ou m'sucer la bite pour faire un feat
J'suis une équipe de CFA qui gagne la coupe de France
J'suis pas venu pour régler mes comptes, ils sont réglés d'avance
Que tous ces rappeurs aillent se faire foutre
Le hip-hop Nantais est a l'image de son équipe de foot
""Hocuch pocuch shit what a fuckus""
Tes groupes de merde tu peux t'les carrer dans l'anus
J'pensais pas qu'le rap pouvait être consensuel
Aussi subversif que l'dernier disque de Frank Michael
Du rap de bisounours pour les quadragénaires
Vous êtes au hip-hop c'que la Buckler est à la bière
C'est mielleux, ça dégouline
Faudrait vendre les skeuds avec une seringue d'insuline
Les p'tits refrains, à la ricaine *ohooo..*
C'est calibré Chérie FM
En fait j'crois que j'ai grillé l'concept
Faire du hip-hop pour tous ceux qu'aiment la variet'
On est p't'être sales, bêtes et méchants
Mais bon moi j'peux t'dire que j'fais pas du rap pour les enfants
Pour les minots, les sales gosses
Sans dec' y'en a qui méritent des coups d'crosses
Mon son ? Un appel au meurtre
Quand ca part en sucette sur un beat de YouBeurk
J'vous la mets profonde vous vous en doutez
""Que le hip-hop Nantais repose en paix""
You might also like[Outro]
J'ai le son pour les sauvages
Du hip-hop old-school, grosses boules, qui posent les couilles sur la table
Rien à branler, à la Rambo
J'bute le beat avec ma bite et mon couteau
Tu veux du lourd ? On t'rentre dans l'lard !
Avec du gros kick de campagnard
Tu veux qu'ça pète ? Mec c'est l'but !
T’inquiètes tu vas mouiller ton calbuteEmbed"
MC Circulaire,Jour de pluie,"2 ContributorsJour de pluie LyricsEncore un putain d'jour où il pleut, et pas qu'un peu ;
L'genre de temps où si tu prends ta brêle ça risque d'être dangereux
Encore un putain d'jour où il s'passera rien
La campagne c'est l'Vietnam mais sans les Vietnamiens
Dans mon patelin j'comprends pas bien
Y a un tas d'peaux rouges pourtant ils m'appellent l'Indien
J'suis différent
Et quand ils parlent de mon fute ces fils de putes disent que j'ai chié dedans
A défaut d'serrer les rangs, il faut savoir serrer les dents
Encore un putain d'temps à tirer, avant d'se pioncer ou d'se fonsder
Y a qu'ça à faire, c'est pas une excuse ou un prétexte
Et c'est pas une réponse le Subutex
L'alcool, la came, les cachetons, l'shit
Si ça peut t'éviter d'péter une durite
J'regarde la pluie tomber en fumant des Gitanes
Un putain d'[???] dans mon walkman
J'rêverais d'être black, de vivre aux States
De faire de la maille dans l'rap ou dans l'basket
Mais j'suis qu'un blanc-bec et pour moi c'est pas gagné
Mon micro c'est un [...] et [...]
Faire du hip-hop quand t'es un bouseux
Un peu comme faire du blues quand t'es heureux
J'aimerais qu'y ait un peu d'action :
J'rêve d'accidents d'bagnoles, de crash d'avions
De fusillades, d'embrouilles avec les schmits ;
Mais ici on s'fait chier comme dans un épisode de Derrick
Toujours les mêmes têtes, les mêmes arrêts d'car
Un oinj de tcherno une bouteille de Valstar
Toujours les mêmes têtes, les mêmes arrêts d'car
Un oinj de tcherno une bouteille de Valstar
You might also likeEncore un putain d'jour où il pleut, et pas qu'un peu ;
L'genre de temps où si tu prends ta brêle ça risque d'être dangereux
Encore un putain d'jour où il s'passera rien
Dédicacé à tous les bledars et tous leurs patelinsEmbed"
