Artist,Title,Lyrics
Moha K,Darba 9adiya,"9 ContributorsDarba 9adiya Lyrics[Paroles de Moha K ""Darba 9adiya"" ft. DYSTINCT]

[Intro]
Unleaded

[Couplet 1 : Moha K]
Nti raki khatar, nti machi bhalhoum ntiya
Chealti l'flamme li fiya
Sinin w hiya metfiya
Va bene, va bene
Ghir ana w ntiya, ghir ana w ntiya

[Pré-refrain : Moha K]
Ana mo 3la bali (Eh)
Mtafi l'mobile (Eh)
Rabi 3alem bi 7ali (7ali)
Khlatni bouhali, eh

[Refrain : Moha K & DYSTINCT]
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Haram 3lik, nfeker fik wa nari w maderti fiya
Mmm, bayna l'9adiya, darba 9adiya (Bah, bah-bah-bah-bah-bah)

[Couplet 2 : DYSTINCT]
Ach balik ila nji l'darkoum, ana daba
Wa rah hobek nti dreb li 9albi darba
Sbert w ch7al sbert w ma b9a fiya nassber
3yit saket, saket wa khalini nahder (Ah-ah-ah, ah-ah-ah-ah)
Chofo, chofo 7ali (Ah-ah-ah, ah-ah-ah-ah)
Khalatni bouhali
You might also like[Pré-refrain : Moha K]
Ana mo 3la bali (Eh)
Mtafi l'mobile (Eh)
Rabi 3alem bi 7ali (7ali)
Khlatni bouhali, eh

[Refrain : Moha K & DYSTINCT]
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Haram 3lik, nfeker fik wa nari w maderti fiya
Mmm, bayna l'9adiya, darba 9adiya (Bah, bah-bah-bah-bah-bah)

[Pont : Dystinct & Moha K]
Ah-ah-ah, ah-ah-ah-ah
Khlatni bouhali, khlatni bouhali

[Pré-refrain : Moha K]
Ana mo 3la bali (Eh)
Mtafi l'mobile (Eh)
Rabi 3alem bi 7ali (7ali)
Khlatni bouhali, eh

[Refrain : Moha K & DYSTINCT]
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Bayna l'9adiya (Ah), darba 9adiya (Ah)
Haram 3lik, nfeker fik wa nari w maderti fiya
Mmm, bayna l'9adiya, darba 9adiya (Bah, bah-bah-bah-bah-bah)Embed"
Moha K,Ghir Ntiya,"10 ContributorsGhir Ntiya Lyrics[Paroles de ""Ghir Ntiya"" ft. Moha K]

[Intro : Marwa Loud]
La-la-la-la
La-la-la-la
La-la-la-la
La-la-la-la
3yeet man dour bghitik, ghir entiya, ghir entia fi 3a9lia
[Couplet 1 : Marwa Loud & Moha K]
3yeet man dour bghitk, ghir entiya, ghir entia fi 3a9lia
Yechoufouk walidya
Ma3andech m3a l’amour nbghi walidya
Zebla dayrha bediya, ya zahri feen ghadi biya?
Feen ghadi biya?
Le corps perdu comme dans corbillard
J'vois que toi quand j'ferme mes paupières
Ouais, moi, je t'aime et ça date pas d’hier
Non, ça date pas d’hier
Nous deux, ça fait des années, j'ai déjà tourné la page
Toutes les fleurs ont fané, j’ai ton petit cœur en otage
Konti ajmal 7aja fi 7eyati, 7biba nesiti koulchi
Nesitini wa mchiti, ah wa mchiti
Ana houwa elmochkil, 9albi mrid khasso docteur
7biba, ma3aya, n'aie pas peur
Oh, n'aie pas peur
You might also like[Pré-refrain : Marwa Loud]
Daha, daha wAllah ima khallaha
Dato dato wAllah ima khallato
Daha, daha wAllah ima khallaha
Dato dato wAllah Ima khallato

[Refrain : Marwa Loud & Moha K]
3yeet man dour 3a9li w 9albi ana
Rani n'soufri ana
Howa sbab 3dabi ana
3yeeti madori dima tchoufi f story
3a9lik bia machtouni wachno danbi ana?

[Couplet 2 : Marwa Loud]
7awеlt nkhali dami bared
Rou7i meno jamed
Mеl7ozn 9albi fayed
7yati kamla kaber ghir kan9asi
Liyam kadouz wana kandour f blasti
Makrehtch nrja3 lelour ou nm7i l'passé yah
J'sais pas pourquoi j'suis pas bien quand j'repense au passé
On dit qu'avec le temps la haine se tasse
Mais on dit aussi qu’on peut pas réparer quand c’est cassé, cassé
Et tu l'sais, en ce moment, ma vie j’suis pas d’humeur
Pour moi, tu traverserai la mer, tu seras là quand j’serai seul, oh
Ghir ntiya
[Pré-refrain : Marwa Loud]
Daha, daha wAllah ima khallaha
Dato dato wAllah ima khallato
Daha, daha wAllah ima khallaha
Dato dato wAllah Ima khallatof

[Refrain : Marwa Loud & Moha K]
3yeet man dour 3a9li w 9albi ana
Rani n'soufri ana
Howa sbab 3dabi ana
3yeeti madori dima tchoufi f story
3a9lk bia machtouni wachno danbi ana?

[Outro : Marwa Loud & Moha K]
3yeet man dour bghitk, ghir entiya, ghir entia fi 3a9lia
Yechoufouk walidya
Ma3andech m3a l’amour nbghi walidya
Zebla dayrha bediya, ya zahri feen ghadi biya?1Embed"
Moha K,Bled,"6 ContributorsBled Lyrics[Paroles de ""Bled""]

[Intro]
En quittant l'bled, j'savais dès mon départ
Que j'f'rais du sale, t'façon j'suis bon qu'à ça

[Refrain]
En quittant l'bled, j'savais dès mon départ
Que j'f'rais du sale, t'façon j'suis bon qu'à ça
Khelit bledi, tous les soirs j'suis tout seul
J'ai besoin d'personne (tu sais), j'vais tous leur foutre le seum (tu sais)
J'sais qu'ils ont l'seum, seum, seum
Quand j'suis sur la scène, scène, scène
Que ma voix résonne,-sonne, -sonne
Khabat sous jaune, jaune, jaune
Sortez les compéts, -péts, -péts
Ce soir c'est la fête, fête, fête
On va faire des loves, que des billets mauves

[Pont]
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Je tourne en rond, tout est d'ma faute, j'voulais le monde (eheheh)
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Jamais nensek, (tu sais), dima fel bât, (tu sais)

[Couplet]
Je vais m'en aller gentiment, construire ma vie au bord d'la mer
Enterrer tous mes sentiments, j'ai tout risqué pour mes rêves
Y'a des choses qu'on dit d'autres qu'on dit pas, moi j'suis trop fier pour montrer qu'j'ai mal
Et dans ma tête, y'a rien qui va, nan, et ça depuis des années
You might also like[Refrain]
En quittant l'bled, j'savais dès mon départ
Que j'f'rais du sale, t'façon j'suis bon qu'à ça
Khelit bledi, tous les soirs j'suis tout seul
J'ai besoin d'personne (tu sais), j'vais tous leur foutre le seum (tu sais)
J'sais qu'ils ont l'seum, seum, seum
Quand j'suis sur la scène, scène, scène
Que ma voix résonne,-sonne, -sonne
Khabat sous jaune, jaune, jaune
Sortez les compéts, -péts, -péts
Ce soir c'est la fête, fête, fête
On va faire des loves, que des billets mauves

[Pont]
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Je tourne en rond, tout est d'ma faute, j'voulais le monde (eheheh)
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Jamais nensek, (tu sais), dima fel bât, (tu sais)


[Couplet 2]
Heureusement qu'j'ai la mentale, malgré qu'mon cœur est en panne
Ça y est j'suis plus dans l'sale, grâce à Dieu, grâce aux fans
Avec DJ Kayz en direct du bled, j'ai besoin d'Soleil, j'ai besoin d'reu-mè
Malgré l'succès, j'suis toujours le même, c'est dans mes veines
[Refrain]
En quittant l'bled, j'savais dès mon départ
Que j'f'rais du sale, t'façon j'suis bon qu'à ça
Khelit bledi, tous les soirs j'suis tout seul
J'ai besoin d'personne (tu sais), j'vais tous leur foutre le seum (tu sais)
J'sais qu'ils ont l'seum, seum, seum
Quand j'suis sur la scène, scène, scène
Que ma voix résonne,-sonne, -sonne
Khabat sous jaune, jaune, jaune
Sortez les compéts, -péts, -péts
Ce soir c'est la fête, fête, fête
On va faire des loves, que des billets mauves

[Pont]
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Je tourne en rond, tout est d'ma faute, j'voulais le monde (eheheh)
J'voulais voir le monde, voir autre chose malgré le manque (eheh)
Jamais nensek, (tu sais), dima fel bât, (tu sais)Embed"
Moha K,Vroum Vroum,"13 ContributorsVroum Vroum Lyrics[Paroles de ""Vroum Vroum]

[Intro]
Course poursuite condés, accompagné, j'ai pas d'permis
C'est comme ça tout le week-end, c'est l'confinement mais j'me permets
La miss elle s'est fait belle, elle attend que ça s'termine
J'suis en RS3 berline, yeah

[Refrain]
Course poursuite condés, ça fait vroum vroum
J'accélère, j'accélère, ça fait vroum vroum
La miss n'est pas sereine, son cœur fait boum boum
Vroum vroum boum boum

[Couplet 1]
Ma chérie, ce soir on va finir en garde à vue (hey, hey hey)
T'inquiètes pas pour ça, j'ai déjà app'lé mon baveux (hey, hey hey)
On sortira demain en début d'aprém (hey)
J'ai besoin de vacances, appelle après
J'ai besoin de vacances, appelle après
J'sors à Porte d'Orléans
Direction Go Fast location
Et j'récupère un nouveau bolide (Vroum vroum)
Pour vesqui la police je fais les choses bien
Ma chérie j'ai pas d'limites (Wouh)
C'est plus fort que moi j'aime la vitesse
Merco Benz, Audi RS
Avenue Montaigne, c'est comme un rêve (Vroum)
You might also like[Pont]
Course poursuite condés, accompagné, j'ai pas d'permis
C'est comme ça tout le week-end, c'est l'confinement mais j'me permets
La miss elle s'est fait belle, elle attend que ça s'termine
J'suis en RS3 berline, yeah

[Refrain]
Course poursuite condés, ça fait vroum vroum
J'accélère, j'accélère, ça fait vroum vroum
La miss n'est pas sereine, son cœur fait boum boum
Vroum vroum boum boum

[Couplet 2]
Bébé love, pourquoi tu stresses ?
Pourquoi tu pleures ? Ça y est c'est passé
Ils sont loin derrière, tu peux détacher
Ton petit corazon a peur (Ah bon ?)
Moi dans ton regard je me perds (Ok)
Ce soir faut qu'on quitte le secteur
Ce soir faut changer d'air (Hey)
J'suis cramé dans l'bendo, cramé dans l'bendo (hey hey)
Gros vendeurs de CD ou gros vendeurs de bédos (On sait pas)
Ce soir j'temmène voir la mer, ce soir j'temmène voir la Lune
Y'a pas de paix sans guerre, y'a pas de vie sans thunes

[Pont]
Course poursuite condés, accompagné, j'ai pas d'permis
C'est comme ça tout le week-end, c'est l'confinement mais j'me permets
La miss elle s'est fait belle, elle attend que ça s'termine
J'suis en RS3 berline, yeah
[Refrain]
Course poursuite condés, ça fait vroum vroum
J'accélère, j'accélère, ça fait vroum vroum
La miss n'est pas sereine, son cœur fait boum boum
Vroum vroum boum boum

[Outro]
Papalapa papapa
Ça fait vroum vroum, ahlala
Putain le son d'l'histoire hein ? Incroyable !
En tout cas c'est la dernière fois qu'j'refais ça de ma vie1Embed"
Moha K,Elle (pt.1),"6 ContributorsElle (pt.1) Lyrics[Paroles de ""Elle (pt.1)"" ft. DJ Mike One]

[Intro]
Ouh-ouh, ouh-ouh-ouh-ouh-ouh-ouh
Aïe-aïe-aïe-aïe-aïe
Aïe-aïe, aïe-aïe, aïe-aïe

[Refrain]
Elle t'a donné son cœur, elle t'a donné son corps, elle t'a donné son amour
Mais toi t’es qu’un bâtard, t’es parti voir ailleurs
Tu penses trouver meilleure, aujourd’hui t’es perdu, t’arrives pas à l’oublier

[Couplet 1]
Et aujourd’hui son cœur est malade, elle veut pas d’fric, elle veut des câlins
Elle veut ton bien mais tu fais le malin, quand t’avais rien c’est la seule qui t’a cala
T’es perdu, t’arrives pas à l’oublier, elle t’attendait, tu faisait le fier et aujourd’hui tu peux pas le nier
J’sais qu’tu l’aimes et ça date pas d’hier, l'histoire est triste, tout va vite dans ta tête
Tout ceux qu't’appelais : ""Frérot"", ils t’ont lâché, peut-être qu’le bonheur s’achète
Mais crois-moi qu’l'amour ça peut coûter cher
T'as tout gâché, ses larmes vont jamais sécher
Frérot c’est chaud, faut pas qu't’échoue, t’en a pas marre des pêchés
Tu veux tous les choquer, partir en showcase mais ta l'cœur vide
Rempli de séquelles depuis tout p’tit, t'as grimpé les échelles
2020, t’inquiètes tu vas tout ken, partie de rien j’avais pas un
Putain l’histoire qu’est-c'qu’elle est belle, partie de rien j’avais pas un
Putain l’histoire qu’est-c'qu’elle est belle
You might also like[Refrain]
Elle t'a donné son cœur, elle t'a donné son corps, elle t'a donné son amour
Mais toi t’es qu’un bâtard, t’es parti voir ailleurs
Tu penses trouver meilleure, aujourd’hui t’es perdu, t’arrives pas à l’oublier
Elle t'a donné son cœur, elle t'a donné son corps, elle t'a donné son amour
Mais toi t’es qu’un bâtard, t’es parti voir ailleurs
Tu penses trouver meilleure, aujourd’hui t’es perdu, t’arrives pas à l’oublier

[Couplet 2]
C’est pas pour me pardonner mais j’m'en veux, j’fais partie de ton passé car maintenant t'as trouvé mieux
Il va réparer tout c’que j’ai cassé, eh, j’avance, fait tout pour m’oublier
Mon cœur se transforme en papier, j’ai tout fais, j’ai tout essayer
Et aujourd’hui j’peux marcher fier, j’me rappelle quand y’avait personne
J’suis pas l’genre à sucer pour percer, depuis que ça marche, un feat' tu m’harcèles
Mais tu sais pas c’qui s’passe dans l’fond d’mes pensées
Bientôt j’remplis des salles de concert, j’suis sur la route direction le Bercy
Des fois, j’aimerai que le temps s’arrête, revoir ma daronne et lui dire : ""Merci""

[Pont]
Moi j’voulais ton bonheur, j’ai fini par t’faire du mal
J't’ai volé ton honneur quand j’y pense, je pète des câbles
Aujourd’hui j’avance sans toi, aujourd’hui, j’me sens coupable car j’ai fais couler tes larmes et briser le cœur d’une femme
Moi j’voulais ton bonheur, j’ai fini par t’faire du mal
J't’ai volé ton honneur quand j’y pense, je pète des câbles
Aujourd’hui j’avance sans toi, aujourd’hui, j’me sens coupable car j’ai fais couler tes larmes et briser le cœur d’une femme
[Outro]
Partie de rien j’avais pas un
Putain l’histoire qu’est-c'qu’elle est belle, partie de rien j’avais pas un
Putain l’histoire qu’est-c'qu’elle est belle1Embed"
Moha K,Bimbo,"6 ContributorsBimbo Lyrics[Paroles de ""Bimbo"" ft. Moha K]

[Refrain : Marwa Loud]
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mytho
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mytho

[Couplet 1 : Moha K & Marwa Loud]
Et tu sais qu'on sait qu'en vrai t'as nada, elle fait la bella mais c'est la cata
Elle fait des manières mais tous les mecs d'chez moi connaissent sa carrière
La miss, elle a pas un (un), tes vêtements sont pas les tiens (hein)
Khabat jusqu'à demain, c'est comme ça souvent, t'es pétée sous vin (hein)
Et vous, les mecs en boîte (en boîte), vous aimez trop les meufs en vrac (hein, oh)
Et vous, les mecs en boîte, vous aimez trop les meufs qui craquent
Et vous, les meufs en boîte, vous cherchez que les mecs qui claquent
Et vous, les meufs en boîte, vous aimez trop les cartes black (eh, eh)
Mais t'aimes trop les meufs siliconées, ouais, t'aimes trop les meufs qui aiment la monnaie
Et t'aimes trop les meufs siliconées, t'aimes trop les meufs, ça m'connaît, hey, hey

[Pré-refrain : Moha K]
Pas les mêmes, t'as pas les mots
C'est dans mes veines, j'aime trop la maille
Tout ça, t'as vu où ça mène
Ce soir, c'est nous les plus côtés, 'tés
Rim'K reste dans ta tête
La concu', on la siroter (pa-pa-la-pa)
Mi amigo, ce soir, c'est toi qui va gigoter
You might also like[Refrain : Marwa Loud]
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mytho
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mytho

[Pont : Moha K]
J'me sens frais, ce soir, j'suis en balade khabat dans les rues d'Paname
Ce soir, cherche pas, j'suis pas là, au revoir, allez, bon débaras

[Couplet 2 : Marwa Loud & Moha K]
Si tu veux pas d'michto, ouais, cache ton cash, hey, hey, cache ton cash
Tu veux pas d'michto, ouais, cache ton cash, hey, hey, ouais, cache ton cash
C'est pas la peine de parler de mon cash, je veux pas d'elle, j'aimerais qu'elle se détache
J'ai pas le time, pas la peine, je cours après la maille, le milli' c'est l'minimum
Et venga, venga, eh, j'suis dans l'bendo, bendo, ouais
On veut pas de supers stars, nan, on veut pas de super-héros, ouais, hey

[Pré-refrain : Moha K]
Pas les mêmes, t'as pas les mots
C'est dans mes veines, j'aime trop la maille
Tout ça, t'as vu où ça mène
Ce soir, c'est nous les plus côtés, 'tés
Rim'K reste dans ta tête
La concu', on la siroter (pa-pa-la-pa)
Mi amigo, ce soir, c'est toi qui va gigoter
[Refrain : Marwa Loud]
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mytho
Et j'sais que toi, t'aimes trop les bimbos
Et que pour elle, t'as mis le turbo
Et que sans elle, personne te trouve beau
Faux voyou, on sait qu't'es un mythoEmbed"
Moha K,Allo,"4 ContributorsAllo Lyrics[Paroles de ""Allo"" ft. Lyna Mahyem]

[Couplet 1: Moha K]
Laissez-moi dans mon monde
Laissez-moi j'veux rien en entendre
Elle sera là si je tombe
Laissez-moi dans mon monde
Quoi qu'il arrive, je veux t'attendre

[Couplet 2: Lyna Mahyem]
Mon monde, il tourne autour de toi
C'est plus fort que moi
Si tu tombes, je serai là
Tu peux compter sur moi
Pas au top top quand t’es pas là
La porte je toque-toque, t'inquiète pas
J'suis venu pour toi, préviens ton papa

[Refrain: Moha K, Lyna Mahyem]
Allô, allô, téléphone et sonna
Allô, allô, ma habibi hlou
Allo allo téléphone y sonna
Allô, allô, téléphone еt sonna
Allô, allô, téléphone et sonna
Allo allo téléphone y sonna
Allô, allô ( ?? )
Allô, allô ( ?? )
You might also like[Couplet 3: Moha K]
Coco Chanеl, nous deux c'est chan-mé
Tu veux que je t'emmène loin des gens et loin des problèmes
Y a personne qui s'en mêle, ton père changera d'avis
Je ferai ce qu'il faudra pour venir changer ta vie

[Couplet 4: Lyna Mahyem]
J'ai l'cœur serré, j'ai peur qu'tu partes
T'en a tellement fais qu'pour toi j'peux tout donner
Viens parle mon père, qu'il va peut-être s'aider
J'veux pas finir ma vie avec quelqu'un qu'j'vais jamais aimer

[Pré-refrain: Moha K, Lyna Mahyem]
Pas au top top quand t’es pas là
La porte je toque-toque, t'inquiète pas
J'suis venu pour toi, préviens ton papa
Allô, allô, téléphone et sonna
Allô, allô, ma habibi hlou
Allô, allô, ( ?? )
Allô, allô, téléphone et sonna
Allô, allô, téléphone et sonna
Allô, allô ( ?? )
Allô, allô ( ?? )
Allô, allô ( ?? )

[Refrain: Moha K, Lyna Mahyem]
Pas au top top quand t’es pas là
La porte je toque-toque, t'inquiète pas
J'suis venu pour toi, préviens ton papa
Allô, allô, téléphone et sonna
Allô, allô, ma habibi hlou
Allô, allô, ( ?? )
Allô, allô, téléphone et sonna
Allô, allô, téléphone et sonna
Allô, allô ( ?? )
Allô, allô ( ?? )
Allô, allô ( ?? )Embed"
Moha K,Baby j’ai mal,"3 ContributorsBaby j’ai mal LyricsTrop de haine, trop de seum bébé
C'est pas la peine, t'as fini par briser mon cœur depuis
J'suis plus le même, j'ai plus le time
Et j'ai la flemme, j'suis sur la scène tout le week-end
J'ai fait mon choix, oh oh oh oh

Trop de haine, trop de seum bébé
C'est pas la peine, t'as fini par briser mon cœur depuis
J'suis plus le même, j'ai plus le time
Et j'ai la flemme, j'suis sur la scène tout le week-end
Oh oh oh oh

[Refrain]
J'suis désolé si des fois j'ai du mal à dire ""je t'aime""
J'suis désolé, me rappellе pas bébé c'est pas la peine
Nе m'en veux pas, nous deux ça peut pas durer
Encore une nuit après c'est fini, promis juré
Tu veux connaitre la vérité, en vrai on s'fait du mal
J'ai pas d'regret mais au fond bébé, je sais qu't'en as marre
C'est plus comme avant je sais, tu veux me revoir t'es sûre?
Nous deux c'est du passé, laisse guérir nos blessures

Trop de haine, trop de seum bébé
C'est pas la peine, t'as fini par briser mon cœur depuis
J'suis plus le même, j'ai plus le time
Et j'ai la flemme, j'suis sur la scène tout le week-end
J'ai fait mon choix, ce sera sans toi, t'as pris des ailes
Tant pis pour toi (oh oh)
You might also likeT'étais ma baby love, ma baby love
Mais j'ai fini solo, putain si c'est ça l'amour
Souffrir pour toujours, j'suis seul sur ma route (oh oh)
Fallait fallait fallait pas, j'le savais depuis le départ
Quand j'parle de toi, ça les épate
La vérité c'est qu'j'en ai marre, j'ai l'impression que je dérape
Baby j'en ai marre, j'ai l'impression que c'est durable

[Refrain]
J'suis désolé si des fois j'ai du mal à dire ""je t'aime""
J'suis désolé, me rappelle pas bébé c'est pas la peine
Ne m'en veux pas, nous deux ça peut pas durer
Encore une nuit après c'est fini, promis juré
Tu veux connaitre la vérité, en vrai on s'fait du mal
J'ai pas d'regret mais au fond bébé, je sais qu't'en as marre
C'est plus comme avant je sais, tu veux me revoir t'es sûre?
Nous deux c'est du passé, laisse guérir nos blessures

C'est de ta faute, c'est pas la mienne
T'avais des doutes, que des problèmes
T'as tout détruit, tout est fini, tout c'qu'on a construit
Moi j'fais pas d'bruit, j'ai tout dans l'fond, tout dans ma plume
J'ai mal, baby j'ai mal
Nous deux c'est mort ouais, y a plus d'espoir
C'est la fin de l'histoire
J'ai du mal à y croire
J'y repense tous les soirs
(Baby j'ai mal), baby j'ai mal
Nous deux c'est mort ouais, y a plus d'espoir
C'est la fin de l'histoire
J'ai du mal à y croire
J'y repense tous les soirs
(Oh oh oh oh)
T'étais ma baby love, ma baby love
Mais j'ai fini solo, putain si c'est ça l'amour
Souffrir pour toujours, j'suis seul sur ma route

[Refrain]
J'suis désolé si des fois j'ai du mal à dire ""je t'aime""
J'suis désolé, me rappelle pas bébé c'est pas la peine
Ne m'en veux pas, nous deux ça peut pas durer
Encore une nuit après c'est fini, promis juré
Tu veux connaitre la vérité, en vrai on s'fait du mal
J'ai pas d'regret mais au fond bébé, je sais qu't'en as marre
C'est plus comme avant je sais, tu veux me revoir t'es sûre?
Nous deux c'est du passé, laisse guérir nos blessuresEmbed"
Moha K,Besoin de toi,"3 ContributorsBesoin de toi Lyrics[Paroles de ""Besoin de toi""]

[Intro]
J'ai besoin de toi, que toi, mi amor
Tu sais que j'viens d'en bas, j'change pas l'fusil d'épaule
J'sais qui veut mon bien, j'sais qui veut ma mort
J'le sais, mi amor

[Couplet 1]
Tous les soirs j'repense au passé
J'ai du mal à y croire, j'ai du mal à réaliser
Cette fois c'est sûr, ça y est, tu m'as laissé
Ton cœur ne bat plus, ton âme a traversé le ciel
Mon ange, ton absence me tue
La, la fin de l'aventure
Pourquoi t'es partie, pourquoi les temps sont si durs ?
J'te vois t'envoler le soir quand j'suis solo
Ça y est, j'suis saoulé, j'préfère rester solo

[Pré-refrain]
Nan, nan, nan, nan j'vois mes rêves s'envoler, j'ai plus la notion du temps
Nan, nan, nan, nan, , sans toi j'vois pas l'future, rien ne sera plus comme avant
J'ai besoin de toi, que toi, mi amor
Tu sais que j'viens d'en bas, j'change pas l'fusil d'épaule
J'sais qui veut mon bien, j'sais qui veut ma mort
J'le sais, mi amor
You might also like[Refrain]
J'ai besoin de toi, que de toi, hayati
يا غير سمعي ڤلبي راهو عليك ينادي
بقيتي فالماضي وهذا ماضي
C'était toi et pas une autre
C'était nous contre les autres
Mais c'est moi, car t'es plus là
Tout est mort

[Couplet 2]
J'pense à toi, j'regarde en l'air
Triste j'en ai pas l'air
Tout ça, c'est mon malheur
Qui protégera mes arrières
J'me retrouve solitaire
Perdu sans boussole
Plus rien me console, j'ai la tête sur les épaules

[Pré-refrain]
Nan, nan, nan, nan, j'vois mes rêves s'envoler, j'ai plus la notion du temps
Nan, nan, nan, nan, sans toi j'vois pas l'future, rien ne sera plus comme avant
J'ai besoin de toi, que toi, mi amor
Tu sais que j'viens d'en bas, j'change pas l'fusil d'épaule
J'sais qui veut mon bien, j'sais qui veut ma mort
J'le sais, mi amor
[Refrain]
J'ai besoin de toi, que toi, hayati
يا غير سمعي ڤلبي راهو عليك ينادي
بقيتي فالماضي وهذا ماضي
C'était toi et pas une autre
C'était nous contre les autres
Mais c'est moi, car t'es plus là
Tout est mortEmbed"
Moha K,Bomba Internationale,"4 ContributorsBomba Internationale Lyrics[Paroles de ""Bomba Internationale""]

[Intro]
Uh-uh
Eh-eh
Uh-uh
(Ryder & Seno)

[Verse 1]
Ba9i sehran, wakha mechhour ba9i kan3ani
3endi asrar, bnadem ghaddar khellini we7dani
W ana ghadi (W ana ghadi), tri9i ba9a twila
Walakin rani ghadi, tri9i ba9a twila

[Pre-Chorus]
Ah, ya bent nass, ma kayn bass
Gha njibha men Casablanca, Oujda wella Fès
Zid, zid 3emmer l'kass
Zid, zid ma jani n3as
Zid, zid 3emmer l'kass

[Chorus]
Goulou ""mashallah"", goulou ""mashallah""
Bomba internationale, internationale
Goulou ""mashallah"", goulou ""mashallah""
Beauté internationale, internationale, goulou
You might also like[Verse 2]
Haha, hiya
Hiya khatira, khatira
Khelli fach katjiha l'ghira
Cherrira machi amira
Sidi l9adi rani (Rani), ghare9 f macha3iri
Ghare9 f machakili
W 9elbi howa li blani
Khobz dar klah l'berrani
Malou hadak zine, malou 3endo chi mouchkil
Hanya wakha mchiti b3id
Malhoum tab3ina b'l3ine
Wallah, wallah, ma nferret fih
Wallah, 7alf ta neddih
Wallah, wallah, ma nferret fih

[Pre-Chorus]
Ah, ya bent nass, ma kayn bass
Gha njibha men Casablanca, Oujda wella Fès
Zid, zid 3еmmer l'kass
Zid, zid ma jani n3as
Zid, zid 3emmer l'kass

[Chorus]
Goulou ""mashallah"", goulou ""mashallah""
Bomba intеrnationale, internationale
Goulou ""mashallah"", goulou ""mashallah""
Beauté internationale, internationale, goulou
[Refrain]
Ah ya bent nass, ma kayn bass
Gha njibha men Casablanca, Oujda wella Fès
Zid, zid 3emmer l'kass
Zid, zid ma jani n3as
Zid, zid 3emmer l'kass

[Outro]
Ah, ya bent nass, ah, ya bent nass
Ah, ya bent nass, ah, ya bent nass
Ah, ya bent nass, ah, ya bent nass
Ah, ya bent nass, ah, khellitini bla n3assEmbed"
