Artist,Title,Lyrics
Moha MMZ,Que la mif,"83 ContributorsQue la mif Lyrics[Couplet 1 : Ademo]
Message d'une grosse tass, au moment où j'pense à mes soucis
J'fais les cent pas dans la casa, un peu rhabat, j'écris cousine
J'bouge les bras, un peu fou, tu sais
J'sais que l'avenir est dark comme ton boule, pucelle
Taga taga, zitoun, paki, afghan, coco, be-her, co-mer
On a vendu dans la ville sous Jack un pété véner au Maire
Salam salam, j'vous invite, banane banane pour ta bitch
Sur le macadam, on navigue, teste, on vient là où t'habites
[Couplet 2 : S-Pion]
Libérez So (igo), libérez Viper
Libérez Lino et Zepek, mes sourous sont trop, j'peux pas les citer (mes sourous, mes sourous)
Sans vous c'est niqué (igo), mais on va tout niquer
Sans vous c'est niqué, mais on va tout niquer (IGD Gang)
Demain j'vais voler (igo), après-demain j'vais voler
Pénika a dealé qué pasa, braquer pour ramener à dîner
Que des sourous dans la ville, demande pardon à Dieu, sourire sincère sur les joues de mon fils
Tu m'aimes pas, tu m'critiques, tu t'affiches, mes manières mes sourous au défi (sourous)

[Couplet 3 : Lazeur]
F pour le flow, 4 pour les sorties d'pot
3 comme Ralph' Lau', 0 poucave dans mon ghetto
Parti de la cave en passant dans l'bendo
Quand j'vois l'argent, ça me fait bander
Entouré des miens, que des trafiquentés
Darori de fumer que du bon bedo
Jet numéro uno et Sanders en deux et demi
On veut pas l'cheval de Troie, on veut celui d'la Ferrari
On fait pas crari sur le parvis, on a bicrave même sur Paris
PNL, IGD, que la famille, sur ma vie, signé Lazeurmi
You might also like[Couplet 4 : Jet]
Grosse taffe de kush (guapo, guapo, guapo)
Ça donne du punch
J'repars en mimi
J'en ai marre, faut qu'je prie
Trop bon est l'teu-sh (guapo, guapo, guapo)
Donc j'roule et j'pense
À comment dépenser le fric
Si un jour j'avais le llion-mi

[Couplet 5 : Moha]
T'as reconnu Moha de la 2MZ, frérot, viens je t'emmène
Igo, Louboutin, Philipp Plein, sur l'navire on est plein
Si j'étais Tony j'claque Gina Gina, igo, j'te laisse Valentina-tina
Quand on est là, tu parles china-china
J'veux l'monde chico, ouais ouais, j'veux les billets
Du haut d'mes 17 piges, frère, j'vais tous les plier
Trop souvent que j'ai mal à la tête, pour ta dose faut qu'tu passes à la tess
Fais belek ici c'est pas la fête, et en c'moment c'est trop souvent la hess

[Couplet 6 : Ilinas]
T'es une grosse mierda joue pas le gangster, j't'ai mis à l'amende j'ai vu ton gang s'taire
Les p'tits jouent les grands, ils appellent leurs grands frères, si la hess te tient, enfile les gants, frère
Paie-nous cash, paie-nous pas au lance-pierre, Corbeil ça rap gros t'as pas à t'en faire
J'fous le feu en studio comme en concert, si tu m'souhaites ma chute moi j'te souhaite un cancer
J'suis pas fumeur j'suis pas buraliste, pourtant j'sais faire que des tabacs
Ptite merde tu finiras quand même sous mes semelles, même si tu laisses pousser ta barbe
T'as niqué ton plan A pour d'l'oseille, tu veux pas t'faire plomber
Tes nuits sont hantées par le dernier classe A, donc laisse tomber ou sinon passe au plan B
[Couplet 7 : Sanders]
Trop tendance à dormir dans la vie faut s'lever tôt faut pas roupiller
T'as pas b'soin d'me dire quoi que ce soit les bonnes manières j'les ai pas oubliées
C'est le monde chico, ainsi va la vie fais tes bails igo
Mais pense à la mif' c'est le squad mon gros la débrouille à vie, posé, igo, y'a my squad
Postiché dans le binks, vitres teintées, fumée blanche,des gros sons qui font mal, c'est normal que je pense
Pense à faire tes billets, respecte-toi, faut pas oublier
Même si tu tombes il faut avancer, le zoo dans mon cœur j'peux pas l'oublier (jamais)
Z Double O, c'est my squad

[Couplet 8 : N.O.S.]
Que la famille dans le bat', QLF n'da
J'suis vers Alicanta, l’île de la tenta, retour dans le benda
J'sais faire que le taga, remonté d'Malaga
Sheitana que guapa
Déteste-moi, fais moi un truc (déteste-moi, déteste-moi)
J'sors pour le flouz, j'rentre après un trip (bien marqué j'suis paro)
Ilinas, j'vends, IGD Gang
F4.30, que la mif gang14Embed"
Moha MMZ,Bulma,"1 Contributor5% Haki Tint Lyrics[Chorus: Jamar Rose]
Uh, I won't stop running laps around the competition
I trained a hundred days for this chance, ain't no reason to miss it
Haki beam up on the scope, I'm Usopp, I'm never missing
Set out with the gang, and we came back, another mission
Dominating every arc we run through
Your bitch look like Big Ma - the way she look run through
Mihawk with the dagger slice you up, and then I son you
I ain't paying child support, I got a couple bags to get to, uh
Serrated blade, I'm Inosuke - how much I sleep, I say no days
Mask of a beast and I'm slaying demons with the cold place
Breaking every beat, but it's OK, I'm Josuke
Thought I told you stop being a bitch - Momonosukе
You pull up, it's OK, pulling out the AK
Scope attachment, put it on thе top, catch you in 4K
Haki bullets put you in the hospital for four days
Why you chilling in there, I heard your girl like to foreplay

[Verse: Sivade]
I just got this place from J, Baka came to save the day
Flexing on anybody that be talking that shit until them niggas fade away
Fucking this bitch from the back 'cause she know I'm a mack, turn around, I'mma paint her face
I'mma keep putting the pedal to the metal 'till the motherfucking day, it breaks
You niggas get on my nerves
I'm really Light Yagami with the words
I put the strangest niggas in my verse
I feel like Oda
He can get popped just like a soda
Masked up, I don't want the Corona
Green in my pocket bigger than Yoda
I'm in the kitchen, uh, Soma
She finna ghost you - Perona
I'm finna steel my heart, no Persona
He said he really that, no Persona
You niggas really pussy like Mona
She got an attitude like Bulma
Fly her out just to bend her over
I was laughing when she told you it's over
This that motherfucking gas like nova
All my bitches gotta sleep on the sofa
I like my bitches like Rico - nasty
That boy a lame, thinking he gon' pass me
Y'all niggas music's despicable, daffy
She like an English teacher - classy
You will never see a nigga outrap me
Loudest nigga in the room is a what?
Pussy nigga, you sound just like Dashie
That nigga ashy, uh, wait, wait, wait, wait
You might also like[Chorus: Jamar Rose]
Uh, I won't stop running laps around the competition
I trained a hundred days for this chance, ain't no reason to miss it
Haki beam up on the scope, I'm Usopp, I'm never missing
Set out with the gang, and we came back, another mission
Dominating every arc we run through
Your bitch look like Big Ma - the way she look run through
Mihawk with the dagger slice you up, and then I son you
I ain't paying child support, I got a couple bags to get to, uh
Serrated blade, I'm Inosuke - how much I sleep, I say no days
Mask of a beast and I'm slaying demons with the cold place
Breaking every beat, but it's OK, I'm Josuke
Thought I told you stop being a bitch - Momonosuke
You pull up, it's OK, pulling out the AK
Scope attachment, put it on the top, catch you in 4K
Haki bullets put you in the hospital for four days
Why you chilling in there, I heard your girl like to foreplayEmbed"
Moha MMZ,Loin des étoiles,"1 ContributorDiscographie - MMZ LyricsDiscographie - MMZ
Album Studio
- 2016/11/04 : MMZ - Tout pour le gang
- 2017/11/10 : MMZ - N'DA
- 2018/06/22 : MMZ - Trop N'DA
- 2019/04/19 : MMZ - Sayonara
EP
- 2016/10/13 : MMZ - TPLG1
Single
- 2014/03/17 : MMZ - Mets des gifles
- 2015/01/23 : MMZ - Dans le four
- 2015/05/06 : MMZ - Ratepi
- 2015/05/20 : MMZ - Éteint nos bigo
- 2016/01/03 : MMZ - Cocaïna
- 2016/02/17 : MMZ - Valentina
- 2016/03/06 : MMZ - Genesis
- 2016/04/10 : MMZ - Au pied de ma tour
- 2016/05/08 : MMZ - Gacha / Gustavo (Freestyle Plata o Plomo)
- 2016/05/22 : MMZ - Tout pour le gang
- 2016/07/24 : MMZ - Pandora
- 2016/10/14 : MMZ - Dans nos têtes
- 2016/12/16 : MMZ - Loin des étoiles
- 2017/04/09 : MMZ - Les ténèbres
- 2017/04/14 : MMZ - Millions
- 2017/04/28 : MMZ - Miroir miroir
- 2017/05/25 : MMZ - Ma 6-T j'vends
- 2017/07/28 : MMZ - Ma bulle
- 2017/10/13 : MMZ - Pardon
- 2017/11/09 : MMZ - Orion
- 2017/11/29 : MMZ - Zoné
- 2017/12/13 : MMZ - Bubble
- 2017/12/15 : MMZ - N'DA
- 2018/02/11 : MMZ - Freestyle Tching Tchang
- 2018/03/11 : MMZ - Off
- 2018/03/23 : MMZ - Oh My
- 2018/04/06 : MMZ - S Line
- 2018/05/01 : MMZ - Babidi
- 2018/06/18 : MMZ - Elle m'a vu
- 2018/07/29 : MMZ - Comme dans un rêve
- 2018/11/29 : MMZ - Zizou
- 2019/02/21 : MMZ - Valar Morghulis
- 2019/03/29 : MMZ - Patrona
- 2019/05/04 : MMZ - Manolo
- 2019/07/05 : MMZ - Fusée
- 2019/08/09 : MMZ - Capuché dans le club
You might also likeFeaturing
- 2014 : TDA - Galaxy
Discographie complémentaire
- Discographie - Lazer MMZ
- Discographie - Moha MMZEmbed"
Moha MMZ,Ma bulle,"1 ContributorDiscographie - MMZ LyricsDiscographie - MMZ
Album Studio
- 2016/11/04 : MMZ - Tout pour le gang
- 2017/11/10 : MMZ - N'DA
- 2018/06/22 : MMZ - Trop N'DA
- 2019/04/19 : MMZ - Sayonara
EP
- 2016/10/13 : MMZ - TPLG1
Single
- 2014/03/17 : MMZ - Mets des gifles
- 2015/01/23 : MMZ - Dans le four
- 2015/05/06 : MMZ - Ratepi
- 2015/05/20 : MMZ - Éteint nos bigo
- 2016/01/03 : MMZ - Cocaïna
- 2016/02/17 : MMZ - Valentina
- 2016/03/06 : MMZ - Genesis
- 2016/04/10 : MMZ - Au pied de ma tour
- 2016/05/08 : MMZ - Gacha / Gustavo (Freestyle Plata o Plomo)
- 2016/05/22 : MMZ - Tout pour le gang
- 2016/07/24 : MMZ - Pandora
- 2016/10/14 : MMZ - Dans nos têtes
- 2016/12/16 : MMZ - Loin des étoiles
- 2017/04/09 : MMZ - Les ténèbres
- 2017/04/14 : MMZ - Millions
- 2017/04/28 : MMZ - Miroir miroir
- 2017/05/25 : MMZ - Ma 6-T j'vends
- 2017/07/28 : MMZ - Ma bulle
- 2017/10/13 : MMZ - Pardon
- 2017/11/09 : MMZ - Orion
- 2017/11/29 : MMZ - Zoné
- 2017/12/13 : MMZ - Bubble
- 2017/12/15 : MMZ - N'DA
- 2018/02/11 : MMZ - Freestyle Tching Tchang
- 2018/03/11 : MMZ - Off
- 2018/03/23 : MMZ - Oh My
- 2018/04/06 : MMZ - S Line
- 2018/05/01 : MMZ - Babidi
- 2018/06/18 : MMZ - Elle m'a vu
- 2018/07/29 : MMZ - Comme dans un rêve
- 2018/11/29 : MMZ - Zizou
- 2019/02/21 : MMZ - Valar Morghulis
- 2019/03/29 : MMZ - Patrona
- 2019/05/04 : MMZ - Manolo
- 2019/07/05 : MMZ - Fusée
- 2019/08/09 : MMZ - Capuché dans le club
You might also likeFeaturing
- 2014 : TDA - Galaxy
Discographie complémentaire
- Discographie - Lazer MMZ
- Discographie - Moha MMZEmbed"
Moha MMZ,Pandora,"1 ContributorDiscographie - MMZ LyricsDiscographie - MMZ
Album Studio
- 2016/11/04 : MMZ - Tout pour le gang
- 2017/11/10 : MMZ - N'DA
- 2018/06/22 : MMZ - Trop N'DA
- 2019/04/19 : MMZ - Sayonara
EP
- 2016/10/13 : MMZ - TPLG1
Single
- 2014/03/17 : MMZ - Mets des gifles
- 2015/01/23 : MMZ - Dans le four
- 2015/05/06 : MMZ - Ratepi
- 2015/05/20 : MMZ - Éteint nos bigo
- 2016/01/03 : MMZ - Cocaïna
- 2016/02/17 : MMZ - Valentina
- 2016/03/06 : MMZ - Genesis
- 2016/04/10 : MMZ - Au pied de ma tour
- 2016/05/08 : MMZ - Gacha / Gustavo (Freestyle Plata o Plomo)
- 2016/05/22 : MMZ - Tout pour le gang
- 2016/07/24 : MMZ - Pandora
- 2016/10/14 : MMZ - Dans nos têtes
- 2016/12/16 : MMZ - Loin des étoiles
- 2017/04/09 : MMZ - Les ténèbres
- 2017/04/14 : MMZ - Millions
- 2017/04/28 : MMZ - Miroir miroir
- 2017/05/25 : MMZ - Ma 6-T j'vends
- 2017/07/28 : MMZ - Ma bulle
- 2017/10/13 : MMZ - Pardon
- 2017/11/09 : MMZ - Orion
- 2017/11/29 : MMZ - Zoné
- 2017/12/13 : MMZ - Bubble
- 2017/12/15 : MMZ - N'DA
- 2018/02/11 : MMZ - Freestyle Tching Tchang
- 2018/03/11 : MMZ - Off
- 2018/03/23 : MMZ - Oh My
- 2018/04/06 : MMZ - S Line
- 2018/05/01 : MMZ - Babidi
- 2018/06/18 : MMZ - Elle m'a vu
- 2018/07/29 : MMZ - Comme dans un rêve
- 2018/11/29 : MMZ - Zizou
- 2019/02/21 : MMZ - Valar Morghulis
- 2019/03/29 : MMZ - Patrona
- 2019/05/04 : MMZ - Manolo
- 2019/07/05 : MMZ - Fusée
- 2019/08/09 : MMZ - Capuché dans le club
You might also likeFeaturing
- 2014 : TDA - Galaxy
Discographie complémentaire
- Discographie - Lazer MMZ
- Discographie - Moha MMZEmbed"
