Artist,Title,Lyrics
Prince Waly,Âme sœur,"5 ContributorsÂme sœur Lyrics[Paroles de ""Âme sœur"" ft. Enchantée Julia]

[Refrain : Enchantée Julia]
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi

[Couplet 1 : Prince Waly]
Rentrons à l’intérieur, mes yeux font trop de pluie
Mon cœur en veut à mon esprit, ils ne se follow plus
Té-ma les litres de sang qu’on a laissés au fond du puits
Je suis toujours en vie, mais est-ce que j’en ai toujours envie
C’est vrai j’en ai douté, j’ai vu le seigneur en sidération
J’ai porté la croix le dos voûté, au paradis, pas d’incinération
En vrai je suis souvent triste, j’ai le sourire quand je mens
J’ai perdu goût à la vie mais je remercie quand je mange

[Refrain : Enchantée Julia]
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi

[Couplet 2 : Prince Waly]
J’ai dû acheter un flingue, au cas où la mort viendrait sonner
Toujours planqué dans mes fringues, heureusement le seigneur m’a raisonné
L’addition est salée, la vie un plat qu’on a trop assaisonné
J’ai dû poser les valises, libérer les chevaux, on a assez zoné
Honey, désolé (clic, clic, clic, bang, bang, bang)
Honey, honey
Nos âmes sœurs se rejoignent, là où les arbres pleurent
Pas loin du cimetière, où les anges et les larmes meurent
You might also like[Pont : Enchantée Julia]
Te couvrir de fleurs
Nos souvenirs se meurent
Tu souris, je pleure
Pense à nous

[Refrain : Enchantée Julia]
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moi si tu n’es plus là
Pense à moiEmbed"
Prince Waly,Avertisseurs (Part. II),"9 ContributorsAvertisseurs (Part. II) Lyrics[Paroles de ""Avertisseurs (Part. II)""]

[Intro]
Tu nous calcules mais t'as pas idée du score
Survivre tu crois qu'c'est un jeu, c'est un sport

[Couplet unique]
Si tu as le numéro du Walygator dans ton cellphone, c’est que t’es soit un proche
Soit ma poupée, soit un ex-client qui me doit de belles sommes
Elle était douce comme le miel, bonne
Ta mère voulait me payer en nature, tu dois être le frère de Nelson
Appelle, sonne, si tu voulais le carburant je suis à sec
Je suis plus sur le terrain, dans la ville je regarde défiler les R1
Les dealers c’est comme les cents, il en reste plein si t’en perds un
Je roulerai pas en Benz ni en Lexus
C’est dans le Panamera que les mecs sucent
T’as pas retourné ta veste, tu t’es carrément déshabillé
Prêt à te faire enfiler jusqu’au plexus
Everyday en Nike, tu me verras jamais en Fila c’est un délit
Quand j’étais mioche c’était pour les nazes, je voulais ressembler au Prince de Philadelphie
File-moi tes tennis, on te rackette après ton cours de tennis
Jeunes négros font les coupes de Rodman Dennis
Coloriage et ticket de métro sur le penis
On se croirait chez les 101 Dalmatiens
Qui aboient les mêmes flows et bandent sur les mêmes playlists
Le rap a morflé, sucent pour avoir le trophée
Avalent comme la fille de Morpheus
Le diable s’habille en nada, fuck Prada fils
Armé jusqu’aux dents, comme les amazones de Kadhafi
J’ai sûrement fourré des mamans par erreur
Mais une chose est sûr négro c’est que t’es pas ma fille
Je veux les mêmes billets qu’un Tiger Woods
Ou qu’un joueur de NBA, Amen priez, pour ces nazes
Je suis venu les ken, plier, et pendant la fellation ils pourront voir mes chaînes briller
Rien à branler de vos galeries mondaines
Bijoux de famille moulés dans mon ben
Fuck Lafayette, que du Avirex ici, pas de linge à paillettes
Aucun négro fauché qui veut brasser où il y a pas ièp
On vit tragédie sur tragédie, je te parle pas du groupe
Mais du Mercedes à Dodi Al-Fayed
Comme Hamilton on m’arrête plus, vos flingues
Font pousser des couilles et non des ailes, prends un Red Bull
(Han han) bientôt iront faire le tapin à Vincennes ou à l’arrêt de busYou might also likeEmbed"
Prince Waly,Balotelli,"32 ContributorsBalotelli Lyrics[Paroles de ""Balotelli"" ft. Freeze Corleone]

[Couplet 1 : Prince Waly]
Mes négros ont besoin d'air, de thunes et d'une clope
Faut les gros joints de beuh pour enfumer une loc'
Ce que mes scélérats font, dans un Mercedes qui accélère à fond
Toujours dans les vêtements comme Axel et Alphonse
On arrive Black Mafia dans ma fédération
C'est bientôt la troisième alors fais des rations
Je suis pas dans le Hennessy
Je vois rouge comme Amérindiens du Tennessee
Il y a que la haine aussi, Cupidon il flingue
Mais c'est pas Athènes ici
Le chrome et les billets, on écoutait Mauvais œil avant d'aller prier
Aucun magicien m'a mis le pied à l'étrier
Faux négros dans Guerlain, va falloir les trier
C'est que des garces dont les amants diffèrent
Envoyer le feu : on est bon qu'à ça
Faut que les rentes soit diamantifères comme président blanc chez les Bokassa
On envoie les trois points, ils font les fautes
Rappeurs font les sottes avant qu'on les saute
Faut qu'on les sauve, de l'industrie il faut qu'on les sorte

[Refrain : Prince Waly & Freeze Corleone]
Tu nous as regardés, on danse pas pour des penny (Nan)
On découpe comme les bouchers, comme les Benny (Ekip)
Génération Mario Balotelli (Hein)
Ils font les teintures jaunes, ils font les balles de tennis (Ah)
Corleone / Prince : flingue et son chargeur (Pa-pah)
On est comme téléphone et son chargeur (Brr, brr)
Ils font les marchés, ils font les ventes aux enchères (Hein)
Encore aujourd'hui, le bateau se décharge
You might also likeTu nous as regardés, on danse pas pour des penny (Tiens)
On découpe comme les bouchers, comme les Benny (Han)
Génération Mario Balotelli
Ils font les teintures jaunes, ils font les balles de tennis (Ha)
Corleone / Prince : flingue et son chargeur (Pa-pah)
On est comme téléphone et son chargeur (Brr, brr)
Ils font les marchés, ils font les ventes aux enchères (Eh, oh)
Encore aujourd'hui, le bateau s'décharge (Ekip)

[Couplet 2 : Freeze Corleone]
Corleone, Prince Waly
Cali : j'ai des quinze quali
Fonce au lin comme si j'ai sip vingt-trois litres
Découpe comme si j'suis né vers Staten
Chaque bar perce ta tête
Négro, je les soupape comme Max Verstappen
Si tu fumes du fois trois, j'fume du fois trente, j'ai recompté trois fois et j'ai eu trois crampes
J'ai investi sur moi, j'ai fait du fois trente
Dans l'vaisseau, j'fais du trois-trente
Les vitres et les toits tremblent
S/o le Double Jay
Découpe comme si des troubles j'ai
Chaque investissement à la fin, au minimum le double j'ai
Je pense qu'à multiplier les sous que j'ai
Tu veux pas goûter les soupes que j'ai
Savent pas les Kung-Fu que j'ai
Du nord au sud les liasses dans la boite à chaussures
Tu ferais pas un mètre avec un pied dans ma chaussure
Instru', on les perfore, O.G. comme des Air Force
On envoie des air-sol
Ils flinguent moins que des airsoft
S/o Kaki, pas d'chichi pas de ciné
Contre les fufus négro je suis vacciné
Dans la cuisine, négro je me sens comme Raekwon
Et t'as disparu en balle, t'es comme J-Kwon
Daydate, Royal-Oak, Santos
À Dakar, on pilote comme à Los Santos
On reste devant sur le tableau de score
Ils font d'l'acrosport, j'suis dans l'Quattro Sport
[Refrain : Prince Waly & Freeze Corleone]
Tu nous as regardés, on danse pas pour des penny (Nan)
On découpe comme les bouchers, comme les Benny (Ekip)
Génération Mario Balotelli (Hein)
Ils font les teintures jaunes, ils font les balles de tennis (Ah)
Corleone / Prince : flingue et son chargeur (Pa-pah)
On est comme téléphone et son chargeur (Brr, brr)
Ils font les marchés, ils font les ventes aux enchères (Hein)
Encore aujourd'hui, le bateau se décharge

Tu nous as regardés, on danse pas pour des penny (Tiens)
On découpe comme les bouchers, comme les Benny (Han)
Génération Mario Balotelli
Ils font les teintures jaunes, ils font les balles de tennis (Ha)
Corleone / Prince : flingue et son chargeur (Pa-pah)
On est comme téléphone et son chargeur (Brr, brr)
Ils font les marchés, ils font les ventes aux enchères (Eh, oh)
Encore aujourd'hui, le bateau s'décharge (Ekip)Embed"
Prince Waly,BBF,"9 ContributorsBBF Lyrics[Paroles de ""BFF""]

[Couplet 1]
Je n'ai plus de montre, regarde ce que le temps a fait de nous (nous)
Tu voulais mon nom, tu rêvais de me voir sur un genou (nou)
Mais nos sentiments se sont surement envolés à ce jour (jour)
Mais j'ai toujours le son de ta voix dans mon téléphone
Beaucoup de faux départs, des hauts, des bas (han han)
La faute à pas d'chance, panneau stop n'a pas d'sens
Traces de fouet dans le dos (dos, dos, dos)
Baby j'ai grandi dans le zoo (zoo, zoo, zoo)
Besoin de vacances, ton coup de fil a des latences (coup de fil)
Quand je te parle d'amour, regarde-moi dans les yeux (yes)
Mon sang est devenu rouge, mon cœur est devenu bleu (devenu bleu)
Hier, je disais ""Nous"" mais demain je dirai ""Je""
On était jeunes, je me suis noyé dans le jeu (gent-ar)
[Refrain]
On faisait des choses, quand il faisait noir
On se donnait chaud l'hiver, quand il faisait froid
Souvent tu mettais mes vêtements
Et à la maison, j'ai encore tes sous-vêtements
On faisait des choses, quand il faisait noir
On se donnait chaud l'hiver, quand il faisait froid
Souvent tu mettais mes vêtements
Et à la maison, j'ai encore tes sous-vêtements
You might also like[Couplet 2]
Mon amour était carré mais ton cœur est un triangle équilatéral (wouf)
Dommage collatéral, le mensonge colle à tes rôles (laisse)
Jamais à l'heure aux thérapies (han han), pour oublier t'étais rapide
Oublie Los Angeles, litres de sang je laisse
Et on t'avait prévenu, (enfoiré) jamais affilier de bitches à ta gauche
Tu t'es noyé dans la kush, tu as fini sur la touche
T'étais le boyfriend, mais aujourd'hui c'est moi qui la touche
(Je lui fais des bisous) sur la bouche (bouche)
[Refrain]
On faisait des choses, quand il faisait noir
On se donnait chaud l'hiver, quand il faisait froid
Souvent tu mettais mes vêtements
Et à la maison, j'ai encore tes sous-vêtements
On faisait des choses, quand il faisait noir
On se donnait chaud l'hiver, quand il faisait froid
Souvent tu mettais mes vêtements
Et à la maison, j'ai encore tes sous-vêtementsEmbed"
Prince Waly,Belly,"10 ContributorsBelly Lyrics[Paroles de ""Belly"" ft. Dinos]

[Couplet 1 : Prince Waly]
Quand je rappe sur eux du lundi au lundi, les rappeurs font le pont
Tu fumes la clope donc si je t’allume c’est double ration de plomb
Tonitruant, je suis le truand, je suis le bon
J’arrive sur le terrain, Tony, Durant, je suis LeBron
Le silence n’est pas un oubli quand le phone et le flingue sont silencieux
Je dis à baby que j’ai une course à faire, elle monte ses cils aux cieux
Je suis né sur le boulevard de la Boissière, Montreuil c’est le 9-3
Mais je suis un putain de caméléon, j’arrive sur toi comme Hitman et Léon
J’arrive, je les rackette comme Omar, fusils à pompe pas de callisthénie
Vos rappeurs font de la soupe négro, finissent au fond de la soute négro
Il reste très peu de temps, quelques secondes, un deux trois (plouf)
Vos daronnes je suis dedans, je m’introduis, j’ai le cheval de Troie

[Refrain : Prince Waly & Dinos]
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel Tower
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel Tower
You might also like[Couplet 2 : Dinos]
Nosdi / Waly, Ghostface / Raekwon
Yes baby, gros je pèse des tonnes, protège tes côtes
Dans le building comme SCI
Je veux ni plaire aux zins, ni plaire aux meufs, ni plaire aux G’s
J’ai beaucoup de opps, beaucoup de postes
Je suis numéro 1, je suis numéro 9, je suis numéro 10
Sous un temps terrible, intempéries
Je suis Mike dans Beat It, Nas dans Belly
J’ai tous les sons qui pleurent
J’ai tous les sons pour bae
J’ai tous les sons qui bang
Je suis foulek sans pitié
Je vais rouler sans mi-per, je vais trouver cet enculé
Lui tirer dans la jambe, do the, do the stanky leg
Trop de macchabées
Je fais pas la bise, pas de high five, accablé
Il me faut une Makeba et le bif du Maccabi Haïfa
Je reviens de Dakar, Gaïndé
Tellement ratal que tu parles mal
Mais t’as pas de tal’, flingué
Allez kat sa ndeye

[Refrain : Prince Waly & Dinos]
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel Tower
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel Tower
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel Tower
Marlo, Avon, Omar, Stringer
Pavel Nedved, Beckenbauer
Ajax, PSV Eindhoven
Je brille dans Paris, Eiffel TowerEmbed"
Prince Waly,Bleu,"11 ContributorsBleu Lyrics[Paroles de ""Bleu"" ft. Feu! Chatterton]

[Intro : Arthur Teboul]
Aucun mensonge, pas de romance
Vérité, vérité...
Moïse a traversé l'enfer, la mer, pour être présent aujourd'hui
Je crois que ça lui tenait vraiment à cœur
Le Prince est toujours parmi nous
Et son âme, endolorie, a pas mal d'histoires à vous raconter
Aucun mensonge, pas de romance
Vérité, vérité...
Moussa a traversé la mer, traversé l'enfer
Pour être présent, là, maintenant
Et son cœur, endolori, a pas mal de choses à vous dire
Aucun mensonge, aucune romancе
Le Prince est toujours là
Installе-toi confortablement, il arrive

[Couplet unique : Prince Waly]
Fauché par la maladie qu'on appelle l'ignorance
Demeurant au cimetière, qu'ils reposent au paradis
Ils ont assassiné Nipsey
Entends les condoléances que nos lips say
On leur mâche le boulot quand les flics cessent
Les flingues ont aussi les tailles en XS
Déjouer la mort n'est pas au programme
Alors enterrons nos fils avec tristesse
Le ciel a adopté
Tout ceux dont la Terre a avortés
Le film est sur pause, comment éveiller les consciences ?
Je suis venu apporter ce qui est à ma portée
Je suis pas à jour dans mes prières
Dans la nuit, Lucifer est venu m'aborder
Je suis pas venu jeter la pierre
Pour les frères morts, déverser la bière
Depuis Menace, O-Dog et les Coréens les flingues toussent
Mauvaises herbes, sur les fringues, poussent
Mon frère a passé plus d'années en prison que mon neveu en a passé à l'école
Venir de la rue n'est pas un avantage, un handicap
J'ai un frère en chaise roulante et un autre au paradis des enfants
(hey, hey)
J'ai un frère en chaise roulante et un autre au paradis des enfants
Elle a fumé son crack à l'arrière de l'église
La nuit elle joue, le jour elle se déguise
La rue a des mâchoires, c'est son bâton de réglisse
Elle se demande si Dieu existe
(hey, hey)
Elle a fumé son crack à l'arrière de l'église
La nuit elle joue, le jour elle se déguise
La rue a des mâchoires, c'est son bâton de réglisse
Elle se demande si Dieu existe
You might also like[Outro : Arthur Teboul]
Sous le même ciel, tous
Hein Moussa
Aucun mensonge
Pas de romance
Traverser l'enfer
Pour être présent aujourd'hui
Le Prince est toujours parmi nous (ouais)
Le Walygator continue son marathonEmbed"
Prince Waly,BO Y Z,"15 ContributorsBO Y Z Lyrics[Paroles de ""BO Y Z"" ft. Feu! Chatterton]

[Couplet 1 : Prince Waly]
J'aurais du foncer la tête baissée pour éviter d’être blessée
La porte est close mais fenêtre ouverte, mon cœur a laissé
Aujourd'hui, j'suis en deuil, autour de moi que des décès
J’ai perdu un paquet de potes mais jusqu'à la mort, j'suis BBC
J'suis comme ce gamin de Miami, je n'ai pas vraiment d'amis, parfois, je danse
La nuit, je cours chez un dealer devenu ma nouvelle famille, maman se drogue
Papa est parti, sûrement acheter des clopes, son meilleur ami vend du crack
Et de sa drogue, allez croque, fuck
Surnommé ""Blue"" à cause de sa couleur, mon nom c'est Black, rose est la douleur
J'suis différent, sans virilité à la rue, j’ai jamais juré fidélité
On devrait casser les codes et laisser nos gamins s’épanouir
S'évanouir dans le monde comme se lancer dans le vide et ne pas mourir

[Refrain : Arthur Teboul]
Vivre, j’y étais presque, j'ai remis mon courage à demain
Une nuit de plus à songer à être hors du commun (BO Y Z)
Dis-moi quand est-c'qu'on sera libre et s’arracher à soi-même
De s'arracher du continent comme une presqu'île
Vivre, j'y étais presque, j'ai remis mon courage à demain
Une nuit de plus à songer à être hors du commun (BO Y Z)
Dis-moi quand est-c'qu'on sera libre de s'arracher du continent
Comme une presqu'île avant de finir océan
You might also like[Pont 1 : Prince Waly]
BO Y Z, BO Y Z

[Couplet 2 : Prince Waly]
Y est ma génération, X deviendra mon relationnel
On a l'intelligence émotionnelle, chérie, le crime est passionnel
C'est jour de célébration, j'suis d'venu un homme et les garçons me plaisent
Au restaurant, les regards sont de braises et sur la ville, les garçons le baissent
Endurci après un séjour en prison, un nouvel homme en sursis comme le bison
J'ai assez d'argent pour acheter un vison et compter ma thune devant la télévision
Han, ils feront l'amour sur du Frank Ocean (Frank Ocean)
Mais bien souvent, la passion manque aux jeunes
Nouvelle journée pour un nouveau look, il est tous les jours en Kappa, Tommy
Quelques photos pour un nouveau book, il sait utiliser son anatomie
Accrochez-vous à vos rêves (de gosse), pour y arriver, j'me lève (je bosse)
Baby aime le rouge à lèvres (le gloss)

[Refrain : Arthur Teboul]
Vivre, j'y étais presque, j'ai remis mon courage à demain
Une nuit de plus à songer à être hors du commun (BO Y Z)
Dis-moi quand est-c'qu'on sera libre et s'arracher à soi-même
De s'arracher du continent comme une presqu'île
Vivre, j'y étais presque, j'ai remis mon courage à demain
Une nuit de plus à songer à être hors du commun (BO Y Z)
Dis-moi quand est-c'qu'on sera libre de s'arracher du continent
Comme une presqu'île avant de finir océan
[Pont 2 : Prince Waly]
BO Y Z, relève-toi
Garçon, c'est maintenant

[Outro : Arthur Teboul & Prince Waly]
Ne remets pas ton courage à demain, non
Ne remets pas ton courage, t'y es presque
Vivre libre, t'y es presque
S'arracher du continent
Ne remets pas ton courage à demain (accélère)
Ne remets pas ton courage car t'y es presque (accélère)
Vivre libre, t'y es presque (ouais)
Ne remets pas ton courage à demain, non
Ne remets pas ton courage, t'y es presque
Vivre libre, t'y es presque
S'arracher du continent (t'es vraiment pas loin)
Ne remets pas ton courage à demain (cours)
Ne remets pas ton courage garçon (vole), t'y es presque
Fais-le, t'y es presque
Vivre librement
Le ciel, l'espace
Rejoins la rive, s'arracher du continent, rejoins la rive
Et dev'nons presqu'île, finit dans un océan (BO Y Z)
Rejoins la rive (Y Z), rejoins la rive2Embed"
Prince Waly,Broke,"5 ContributorsBroke Lyrics[Paroles de ""Broke""]

[Couplet 1]
Le banquier m'a dit que j'étais à moins trois mille sur le compte
Je voulais chevaux Ferrari, j'ai pas misé sur le bon
Je vais au restaurant comme si j'avais billets plein les poches
Comme si j'avais lingots d'or, dollars plein les Porsche, putain
J'ai jamais vécu au dessus de mes moyens
Je suis un honnête citoyen, dans un logement mitoyen mais
J'ai plus de cash, faut que je me refasse
Comme criminel, billets volés quand il les repassе
J'avais mis à gauche pour investir dans mes plans
Mais j'ai tout brûlé еt je veux pas retourner dans les plantes
Je suis pas le plus à plaindre, je suis dans un appartement
Pendant que les migrants survivent dans les tentes

[Pont]
Mais j'suis broke, j'suis broke
J'suis broke, j'suis broke
J'suis broke

[Couplet 2]
Encore jeune mais déjà essoufflé
En ravalant ma fierté, j'ai failli m’étouffer
Autour de moi, ma situation fait débat
Dans une vie, paraît qu'il y a des hauts, j'ai déjà fait les bas
Ça fait bien longtemps que je fais du rap, aujourd'hui
Où est la reconnaissance ? J'ai l'impression qu'on m'oublie
J'ai l'impression d'être un novice
À chaque fois, j'repars à zéro sans les notices
J'ai réduit mon espérance de vie, monsieur l'agent
J'ai bousillé ma santé pour de l'argent
Et même le pognon ne pourra pas soigner mes blessures
J'ai étonné, j'ai impressionné, j'ai déçuYou might also likeEmbed"
Prince Waly,Broke / Miroir - A COLORS SHOW,"4 ContributorsBroke / Miroir - A COLORS SHOW Lyrics[Paroles de ""Broke/Miroir""]

[Partie 1 : Broke]

[Couplet 1]
Le banquier m'a dit que j'étais à moins trois mille sur le compte
J'voulais chevaux Ferrari, j'ai pas misé sur le bon
J'vais au restaurant comme si j'avais billets plein les poches
Comme si j'avais lingots d'or, dollars plein les Porsche, putain
J'ai jamais vécu au-d'ssus d'mes moyens
J'suis un honnête citoyen dans un logement mitoyen mais
J'ai plus d'cash, faut qu'j'me refasse
Comme criminel, billets volés quand il les repasse
J'avais mis à gauche pour investir dans mes plans
Mais j'ai tout brûlé et j'veux pas retourner dans les plantes
J'suis pas l'plus à plaindre, j'suis dans un appartement
Pendant qu'les migrants survivent dans les tentes

[Pont]
Mais j'suis broke, j'suis broke
J'suis broke, j'suis broke
J'suis broke

[Couplet 2]
Encore jeune mais déjà essoufflé, en ravalant ma fierté, j'ai failli m’étouffer
Autour de moi, ma situation fait débat, dans une vie, paraît qu'il y a des hauts, j'ai déjà fait les bas
Ça fait bien longtemps qu'j'fais du rap, aujourd'hui, où est la reconnaissance ? J'ai l'impression qu'on m'oublie
J'ai l'impression d'être un novice, à chaque fois, j'repars à zéro sans les notices
J'ai réduit mon espérance de vie, monsieur l'agent, j'ai bousillé ma santé pour de l'argent
Et même le pognon pourra pas soigner mes blessures, j'ai étonné, j'ai impressionné, j'ai déçu
You might also like[Partie 2 : Miroir]

[Couplet unique]
J'me reconnais plus quand j'suis devant ma glace, j'me sens inutile quand j'suis pas à ma place
J'fuis les idées sombres dans ma solitude, les armes à feu moins que la folie tuent
Beaucoup d'apparence, beaucoup de fioritures, évidemment, j'ai déjà chialé par manque de nourriture
Les hommes n'ont que la parole dissimulée sous l'assurance (On a baigné dans la violence)
J'dois assurer pour la daronne, pour ma future descendance
Soigner le mal par le mal, aujourd'hui, j'en paie les sentences
J'ai les cicatrices sur le torse, ajoute les entorses et la mésentente
J'ai perdu du temps, souvent, j'me sens nul
J'vois les autres s'en mettre plein les poches, j'suis habillé mais j'me sens nu
Désemparé, j'suis comme baleineau face à chalutier, dans un filet, j'ai l'impression d'passer ma vie à lutter
J'ai l’impression d'être à côté de la plaque, j'ai l’impression d'être un océan à côté de la flaque
J'ai plus rien à vendre, j'ai plus peur de la BAC, menottes sur le poignet, je me rappelle de la marque
Laisse-moi t'faire une confidence : en moi, j'ai perdu toute confiance
Malgré les sourires de connivence, plus l'amour est mort, plus on y pense
J'ai connu les HLM et la précarité, nos cicatrices sont dissimulées sous le beurre de karité
J'suis de ceux qu'on a traumatisés pour avoir la paix, malgré tout, j'remercie le ciel d'avoir un père
Maman a cru qu'j'allais crever plus d'une fois dans ma vie
Elle aimerait changer le disque, elle a déjà perdu un fils
Mon père m'a déjà dit : ""Je t'aime"" avec les larmes aux yeux
Pas b'soin d'encyclopédie, si j'ai un doute, j'en parle au vieuxEmbed"
Prince Waly,Charm el-Cheikh,"8 ContributorsCharm el-Cheikh Lyrics[Paroles de ""Charm el-Cheikh""]

[Couplet 1]
Jules César bronze à Charm el-Cheikh
Sa biche a le charme, elle sait, faut les armes et l'chèque
Pour gagner la guerre, ils ont brûlé nos livres et désarmé l'cheikh
Lâche le steak si t’as pas l'bras long, si t’as pas de canines
Faut qu'tes dents rayent le parquet, comme un rat, comme un Balkany
Moi, j’ai pas d'bracelet sous mon Karl Kani
Signé chez Canadair Music
Tous les jours, j’envoie le feu, sous des masses de flow
J’ai dеs liasses de flouze dans l'placard à vêtеments
Pour retourner à Dakar avec m’man
En hiver, quand j'rappe, tu peux baisser l'chauffage
La vérité blesse plus que les flingues
Rapper comme moi, c’est se blesser l’œsophage

[Couplet 2]
La drogue se vend à différents taux
J'l’ai appris en allant voir mon frère en taule
Faut les paniers à linge et les cantines
Perquisition, ils ont trouvé le flingue et les tantines
On m’a ciré les pompes, à mon procès sucent
Maintenant, les ennemis font les brosses et s’usent
Le seigneur a démarré le processus
Je jette mes textes dans l’incinérateur
Car ils volent mes flows dans la poubelle jaune
Ils sont nuls en sport, pas très doués à l’école
Naissent ainsi les rappeurs ? (Je crois)
Les prix flambent, mon album est en feu dans les fonds d'commerce
Té-ma les flows qu’on verse
Ils m’arriveront jamais à la cheville, j'les vois comme paire de fausses Converse
You might also like[Couplet 3]
J'suis venu prendre le blé, le beurre, le gâteau, envoie la marmelade
J’ai le passeport rouge donc je reste ici
Fuck Jordan, qu’il se barre de là
Pas besoin d’arme à feu, porter ses couilles, c’est comme investir en bourse
Depuis l’album, les vestes se retournent, s’travestit en douce
Tes rappeurs sur scène font du pédalo
Ils se voient dans les yachts, ils sont mégalos
J'suis au four et au moulin
J’écris mes textes, je les rappe, j'suis réal' et à l’étalo'
Ton rap est à l’eau, genre diabolo fraise
Une pensée à ceux qui sont vite montés pour se faire descendre comme Apollo 13

[Outro]
J’ai la mémoire dans la peau
Elle a croqué dans la pomme, l’a mise dans ma paume
J’ai la mémoire dans la peau
Les yeux revolver, elle sort le canon, je prends la pose
J'suis d'la mauvaise graine qu’on arrose
Y a comme une odeur de poison dans la rose
J’ai la mémoire dans la peauEmbed"
