Artist,Title,Lyrics
Sauveur Eloheem,2028,"1 Contributor2028 LyricsJ'suis fracassé, et tracassé

La vie m'a pas fait d'cadeaux donc j'roule un joint d'k2

S/O Op's

Tu sais qu'on a la potion

Leané dans la matrice tu peux m'appeler Néo Codion

Dans une dimension parallèle entouré d'ptits hommes verts

Plus d'dix ans d'herbe, avec du 'sky j'arrose mes chrysanthèmes

Et j'vis dans l'Ciel, avec les chérubins

J'fais des erreurs mais c'est humain

J'calcule plus les fils de putains

Et je vise le butin

Eloheem, à 666 sur 1, toute l'équipe est armée de surins

J'vomis mes boyaux sur le tourne-disque...
You might also likeC'est mes pensées qu'on fait pencher la tour de pise !

Ces MC's m'servent de pissotière, leur faut une muselière

Critique ma voix s'tu veux mais t'as rien à dire sur le verbe

Sauveur Eloheem on m'enterra dans un mausolée

Ta shit est obsolète, moi j'suis obsédé par les choses funestes

[••• CENSURÉ] au moins 3 fois...

J'ai trois tisé, faut qu'j'fasse bellek, parce que j'ai pas 3 foies

Mais j'ai grave la foi

J'écris mieux qu'Sade, après ma mort pédale, j's'erais édité à la putain d'pléaide

Le style est grave hostile, salope graille l'ostie

J'écoute plus les MC's, j'men bat les couilles de c'que ces loss disent

J'suis sur une autre shit...

Vous comprendrez en 2028Embed"
Sauveur Eloheem,Acédie,"1 ContributorAcédie LyricsJ’suis ton pire cauchemar, c’est moi qu’tu vois tard le soir dans le noir

J’ai la machette de Jason, j’suis la coqueluche de ces connes

Que vaut la mort face à la foi d’un pratiquant ?
Les cartels feront jamais autant d’argent sale que le Vatican

J’suis pas sataniste apprend c’que c’est qu’l’art bouffon, tu chiales sur du Drake mais c’est pas tous notre cas bouffon

Les chaussures viennent de Milan, 2024 c’est la guerre et c’est la merde si on fait l’bilan

Mеs types sont sous spliffs soupirent quand ils aperçoivе ta sous-clique

Head shot en pleine zone touristique te laisse abasourdi

Littérature française, c’est de l’art

Ta meuf refaite ressemble aux frères Bogdanov fuck ces deux là

J’suis dans la nébuleuse, avec un crucifix

Le Tout Puissant m’a laissé seul avec mes cris

J’veux une vraie Lady, même si j’me suis enlaidi

Heureusement j’suis pas illettré
You might also likeJ’baise l’ascétisme, j’ai pas choisi l’acide

Dieu est fauché lui même pointe aux Assédics

J’m’arrêterai qu’à l’OD ou au cancer du foie, même si j’ai la foi

Sans l’ordre rien n’existe, sans l'chaos rien n’évolue

Voilà pourquoi sur ce type d’art tordu je jette mon dévoluEmbed"
Sauveur Eloheem,Acropole,"1 ContributorAcropole LyricsCeux qui ne me connaissent pas
Me découvrent me récupèrent
Mon livre-monde s’écrira
Lorsque le doute disparaîtra

Manifestation de l’éternité
Au creux d’une main au détour d’une page

Cherchant l’amour la félicité
La pluie s’infiltre dans nos cages
Pratiquant l’errance de la contradiction
Grâce à l’espoir je brave ma condition
J'rejoindrai mon fleuve ma patrie
Errant car j'suis jamais parti

Névropathe voyageur, de la légende ou des cliniques
En vérité il n’y a qu’un seul type
Dans les couloirs de la Salpêtrière
Les profanes tagguent le monastère

Les 3 livres dans un tiroir de ma table basse
Suivant le père allant sur ses traces
Marchant toujours cherchant ma place
S’il n’y a qu’un seul survivant durant l'naufrage
Je serais sans doute dans les parages
You might also likeMa haine mon sang et tout ma rage
Leur pamphlet m’a pris en otage
D’une violence inouïe, fustigant le rapport l’or
J’arrive ici, opère un rappel à l’ordre

Je suis dans l’acropole, Ils sont accros, pal
Et les hypocrites maquillent leur teint pâle
Dans les halls dans les cryptes dans les rues et dans les salles
Dans mon acropole, sur mon piédestalEmbed"
Sauveur Eloheem,Adrenochrome Dealer,"1 ContributorAdrenochrome Dealer Lyrics[Couplet 1]
Détérioration clonale intra-cellulaire
Adrenochrome des reptiliens d’l’enfer
J’suis dans l’Bohemian Grove
Pire humain d’la sorte
J’héberge des martiens dans différentes grottes, Behold a Pale Horse
Sous mescaline près d’l’Aera 51
Pendant qu’Oussama, Tupac fument de l’herbe, dans une forteresse militaire
Totalement sinistrée, près du cadavre de Kurt Cobain
Rob Halford n’еst pas responsable d’un suicide
Marilyn n’еst pas responsable d’une tuerie d’masse
Arrête tes putains d’simagrées, Brixton j’descends dans six arrêt
Ridah fracass’ aux opiacés comme six chômeurs au Zimbabwe
J’destroy les porcs, exhorte les fiottes vers la sortie, déplore des proches
Le yiddish la seule langue dans laquelle à des soldats on n’donne pas d’ordre

[Refrain x 2]
Ma tristesse se perd au détour d’une page, j’ai l’métal comme un barbouze
Mon oeuvre c’est les fleurs du mal d’ Baudelaire - qu’aurait poussé dans une dark
Room

[Couplet 2]
Pour voir qu’ils sont falsh j’ai pas besoin d’ma loupe, pour grandir j’ai pas besoin d’la
Soupe
Dans mon veau-cer c’est comme si j’avais grandi à Kaboul, tel le commandant
Massoud
En ta compagnie on s’fait chier comme à Strasbourg
Écoute ouais, ils dégoutent ouais, t’es dérouté d’la façon dont j’ai découpé
Argento du rap, t’es Uwe Boll ou Norbert Moutier
J’la finesse d’Henry Miller toi d’un chauffeur routier
Ou d’une meuf trash sous « C », Sauveur le satané, virtuose comme Santana
Repose en paix Freddo
Un blunt c’est toujours sans tabac
J’fais peur à l’état français
Comme un regroupement d’ 100 arabes
De ma vie j’ai perdu l’sens depuis qu’avec Aphrodite j’danse
Je fais confiance à ma morale et mes sens
L’Ange Gabriel… M’honore d’sa présence
Accumule les pièces pendant qu’tu crois au Père Noël
J’crois qu’d’ici 5 - 6 mois , j’srai plus riche que le père d’mon ex
You might also like[Refrain x 2]
Ma tristesse se perd au détour d’une page, j’ai l’métal comme un barbouze
Mon oeuvre c’est les fleurs du mal d’ Baudelaire - qu’aurait poussé dans une dark
RoomEmbed"
Sauveur Eloheem,A.M.,"1 ContributorA.M. LyricsHan

Hahah

Elo

Dépité, irrité... ouais

J’pensais qu’arrêter la pillave allait tout solutionner

Mais j’ai une angoisse caractérisée

Des moments d’déprime

Une violence intérieure que j’réprime ayo

Pour la plupart peu d’estime, j’finirais peut être comme Merry, comme une envie de fumer Marine, la ténacité d’un Marines

Dans les bails sombres comme la Three Six, mes moments d’folie sont cycliques

Avant au réveil avant… Je fumais six sticks

La vie est si belle mais si triste, à la famille je dis sisi

Notamment au poto Teast avec qui je fume treize sticks sur du Dave East
You might also likeD’ici à Memphis à cause des opïodes d’la codéine… Des âmes périssent

Prescrit par des docteurs, provoque des arrêts au coeur

Certains vomissent du sang… À cause du caillou blanc

Je sais qu’ces casse couilles mentent…

J’fais semblant d’les écouter ouais…

Comme une blonde en soirée

J’analyse la vie : comme un anthropologue

Faut que j’arrête le psychotrope un type au top même si dans mes sons j’suis ce psycho gore

OPM tire au torse... Sur ces tires aux flancs

J’suis philosophe… comme le pote Adam

Comme Batman j’arrive à temps tire sur ces types badants

J’repars avec une bitch plus bonne qu’Eva Mendes dans Hitch t’entends ?

Freestyle avec mes types en trans’
Sous l’effet dl’a loud je suis tranks’

Mon rêve est dense

Et très étrange

J’y vois un géant méchant qui démembre des gens, une très grande légende

De l’underground au microphone, pour voir ces boloss b’soin d’un microscope

Hijo d’pute, si tu m’klaxonnes j’descend d’ma caisse et j’te gifle au stop

Je ne consomme plus de sirop d’cod...

Ni d’éthanol, c’est extra cool, avec trois poufs, dans un manoir baroque

Prince du hardcore, j’m’exprime en argot

Homme de lettre ardu comme André Malraux

Le style est fat je sais qu’t’as mal gros

Han

Homme de lettre ardu… comme André MalrauxEmbed"
Sauveur Eloheem,Andromède,"1 ContributorAndromède LyricsMon coeur est glacial, comme l’antarctique

L’amour est torture est ma haine est cathartique

C’est d’la poésie prophétique

J’écoute Satie sur Neptune, fume un spliff, que des porcs ici

J’ai causé du tort ici, et partout où je passe

J’me sens comme un cancer et chaque matin j’me dis qu’faut qu’je brasse

J’détruis le concept d’humain en une phrase

Han, vous êtes les plus nazes

Pédales !

J’suis Caravage réincarné, tout le monde se dit c’est un taré

Mais j’ai mon Sizzurp et ma pute et je viens tout m’accaparer

Check ça

Le See Dee, c’est mon fréro, je sirote un tropico
You might also likeBellek à pas t’faire fumer dans la rue comme à Chicago

Et ya ma bitch à gauche

Blonde, 90d qui tise la gnôle

Cult leader comme Ill Bill, j’suis Leané comme Pimp C

Cult leader comme Ill Bill, j’suis Leané comme Pimp C

Poufiasse !


Double uzi en provenance d’israêl

J’tise la bière

Ma devise c’est nique ta mère, on déboule à seize

Si tu joues le gai luron

Tu fais le flégon

Ils m’ont golri tes jurons

Une balle dans la tête arrive vite, petite bite
Demande à Aristide, le son est magnifique

Ta vu comment j’pose le seize

Frais depuis Andromède

J’gratte sur mon android ce texte de merde, qui f’ra mouiller le sexe d’vos mères

J’arrive en 600 s, te laisse en hass

Le dimanche après midi je me promène avec ta pute en laisse

Les rappeurs sont des chattes

Ils sont si wack

À quoi servent tes abdos si j’tire au .38 dans ton six pack

Faut qu’tu m’expliques aç, espèce d’ptite tass

Arrête la C, t’es galbée comme une anorexique qu’aurait chopé l’dass...

EloheemEmbed"
Sauveur Eloheem,Aphrodite,"1 ContributorAphrodite LyricsDétérioration clonale intra-cellulaire
Adrenochrome des reptiliens d’l’enfer
J’suis dans l’Bohemian Grove
Pire humain d’la sorte
J’héberge des martiens dans différentes grottes, Behold a Pale Horse
Sous mescaline près d’l’Aera 51
Pendant qu’Oussama, Tupac fument de l’herbe, dans une forteresse militaire
Totalement sinistrée, près du cadavre de Kurt Cobain
Rob Halford n’est pas responsable d’un suicide
Marilyn n’est pas responsable d’une tuerie d’masse
Arrête tes putains d’simagrées, Brixton j’descends dans six arrêts
Ridah fracass’ aux opiacés comme six chômeurs au Zimbabwe
J’destroy les porcs, exhorte les fiottes vers la sortie, déplore des proches
Le yiddish la seule langue dans laquelle à des soldats on n’donne pas d’ordre

Pour voir qu’ils sont falsh j’ai pas besoin d’ma loupe, pour grandir j’ai pas besoin d’la Soupe
Dans mon veau-cer c’est comme si j’avais grandi à Kaboul, tel le commandant Massoud
En ta compagnie on s’fait chier comme à Strasbourg
Écoute ouais, ils dégoutent ouais, t’es dérouté d’la façon dont j’ai découpé
Argento du rap, t’es Uwe Boll ou Norbert Moutier
J’la finesse d’Henry Miller toi d’un chauffeur routier
Repose en paix Freddo
Un blunt c’est toujours sans tabac
Fais peur à l'état français comme un regroupement d’ 100 arabes
De ma vie j’ai perdu l’sens depuis qu’avec Aphrodite j’danseYou might also likeEmbed"
Sauveur Eloheem,Baby Rosemary,"1 ContributorBaby Rosemary Lyrics{Couplet 1}

Un doigt sur la gachette, 666 facettes
Leur veau-cer dans mon assiette

À l’aise sur Boom Bap comme sur de la Trap mec
Après quelques mesures, les âmes noires rentrent dans mon traquenard mec

Beaucoup d’bâtards parmi les acolytes, en même temps qu’est-ce c’qu’on mérite quand on a été l’pire des alcooliques

J’pèse comme cent kil’, c’est un peu comme si j’avais vécu cent vies
À chaque EP distribue cent gifles

Référence obscure, occulte
Faudrait qu’un profiler m’osculte

Malfaisant et trop gore
Pendant sa descente aux enfer
C’est moi qui fournissait la blanche de Scott Storch

{Refrain x2}

J’suis c’nouveau rare Pokemon
Quand tu m’écoutes c’est shoot de Dopamine
Car elle est dope ma shit
You might also likeSpécialiste en botanique
Quand on pull up tes kho’ paniquent

Horrifique
Baby Rosemary

Spécialiste en botanique
Quand on pull up tes kho’ paniquent

Horrifique façon Baby Rosemary

Spécialiste en botanique
Quand on pull up tes kho’ paniquent

Horrifique Baby Rosemary

{Couplet 2}

Eloheem notre mission victimiser ces pitres
Eloheem notre mission distribuer des giffles

Aimez-moi malgré tous mes déboires
Mes traumas sont intactes ouais j’ai bonne mémoire

J’ai pas envie que comme Jim on m’retrouve mort dans ma baignoire
J’ai pas fini mon ascension j’suis sur le départ
Quand j’sortirai mon treize titres vous subirais le trépas
À la fin de l’univers j’me prépare

J’communique avec les entités
Ou est-ce mon subconscient qui m’égare

J’roule un très gros spliff après mes ébats
Un putain d’sale climat, j’demeure un pessimiste comme Ladislav Klíma

{Refrain}

J’suis c’nouveau rare Pokemon, quand tu m’écoutes c’est shoot de Dopamine
Car elle est dope ma shit

Spécialiste en botanique quand on pull up tes kho’ paniquent

Horrifique
Baby Rosemary

Spécialiste en botanique quand on pull up tes kho’ paniquent

Horrifique façon Baby Rosemary

Spécialiste en botanique quand on pull up tes kho’ paniquent

Horrifique Baby RosemaryEmbed"
Sauveur Eloheem,Bataille,"1 ContributorBataille Lyrics(Voix de Georges Bataille) : Évidemment cela n’apparaît pas clairement au premier abord, mais il me semble que si la littérature s’éloigne du mal, elle devient vite ennuyeuse

Ici no censure mec, l’underground l’a en travers d’la gorge dans tous les sens du terme
À propos du Saint Marcellin, pratique la magie noire comme l’autre connasse des Marseillais

Trop d’drogues de synthèse,  tu m’parles on dirait Loana chez Ardisson

Cuttlefish, énigmatique comme le cube d’uranium nazi trouvé en 2013

J’vais pas passer par quatre chemins, écrire quatre parchemins
J’me sens disciple de sonne-per, parfois inspiré j’trace mon chemin

Ton équipe c’est l’grec du coin, on est la grande gastronomie
Une droite, j’te monte en l’air façon astrologie

Debussy en fond sonore, tous les jours la mort m’honore
Là où sur l’dark net : la vie d’une femme ou d’un enfant s’monnaye

Obésité, cancer, maladies vasculaires
Tu veux m’contacter, cherche les trois chiffres dans l’annuaire

Un putain d’bison, coup d’boule de Zizou j’m’en prends au bizus
Fugazi dans l’visu - uzi, l’antithèse musicale de Zazie

Chivas, trois chiffres le cigare bitch ass on t’t’abasse, un vrai carnage
Salute VVSPANTHER, j’ai presque vécu c’que vécu Vincent Vega, avec Mia Wallace
You might also likeHan

L’air sombre, capuché sous l’abribus, tu paye cent pour cinq dragibus
Ils s'sont enterrés tout seul comme Canibus, la concu est archi nulle

Tous les jours j’prêche dans l’désert, des cernes des vers
J’ai assassiné l’verbe

Pour la sauce piquante j’rajoute un extra-dollar
Les opps sont bons qu’à s’goder comme Belladonna

Transforme ces concurrents en cire, porte des bottes en cuire
Imposant, inspirant, vile, comme William Braunstein

J’rap pas la street, j’fais d’la musique
Fais dégueuler l’audience comme à une projection 4k d’Irréversible

J’sais que l'style t’agaces et qu’la technique t’fascine
J’me sers un thé j’m’allume une clope j’souris puis j’t’assassine

…

Eloheem

2021Embed"
Sauveur Eloheem,Business,"1 ContributorBusiness LyricsBusiness, business, business, business

Trop d’fois l’coeur brisé, j’crois qu’j’rentrerais dans le Guinness

Hin

Business, business, business, business

Yah

S/O Shay
S/O Tout l’monde en fait
J’arrive sous amphètes parce que c’est la fête, une montée d’MD et j’…. ta tête
Dans c’peura, j’suis juste un con en plus… Qui fait partie du consensus
Ces cons sont arrogants mais ces cons s’en sortent
C’est rare que bien on s’comporte

T’act chelou tu prends la porte
Hardcore jusqu’à la mort comme …
Met tout l’monde d’accord (… Eloheem !)

Héroïne sonore, terrorisme sonore
Seul le crime m’honore : trois heures du mat’ j’roule un stick devant un porc

Et tu sais qu’c’est gore ! Tu sais qu’ça l’fait
Comme ce son, comme elles cuisinent le Maffé
You might also likePersonne me comprend mais j’men bat les couilles
Sur toi craches les douilles tu finis en dépouille
J’ai les knuckles si tu veux en découdre, lorsque Dieu te parle : soit bien à l’écoute…

Business, business, business, business

Trop d’fois l’coeur brisé, j’crois qu’j’rentrerais dans le Guinness

Business, business, business, business

Business, business, business, business

Trop d’fois l’coeur brisé, j’crois qu’j’rentrerais dans le Guinness

Business, business, business, business

J’crois qu’j’rentrerais dans le GuinnessEmbed"
