Artist,Title,Lyrics
Shone d'Holocost,"1,2,3","3 Contributors1,2,3 Lyrics[Refrain]
1 2 3 les grands iront au card-pla
A 4 ou 5 6 obnubilés par le biff
7 8 9 hein hein ils n'aiment pas les keufs
Tous ces dealers et ces braqueurs messieurs sont nos grands reufs
1 2 3 les grands iront au card-pla
A 4 ou 5 6 obnubilés par le biff
7 8 9 hein hein ils n'aiment pas les keufs
Tous ces dealers et ces braqueurs messieurs sont nos grands reufs

[Couplet 1]
1.2.3 petit je suis au card-pla
Ne me demande pas pourquoi ...

[Refrain]
1 2 3 les grands iront au card-pla
A 4 ou 5 6 obnubilés par le biff
7 8 9 hein hein ils n'aimеnt pas les keufs
Tous ces dеalers et ces braqueurs messieurs sont nos grands reufs
1 2 3 les grands iront au card-pla
A 4 ou 5 6 obnubilés par le biff
7 8 9 hein hein ils n'aiment pas les keufs
Tous ces dealers et ces braqueurs messieurs sont nos grands reufsYou might also likeEmbed"
Shone d'Holocost,13 Fantômes,"5 Contributors13 Fantômes Lyrics[Paroles de ""13 Fantômes""]

Ouais ouais , ouais ouais , ouais ouais , ouais ouais
Negro you loose quand les putains de portes de la scénic s'ouvrent ouais ouais
Negro you loose quand les putains de portes de la scénic s'ouvrent ouais ouais
Negro you loose quand les putains de portes de la scénic s'ouvrent ouais ouais
Negro you loose quand les putains de portes de la scénic s'ouvrent ouais ouais

[Couplet 1]
Shone d'holocost j'ai du sale sur les mains j'te montre pas sinon tu parlera plus mon négro
D'plus en plus tôt c'est avec la farine qu'ils font leurs pains j'te parle pas de boulangerie négro
Complexie , suce la jalousie parce que shone baise en qualité avec ses défauts
Tu peut critiquer mais au finale c'est comme un film de boules je fais toi tu regarde negro
13 Fantômes dans l'industrie , j'l'ai choisis j'pose mes couilles j'fais tout moi même comme au teu-chio
Tema cette société d'enculos , veulent qu'on fasse des crédits nous on veut faire des euro
J'ai 10000 priorités , j'suis pas comme eux , pour moi les chattes n'en sont pas une seule négro
A l'aise dans mes dépositions au ste-po, on est venu en bateau negriers mené les shmitts en bateau
La vie est sale tu sors de chez toi propre , bleh tu te fait netoyer négro
Les gens t'aiment te feront mal
Bénie soit ma parano
Tu ne fais du mal qu'a toi quand tu nous ment sur la tenneur des tes cheu-po
Ne nous dit pas que s'est ta pute alors que tu parle avec elle d'avenir à deux dans l'intimité d'une chambre de tel-ho
Fière de ce qu'on est , fière de ce qu'on est pas
Dans l'adversité khey vois tu mes pas
Plus j'connais l'être humain et moins ma vie me déçoit
J'veut qu'l'oseille gardez le champagne et la reg-loi
J'suis comme ça en affaire , brouillards dans le veau-cer
13 Fantômes
You might also like[Refrain]
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrent

[Couplet 2]
J'men bat les couilles d'la célébrité , préfère mailler dans l'obscurité
J'avais des affaires a faire tourner comment t'expliquer j'ai mal tourner
Pisse du diable dans le rre-ve , les gens te pleurent la vérité
Tu repensera au bénef niquer en soiré quand payer l'avocat deviendra difficulté
Apprenez a différencier percer et se faire percer (percer)
Liberté , égalité , fa-famille expulsé
Dieu seul sait j'me fait la guerre , pour trouvez la paix
Si je m'écoute re-fré j'les laisse tous pour morts ou handicapé
Matières grise pour faire du vert jaune violet (du vert jaune violet)
13 Fantomes igo dans la paume brouillards epais
On mène tous des vies ou faut pas se faire griller
Depuis le début trier pour un futur mitrailler on fait les choses sans brailler

[Refrain]
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Brouillards dans le veau-cer , brouillards dans le veau-cer
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrent
Negro you loose quand les putains d'porte de la scénic s'ouvrentEmbed"
Shone d'Holocost,Adriana,"1 ContributorAdriana LyricsAdriana
Otišla si,za sobom ostavila bol
Samo tuga i praznina
Zbog jedne žene, ispao budala
Zbog sto drugih, prodala me mala
Nikad nije ni znala da voli
Nekog ko joj dao život goli
Ko rođeno dijete, je zavoliš tako snažno
A ona te izda, hladno i lažno

Ref X2
Adrina, ime tvoje sad je rana
Svaka suza za tobom je uzaludna
Srce moje kao staklo lomi
Dok ti s nekim drugim dane brojiš

Nek te život nosi gdje god želiš
Ali rane koje nosim nikada ne prolaze
Bio sam tu za tebe, a sad samo sijećanja
Nikad nije ni znala da voli
Nekog ko joj dao život goli
Ko rođeno dijete, je zavoliš tako snažno
A ona te izda, hladno i lažno

Adriana, ime tvoje sad je rana
Adriana, imе tvoje sad je rana
Adriana, ime tvojе sad je rana
Adriana, ime tvoje sad je rana
You might also likeRef X2

Adrina, ime tvoje sad je rana
Svaka suza za tobom je uzaludna
Srce moje kao staklo lomi
Dok ti s nekim drugim dane brojiš
AdrianaEmbed"
Shone d'Holocost,Alcool & bédos,"3 ContributorsAlcool & bédos Lyrics[Couplet 1 : Shone]
Tu connais notre ambiance c'est Forest Foss Hall
Ça parle des chèques sous bédo, bédave et alcool
Dans mon hall y'a plus d'élèves qu'à l'école
Là bas on les colle donc ils désertent sur le sol
Pour les sous sols de mon quartier
Pour les cages d'escalier pleines de capotes usées
Ze Pequeño chez nous y'en a des milliers
Arrachage de Poste égal billets
On est 10 dans le hall khey
Et biеn qu'il caille
On est àl en plus taillе
Et sur les 10, 7 sont faya
Haleine sky ou hiya
Comme aux 2 bis-canna
Original caillera, une bouteille sur le banc
Entre les doigts bien més-cra un joint de crypte
9.3 sseuse-cra dans le coin
Putain à cette heure ici un bon boule y'a rien

[Refrain : Shone]
Tu connais notre ambiance c'est Forest Foss Hall
Teum teum bédo cool-al béda
...

[Pont : Shone]
Check ma galère check-check ma galère
...
You might also like[Transition : Shone]
...

[Couplet 2 : Shone]
...Embed"
Shone d'Holocost,Alleluia,"4 ContributorsAlleluia Lyrics[Intro :]
Que le jour de paye soit béni
Que le jour de paye soit béni
Que le jour de paye soit béni
Y a trop d'oseille sur cette Terre pour que j'prenne pas mon llet-bi

[Couplet 1 :]
Ils peuvent trahir leurs G's moi négro je ne peux pas
Ferme ta gueule, parle pas de moi khey tu me connais pas
Atroce récital, j'viens d'plus bas que Big Poppa
Mes soces me proposent plus d'aller en ré-soi ils ont comprit que j'm'en bas
J'suis trop dur, c'que les femmes disent de moi
J'suis l'épine sur la rose, Dieu l'a voulu comme ça
Africain du 93, tend pas l'joint si c'est pas de la ppe-fra
Peau noir, réflexions bizarres, banlieusard, Dieu l'a voulu comme ça
Dans un bar verre de coca, hé on a bibi la coca
Ferme ta gueule Dieu seul sait s'il nous pardonnera
J'vois plus les choses pareil, comme si j'venais de ché-cra
Jour de paye, Alléluia, jour de paye, Rest In Peace Soldat
J'vois plus les choses pareil, comme si j'venais de ché-cra
J'vois plus les choses pareil, comme si j'venais de ché-cra
J'vois plus les choses pareil, comme si j'venais de ché-cra
Jour de paye, Alléluia, jour de paye, Rest In Peace Soldat

[Refrain :]
Jour de paye (Alléluia !)
Manque a l'appel Rest In Peace Soldat !
Jour de paye (Alléluia !)
Manque a l'appel Rest In Peace Soldat !
(Alléluia ! Alléluia !)
Jour de paye (Alléluia !)
(Alléluia ! Alléluia !)
Manque a l'appel Rest In Peace Soldat !
You might also like[Pont :]
Que le jour de paye soit béni
Que le jour de paye soit béni
Que le jour de paye soit béni
Y a trop d'oseille sur cette Terre pour que j'prenne pas mon llet-bi

[Couplet 2 :]
Tchekson collocation avec un calibre
Au placard lis des livres, petit frère la connaissance délivre
Rien d'nouveau les condés nous suivent
Mais qu'est ce qu'on sen bas les gklaoui, négro c'est la iv'
La vérité appartient au plus convaincant
Nou konsentré anlè lajan breeeh dans les bes-jam
Nos femmes n'font pas d'histoires pour aller faire la vaisselle
La mienne est bien élevée je ne sors que les poubelles
Les racistes font honte a la race humaine (fils de pute !)
La jalousie n'a jamais sauvée l'homme khey
La tess m'a dit ""Je t'aime"", j'ai tiré en l'air et répondu ""Moi aussi !""
Que le jour de paye soit béni

[Refrain :]
Jour de paye (Alléluia !)
Manque a l'appel Rest In Peace Soldat !
Jour de paye (Alléluia !)
Manque a l'appel Rest In Peace Soldat !
(Alléluia ! Alléluia !)
Jour de paye (Alléluia !)
(Alléluia ! Alléluia !)
Manque a l'appel Rest In Peace Soldat !
[Pont :]
African west coast comme le negro Jack Many
Barres sur les ""T"" négro sur bécane en ""i""
African west coast comme le negro Jack Many
Barres sur les ""T"" négro sur bécane en ""i""

[Outro :]
J'vois plus les choses pareil
J'vois plus les choses pareil
Jour de paye, Alleluia !
Jour de deuil, Rest In Peace Soldat !5Embed"
Shone d'Holocost,"Assassin de Tupac, assassin de Biggie","1 ContributorAssassin de Tupac, assassin de Biggie Lyrics[Couplet 1]
Je ne suis qu'utilisé dans cette société
Pauvre ou riche tout le monde avec moi veut rider
Je ne parle pas je ne fais que cracher
Après mon passage ils chanteront Papaoutai
Corps entièrement froid brûlant mon extrémité
J'ai camouflé leur lâcheté j'ai développé leur fierté
En moi ils ont confiance bien plus qu'en leur refré
...
Circoncision canon scié
Règle la température du ghetto négro
Maléfique cyclope entre tes 2 yeux kholoto

[Refrain]
Trou de mémoire dans la tête d'une mère
Après le jour de deuil c'est moi qu'on enterre
Calibrer un négro coulent les larmes d'une soeur
Je t'ai donné du courage frère quand t'avais peur
Trou de mémoire dans la tête d'une mère
Après le jour de deuil c'est moi qu'on enterre
Calibrer un négro coulent les larmes d'une soeur
Je t'ai donné du courage frère quand t'avais peur


[Couplet 2]
Assassin de Biggie, assassin de Tupac
Faiseur de légendes partenaire du massacre
Dans les rues de New Jack Nino Brown au crack
Je n'ai fait que du mal rouge sang est le lac
Je déborde de remords mais je suis sans pitié
Mon espèce a rendu ton gosse handicapé
J'en ai marre de tirer j'en ai marre d'hurler
...
You might also like[Refrain]
Trou de mémoire dans la tête d'une mère
Après le jour de deuil c'est moi qu'on enterre
Calibrer un négro coulent les larmes d'une soeur
Je t'ai donné du courage frère quand t'avais peur
Trou de mémoire dans la tête d'une mère
Après le jour de deuil c'est moi qu'on enterre
Calibrer un négro coulent les larmes d'une soeur
Je t'ai donné du courage frère quand t'avais peur

[Pont]
Assassin de Biggie assassin de Tupac
Assassin de Biggie assassin de Tupac

[Couplet 3]
J'inverse la vapeur matérialise la douleur
Génocide et terreur, finition du killer
...

[Refrain]
Trou de mémoire dans la tête d'une mère
Après le jour de deuil c'est moi qu'on enterre
Calibrer un négro coulent les larmes d'une soeur
Je t'ai donné du courage frère quand t'avais peur
...Embed"
Shone d'Holocost,Death Row,"1 ContributorDeath Row Lyrics[Refrain : Shone]
... trompe la mort quand la lune est noire
Enfant du ghetto au bord du désespoir
...
Enfant du ghetto enfant du ghetto
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row

[Couplet 1 : PPROS]
Fuck l'affectif ...

[Refrain : Shone]
... trompe la mort quand la lune est noire
...
Enfant du ghetto enfant du ghetto
Je me sens comme Tookie sur la chaisе électrique
Death Row Dеath Row
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row

[Couplet 2 : Kolonel 94]
...

[Refrain : Shone]
... trompe la mort quand la lune est noire
...
Enfant du ghetto enfant du ghetto
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row
You might also like[Couplet 3 : Gradur]
Eh ouais mon négro négro l'heure du crime a sonné
Gradur sur du GFG je reviens les assommer
Comme Madibo au combat je vais encaisser les coups bas
Trop vrai négro pour courber l'échine face aux toubabs
Bien plus que l'enfant du ghetto moi j'suis son soldat
Le son des braves écouté dans le hood, bats les couilles de leurs dios-ra
Fuck la BAC et les mbilas tous ces fils de pute qui nous veulent du mal
Par la fenêtre ter-sau pour les vesqui quand ça perquise à 6 du mat'
...

[Refrain : Shone]
... trompe la mort quand la lune est noire
...
Enfant du ghetto enfant du ghetto
Je me sens comme Tookie sur la chaise électrique
Death Row Death Row
Je me sens comme Tookie sur la chaise électrique
Death Row Death RowEmbed"
Shone d'Holocost,Enfants du ghetto,"5 ContributorsEnfants du ghetto Lyrics[Introduction]
-T'as toujours ton p'tit air minable, mais tout le monde sait qu'tu t'fais un max', hein
Et pourquoi t'as toujours l'air d'un pauvre type ?
Qu'est-ce que tu fous d'ton fric ?
Tu l'planque pour qu'il fasse des p'tits ?
Ah moi dès qu'j'aurai du blé j'vais m'acheter les nouvelles Nike genre dix paires
Et puis j'vais m'payer plein d'truc en or mon pote, tout en or, comme cette dent là
Et des [XXX] aux cinq doigts et j'f'rai mettre mon nom en lettre d'or partout, putain
-Mais t'as même pas d'nom
-J'en aurai un quand j'aurai du blé

Ouais, ouais
Ghetto Fab' Gang
Yo, ouais, ouais

[Couplet 1 : Scar Logan]
J'ai grandi dans la soif
D'oseille pas dans la soie
Ma vie ne tient pas debout man
Mais j'ai pas l'temps d'm'asseoir (ça va de soi)
J'n'ai pas l'droit de tomber, d'me tromper
Certains attendent nos erreurs pour commenter c'que l'on fait
J'ai j'ai l'visage humide, j'ai les nerfs à vifs, garçon
Si ça coule c'est pas des larmes, man c'est d'la transpiration
Pas l'temps d'm'apitoyer, d'aboyer comme un caniche
J'ai voulu travailler mais j'serai pas riche en étant cariste
Mec, faut le khalis, j'ai des p'tits frères et sœurs
T'as pas la mentale, t'es lamentable, t'es faible et seul
J'me dois de donner l'exemple, d'être dur même en les vexant
On a pas les mêmes chances, p'tit frère faut être méchant
J'me suis fait tout seul mais je ne l'suis pas
C'est pas sur Twitter que mes potos me suivent, gars
On s'est promit la richesse, la santé sous serment
On est résolue chez nous c'est tout les jours nouvel an
You might also like[Couplet 2 : Kolonel 94]
Tu vois pas plus loin que ta visière
J'mets un coup d'flamme sur un bédo
Ces putes te parlent de misère mais  ils ont jamais vus l'ghetto
C'est Val-de-Marne, Vitry, freulo asile à ciel ouvert
VMA, A6 freulo, on t'allume à découvert
[T'es un relai ?], j'fais une recette
Faut un 6.50, 4 temps
XXX du recèle, le succès ça ne dur jamais qu'un temps
Vend l'carton arrête-toi là
Pour mes p'tites sœurs et mes p'tits frères qui marchent pieds nus à Douala
Acquisition frauduleuse, j'suis en mission comme un missile
Une perquisition freulo c'est une violation d'domicile
Comme tout c'qu'y est à ta portée du minimum rational
J'ai avorté ma carrière dans l'trafic international
Mettre à mort le rap gay, ouais poto on va faire ça
C'est Kolonel 94, te mêle pas de mes ffaires-a
Vous êtes tous dead, y'a pas d'game c'est pas gai
J'vous charge tous dans l'corbillard du Ghetto Fabulous Gang

[Refrain : Shone] X2
Le biz', le ghetto
La mif', la rue
La tise, le bédo
L'odeur, le bruit
Insoumis à l'État quand ils pleurent moi je ris
Enfant du ghetto on n'fait pas de mal ici
[Couplet 3 : Ppros]
Qui veut m'boycotte ? Flow de dingue dingue
Flow qui flingue flingue, bing bing #Samuel Colt
Énervé, gueule fraîche #Nostradamos
J'suis dans les [XXX]
La [XXX] [délaisse ?]
On est à-l tu nous vois pas
'Ness-bu, grosses espèces en soum-soum, Illuminati
Hors la lois [baisé ?] thug life, Protocole fantôme
Zéro deux fois, 2.4.2, Salam Aleykoum
Yes, délictuelle sera l'pouvoir d'achat
[XXX], dimant noir, Kinshasa
[Deuz, deuz ?] société ofshor
[XXX] ici c'est qui qui pète le score ?
Enfant du ghetto, condamné j'suis passé à PDG
Il dit qu'c'est lourd mais comme dirai Shone : j'dirai ""qu'c'est léger""
MDRG anti [XXX] à la [XXX]
La mère au Rap français on lui forcer à faire un IVG

[Couplet 4 : Shone]
Te place pas en victime si on veut t'fumer zerma c'est pas toi
Y'a pas d'fumée sans feu ça va du 3.5.7 au A.K
Baise les husslas qui laisse leurs mères dans la hassra
Ces chiens sont égarés wallah qu'c'est pas le ghetto qu'apprend ça
On est plus esclaves j'veux pas que mes gosses disent ""maître"" en classa
Un mec de tess qui devient condé c'est de la haute trahison ça
Enfant du ghetto j'avais une rustine sous ma semelle, moi
Aaarrh putain j'veux plus jamais revivre ça
J'suis fais d'sang et d'Arome MAGGI mes Africains comprennent ça
Harcelé une p'tite de sa tess c'est sacrilège comme Ketchup Yassa
Trêve hivernale j'dis pas ""merci"" mais ""nique ta mère"" à l’État
Avoir un toit hommie devrait être un droit pas un luxe, aaarrh
On a tellement volé qu'on a pas l'réflexe de l'achat
Vivre honnêtement c'est bien plus dur que faire un bquage-bra
Passe le salam au coins de la pauvreté meurtris on vient de là
Authentique mec de té-ci AlHamdoulilah
[Refrain : Shone] X2
Le biz', le ghetto
La mif', la rue
La tise, le bédo
L'odeur, le bruit
Insoumis à l'État quand ils pleurent moi je ris
Enfant du ghetto on n'fait pas de mal ici1Embed"
Shone d'Holocost,Ennemi d’État,"3 ContributorsEnnemi d’État LyricsRessens la peine
Ghetto Fab Gang
Bang bang de l'Etat
Nous sommes les ennemis !
Ceux qui parlent mal sur l'Islam
Tentent d'en ternir son image
En colportant du faux khey
Ce sont mes ennemis !
Skyrock Booska-p ne sont pas premier sur le R.A.P
Mais sur les rappeurs signés
Ce sont mes ennemis !
J'parle mal khey j'm'en bat les couilles, t'es mon ennemi !
Liberté égalité c'est un mensonge de l'ennemi !
L'Etat français, et sa fausse fraternité demande aux SDF c'qu'ils peuvent en penser
Ennemis !
Les ennemis d'l'Afrique sont mes ennemis
Si tu nous déshonore peu importe que tu sois de ma té-ci, ennemis !
Tous les groupuscules ayant pour idéologie le fascisme, le racisme, le sionisme, ennemis !
Ceux qui minimisent la femmme sont mes ennemis !
C'est aux pieds de nos mères que se trouve le chemin du paradis

Ennemis, ennemis, Ghetto Fab Gang sont vos ennemis
Nous sommes contre le mariage gay. Et toi MC
Peu importe qu'ils te boycottent, la vérité avant l'llet-bi
Complot d'Etat, l'affaire Mohamed Merah, manipulation des esprits afin d'servir l'ennemis !
Un gros molard sur le Charlie Hebdo Zebi
Qui caricaturent les prophets sont automatiquements ennemis !
De la paix, ennemis de la paix
Ils savaient bien ce que cet acte pouvait engendrer, ennemis !
Les chefs d'Etats africains face à l'Occident soumis
Qui vendent leur peuple pour vivre, putain d'V.I.P, ennemis !
Toi le noir qui renie ton africanité, ennemis !
Tu es notre ennemi, tu es notre ennemi
MC ton rap méprise les pauvres
Tu les nargues avec des loves
Du ghetto tu es l'ennemis !
Ex ex présent futur ennemis !
Chacun sait que la police nous l'a mise
Tu crèves le rap game et les serpents de l'industries
Ghetto Fab Gang à jamais, à jamais insoumis
You might also likeEnnemis, ennemis, Ghetto Fab de l'Etat nous sommes les ennemis
Liberté, égalité j'suis ton ennemis, caricature du prophet j'suis ton ennemis
Ennemis, ennemis, Ghetto Fab de l'Etat nous sommes les ennemis
Liberté, égalité j'suis ton ennemis, caricature du prophet j'suis ton ennemisEmbed"
Shone d'Holocost,Faire-part,"3 ContributorsFaire-part Lyrics[Intro : Menace To Society & Kozi]
C’était l’négro l’plus barge de la Terre, le cauchemar. Jeune, black, et t’en as rien à branler
Hood Music
Shone d’Holocost
Alpha 5.20
9-2 est dans la maison
Jeune, black, et t’en as rien à branler
Kozi Niama
Jeune, black, et t’en as rien à branler

[Couplet]
C’est soit tu baises ton froc, soit tu restes vrai
Desert Eagle, AK pour t’tenir en respect
Dis-leur Shone d’Holocost
C’est dangereux quand Kozi cause
J’ai commencé l’peura à l’époque de Tupac pas de Migos
Au micro, les MCs jactent, jactent mais personne n’agit
Comme les Qataris j’ai rendu l’9-2 magique
Sept sur sept j’écris des textes appelle-moi Machine
Trop de contrefaçons d’flow
Putain c’est pire que la Chine
La prod’, je la tabasse pas niama je la fume
J’récidive igo car une fois n’est pas coutume
Le rap un film de cul moi j’suis pas dans leurs touses-par
Big up Boulbi, Issy, car c’est d’là que tout part
Cette année j’vais tout baiser j’vais vous en faire part
Ton flow pue la merde, rappe avec du fum-par
Cette année j’vais tout baiser j’vais vous en faire part
MC ton flow pue la merde, rappe avec du fum-par
You might also like[Outro]
Ah ouais mon pote
Du sale proprement
À XXX, à Sanna
Studio Boulbi
Adrien, Mouss, Jibril
Face mée-cra, Rimo
I.2S.Y gros
L.I.M, Bilel, Robert
La ZAC, PDS, Square
Longue vie à nous khey
Niama
Jeune, black, et t’en as rien branlerEmbed"
