Artist,Title,Lyrics
Sonny Rave,AU COEUR DU MIEN,"3 ContributorsAU COEUR DU MIEN Lyrics[Paroles de ""AU COEUR DU MIEN""]

[Couplet 1]
Ai-je assez fais mes preuves ?
Souvent broken mais mon cœur était tendre
Comment faire ? Comment en finir ?
Maintenant qu’j'suis dedans, j’en veux encore
Mais j’veux en finir, sans s’blesser pour autant
Tamisée, une ambiance, un décor digne d’un Wes Anderson
J’vois ton âme immaculée, t’es unique en ton genre
Est-ce vrai ? Ou un mensonge ? Tu m’avais prévenu pourtant
Ce n’est qu’une histoire de lo-o-o-o-ove
Juste la meilleure version de toi-a-a-a
Une soirée chic un tour de P-o-o-o-rsche
J’te drague sur des airs d’Aaliyah
Ce n’est qu’une histoire de lo-o-o-o-ove
Tu dis qu’j’ferais tout pour t’avoir-oir-oir-oir
Une soirée chic un tour de Ro-o-o-o-over
Tu m’dragues en un regard

[Pont : Fae Sapienta]
Come on Sonny, for real ?

[Couplet 2]
Ai-je assez fait d’erreurs ? T’as dû capter l’effet qu’t’avais sur moi
Comment tu fais ? T’es sublime
J’t’imagine dans une robe
Oh babe, tu le sais, tu m’as laissé sans voix
Attirés, distants, on a peur de se confronter my love
Ensemble c’est trop dangerous, la tension qui augmente
Oh girl, il fait une chaleur quand t’es sur moi, oh nah
Passionné d’toi honey, sans toi c’est l’ennui
Quelle dose ? 2-3 shots, des sensations chéries
But I know, you know que j’suis sous ton emprise
Mon cœur s’emballe quand tes mains se faufilent
J’me retiens chaque fois comme si j’étais timide
But I know, you know que t’es ailleurs baby
You might also like[Refrain]
Un homicide, t’as visée pile
Pile en moi
Juste une fois, oh fuck it, c’est suffisant
Oh oui, tu m’laisses, oh no
Un homicide, t’as visée pile
Pile en moi
Juste une fois, oh fuck it, c’est suffisant
Oh oui, tu m’laisses, oh no

[Outro : Fae Sapienta]
I don’t know, I need some time for myself but i’ll be thinking about youEmbed"
Sonny Rave,BLS,"2 ContributorsBLS Lyrics[Paroles de ""BLS""]

[Couplet 1]
My bad si j’ai l’attitude à la Hendrix
1997, trop de bitches pour un quart d’vie
1.0.1.7 j'flex en Loewe pour un seul week
Missing calls sorry j’suis en facetime avec
Wait, ça fait qu’un été que les choses viennent
Few summers later j’suis à Bélize avec Halle Berry
Rocafella Rave Records next legendary
Hella woes, j’fume les soucis comme si j’étais béni

[Pont]
Appelle-moi que le week-end, lе week-end, oh
Appelle-moi quе le week-end, le week-end, oh

[Refrain]
Et les bitches le savent ouais
Ouais les bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches-bitches le savent ouais
You might also like[Couplet 2]
En YSL
Elle est wild quand le cash est là
Shawty porte mes racks
Malgré tout j’ai tenté de lui plaire, oh God babe
Outside j’me sens freaky
Text me later j’suis en meeting avec l’avenir
Big Rave meet sectra pour s’en sortir yeah
Tous les mois j’suis dans l’excès
Le time m’a rattrapé
C’que j'veux vivre c’est tout pour l’mob, oooh, moooob
Tous les mois j’suis dans l’excès
Le time m’a rattrapé
C’que j'veux vivre c’est tout pour l’mob, oooh, moooob

[Pont]
Appelle-moi que le week-end, le week-end, oh
Appelle-moi que le week-end, le week-end, oh

[Refrain]
Et les bitches le savent ouais
Ouais les bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches le savent ouais
Et les bitches le savent ouais
Ouais les bitches-bitches-bitches le savent ouaisEmbed"
Sonny Rave,Candy,"2 ContributorsCandy Lyrics[Paroles de ""Candy""]

[Intro]
En vrai j'ai honte d'montrer mes faiblesses
Sans montrer que ça me rend mad
J'rencontre des meufs qui sont amazing
Mais baby j'crois que tu me plais
En vrai j'ai honte d'montrer mes faiblesses
Sans montrer que ça me rend mad
J'rencontre des meufs qui sont amazing
Mais baby j'crois que tu me plais

[Refrain]
Candy, sauras-tu me dire si ça en valait la peine de s'souvenir ?
De nos meilleurs moments à s'aimer sans arrêt my shawty
Quе voulais-tu me dire avant toute cеtte vie là ?
Candy, sauras-tu me dire si ça en valait la peine de s'souvenir ?
De nos meilleurs moments à s'aimer sans arrêt my shawty
Que voulais-tu me dire avant toute cette vie là ?

[Couplet unique]
J'en ai mis du temps à oublier toutes tes humeurs
Cela me paraissait sorti tout droit du cœur
Ma vie en bad, bad, bad, bad, bad, bad
J'sais qu't'en dors pas la nuit
Au moment où je m'égare-gare-gare-gare-gare gare
Aux rumeurs qui pourraient nous nuire
Day'n'night, jours et nuits
A baiser dans un foutu Hellcat, foreal
A fuck dans un big penthouse, dans les hills
A fuck dans un foutu hôtel
Sex things, sex things, sex things
You might also like[Outro]
Candy, sauras-tu me dire si ça en valait la peine de s'souvenir ?
De nos meilleurs moments à s'aimer sans arrêt my shawty
Que voulais-tu me dire avant toute cette vie là ?
Oh candy, saurais-tu me dire si tout va bien ?Embed"
Sonny Rave,Caribbean Caress,"2 ContributorsCaribbean Caress Lyrics[Paroles de ""Caribbean Caress""]

[Couplet 1]
Sens-tu la mort qui plane ?
Comme un avant goût d'la suite, j'attends d'tes signs
Mais tu fais genre d'ignorer
Mais on sait tous les deux que t'es

[Refrain]
Dur à convaincre
J't'emmène faire un tour en caisse
Honey dans le SLS, on rit on s'envoie
En l'air j'ai compris l'bail laissons juste le temps faire les choses
Dur à convaincre
J't'emmène faire un tour en caisse
Honey dans le SLS, on rit on s'envoie
Dis-moi si j'rêve

[Couplet 2]
Dis-moi des mots doux ma baby, j'en ai besoin fort
J'ai un train à prendre pour heaven road avec mes dawgs
Seulement une dernière nuit à donner tout mon love
Oui, oui, oui, oui, oui, j'ai donné tout mon love
Perché dans les hills
Je n'ai d'yeux que pour ton body
Test me my lady
(Test me my lady oh test me my lady)
Dis-moi si t'es ok ?
Sinon dis-moi pourquoi ?
Perché dans les hills
Je n'ai d'yeux que pour ton body
Test me my ladyYou might also likeEmbed"
Sonny Rave,Chanel,"3 ContributorsChanel Lyrics[Paroles de ""Chanel""]

[Intro]
Bébé tu sais que j'suis sur le bail
Crois-moi j'ai l'intention d'faire du sale
Shawty couche-toi, mets-toi sur le side
Quand t'es naked, j'crois ça m'fait du bien

[Refrain]
J'pense à m'évader sans cesse
J'pense à l'après vie sans cesse
Questions sans réponse je m'entête
Des silhouettes aux formes bien bombées
Pardon si j'ai bousculé l'game
En Chanel, j'ai la best bitch foreign
Ton odeur qui m'rappelle Daisy
Une odeur qui me rend bien crazy
J'pense à m'évader sans cesse
J'pense à l'après vie sans cesse
Questions sans réponse je m'entête
Des silhouettes aux formes bien bombées
Pardon si j'ai bousculé l'game
En Chanel, j'ai la best bitch foreign
Ton odeur qui m'rappelle Daisy
Une odeur qui me rend bien crazy
J'pense à m'évader sans cesse
J'pense à l'après vie sans cesse
Questions sans réponse je m'entête
Des silhouettes aux formes bien bombées
Pardon si j'ai bousculé l'game
En Chanel, j'ai la best bitch foreign
Ton odeur qui m'rappelle Daisy
Une odeur qui me rend bien crazy
You might also like[Outro]
Bébé tu sais que j'suis sur le bail
Crois-moi j'ai l'intention d'faire du sale
Shawty couche-toi, mets-toi sur le side
Quand t'es naked, j'crois ça m'fait du bien
Bébé tu sais que j'suis sur le bail
Crois-moi j'ai l'intention d'faire du sale
Shawty couche-toi, mets-toi sur le side
Quand t'es naked, j'crois ça m'fait du bien
Bébé tu sais que j'suis sur le bail
Crois-moi j'ai l'intention d'faire du sale
Shawty couche-toi, mets-toi sur le side
Quand t'es naked, j'crois ça m'fait du bienEmbed"
Sonny Rave,Confessions,"6 ContributorsConfessions Lyrics[Paroles de ""Confessions""]

[Couplet 1]
J’suis en stress quand la chica est sad
Oh bien sûr, tu les connais
J’ai fait l’effort, j’ai fait l’effort de mettre des choses de côté
Y'a juste une sweat latine, oh, qui m’hypnotise, oh shawty
Et quand tes fesses se glissent dans une paire de jeans bien Céline
J’suis dans l’Benz je pense à plein de choses, à ma future vie
Je rêve d’une bad-bad gyal qui sait être chic quand c’еst permis
Oh na oh na, oh na, j’ai l’cœur rempli plein dе folie
(Folie, folie, folie, folie, folie)

[Couplet 2]
Crois-moi si j’t’ai promis ça, un horizon, juste un
My bad si tu m’attendais d'puis qu’j'ai dis qu’j'étais libre
J’ai juste envie de t'voir sur moi
Donner corps et âme sans me dire qu’tu m’aimes
Shawty veut une big ring, 100 000 livres rien qu’pour des remords
Oh, j'flex à bord du S-line berline
808 m'donne les frissons que je mérite
Laisse-moi m’exprimer pour te dire
Qu'j’ai enfin trouvé l’équilibre pour une vie saine
Oh, j'flex à bord du S-line berline
808 m'donne les frissons que je mérite
Laisse-moi m’exprimer pour te dire
Qu'j’ai enfin trouvé l’équilibre pour une vie saine
You might also like[Outro]
J’suis en stress quand la chica est sad
Oh bien sûr, tu les connais
J’ai fait l’effort, j’ai fait l’effort de mettre des choses de côté
Y'a juste une sweat latine, oh, qui m’hypnotise, oh shawty
Et quand tes fesses se glissent dans une paire de jeans bien CélineEmbed"
Sonny Rave,DANA’S LOVE,"3 ContributorsDANA’S LOVE Lyrics[Paroles de ""Dana's Love""]

[Couplet unique]
Une nuée de vautours dans l’désert pour m’accueillir dans la bad
Peut on dire que la fin est proche si j’ferme les yeux ?
Ma vision brouillée par les ténèbres là-haut
Le soleil s’est enfui pour laisser place à la nuit
Qui m’inspire de la peur des trouble hors normes
Mais qu’arriverait il si j'te laissais partir oh babe en as-tu envie ?
Et qu’en dit l’avenir ?
Jamais plus de late night ou nos body se disent à demain
J’ai assеz vécu d’drama pour ma part comme si j’étais bien
A 200 dans un virage suicidairе, j’suis sans souvenirs
My bitch dans un mirage tellement belle, low life sans souci
T’as entendu des choses atroces sur moi, des choses inutiles
Mais tes larmes sont-elles sincères dis moi nan ? J’te sens indécise

[Outro]
Ouh ohoh
Pas un jour sans penser à c'qui pourrait s’passer demain
Sans penser à la money que j’ai brûlé comme si j’étais blindé
Avec toi shawty non avec toi mon cœur est si geléYou might also likeEmbed"
Sonny Rave,DANSE MA BELLE,"3 ContributorsDANSE MA BELLE Lyrics[Paroles de ""DANSE MA BELLE""]

[Intro : Fae Sapienta & Sonny Rave]
I’m not tryna stare at anything serious right now
I don’t know, you’re so far away and, with your lifestyle it’s just not working for me
Ensorcelé, ensorcelé, ensorcelé
Ensorcelé, j’ai agis bêtement
I know you need it, I know you need it, I know you need it
Ensorcelé, ensorcelé, ensorcelé
Ensorcelé, j’ai agis bêtement
I know you need it, I know you need it, I know you need it

[Couplet]
J’rêve d’une relapse
Drogué et j’m’enferme
Suivi j’me sens
J’me sens observé
(Ensorcelé j’ai agis bêtement)
L’impression de perdre tout
Ces souvenirs que j’ai
Tant aimé my baby
(J’n’en demandais pas tant my baby)

[Refrain]
Danse ma belle, danse ma belle
Ten-ente-moi baby, tente-moi baby
Danse ma belle
Champagne chérie
Accroche-toi, c’est l’heure
Déhanche-toi cette nuit
Danse ma belle, danse ma belle
Ten-ente-moi baby, tente-moi baby
Danse ma belle
Champagne chérie
Accroche-toi, c’est l’heure
Déhanche-toi cette nuit
You might also like[Couplet 2]
J’aime quand shawty s’met à danser sur moi, oh j’évite
Car c’est danger, cette fois c’est limite
T’as mis les gems sur tes dents ? Move inutile
Gimmie head, gimmie head, j’crois qu’t’as compris
Que nos body vont s’assembler, fuck les conflits
Sur l’tec, sur l’tec, fuck les oublis
Une paire de runner pour affronter tous ces supplices
Luxury game j’fais en sorte d’faire celui qui

[Refrain]
Danse ma belle, danse ma belle
(E-E)
Ten-ente-moi baby
(ENDLESS FANTASY)
Tente-moi baby
Danse ma belle
Champagne chérie
Accroche-toi, c’est l’heure
Déhanche-toi cette nuit

[Outro]
Ensorcelé, ensorcelé, ensorcelé
Ensorcelé, j’ai agis bêtement
I know you need it, I know you need it, I know you need itEmbed"
Sonny Rave,DATE NIGHT,"3 ContributorsDATE NIGHT Lyrics[Paroles de ""DATE NIGHT""]

[Intro]
J’estime que malgré les mauvais choix, j’m'en sors plutôt bien
On s’plait mais le moment n’est pas opportun, oh shawty, oh
Quand ?

[Refrain]
Quand est-ce tu seras prête et dévouée pour moi baby ?
Oh shawty, I want ya (Shawty, I want you)
Besoin de toi, oh yeah (Besoin de toi everyday, baby)
Tu n’veux pas d’une rollie bust down ?
Ton cœur solide, oh bébé
Solide comme un rock mais le tien ne brille pas
Tu préfères les designers quand il est question de
Hermès j'vois qu’c’est bien trop classiquе pour toi
Black Dress Noten pour un dîner avеc un real man, oh my
We up all night, on s’drague, on s’fait du mal
Une ambiance tamisée au coin, j’te vois venir
Un regard plein d’amour interdit mais bon le mal est déjà fait

[Couplet unique]
J’crois que je m’égare
Déboussolé, j’sens qu’ce soir tu veux passer l’cap
Yuh mes lèvres
J’te vois m’dévorer du regard
Qu’importe la solution, c’que j’veux c’est toi et rien d’autre
A force de jouer, j’vois arriver la bê-tise
Trop tard baby, t’as commencé
A t’approcher trop près, t’as senti qu’j’étais pas loin d’le faire en premier
Une fois qu’t’es arrivée dans la zone rouge
Tes lèvres à quelques millimètres de ma bouche
On savait tous les deux, qu’c’était mort
You might also like[Refrain]
Quand est-ce tu seras prête et dévouée pour moi babe ?
Oh shawty I want yaou
Oh, j’ai besoin de toi, oh babe
Tu n’veux pas d’une rollie bust down honey ?
Ton cœur solide, oh bébé
Solide comme un rock sauf qu’le tiens ne brille pas
Oh, oh, oh, oh
Hermès j'vois qu’c’est bien trop classique pour toi
Black Dress Noten pour un dîner avec un real man, oh my
We up all night, on s’drague, on s’fait du mal
Une ambiance tamisée au coin, j’te vois venir
Un regard plein d’amour interdit mais bon le mal est déjà fait

[Outro]
J’crois que je m’égareEmbed"
Sonny Rave,D.ZHANG,"2 ContributorsD.ZHANG Lyrics[Paroles de ""D.ZHANG""]

[Refrain]
Ouais j'fall in love quand la nuit est bée-tom
Que les lights sont tournées vers baby
What can I say ? Shawty m'drague en ricain
J'ai pas les mots pour lui dire qu'suis sé-pri
Showtime oh
Showtime oh mami s'donne sur une bassline
Elle veut juste se réchauffer dans la D.Zhang, oh baby

[Couplet unique]
I'm feelin' myself
Je sens le gas en moi qui m'donne l'impression de fly high honey
Big rave dans l'truck, j'reste le même enfoiré depuis Spaceship Tesla tu sais
Mamacita bouge un peu tes hips like that
Cambre-toi un peu plus bas et whine avec rave
Oh my god j'sens le feeling j'sens les planètes s'aligner
Double M 6 Jeans dans le Margiela ship, ouais
J'ai tellement d'troubles que j'n'ai vraiment plus le time
Oh vraiment plus le time d'en parler
J'suis tellement lost à vouloir donner de mon time
A une bad-bad gyal sans mérite

[Refrain]
Ouais j'fall in love quand la nuit est bée-tom
Que les lights sont tournées vers baby
What can I say ? Shawty m'drague en ricain
J'ai pas les mots pour lui dire qu'suis sé-pri
Showtime oh
Showtime oh mami s'donne sur une bassline
Elle veut juste se réchauffer dans la D.Zhang, oh babyYou might also likeEmbed"
