Artist,Title,Lyrics
Teki Latex,Agent Orange,"5 ContributorsAgent Orange Lyrics[Intro]
Il y avait moi, c'est-à-dire Julien, et mes trois droogies
Nous étions installés au Korova Milk Bar à nous creuser le rassoudok pour savoir où passer la soirée
Au Korova on sert du Lait plus, Lait plus Vellocet, ou Synthemesc, ou Drencrom. Nous on en était au Drencrom, ça vous affûte l'esprit et ça vous met en train pour une bonne petite fête d'ultra violence

Huhuhuhu...
Tekitek...

[Verse]
Par le pouvoir du crâne ancestral,
La nature reprend ses droits
Teki Latex parle aux chats,
Soudain la réussite lui tend les bras !
Le film de ma vie bientôt dans les salles
Le doyen du rap païen
Dieu est dans cet arbre
Je n'en sais pas assez sur ce qu'il se passe dans mon encéphale
Je n'ose pas y penser tellement c'est grave
Certains se droguent pour entreprendre de grands exploits
J'n'ai besoin que d'regarder la pleine lune dans un ciel sans étoiles
A côté de moi les autres MC ont l'écriture trop scolaire
Je les piétine
J'ai l'ours polaire comme totem
Le poing en l'air
Les larmes au yeux
Sous le tonnerre
Quand Tekitek s'énerve c'est le ciel qui pique une grosse colère
Faut compter avec moi si ça t'pose problème
Disparais, moi dans c'que j'ai à dire y'a des choses trop belles
La vie a fait de moi un héros moderne
A mes funérailles le thème de Scarface par Moroder !
Orange Mécanique pour ma résurrection
J'ai perdu toutes mes illusions depuis ma crucifixion
Et j'me pose même plus de questions
A peine responsable de mes actes
Mes yeux pleurent des larmes de métal
Et toutes les prédictions disaient que Tekitek renaîtrait de ses flammes
J'ai aiguisé mes armes
Prenez garde
Il suffit d'un regard et mes fidèles se soulèvent
Ton attitude n'avait pas du tout l'air de nous plaire
Et tout autour de moi ça saigne
Les rivières deviennent rouges de haine
Il n'y a pas que de l'amour sous cette épaisse couche de chair
Le visage lourd de peine
J'ordonne aux jeunes de faire la fête
Qu'ils meurent tous un par un c'est tout c'que je pense dans ma tête
Vivement le silence dans ma tête
Que j'n'entende plus c'que mes démons manigancent sans arrêt
On sait c'que le Docteur Jekyll engendre en cachette
Le gentil Teki n'a pas la violence dans Latex !
You might also like[Outro]
People said his brain was infected by devils...Embed"
Teki Latex,Bâton Merdeux,"3 ContributorsBâton Merdeux LyricsTu veux m’stopper, mais personne ne stoppe Tekitek
J’suis remonté, j’viens d'niquer ta mère et d'bouffer dix steaks
Du meilleur rappeur je réunis tous les critères
Ta copine m’a dans la peau, je parle de sous l’épiderme
Moi je plie des carrières, comme certains plient des p'tites cuillères
Donc choisis bien les mots qu'tu mettras dans ta p'tite prière
Coup d'pied dans la fourmilière, étincelle dans la poudrière
J’suis l'rap de demain, rien à foutre d’hier
Rien à foutre de rien à part moi, jeune égoïste
C’est d'vant la télé qu’on a appris à mener nos vies
Deux Lexomils, 7h du mat', l’heure du drame
J’écris les yeux fermés dicté par le seigneur du mal
Tantôt crooner pour dames, tantôt rappeur respectable
La douleur coule sur moi comme le long d’un imperméable
Quoi ? les voies de Teki Latex sont impénétrables
Je mets en scène mon ascension tel un parfait spectacle

Oh mais c’est merveilleux, j’déconne quand j’ai l’air sérieux
Et quand j’suis sérieux, c’est pas sérieux comme un bâton merdeux
On n'sait pas par quel bout me prendre, il vaut mieux se laisser prendre au jeu
Un auditeur averti en vaut deux
Donc si j’ai dit baiser ta future femme, c’est une blague
Mais tu réfléchiras bien avant de lui passer la bague
Conseil d’ami, j'te l’ai dit mille fois j’suis un mec sympa
J’écris des chansons de temps en temps je sais que t’aimes bien ça
You might also likeDécontracté, les doigts d'pieds en éventail
J’donne tout c'que j’ai, mon rap sort de mes entrailles
Un rap dur, coup d'poing dans le mur en serrant les dents
Rap pour rapper tout fort dans l'bus en baisant les gens
Rap gentil, rap méchant, peu importe
Accepte-le comme la chance de ta vie qui frappe à la porte
Ouvre-lui les yeux mouillés, un joli jour de juillet
Accepte mon rap dans ta vie d'puceau et tu vas niquerEmbed"
Teki Latex,Galeries Lafayette,"3 ContributorsGaleries Lafayette LyricsJe vous salue Paris, là où la fille de la pub Galeries LaFayette
Un god ceinture en forme de Tour Eiffel attaché à la tête

OHOH !

C'est ton pote Tekitek
Mets ton bob
Il va pleuvoir des faces
C'est nickel
J'fais mon job
Nouveau morceau chaque semaine
Zéro déchet
Que des gros tracks
A chaque passage sur mon Myspace
Tu manges une grosse claque
Tellement souvent
Que quand je pars en vacances
Et que je reviens le mois d'après
T'as l'impression que c'est mon come-back
Si j'rappais pas
C'est parce que j'étais au Canada
Dans des strip-clubs
En train de palper des ananas
Tu veux savoir pourquoi ce pays me fait d'l'effet?
Toutes les strippeuses de Montréal dansent sur TTC
Et je leur donne la fessée
Chaque fois qu'elles ne sont pas sages
Je suis le client rêvé
Le rappeur de passage
(Teki)
Et toute la jeunesse lève les bras dans les airs
Trop de punchlines en hors-d'œuvre et trop de swag en dessert
C'est pas de la pop meuf, plutôt de la pape music
Genre j'suis le Pape et j't'ordonne de faire la partouze vite
Le latex est dans la place et ça faut pas qu't'oublies
J'dis la messe dans une église remplie de femmes soumises
Silence dans la salle pendant que Tekitek prie
Au milieu de toutes ces conneries tu sais c'est qui l'esprit
Là où je suis c'est là où les minettes crient
Debout sur la table avec des habits sexys (Quoi ?)
J'ai trop d'amis, j'plaie même à ta grand-mère
Si je raconte des conneries c'est le décalage horaire
Trop d'amour, trop de groupies qui font escales à l'hôtel
Trop de boulot mais au bout, c'est le déballage d'oseille
J'ai besoin de personne
Je suis un gars solitaire
Mais elles veulent m'accompagner tous ces longs soirs en hiver
Un conseil ne me fait pas trop d'mystère
Si tu rêves d'être le caviar sur mon plateau de fruits d'mer
You might also like[Outro]
Haha
Tekitek
Joyeux Noël
Joyeuses Pacques
Joyeuses fête nationale du baisage d'instru
Stunts, on est là
Galeries Lafayette, Bonmarché, Printemps
Ralph Lauren, Madeleine
Pigalle, Gotham
Quoi !Embed"
Teki Latex,Go Go Go,"2 ContributorsGo Go Go Lyrics[Intro : The Genevan Heathen]
Yeah
Y'know
The disco
Yeah that's right
The D-I-S-C to the O
Yeeah
Y'know the disco could be a funny thang for some people
But for me the disco is you

[Refrain]
I wanna go go go, go go go, go to the disco
I wanna go go go, go go go, go to the disco
(That's where I wanna go)
I wanna go go go go, go go go, go to the disco
I wanna go go go, go go go, go to the disco

To the disco
That's where I wanna go
To the disco
That's where my feelings show
To the disco
Where I dance and I live and I really kiss my worries good-bye

[Refrain]
I wanna go go go go, go go go, go to the disco
(That's where I wanna go)
I wanna go go go, go go go, go to the disco
You might also likeTo the disco
That's where I wanna go
To the disco
That's where my feelings show
To the disco
Where I dance and I live and I really kiss my worries good-bye

[The Genevan Heathen]
Yeah
I wanna go
I wanna go, go, go
To the disco
Cuz last night you left me
And tonight
I'm starting new
I wanna go to the disco
Cuz I can see you
But somehow you have [?] much better
And much more intelligent
Than you used to be
So I'm asking myself
Is it really you ?

[Couplet : Teki Latex]
J'ai de cette funky musique dans la tête
En général quand ça m'arrive c'est que ça sent la fête
Et tout le monde se prépare
Moi j'ai vidé mon armoire
Il faut le voir pour le croire
On est de sortie ce soir
D'habitude pendant la journée
Je n'attire pas les regards
Mais quand je rentre dans le club
Ah c'est une toute autre histoire
Il faut vraiment bien connaître pour s'en apercevoir
J'ai même répéter tous mes pas de danse devant le miroir
Alors, danse, danse, danse, ne me déçois pas
Quand je tape des mains faut que tu claques des doigts
Laisse le rythme t'envahir malgré toi
Sous le tempo de bas en haut fait bouger tes petits bras
Allez danse, danse, défonce-toi!
Quand je tape des main vas-y claque des doigts
Abandonne tes soucis derrière toi
Lève les bras vers le ciel
Et laisse exploser ta joie!
[Refrain]
I wanna go go go, go go go, go to the disco
(That's where I wanna go)
I wanna go go go, go go go, go to the disco
(That's where I wanna go)
I wanna go go go, go go go, go to the disco
(That's where I wanna go)
I wanna go go go go, go go go, go to the disco
(That's where I wanna go)

Si je vais tous les soirs en discothèque
C'est pour oublier tous mes soucis, mes prises de tête
Et je ne pourrais pas supporter
Que l'on puisse m'empêcher
De m'amuser comme je veux sur la piste en fête
C'est comme une thérapie
Qui m'aide à affronter la vie
En occurrence danser la nuit
C'est moins cher qu'un psy
Allongé sur le divan je danse quand même
Mais je pense quand même
Même si j'ai dit du mal des gens

Me voici
HEY! Lève les bras en l'air
Comme si c'était toi ce fameux géant qui porte le ciel
OH! Sort le porte-feuille
Retourne au bar et offre à tes amis toute sorte de verres
Danse avec Teki Latex tout autour de la terre
Le gros le plus cool depuis que t'as le bonjour d'Albert
C'est à mon tour de plaire
Mais j'ai plus d'un tour dans mon sac chérie
Une eau de plaque et ton e-mail dans mon Blackberry
I wanna go go go, go go go, go to the disco (that's where I wanna go)
I wanna go go go, go go go, go to the disco(that's where I wanna go)
I wanna go go go, go go go, go to the disco(that's where I wanna go)
I wanna go go go, go go go, go to the disco(that's where I wanna go)…Embed"
Teki Latex,Googlez Ma Gueule,"3 ContributorsGooglez Ma Gueule LyricsTekitek... Oh oh oh...
Il est de retour
Il est de retour
(Comme promis)
Avec du bonheur pour tous les enfants
Pour tous les amis, oh
Et les grands aussi, oh oh
Dans les maisons d'retraites, oh
On aime bien Tekitek, ouais ouais ouais
C'est vrai, Gémate, Mouloud, la Bonne Requise

J'ai vu ta pute popper des pills et du poppers
J'ai fait disparaître ma bite dans sa bouche comme Harry Potter
(pschh)
Pouvoirs magiques
On crève l'écran, achète des lunettes 3D pour voir ma clique
Rap, peau d'banane jetée par terre à la va-vite
Rap, pop, Juelz Santana rappe en banana split
Tout ça à la fois j'ai envie d'dire ""Si si la famille""
Les marches de la réussite sont pas faciles à gravir
Entre mes deux carrières crois-moi pas facile de choisir
Le rap c'est ma maîtresse, la pop c'est l'amour de ma vie
Y'a rien à faire, je choisirai pas c'est clair
Tu voulais quoi ? Que j'tire à pile ou face comme Harvey Dent ?!
Mon rap est mauvais pour ta tension artérielle
A coups d'stress comme quand ça fait deux mois qu'ta meuf a pas ses règles
Autant te dire mon vieux qu't'es dans une sacrée merde
J'rappe pour le fun et ton avis j'm'en bat les steaks
Par ici la monnaie, par là les chèques j'encaisse
Un Blackberry en or qui fait même la vaisselle j'en rêve
Et je l'obtiendrai si un jour ça existe
Si vous vouliez vraiment pas que j'change le monde fallait l'dire
Trop tard, désolé un autre couplet d'bouclé
Si t'aimes pas mon art j'vais t'le faire bouffer par les trous d'nez
Touché, coulé, bataille navale
Ton porte-avions est sous l'eau, attaque faciale
You might also likeHallelujah, Tekitek touché par la grâce
Googlez ma gueule si vous voulez voir ma face
Tout le monde en parle, ""et patati patata""
En tête de la liste et je céderai pas ma place
J'pars pas à la plage, j'suis en voyage toute l'année
Mes paragraphe naissent de façon spontanée
Comme une larme de sang sur une statue de marbre
Les rappeurs disparaissent quand les vagues touchent le sableEmbed"
Teki Latex,Je parle aux chats,"2 ContributorsJe parle aux chats Lyrics[Intro]
Gens m'disent ""C'est quoi ? Tu parles aux chats ? Tu parles aux chats ?""
Les gens ils viennent m'envoyer des messages ils me disent ""miaou"", machin, mais tu comprends pas
C'est pas je parle aux chats, ma musique, ma musique j'parle aux chats
(Quoi)

[Couplet unique]
Tekitek yo je parle aux chats
T'as jamais vu un mec aussi gentil-salop qu'moi
Je parle aux chats et yo je rappe trop froid
Ne touche pas ton iPod ou tu vas te faire mal au doigt
Je rappe trop froid, et quand tu m'écoutes c'est pareil
Avant de mettre un casque, pense à mettre un cache-oreilles
Si j'écris des raps c'est parce que j'ai pas sommeil
Il ne marche toujours pas sur les pattes de derrière
Oh merde !
Je parle aux chats, moi, laissez-moi tranquille
Ils me comprennent je vois leurs petits yeux qui scintillent
Je n'parle pas des rap cats, eux je n'leur parle pas
Je laisse ma musique parler pour moi à leur rap naze
Si après ça, ils insistent pour me voir
Moi je les reçois chez moi et leur inflige quelques claques
(Bra!)
(Pff)
Mal au crâne
Pendant que tu parles de moi, moi je parle aux chats
Je passe aux actes yo, fais-toi une raison
Habité comme si j'étais une maison
Je construis une maison, et cette maison c'est moi
Ma musique c'est (tout l'monde)
Je parle aux chats
Ils cherchent les croquettes, comme moi les euros
Gros chèques quatre zéros
C'est beaux, ahah, monnaie sur mon ""mind""
Nouveau tube tous les jours, on est sur nos ""grinds""
Indépendant, chat d'gouttière
Touche à mon argent et mords la poussière
Appelle-moi l'Auvergnat, colère noire
Je parle aux…
Tu sais quoi c'est moi le Roi
Avant qu'il soit trop tard
Si je meurs, mettez le chat dans le sarcophage
Tu voulais une rime en Sarkozy, bah t'en auras pas
Je parle aux chatsYou might also likeEmbed"
Teki Latex,Joke & Teki,"4 ContributorsJoke & Teki Lyrics[Paroles de ""Joke & Teki"" ft. Joke]

[Intro : Joke]
Yeah
Yeah
Ok

[Couplet 1 : Joke]
Ok, mon p'tit nom c'est Joke et j'suis juste un corps qui parle
Une forte équipe pour forniquer une époque formidable
Amène pas ta copine, [?] j'te descends, t'as la côte immédiatement
Mes algo-rimes font viper tes sales oreilles
J't'emmerde comme pas permis, j'ai pas passé mon code
J'm'achète une conduite, eh ouais l'ami ça sert à ça l'oseille
Ces banlieues nous parlent, mais mate leur équipe s'écrouler
Regarde nous, on lèche des chattes et eux des feuilles à rouler
J'kiffe bouffer les poitrines, j'émoustille les lapines
Je rappe lourd, je rappe clean, je rappe puis je platine
Tu rappes, et tu patines, tu rollers, tu Tippex
Tu veux niquer la rap, mais ton flow a un p'tit sexe
J'écris à la vaseline, ces trous du cul veulent des feats avec moi
Ha ha, ça sortira chez Dorcel
J'suis Rocky avec la vertue de Balavoine
T'es Corky, t'as d'la chance d'être mon anagramme
Mec, t'as le tournis
Achète du Baygon, quand j'rappe t'as des fourmis
J'ai toujours raison, [?] j't'étourdis
Si tu m'disais ""non"", j'te dirais ""écoute, ouij, c'est""
You might also like[Refrain : Tekitek, Joke]
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki sont venus pour t'là mettre
Joke et Teki sont venus pour t'là mettre
Les rappeurs, no homo, on les baise
Tu voulais le gros lot, bah c'est prêt

[Couplet 2 : Tekitek]
Rien à foutre de rien, j'arrive dans l'game
T-shirt crade et caleçon Gap
J'enlève mes chaussettes pour baiser l'rap, je suis un garçon classe
Bienvenue au centre aéré, les rappeurs en carton plate
Leurs swaggers en papier mâché ne m'amusent plus à mon âge, voyons voir
J'vais t'expliquer, j'suis le genre de mec
Que les gens veulent être, un peu genre vedette
Alors bébé s'il te plaît fais pas ta forte tête
J'connais ton genre de fête, je te vends le rêve (ah ah !)
J'rappe et j'suis mort de rire tellement j'suis fort comparé à tous ces genres de types
J'dévale le beat comme un sport de glisse
Remonte ton col, j'm'adresse pas à n'importe qui
En l'occurrence, Joke et Teki, parfaite équipe
Casquette épique et mes baskets hors de prix
On avait pas entendu de duo de ce type, j'te le dis mec
Depuis Dre et Snoop dans ""Nothin' But a G Thang""
[Refrain : Tekitek, Joke]
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki, Joke et Teki (yeah)
Joke et Teki sont venus pour t'là mettre
Joke et Teki sont venus pour t'là mettre
Les rappeurs, no homo, on les baise
Tu voulais le gros lot, bah c'est prêt

[Outro : Tekitek]
Ha ha ! Il s'appelle Joke
J.O.K.E
Retenez bien son nom : Joke ! C'est ça
Si t'écoutes pas tes parents, écoute au moins Joke
C'est la vérité, tu l'sais, oh !
Tekitek
Et c'est finiEmbed"
Teki Latex,La Messe,"2 ContributorsLa Messe Lyrics[Couplet unique]

Moi je dis la messe
Mon porte-micro c'est ta tête sur un pieu
Pas de blasphème
Sur mon ordi j'ai le Facebook à Dieu et le Myspace
Du petit Jésus, même le MSN à Saddam Hussein
J'avale les MC comme une salade du chef
Avec du parmesan
Je saute à cloche pied dans les mares de sang
Mon champ de bataille c'est le top
L'ifop et tout ce qu'il y a dedans
Incrusté, dans la variété pour mieux la buter
En l'honneur des vraies stars de la pop qui m'ont précédées
Mais on vendra plus de CD, alors on va faire des pubs
J'adore consommer, donc moi j'appelle pas ça faire les putes
Donne moi un budget et la liberté totale
Des moyens raisonnables, si tu veux après on parle
Moi c'est business, envoie un mail à mon manager
Il est sans pitié mais au moins il se foutra pas de ta gueule
Marre d'avoir des idées pour les gens, prenons cet argent
Pour pouvoir aller se nourrir tous les soirs au restaurant
On l'a mérité à force de prendre des portes dans la face
D'en ouvrir une pour tout de suite faire rentrer ses potes dans la place
On arrive dans le club, sortez ma bouteille et mes tickets boissons
Sacrifiez  quelques vierges pour la moisson
Et tout ira bien
Entre une pute russe et un prince iranien
Bien assis, sur la banquette Orgaga n'est pas loin
Presque riche, bientôt l'hélico dans le jardin
Le rap était nul on a fait redevenir ça bien
Quelques filles distinguées sont là pour me tenir la main
Je sais choisir mes amis, ça c'est mon sang italien
Rap Aldo Maccione, rafale d'ovation
J'rappe toujours avec cette même facilité d'ado passionné
Pardon pour la gêne occasionnée, j'suis trop cool
Et j'quitterai cette industrie du disque avant que le bateau coule
Nique ça, j'irai faire du cinéma
J'suis trop fort, j'sais tout faire
Yo, vous n'imaginez pas !You might also likeEmbed"
Teki Latex,L’Envol Du Corbeau,"9 ContributorsL’Envol Du Corbeau LyricsHaaaala

Tekitek
Plus rien à foutre de rien
C'est fini
Dans ma tête c'est Gotham City, (Gotham City)
Chacun pour sa gueule
Le Joker pour l'amour du jeu
Putain de Batman du rap
J'encaisse mais j'sais que j'ai raison (clair)
Trop bien sapé comme le Pingouin et j'emmerde le monde (haha)
Les putains d'forces du mal
TTC, Institubes
Mes pelures sont plus belles que vos fruits
Et ouais? et ouais
Allez c'est parti

En direct de la face cachée de la lune (ouais)
Fait entrer l'accusé, le monstre de la lagune (pas d'problème)
J'rappe sur n'importe quel beat si t'as la thune
Mercenaire du rap rien à branler moi j'assume
Donne-moi dix chansons et j'fais la misère à chacune
4ème dimension et toi t'en es qu'à la une
J'rappe dans l'rouge et même quand j'rappe pas ça sature
Qu'est-ce tu peux faire contre les forces de la nature (Rieeenn !!)
You might also likeLe brouillard avance ferme les yeux si ça t'rassure
Éclaboussures contre les vitres de la voiture
Tranche la gorge des rappeurs à l'aide de l'anneau d'Saturne
Cours pieds nus sur un champs de mine à tout allure

On encaisse on a tous été élevés à la dure
Tous des chevaliers même si on en a pas l'armure
Prêts pour conquérir le monde on en a la carrure
Petit à petit, les bœufs avant la charrue

(Habité), et j'ai des munitions sous l'coude
C'est l'heure de juger
Et j'ai des punitions pour tous
Les rappeurs ne tiennent jamais leurs promesses
Ce sont des p'tites princesses qui disparaissent quand sonnent les 12 coups
J'coupe court à toutes les rumeurs à mon sujet
""Teki Latex est un mec pas clair, un garçon suspect""
Allez vous faire foutre moi je suis victime de mon succès

J'fais semblant d'écouter en buvant ma vodka cul sec, mec !
Père Latex comme une douleur à la gencive
Grosse claque musicale tu vas bien la sentir

Une migraine qui fait mal sa mère
Genre coup d'marteau qui t'éclate la tête
Du coup tes idées s'échappent par terre
Il faut les rattraper avant qu'elles ne s'éloignent à jamais
Une lueur dans les étoiles apparaît
Avant sa propre explosion j'envoi un message à la terre
Et pendant qu'toi tu fais des essais bidon pour t'faire un nom
Nous on travaille à ton décès p'tit con comme Megatron
C'est la honte
C'est pas bon signe pour la suite des événements
T'étonne pas si subitement pour ta stupide carrière, c'est l'hécatombe
C'est d'la bombe et tu crois pas si bien dire
C'est la grande distribution et j'suis une usine à hits
On a r'marqué que nos classiques t'inspirent
On trouvera dans tes raps des faces des miens dans facile 15 piges
Tu te dis p'têt' qu'il est pas si bien c'type
Dégage de mon champ d'bataille avant qu'il ne t'arrive bien pire
Le moins beau jour de ta vie les nuages s'épaississent et le ciel se noircit
6 millions de façon de mourir pour les rappeurs du jour
Choisis-en une si t'as pas peur du tout
Sonnez trompette et résonnez clairon
Tekitek a le don pour faire pleurer les mômes
Alors ouvrez le ciel et faites tomber les bombes
Sortez les tanks et faites creuser les tombes

C'est la panique

Fusil chargé à la foi en moi
Shoot du charisme en l'air et tombe par terre de joie
On est fiers de ça, ce bon vieux truc de rap
Que l'on m'assassine si un jour je doute de moi
Mon cœur est une machine de lave et de fer
J'y ai forgé l'épée qui me protège des larmes et des traîtres
L'envol du corbeau sème la foudre et la guerre
Ailes déployées qui recouvrent la terre
Tekitek !
Haha !Embed"
Teki Latex,Les Jouets,"1 ContributorLes Jouets LyricsJe lui donne mon amour mais elle dit qu'elle préfère les jouets
Un séjour à la mer, elle emportera tous ses jouets
Un bisou dans le cou, elle s'amuse mieux avec ses jouets
Je suis un homme valable, et pourtant elle préfère les jouets
Je sais faire la cuisine, elle s'en fout tant qu'elle a ses jouets
Je vais dans des musées, tout ce qui l'intéresse c'est ses jouets
Je squatte le canapé, pendant qu'elle joue avec ses jouets
Elle me regarde à peine, en s'amusant avec ses jouets

Je ne sais pas ce qu'elle attend de moi
Enfermée dans sa chambre à coucher
Quand je l'appelle, elle ne répond pas
J'aimerais discuter d'elle et moi
Mais derrière la porte les petits bruits …?...
M'indiquent qu'elle est occupée
J'la vois jamais et on vit sous le même toit
Pour s'amuser, elle n'a pas besoin d'moi
Je lui offrirais la lune, si je pouvais
Mais elle préférerait des piles pour ses jouets

Je lui donne mon amour mais elle dit qu'elle préfère les jouets
J'ai beau faire des efforts, elle me dit qu'elle préfère les jouets
Même à 06h du mat', il est toujours l'heure pour les jouets
Je lui fais à manger, elle n'a jamais faim pour les jouets
Quel genre de réconfort, peuvent bien lui apporter ses jouets
Est-ce qu'elle a des discussions sur la vie avec ses jouets ?
Est-ce qu'elle a des projets pour le futur avec ses jouets ?
A-t-elle demandé à son père, ce qu'il pense de ses jouets ?
Et quand elle pleure, et qu'elle a peur
Est-ce qu'elle appelle ses jouets ?
You might also likeMais elle dit qu'elle préfère les jouets
(Ça fait du bruit ton truc…)
Mais elle dit qu'elle préfère les jouets
(Qu'est-ce que c'est que ce truc ?)
Mais elle dit qu'elle préfère les jouets
(Bon, on va au cinéma ?)
Mais elle dit qu'elle préfère les jouets !

J'aimerai juste être à tes côtés, pour t'épauler
Lorsque tu …?... mes tunes, pense qu'à tes jouets
J'aimerai juste être à tes côtés, te prouver que la pitié
Etait une chose que t'étais pas foutu d'éprouver
Tu m'ignores et tu t'amuses, tu me méprises
Et notre couple traverse, une vraie crise
Tu ne te sens même pas toucher par mes couplets
Tu préfères le plastique froid, de tes jouets

Mais elle dit qu'elle préfère les jouets
(Mais elle dit qu'elle préfère les jouets…)
Mais elle dit qu'elle préfère les jouets
(Euh, tu veux pas qu'on regarde la télé…)
Mais elle dit qu'elle préfère les jouets
(Ben, on pourrait sortir ce soir…)
Mais elle dit qu'elle préfère les jouets !

(Merci à l'enfant pour cettes paroles)Embed"
