Artist,Title,Lyrics
Vyto,Comme un rappeur,"1 ContributorComme un rappeur LyricsJ'voulais rapper comme un rappeur
Mais faire du rap leur faisait peur
J’voulais parler avec le cœur
Pas faire des chansons de menteur

J'voulais clasher les imposteurs
Et tous leurs plans comme de tricheur
Ainsi, j'aurais pu te donner l’heure
Et te montrer mon jeu d'acteur

J'voulais dénoncer les politiques
Et pouvoir ambiancer toute ma team
Les arrangements pour un peu de bif
Le pouvoir s'emparе de notre pratique

Lеs fils de riches, en 1ère ligne
Parler de crime fait vendre des disques
J'voulais pas parler de ces faits
Mais ce que j'viens de citer, je l'ai fait

J'voulais te dire tout c’que j’ai vu
Ou c'que ma fierté m’a valu
Moi qui ai tant aimé cette musique
Au point que ça devienne un tic

J'voulais rapper comme un rappeur
J'voulais cracher toutes mes rancœurs
J'voulais dénoncer, faire mon beurre
J’voulais tout péter dans la lueur
You might also likeJ'voulais que ça kick en public
J'voulais que ça rap en puriste
J'voulais faire ça en pudique
Éviter les putaclik

Éviter la poudre, éviter le sale
Avec amour, éviter le dark
Inviter la ville à faire du lourd
Réunir, construire au grand jour

Mais c'est du rap de rappeur
Même si on dérape comme rappeurs
Quand je les ai connus, ça faisait peur
Dire que c'est la mode chez ta petite sœur

Et je me prends pour un rappeur
Quand je kick comme un rappeur
Quand je te parle comme un rappeur
Putain, je suis un de ces rappeurs

Et je me prends pour un rappeur
Du plus petit au leader
Du plus âgé au mineur
Putain, je suis un de ces rappeurs

Comme un rappeur (j'étais ce jeune peu commun.)
Comme un rappeur (j'étais ce jeune peu commun.)
Hum, ok, les rockeurs deviennent des rappeurs
Hum, ok, les influenceurs deviennent rappeurs
Hum, ok, ton youtubeur devient un rappeur
Hum, ok, ils veulent tous devenir rappeurs

Mais j'suis devenu ce rappeur
De la passion aux enjeux
10 ans après, la même sueur
Moi, je suis tristement heureux

La jouer cool, la jouer ensemble
Avec la force des grands ensembles
Posé sur scène, la foutre en cendre
La jouer cool, la jouer ensemble

Rester pur, ouais, rester vrai
Rester sûr, ouais, rester prêt
Raquer la censure aux portes du palais
Foncer dans le mur, mais pas à Poudlard

Mais j'en ai fait, en effet, j'en ai dit
Putain, j'ai ramé, ouais, j'ai étudié
Malgré les pavés, tout part si vite
Hum, à nos actes manqués

J'connais mes classiques, j'connais mes adlibs
J'connais les puristes, les freestyles à 10
Trop fier, trop fan, trop vrai, rappeur
Au point d'inventer des thèses
Du genre ouais, nous, on les baise
C'est trop vulgaire pour la maire
C'est trop la houle dans la mer
Et je me prends pour un rappeur

Quand je kick comme un rappeur
Quand je te parle comme un rappeur
Putain, je suis un de ces rappeurs
Et je me prends pour un rappeur

Du plus petit au leader
Du plus âgé au mineur
Putain, je suis un de ces rappeurs

Comme un rappeur (j'étais ce jeune peu commun.)
Comme un rappeur (j'étais ce jeune peu commun.)Embed"
Vyto,Crack,"1 ContributorCrack LyricsSous ti punch, enivré
Je vois le soleil se lever
Sous ti punch, enivré

Ici, il n'y a que des mecs cools, sous les casquettes
Tête dans les astres comme les Aztèques
De la gomme sur l’asphalte, de l’asphalte sur la planète

Y’a Vyto qui passe, Val sur la tape
Les casiers tombent sec sur la tête
Je suis avec Alax, pa ni pwoblem
En détente, relaxe, on se préservе

Le soleil frappe sur la facе, le rhum est pur dans le verre, sirop de canne
J’ai pris de bonnes baffes qui m’ont laissé de bonnes marques
Pas dans la censure, je n’étais pas comme ces mecs
J’bois la vie comme une vertu quand je vois des enfants placés en MECS

T’aboies comme Rex, on veut la Sacem de Rec 118
Passe de la ve-ca à la suite, avec ma gueule de Ratz
C’est quoi la suite, quand tu prends le risque, d’appeler le 18, trop tard

(V.Y ja konnet)

Je suis dans la fête, et je me pète la tête
Les ratés sont dans la faille, les couplets sont dans les ronces
On se sait, on s’aidait, mais l’ego a cédé et tu m’as planté dans le dos
You might also likeT’es comme en stress devant le péno
On a le process tous les pélos
La graine et le terreau
La terrasse et le Prosecco
V.Y.T.O

J’vous fuck, je suis un mec loufoque moi
Je n’ai pas ma place chez Barclay
On se rappellera du jour où on a débarqué
Alax croque la vie, sur une track chez le V
Belek, il n'y a que du love pour nous délivrer

Sous ti punch, enivré
Je vois le soleil se lever
Sous ti punch, enivré

Ici, il n'y a que des mecs cools, sous les casquettes
Tête dans les astres comme les Aztèques
De la gomme sur l’asphalte, de l’asphalte sur la planète

Y’a Vyto qui passe, Val sur la tape
Les casiers tombent sec sur la tête
Je suis avec Alax, pa ni pwoblem
En détente, relaxe, on se préserveEmbed"
Vyto,Dans sa vie,"1 ContributorDans sa vie LyricsNuit blanche, dans soirée très noire (dans le brouillard)
Distant, cœur vaguant, manoir (il n'y a plus d'espoir)
Bruyante comme un cri dans le silence
Fuyante, elle refuse toutes les danses (là, c'est trop tard)

Son âme est grise, elle tire la gueule (je fais comme toi)
De type instable, c'est quoi c’te meuf (c'est quoi ce gars)
Très redoutable, parfois hargneuse (c'est incroyable)
Elle monte dans le bat, dans l’fond elle creuse

Je passe dans sa vie, comme à l’épice
Elle aime le bruit, moi je veux être peace
La haine s'invite, au plus intime
Dis-moi, je sais pas, parle-moi, quoi ?

Je passe dans sa vie, comme à l’épice
Elle aime le bruit, moi je veux être peace
La haine s'invite, au plus intime
Dis-moi, je sais pas, parle-moi, quoi ?

En vrai, je ne sais pas si c'est honnête (moi-même, je ne sais pas)
J'espère seulement qu'elle soit à l'aise (j'espère que ça)
Balance la fumée aux fenêtres (dans la ville noire)
Elle est HS sur le phone tel (je ne vois que son corps)

J'ai couru dans des champs de roses (je croyais en nous)
J'en suis sortie ensanglantée (en petits bouts)
Tous ces parfums vendus en doses (oh mon amour)
Dans des flacons de réalités
You might also likeJe passe dans sa vie, comme à l’épice
Elle aime le bruit, moi je veux être peace
La haine s'invite, au plus intime
Dis-moi, je sais pas, parle-moi, quoi ?

Je passe dans sa vie, comme à l’épice
Elle aime le bruit, moi je veux être peace
La haine s'invite, au plus intime
Dis-moi, je sais pas, parle-moi, quoi ?Embed"
Vyto,Dimanche,"2 ContributorsDimanche Lyrics(Vyto)
Holà guapa, comment va? Tu m'as l'air à fond dans l'mood
On roule dans Marbella avec un cigare en bouche
La gova en bord de plage, pas de banc de touche

Oublie tout le temps d'un soir, smoke sur ma kush

Et t'es la plus belle du bal, tout est calme, on l'a vu
Tout devient agréable, ça m'rend bad, sans retenue
Ma foi, moral de nomade je m'introduis dans ton Itunes
On efface nos arobases, on redevient des inconnus

Un dimanche à la plage
Ellе est nue au réveil
Un ti punch pour lе fé-ca
Elle est belle comme Angèle

Elle m'appelle mon amour
Pour toujours et va t-en
Un dimanche entre nous
Au calme, vacance

(Célia)
Sunday (ohohoh)
Love me on sunday (ohohoh)
Sunday (ohohoh)
Love me on sunday (ohohoh)
You might also likeUn dimanche a' la plage
Je revois ton image
Perdue dans mes souvenirs
Les traits de ton visage (Les traits de ton visage)

Dance under the sunset
Dance with me again
Laisse-moi juste te garder
Et délaisser mes peines
Pour encore t'enlacer
Je briserai mes chaînes
J'pourrai te regarder
Toute la vie sans problèmes

(Vyto)
Un dimanche à la plage
Elle est nue au réveil
Un ti punch pour le fé-ca
Elle est belle comme Angèle

Elle m'appelle mon amour
Pour toujours et va t-en
Un dimanche entre nous
Au calme, vacance

(Célia)
Sunday (ohohoh)
Love me on sunday (ohohoh)Embed"
Vyto,Ils te diront,"2 ContributorsIls te diront LyricsIls te diront (he, he) Ils te diront
Ils te diront (he, he) Ils te diront


Ils te diront que c’est ça la life
Aller taffer à 6H du mat
Pas un euro fin du mois
Et dans le frigo plus à graille

Ils te diront que c’est la merde
Seul message en temps de guerre
Qu’au final vaut mieux se taire
Ils te diront de pas t’en faire



Ils te diront fais comme tout le monde passe ton bac et trouve un taff
Ils te diront que sur ce monde tu t’manges des claques et c’est normal
Soi-disant tu rap mon grand mais as-tu un truc à dire
Soi-disant t’es l’grand gagnant mais t’es solo sur la ligne

Les temps changent et le diable devient l’arbitre
Au fond d’la grange telle est la planque je ne ferais plus un seul bruit
Je suis comme un ange qui en a marre du paradis
Je suis comme la France qui en marre d’leurs politiques
You might also likeEt je danse et j’me lance enfumé comme Doggy Dogg
Et je chante je suis en transe émotions dans l’doggy bag
Et je pense gun sur la tempe à courir face la vie
Sur la rampe de lancement je ne perçois que la nuit


Ils te diront que c’est ça la life
Aller taffer à 6H du mat
Pas un euro fin du mois
Et dans le frigo plus à graille

Ils te diront que c’est la merde
Seul message en temps de guerre
Qu’au final vaut mieux se taire
Ils te diront de pas t’en faire


La vie c’est quoi, c’est attendre des heures
Pour au final, un rien de chaleur
On se meurt et on patiente
On s’égare tard, du bonheur

J’ai de la bouteille et un bon rhum antillais
On prend de l’âge, gars, on prend des couplets
Des coups bas, dégouté, insensé
Faut te lever, tout baiser, pas les écouter
Et je danse et j’me lance enfumé comme Doggy Dogg
Et je chante je suis en transe émotions dans l’doggy bag
Et je pense gun sur la tempe à courir face la vie
Sur la rampe de lancement je ne perçois que la nuit


Ils te diront que c’est ça la life
Aller taffer à 6H du mat
Pas un euro fin du mois
Et dans le frigo plus à graille

Ils te diront que c’est la merde
Seul message en temps de guerre
Qu’au final vaut mieux se taire
Ils te diront de pas t’en faireEmbed"
Vyto,Interlude : Comme un rappeur,"1 ContributorInterlude : Comme un rappeur LyricsLaisse-moi te raconter une histoire
Une de celles qui s'écrit sur les pavés de la ville et résonne comme le grondement sourd d'une promesse
Il y a plus d'une décennie, dans l'ombre des ruelles, un gamin du nom de Victor, ou comme on l'appelait
Familièrement, Vyto, a fait la découverte transcendante du rap
Vyto, bercé par les flows et les punchlines, décida alors de tailler ses propres vers, de composer ses
Premiers freestyles, de griffonner ses débuts de poésie urbaine
Le temps a filé, mais la flamme qui brûlait en lui derrière le micro est demeurée intacte, aussi vibrante
Qu'au commencement
Et songe donc, à l'époque, cela terrifiait bien des âmes que ce monde-là
Aujourd'hui, c'est devenu la tendance, tu vois. C'est dans l'air du temps, dans les écouteurs de ta petite
Sœur
Lui, le gamin qui voulait boxer avec les mots ""comme un rappeur"".»You might also likeEmbed"
Vyto,Interlude : Entre deux verres,"1 ContributorInterlude : Entre deux verres LyricsMia : Hey ! Vyto, quel hasard de se croiser, après tout ce temps

Vyto : Mais non, Mia ! Quelle belle surprise. Qu'est-ce que tu fais dans les parages ?

Mia : Je viens de rentrer de mes études à Paris, je suis de passage voir ma famille

Vyto : Ok, en tout cas, t’es toujours aussi belle toi !

Mia : Ahah, merci ! J’avais besoin de m'éloigner un peu de la ville. L'air de la maison me fait du bien

Vyto : Tu as bien fait ! Alors, tu restes combien de temps ?

Mia : Je repars dans deux semaines

Vyto : Deux semaines ! Wah, c’est court pour rattraper toutes ces années

Mia : Haha, tout dépend de ce qu’on en fait

Vyto : Hmm, écoute, je connais un bar cool, cosy, à deux pas d’ici on pourrait continuer cet échange autour
D’un verre

Mia : Carrément, je te suis !You might also likeEmbed"
Vyto,Lundi Bleu,"1 ContributorLundi Bleu Lyrics2 fois de suite cette semaine, je suis passé à l'église
2 fois de suite, entre un baptême et un enterrement
Je m'étais juré de ne pas refaire deux fois la même chose
Ouais, je ne prends plus la fuite, je ne prends plus la fuite, je ne suis plus un gosse

Les gens sont aigris, ils s'analysent pour de petits conflits
Vu lе temps ces temps-ci, jе prie le Très-Haut, je parle à ma vie
Comme une paralysie, un besoin de se comparer, non-stop
On est condamnés comme des gosses issus du divorce et c'est moche

En quelques nuits, j'ai trouvé l'amour, avant de faire l'amour et plus donné de nouvelles
Deux fois de suite, en moins d'un mois, j'ai pris des gifles, des coups, des revers

J'organise des dates, des séminaires, des entrevues, t’as vu
Je passe dans sa vie comme une interlude, c'est dur, c'est cru, t’as vu

En attendant, je fais la morale à mon père sur son lit d'hôpital
Je rentre chez moi et je refais les mêmes erreurs
Et dire que tout ça, c'est lié au mental
Et dire que j'ai fait la bise à toutes mes peurs

Je t'attendrai un lundi bleu
Sous le ciel, un peu anxieux
Le soir, il pleut, je pense qu’à toi
Est-ce que je le veux, est-ce que l'on y croit ?
You might also likeJe t'attendrai un lundi bleu
Sous le ciel, un peu anxieux
Le soir, il pleut, je pense qu’à toi
Est-ce que je le veux, est-ce que l'on y croit ?

Soir, le ciel il est noir, on m'a dit que c'est la merde car le monde devient sad
Je suis perdu dans ses bras et puis je me rappelle que l'amour ça fait mal
Que ça touche toutes les cases, du voyou au bourgeois, mais voyons, j'ai la foi
V’la les larmes de joie quand je suis dans sa fleur du mal

Un peu trop de ceci, un peu trop à l'aise
Hum, pa ni pwoblem
Je ne suis pas dans le paraître, ni dans le son de gosse
Il n'y a qu'un son de cloche entre le bon et l'enfer

Elle m'a dit de faire du sale, dans ses murs en pierre
J'ai la vue entière sur des hectares et la mer, je ne vais pas la rater

On est partis festoyer sur les coups de 23h00
Mon frérot vient de se planter, un peu trop bourré devant l'inspecteur
Mais Dieu merci, il n'y a pas de blessés
Dieu merci, que du matériel

Une bonne étoile qui n'est pas éternelle

Là, je suis au poste, pendant que j'écris ces vers
Ouais, la vie c'est sévère, point d'exclamation !
Je t'attendrai un lundi bleu
Sous le ciel, un peu anxieux
Le soir, il pleut, je pense qu’à toi
Est-ce que je le veux, est-ce que l'on y croit ?Embed"
Vyto,Non,"1 ContributorNon LyricsLa vie te pardonnera
Un jour, tu vas te venger
Je sais que tu broies du noir
Mais le jour s’est levé

Et tu rêves et tu chantes et tu cries
Et tu traînes et t’es chiante et j’te fuis
Malgré l’attente qui dure une vie
Tu me tends, tu m’attires, tu m'excites

Et ton corps m'envenime

Non laisse moi
Je n’ai pas envie de te parler ce soir
Vas-y, non fuit de là
Soir j’ui bourré sur le macadam

Ah ben ouais j’ui bourré
Et qu’est-ce que tu me racontes
Non, je ne ferais pas de couplet
Devant tout ce monde

À deux doigts de tomber
Dans ses bras dans son cœur
Jour de match et de liqueur
Envoie une taf de bonheur
You might also likeEt je chante, et je crie
Je perds ma voix dans la nuit
Sur la piste laisse moi
J’ui pété là je pisse

Un dernier petit verre, c’est pour moi chef
On s’prépare pour l’hiver comme un bled de Lozère

Et malgré tout ce qui se passe
J’ui pété dans l’appart

Non laisse moi
Je n’ai pas envie de te parler ce soir
Vas-y, non fuit de là
Soir j’ui bourré sur le macadamEmbed"
Vyto,Nos fautes,"1 ContributorNos fautes LyricsDe la pluie et du spleen
Quand l'hiver prend racine
L'amour drague les suicidaires
Dans son cœur bipolaire

Un peu stoïque, elle est stone
Un fond de Rolling Stones
Ambiance létale, mais
Mais je suis dans son lit

Plus les années passent, plus j'aime les femmes, ça devient grave
Plus les maigres s'tassent, plus j'aime la vie sans tous ses strass
Regret en interne, riеn de neuf au pays des lantеrnes
Tout casse, roule des niaks, allumé par les chandelles

Elle ne dit rien, elle observe, son regard se perd
L'amour qui se meurt, douleur amère
Je dérive seul, perdu dans le blizzard
Là où nos rêves se brisent, dans la brise là où tout s'efface

Le temps s'écoule, les saisons s'égrènent
Solitude, et ses larmes s'emballent
Le froid de ton absence rend la nature aride
Y’aura plus de seconde chance, ce n'est pas moi qui le dis, c’est ma tête l’arbitre

T'sais, j’crois qu'on est quitte, fin, j’crois que je suis un peu plus gagnant
Car j’ai osé là « où je me voyais perdante »
Ce n'est rien, j’comprends, moi aussi, j’peux dire que c’était tellement mieux avant
L'amour dans le froid, un feu incandescent
You might also likeLe BPM sur la piste son pou battant dans l'instant
Les hirondelles en fuite, humeur passante
Encore un son triste, c’est rien faut s’habituer
Ma belle amie aime les conflits et lit du Guy de Maupassant

Ouais, tu sais, j’te le raconte, car il ne reste que ça à faire
Des story visées, des remords qui s’font la guerre
Sur le fil du rasoir, perdu dans ses formes
Les regrets, les torts, on s’est aimé comme un effort

Est-ce que tu es amoureuse de l’amour ?
Est-ce que tu as des questions qu’on en fasse le tour ?
T'es perdue, bourrée, tu cries dans la cour
Mais ce n'est pas ma faute à moi !

Fin, ce n’est pas de notre faute
Mais j’te parle comme on se comprend
Et tout devient lent
M’aimeras-tu comme au printemps ?

Ses yeux scintillent et c’est sincère
Quand elle se sert à la ceinture
Y’a pas d’censure dans l’ascenseur

Et que ses lèvres s’en suivent, c'est sûr
Dans le saxo, sa rap sévère
Sur du saxo ou sur du Brel
Pète-la 8.6, la fleur de pays, comme les gava qui tapent du iep

En vrai, mi amor, j’ai écrit mille chansons comme un livre d’or
Ce soir, tu dors et je t’observe comme la Joconde, fort
La chaleur de ton corps
Des lovés pour les loves d’abord

Et l'on rame, et rien qu'tu râles, mais t'es si belle
Dans la gova, on fait péter les décibels
Plus de décisions, ça devient long, mais nique le reste
Dans la caisse comme vagabond

Et dans mes sons, tu sens la quête, l’outro et le reste
Je sens le stress qui s’encaisse dans nos liaisons
Point lié, mais l'on se casse de la maison
Loin du pire, mais on est pilo et l'on roule vers l'horizonEmbed"
