Artist,Title,Lyrics
Winnterzuko,115,"15 Contributors115 Lyrics[Paroles de ""115""]

[Intro]
Oh, oh, oh

[Couplet 1]
C'est dur la vie moi j'en dors quatre heures
J'sors de l'école, réalité, j'en fais mon quatre-heures
Papa tabasse maman donc quand il fait l'bon, c'est un acteur
J'ai du poids sur les épaules, wesh qui m'a posé un tracteur ?
Maman est triste donc faut qu'j'aille goumer le facteur
Ce fils de p*** il sait rien faire à part livrer des factures
J'te jure, venir en France, sur ma vie zinc', c'était grave dur
C'est maman qui a souffert mais c'est comme si j'avais ses fractures
Tu m'aimes c'est faux, regarde-moi dans les yeux
Tu nous dis c'que tu fais mais tu l'fais seulement quand j'regarde les cieux
J'reste humble pour l'amour de Dieu
Zinc il range sa canne à pêche, ensuite il dit qu'il est pieux

[Pré-refrain]
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un background
Ba-ba-ba-ba-background
You might also like[Refrain]
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un background
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un background

[Couplet 2]
J'ai huit ans, j'suis dans la dèche, une vie comme si j'étais vieux
Maman parle pas français donc c'est ma sœur qui s'en occupe
Elle parle avec le 115, explique qu'on a zéro thune
Deux années plus tard, j'fais l'guignol sur de l'Auto-Tune
Me dis pas qu't'es mon frère si c'est pas vrai
Me dis pas qu't'es prêt à bouger si t'es pas prêt
Quand j'étais vraiment dans le gouffre, y avait-il de l'attrait ?
J'pense à avant, j'fais les conneries sans penser à l'après
J'suis dans l'cercle, il est vicieux, faut qu'je m'en sorte
C'est dans l'sang, mes névroses reviennent dans vos soirées dansantes
On avait rien à faire, c'était logique quand on trainait ensemble
Aujourd'hui, c'est plus pareil, flashback à chaque fois qu'j'les enjambes
Et c'est pas Merlin qui m'enchante
Et quand j'chante naïvement, j'espère que les gens chantent
La lumière elle s'éteint et j'pense ton appel j'vais pas l'entendre
J'suis né pendant la guerre, ma mère s'est battue pour mon enfance
J'suis dans ma chambre et j'rêve de kichta
J'écris des lettres en espérant écrire l'histoire
Chez moi, on m'dit ""Ferme ta gueule"", zinc on m'dit jamais ""Livre toi""
Zinc il faut du cash chez moi, j'viens d'en bas comme un Niçois
[Pré-refrain]
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un background
Ba-ba-ba-ba-background

[Refrain]
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un background
Démarre la prod', c'est d'la hagra
J'suis tit-pe et je guette SmackDown
La famille qui dort sur le matelas
J'ai une histoire, j'ai un backgroundEmbed"
Winnterzuko,8H36,"21 Contributors8H36 Lyrics[Paroles de ""8H36"" ft. wasting shit]

[Intro]
Wasting shit exclusive

[Couplet 1 : wasting shit]
Dans la rue, devant la pharmacie, tout près du bout de la map
J'regarde le néon vert, elle fait l'serpent, s'entoure autour de la barre
Dans ma canette, j'en ai mis trois, j'ai pas touché l'sol depuis tout à l'heure
J'rêvais d'un million sous le matelas ma gueule, maintenant j'veux tout fois deux
J'ferais la guerre jusqu'à ce que j'sois tout froid, vu qu'tout ça c'est à moi
J'suis dans la merde, mais faut j'regarde tout droit, ma gueule j'suis dans l'après
Et j'me suis perdu dans ses yeux quand elle m'disait c'qu'elle se mettait dans la veine
Ça m'a fait penser à regarder dans l'ciel, si j'voyais pas ta tête
J'mangeais des coups et des pierres
Arrêter les beans et la pillave
J'ai roulé mon truc, j'suis arrivé de tout là bas à pied
J'fais que les doucher, les rhabiller
Même coupé en deux, j'peux rester entier
Si j'le fais pas, c'est qui qui va récupérer mon dû ?
Ouais ma gueule c'est dead
Le seul moyen de gagner du temps c'est de le payer en thunes
Le succès fait que d'me laisser en vu, j'vais l'attraper et le laisser en sang
On est toujours beaucoup devant la te-boî, c'est marrant, on est pas arrivés ensemble
J'fais pas des chansons pour essayer de leur plaire
J'les confie à qui les entends et ça depuis que j'ai 14 piges, c'pour ça que j'finirais en cendre
You might also like[Pont : wasting shit]
-coups et des pierres
Arrêter les beans et la pillave
J'ai roulé mon truc
J'mangeais des coups et des pierres
Arrêter les beans et la pillave
J'ai roulé mon truc, j'suis arrivé de tout là bas à pied
J'fais que les doucher, les rhabiller
Même coupé en deux
J'mangeais des coups et des pierres
Arrêter les beans et la pillave-pillave

[Couplet 2 : winnterzuko]
J'suis w-zuko, mets toi à couvert
Y a ceux qu'ont de l'argent y'a ceux qu'ont des valeurs
Ce qui nous sépare, c'est les goûts et les couleurs
Et puis tout ce que j'ai ressenti comme douleur
Ils vont pas regardés donc faut que je montre
Maman qui pleure, je fais semblant que je ronfle
J'remercie Dieu, j'suis dans un HLM, j'suis pas ingrat, y en a qui sont dans leurs tombes
Mais je sais rapper que de la même façon
Je suis trop chaud mais j'suis quand même un glaçon
Y a des moments, j'fais que de réfléchir
Je pense à maman et puis passe à l'action
Dans ma tête, ma sœur, je crois que ça va péter
J'suis désolé, t'as raison de t'inquiéter
Je suis trop faible, j'fais honte à ma famille
Je parle à mon cle-on il me dit ""Amin""
J'retire ce que j'ai dit sur les psys et j'remercie Laurence
J'serai p't-être mort si j'étais pas venu en Europe
Deuxième camp de réfugié c'était en Pologne
J'te prends en photo, tu fais semblant de pas les aimer
Si j'gagne au loto, c'est logique, j'ferais semblant de pas les aider
J'ai les crocs zin-cou, j'connais la chienneté
Un gamin, un foyer et des AMV
J'regarde plus l'foot mais je voulais rer-pleu
Quand j'ai vu sa daronne à côté de Benze
Relation gilet pare-balles
J't'aime pas mais j'veux que tu partes pas
Des problèmes et un cartable
[?]
Des larmes, des coups, un géniteur (wasting shit)
Des doigts d'honneurs, des jolis cœurs
Ce qui nous sépare c'est les couleurs
Et ce que j'ai ressenti comme douleur
Des larmes, des coups, un géniteur
Des doigts d'honneurs, des jolis cœurs
Ce qui nous sépare c'est les couleurs
Et ce que j'ai ressenti comme dou-
Wasting shit exclusiveEmbed"
Winnterzuko,Aldana,"2 ContributorsAldana Lyrics[paroles de ""Aldana""]

[intro]
He, hey
He, hey
He, hey
He, hey
He, hey
(whou)
He

On va tous les goumer comme Aldana comme un beatmaker personne ne veut me khalass
Toutes ces fois où j'ai dormi dans l'taudis j'ai tant rêvé d'me reveiller dans un palace
Ouais ouais
Hein
Z du chaos, théorie du chaos
Hey

[couplet unique]
J'ai ce pouvoir
Ils font que d'mytho mais j'peux tout voir
J'vois la fontaine de jouvence j'peux tout boire
Quand la vie t'mеts des gifles tu vois tout noir
À vrai dire à part riеn y a rien à faire
J'tenmenne dans l'deficit fait tes affaires
Quand tu l'ouvres ça nous ouf faut qu'tu la fermes
J'aime l'argent moi j'suis facile en affaires
J'vais pas mourir demain sans essayer
Ils ont payé des pays sans payer
Et j'sais qu'ils vont dormir dans des palaces
Alors qu'chez moi les cafards veulent régner
Donc cette [?] faut qu'elle né-tour
On l'attend [?] de serrer les coudes
J'ai faim mets ton [?]
J'ai mon cerveau pas b'soin d'être à l'écoute
À la son-mai c'est dur ça se ressent
La haine d'aujourd'hui d'hier se ressemble
Tu finiras par trahir comme tout l'monde
Sous mon toit des milliers y en a 200
On arrive dans la map comme des reptiles
Hein
Le juré est sceptique
Des gars comme moi sur Terre y en a 7-8
Quand l'inspi elle s'en va j'ai du répit
J'veux pas taffer pour gagner la rolex
Regarde moi détruire la langue de Molière
J'ai le smoke et la mental à Sinedd
J'suis tellement tolérant que j'les tolère
Hein
Ok ça y est, j'ai l'équation parfaite sur le cahier
La victoire sera belle dans le Cayenne
Pour l'instant je suis qu'au premier pallier
Le jour du conclave t'auras pas d'alliers
Faudra tuer si tu veux être médaillé
Gardez-la la médaille j'veux du papier
Mais l'enfer s'rait pas loin donc j'descends à pieds
Sous la misère plus d'vingts piges en apnée
J'avais plus de problèmes qu'j'avais d'acné
Beaucoup d'mauvaises nouvelles sur mon téléphone
Et leur flow d'merde j'ai pas pu le calquer
On est beaucoup sur Terre mais c'est pas l'problème
La façon dont ça s'passe c'est pas ça le progrès
J'ai l'talent qui fait chialer Ogrest
J'les dérange tellement maman faut qu'j'reste
Ta daronne [?] fais pas la fest
Ils sont au-dessus j'ai du mal a l'admettre
Et j'suis dans la trap mais pas de la merde
Et j'suis désolé si j'ai gâché la fête
Leur promet d'arrêter chier faut que j'arrête
Des regards hautains à chaque fois que j'arrive
Ma vie elle est moche elle m'a rendue tout maigre
Mais bon même Nagato était squelettique
Le 3e œil pour toi je l'ai fermé
J'pense qu'à gagner comme le dernier
Toutes ces fois où j'étais dans le pétrin
J'men suis sorti sans devoir remercier
Hein
You might also like[outro]
Venu tous les goumer comme Aldana, comme un beatmaker personne ne veut me khalass
Toutes ces fois où j'ai dormis dans taudis j'ai tant rêvé d'me réveiller dans un palace
Ils vont stopper la mala d'vant l'malin en enfer a part ça ça les rend rien de marrant
À la maison c'est dur même en cavant
J'veux le génie, le ffe-bi d'un savant
Venu tous les goumer comme Aldana, comme un beatmaker personne ne veut me khalass
Toutes ces fois où j'ai dormis dans taudis j'ai tant rêvé d'me réveiller dans un palace
Ils vont stopper la mala d'vant l'malin en enfer a part ça les rend rien de marrant
À la maison c'est dur même en cabant
J'veux le génie, le ffe-bi d'un savant
Venu tous les goumer comme Aldana, comme un beatmaker personne ne veut me khalass
Toutes ces fois où j'ai dormis dans taudis j'ai tant rêvé d'me réveiller dans un palace
Ils vont stopper la mala d'vant l'malin en enfer a part ça ça les rend rien de marrant
À la maison c'est dur même en cavant
J'veux le génie, le ffe-bi d'un savant

(comme un beatmaker personne ne veut me khalass) (khalass) (khalass)
( j'ai tant rêvé d'me réveiller dans un palace) (palace) (palace)
(comme un beatmaker personne ne veut me khalass) (khalass) (khalass)
( j'ai tant rêvé d'me réveiller dans un pal-Embed"
Winnterzuko,Asgard,"3 ContributorsAsgard Lyrics[Paroles de ""Asgard""]

[Intro]
Hun, hun

[Couplet unique]
Le passé est macabre, moi c'est pas hasbeen si j'fais un film
Assis dans l'noir zinc on voit plus les cafards mais bon c'est pas grave zinc, c'est la vie
Et vu qu'c'était dur, on est durs à vivre
Te-j moi des fleurs et zinc, j'suis ravi
Ok pour cette fois, faut j'me ravise, t'façon au final, c'est qu'du khaliss
Ils ont beaucoup d'choses à dire sur moi mais bon, j'peux rien y faire
Y a des moments j'ai pas fais les choses alors qu'j'aurais grave du les faire
Ce soir, le village il s'endort, devine pourquoi on reste éveillé
Zincou j'viens d'Asgard, j'suis comme Thor, eux ils vont à des booms, ils font des veillées
J'sors du passé, j'sors d'la grotte
Mauvaise nouvelle zinc, que ça drop
Le savoir est une arme, zinc que ça t'cross
Quand ma bombe est sur le crâne faut qu'je m'accroche
J'suis wzuko, j'suis dans la braise
Zinc on se parle après
Ça sert à rien qu'tu dises ""Faut qu'on se voit"" et que tu parles après
J'fais que du S, zincou c'est la strat', sur la prod zincou jamais je stresse
Dans l'passé y avait pas trop la strass et t'façon zincou y avait pas trop la place
J'suis sur la braise ou bien sous la glace
J't'avais pas reconnu sous la crasse
Plus de vingt piges en apnée sous la crise, on en a rien à foutre d'si ça casse
Il était obligé, il fait la passe, et c'est pas la première fois qu'il m'fait la phase
Ça fait que d'se casser le crâne pour le cash pour descendre de l'hélico sur le H
Rien à tre-fou qu'ça leur plaise et c'était pas voulu zinc si ça t'blesse
Dans l'futur, on est tous sous la terre, dans l'futur, on est tous sous la terre
Et j'suis dans l'optique de le faire jusqu'à c'qu'il m'reste plus d'vie
Le network le rabbit je vesqui
Froid t'as le temps que j'investi
Sommes faramineuses dans l'costard et dans leurs buildings que ça pue l'crime
T'es trop lent pour que j'te mette des croches-pattes
J'suis sous la map, dis-moi il reste qui
Zincou bien sur que jrepense à rex pee, dans l'aqua j'sais pas trop si je respire
J'suis wzuko, j'suis less gear que ça met des ffes-ba à tes sbires
Cette année encore, jfête pas mon anniv'
Cette année encore, j'suis trop loin d'la rive
Zincou t'es sneaky comme Sneaky Pete
L'argent qui nous uni, nous divise
Toutes ces années gâchées dans la trap
Et l'bonheur, sa re-mè, faut qu'je l'attrape
J'suis sorti des égouts juste pour un bail, j'suis pas allé faire des blagues
H24 sur la prod, on fait que du S et j'vais pas donner le caviar à tout ces clebsYou might also likeEmbed"
Winnterzuko,BoogiePop,"11 ContributorsBoogiePop Lyrics[Paroles de ""BoogiePop""]

[Intro]
Maman m'appelle sur mon bigo faut qu'je réponde dans la seconde
Mais quand j'suis au bigo avec toi, le temps défile que sur la montre
Pas l'impression que ça va pop, j'arrive comme Boogiepop

[Couplet 1]
Pas l'impression que ça va pop, comme Boogiepop, j'arrive quand c'est la merde
Faut que j'arrête le rap j'fais honte aux aînés qui sont morts pendant la guerre
Leurs corps plantés dans la terre et leurs âmes sont dans le ciel
Ce matin encore c'était fucked up, j'rêve de dire que c'était à l'ancienne
Quand j'étais petit, ça pue la morgue, on vient en France on fuit la mort
Zinc, j'ai que ça dans ma tête quand tu m'appelles pour faire la fête
Et quand tu me dis faut qu'on s'voit, j'ai l'impression que c'est un guet-apens
J'fais pas confiance à l'oracle et faut que j'quitte le def à temps
J'mets cette tesse-vi dans la brèche, j'me sens seul même sur la treize
Zinc, j'lui envoie un message, zinc, j'le delete juste après
J'ai toutes émotions, je suis émotionnel comme le cuirassé
Zinc, j'ai grandi dans la merde, ils pensent tous que j'vais déraper

[Pont]
J'en suis pas fier, mais faut que je le fasse pour un salaire, on devient si efficace
Ça m'a brisé l're-coeu même si je suis sûr d'être mieux qu'eux
Tout ce que t'as fait on le sait, t'es pas un homme, t'es deux geush
You might also like[Refrain]
J'en suis pas fier, mais faut que je le fasse, dans l'turf à cinq dans la Ferrari même si y a que deux places
Zinc, je suis ado, tout l'monde à dos, l'bât' est crado faut que j'me casse, éteins la lumière j'gratte un cash, dans l'déficit comme dans la cage
J'sais que c'est à cause du manque de fe-bi à chaque fois que maman s'fâche
J'ai du poids sur les épaules, c'est un luxe de pouvoir prendre le large
Pas d'news sur mon téléphone, France télécom, je suis sur le H
J'mets cette tesse-vi faut qu'je dash, sur la map j'vois que des lâches
Anw! J'en suis pas fier, ils font trop les anciens ils vont choper la grippe aviaire
J'veux faire du sheu-ca ça veut pas venir, dis-moi que tu vas ré-pleu quand j'vais partir

[Pont]
Ré-pleu quand j'vais partir, dis-moi que tu vas ré-pleu quand j'vais partir
J'veux faire du sheu-ca ça veut pas venir, dis-moi que tu vas ré-pleu à chaque fois que j'vais partir

[Couplet 2]
Maman m'appelle sur mon bigo faut qu'je réponde dans la seconde
Mais quand j'suis au bigo avec toi, le temps défile que sur la montre
Zinc, je suis heavy comme la fonte, parapluie zinc j'suis sous la foudre
On les rattrape dans la pente, on t'mets la pression sur la poutre
J'en suis, j'en suis pas, j'en suis, j'en suis pas fier
Zinc, au pire des cas j'peux retourner en arrière
On construit des routes t'façon ils viendront mettre barrières
J'mets tesse-vi, zinc, j'ai pas l'temps de faire des manières

[Refrain]
J'en suis pas fier, mais faut que je le fasse, dans l'turf à cinq dans la Ferrari même si y a que deux places
Zinc, je suis ado, tout l'monde à dos, l'bât' est crado faut que j'me casse, éteins la lumière j'gratte un cash, dans l'déficit comme dans la cage
J'sais que c'est à cause du manque de ffeu-bi à chaque fois que maman s'fâche
J'ai du poids sur les épaules, c'est un luxe de pouvoir prendre le large
Bad news sur mon téléphone, France télécom, je suis sur le H
J'mets cette tesse-vi faut qu'je dash, sur la map zinc j'vois que des lâches
Anw! J'en suis pas fier, ils font trop les anciens ils vont choper la grippe aviaire
J'veux faire du sheu-ca ça veut pas venir, dis-moi que tu vas ré-pleu quand j'vais partirEmbed"
Winnterzuko,Brakmar,"8 ContributorsBrakmar Lyrics[Paroles de ""Brakmar"" ft. MNR]

[Couplet 1 : Winnterzuko]
J'ai commencé l'rap, j'ai pas hésité mais là, j'suis persuadé qu'il faut que j'le stoppe
Dis pas qu'la bicrave c'est par nécessité, s'tu veux pas qu'les p'tits frères restent bloqués dans l'bloc
Sin-cou, t'as fait dans l'froc, dis-moi qu'c'est faux que j'te contredise
Et toi contre moi, c'est un contre dix, et tu fais l'bon juste pour qu'on t'le dise
Et j'mets cette tesse-vi, c'est réel, des cafards au sol donc on regarde le ciel
Si j'sors un projet, direct faut que tu le DL, précarité veut sе dédouaner mais c'était elle
J'suis pas dans la BM, vécu d'poissard dans l'ADN, vrai hommе, il t'envoie un DM
Et j'me rappelle quand j'étais moins que rien, pour du ffe-bi, sin-c', j'avais du sang sur la TN
Faire l'argent sale, c'est pas respectable, t'as perdu ton âme, t'es qu'un réceptacle
Et j'te félicite le coup d'tête que t'as mis juste après avoir v'-esqui l'tacle
Et avec nous, ils ont manqué d'tacte mais bon, c'est pas grave, sin-c', c'est oklm
J'suis W.zuko, moi c'que j'veux, j'le craque
J'suis un ange avec les ailes d'un Brak

[Refrain]
Tu t'casses la gueule, j'suis ravi, j'les maudis, c'est ma thérapie
Dans l'bâtiment, y a des rats, mais bon, j'crois qu'ça c'est la vie
Et dans l'virage, j'suis assez rapide et ton veau-cer c'est un Téra vide
Et sur la map, charbonne comme un bot, j'sais qu'ça va finir par péter comme un Glock
Tu t'casses la gueule, j'suis ravi, j'les maudis, c'est ma thérapie
Dans l'bâtiment, y a des rats, mais bon, j'crois qu'ça c'est la vie
Et dans l'virage, j'suis assez rapide et ton veau-cer c'est un Téra vide
Et sur la map, charbonne comme un bot, j'sais qu'ça va finir par péter comme un Glock
You might also like[Couplet 2 : MNR]
Tous les jours, c'est le mauvais jour, je les ai dans la tête tous ces bisous sur mes joues
On marche, on est bloqués dans le même schéma de rimes
Ils ont vraiment rien fait à part acheter de la tise, rafler la mise
Personne n'a cherché le réactif dans ce monde mécanique
Je suis sûr c'est pas un vrai arbitre, y a pas d'âme, c'est Paris
C'est la vie, c'est les gens, ils aiment plus se regarder la, sous ton toit, t'es même pas à l'abri
On peut prendre tes loves, on peut croire qu't'es mort
On peut vendre tes gosses, retrouver les corps, refaire le décor
Tous les jours, c'est le mauvais jour
Et j'ai des images de cette (hein) qui me reviennent dans la tête
Comme si on s'était quitté dans la semaine
Tous les jours, c'est l'mauvais jour

[Refrain]
Tu t'casses la gueule, j'suis ravi, j'les maudis, c'est ma thérapie
Dans l'bâtiment, y a des rats, mais bon, j'crois qu'ça c'est la vie
Et dans l'virage, j'suis assez rapide et ton veau-cer c'est un Téra vide
Et sur la map, charbonne comme un bot, j'sais qu'ça va finir par péter comme un GlockEmbed"
Winnterzuko,BRUCE LEE,"20 ContributorsBRUCE LEE Lyrics[Paroles de ""BRUCE LEE""]

[Couplet 1]
J'ai les mêmes ses-pha qui viennent dans la tête
Qui s'rappelle quand j'étais dans la merde ?
La vie, c'est dur comme une maladie et j'vais pas m'soigner avec un verse
Mon chou, allume le Molotov, fais-moi la passe qu'on allume le goal
Elle me dit : ""Concentre-toi pour écrire un truc"", j'lui dis : ""Va dire ça à mes tripes""
Y a un feu de joie mais, sin-c', on est tristes
J'connais des businessman dans la street
Qui s'rappelle quand j'faisais quе des crasses ? Parce quе j'connaissais que la crise
On regarde le ciel et on pleure
On remplit la mission et on meurt
Ma grande sœur, elle s'est mariée au bled, j'pensais à la France dans le Hummer
Rien n'sera comme avant
On sort du sous-sol, on monte vers la grange
C'est bien d'nous dire la vérité, fais belek à pas te faire Julian Assange
Montre tes jolis yeux derrière la frange
Ils nous jettent la pierre, sin-cou, on la mange
Quand j'étais p'tit, j'regardais Bruce Lee ensuite, j'me craquais les phalanges

[Refrain]
Paw, paw, paw, paw
Sin-c', on a grandi dans le dirt donc y a des séquelles sur le heart
J'fais que de répéter les mêmes phases, j'fais que de répéter les mêmes erreurs
You might also like[Couplet 2]
Sin-c', c'est la guerre du Graal, j'mets l'silencieux sur le FN FAL
J'ai pas l'choix, sin-cou, c'est pas d'ma faute comme quand j'devais porter du falche
Tu sais c'que j'ai posé sur la table quand j'ai rappé sur Off
Un gros billet, direct, on l'coffre
Y en a qui t'bouffent alors qu'ils sont pauvres
Je rêve de m'envoler comme un phénix
Je rêve de tout niquer comme un célib’
C'matin, j'suis sorti d'mon ascenseur, j'ai vu des tits-pe en i sur un Vélib'
J'agonise en silence, zincou c'est pénible
Si j'étais Tom, j'aurai déjà goumé Jerry
Le combat continue comme si j'étais Kery
Des factures dans les mains de ma maman chérie
L'ascenseur est bloqué, j'descends à pattes
Est-c'que c'est mon frérot ou juste un pote ?
Rien à foutre qu'ils parlent dans mon dos tant qu'ils le font tant que je suis dans ma grotte
Vous êtes 51 mais y a 50 bots
Elle veut débloquer mon cœur, y a 50 codes
Ils sont grave nuls mais ça m'casse la tête comme si j'me battais contre 50 blops

[Refrain]
Sin-c', on a grandi dans le dirt donc y a des séquelles sur le heart
J'fais que de répéter les mêmes phases, j'fais que de répéter les mêmes erreursEmbed"
Winnterzuko,​cancel,"4 Contributors​cancel Lyrics[Paroles de ""cancel""]

[Intro]
Po-po-po-pow
Hey, hey
Le bonheur sa re-mè faut qu'je l’attrape
Wzuko, j'suis dans la tr-
Hey-hey, hey-hey
Po-po-po-pow
Hun

[Couplet unique]
Je dois l'cancel comme la culture, dans l’passé, j'étais dans l'futur
Tu démarres la prod et j'fais du S, j'suis vif, que d'l'eau dans la mixture
Hun, que du S sur la mixtape
J'te donne les explosifs, s’te plait ingé’, mixe les
J'suis less-gear, j’fais une fixette, logique vu la vie qu'j'ai
Tu fais des descentes, ouais t'es gang mais est-c’quе t'as vu le prix qu'c'est ?
Faut que [?] commе WannaCry, maman s'débrouille pour qu'on graille
J'ai sept ans, j'ai un gun à billes, maman m'l'a acheté donc je smile
J'suis dans la jungle, j'ai le smite, j'ai pensé à là-celle toute la night
Zincou t'es rodave comme un [?], dans la crise on fait que d'manger l'rice
Hun, j'concours avec troisième œil
Donc ils finissent troisième comme le Reich
Zinc ils vont payer l'price même si c'est dans l'haut-delà
Tête de ma mère, avec million jamais j'achète l'Audemars
Thermos lunettes sur le crâne, j'discerne l'UFO sur le 'gram
Et zincou dis-moi si t'as une sœur, dans la rue comment tu guettes les fesses des femmes
Mais bon ça te concerne
Tous ces bougs disent les mêmes conneries, on dirait qu'ils s'concertent
Ça fait plus d'une dizaine d'années qu'j'ai pas d'nouvelles de mon père
J'les ai rodave à la pelle, ils regardent la note pour qu'on perde
HunYou might also likeEmbed"
Winnterzuko,Deadstar,"14 ContributorsDeadstar Lyrics[Paroles de ""Deadstar""]

[Couplet unique]
Même si c’est deep, j’ressens R quand j’raconte tout c'que j’ai vécu
Dix-huit ans j’avais des rêves, à vingt ans je faisais des thunes
J’cogite trop ça fait des mouv', zinc on s’est déjà vus dans le gouffre
Au début ça m'rendait fier, à la fin ça m’a rendu ouf
J’suis dans l'HLM faut qu'je bouge
J’y pense à chaque fois qu'j’me couche
Elle m’dit qu'elle connaît déjà la merde
Qu'elle s’en fout d'cafards sous la douche
Hein, échelon 7, quand j’grattais la bourse
Wesh, comment ça toi t’es premier ?
Moi j’t’ai pas vu dans la course
J’mets cette tesse-vi faut j’m’arrête
Dofus pour les noob, pour la quête
J’suis dans la tchop, ça fait des ronds
J’suis dans la merde, ça fout la merde
Et j’crois j’suis dopé quand j’suis triste
L'impression d'être écorché vif, logique que j’rappe avec les tripes
Douze ans j’écoute LIM
Bad news, c’est la énième
Ma vie c’est pas une série américaine
Prêcher la parole mais laquelle ?
Y a qu’au bled que j'entends l’appel
Depuis 2013 moi je rappe, j’sais pas chanter comme The Weeknd
J’sais où j't’ai vu, c’était dans ce movie
Dernière fois qu'j’ai vu l'amour, c'était dans son sourire, hein
(Dans son sourire, dernière fois qu'j’ai vu l'amour, c'était dans son sourire)
Anw
Est-ce que tu m'aimes ?
J’me sens trop seul dans ma tête, est-ce que j’peux t'rejoindre dans la tienne ?
J’suis qu’un réfugié politique
On les voit rapper la vie qu'ils n'ont pas, c’est logique qu'on les tchip
Dis-moi pourquoi j’ai froid dans un grill
Moi j’suis parti de rien comme un Sims
Pour un refrain j'ai pas la foi
Pour un mensonge j’ai pas la voix
Et depuis que mon poto il est dead
J’pense à lui quand j’suis sur un toit
J’suis même pas allé au cimetière
Et j’y suis pas allé l'année dernière
Ni celle d'avant, j’ai d'la musique sur la tempe
J’crois qu'j'vais rater ma vie, wesh t'as vu la vie d’merde qui m’attend ?
Dans un hôtel sous free Wi-Fi c’est logique si j'ai d’la latence
T'as remis l’son une deuxième fois, quand c’est l’diable qui menait la danse
Il baisse la vitre juste devant moi, pour venir tirer la langue
Et j’sais qu'la nuit est loin d'être finie même si j'ai éteint la lampeYou might also likeEmbed"
Winnterzuko,Deep Girl,"7 ContributorsDeep Girl Lyrics[Paroles de ""Deep Girl""]

[Couplet unique]
Est ce que tu t'en rappelle, quand on v'nait gâcher l'ambiance ?
Les riches nous voyaient comme des mendiants
Et pour du feu-bi zinc bien sûr que j'suis la tendance
J'ai pas c'luxe de pouvoir penser à c'que les gens en pensent
C'est pas Merlin qui m'enchante
Pour deep girl, j'ai un penchant
J'sais qu'le passé il est tranchant
Mes aînés dans les tranchées
Et au paradis j'espère que ce n'sont pas dеs étrangers
J'ai grandis en France mais bon j'suis pas né ici
Faut qu'on réussissе à l'école pour que la miff nous félicite
Mais bon j'ai pas réussi, dehors comme un animal
Fais bellek à qui tu touches, ils peuvent s'venger comme Hannibal
J'suis trop deep sur la cover
Auditeur fais une over
Et dans l'métro, j'pense plus à elle qu'à veski les contrôleurs
Moi j'suis pas à l'aise avec ces gens qui font que la fête
Comme dans Zankyou no Terror, j'pense qu'à tout faire péter dans ma tête
Moi j'fais pas du son pour eux, et ça faut qu'tu t'en rappelle
Pour un gros billet, zinc bien sûr que j'signe dans un gros label
Et j'pense qu'au feu-bi all-day
H24 j'suis dans l'Mordor
Sur terre je n'suis qu'un mortel
Enfin jusqu'à c'que j'm'endorme
J'sais qu'la vie c'est grave dur
Faut qu'j'sorte les mains des ordures
Si t'arrêtes tes contorsions
J'arrête de dire t'es tordu
J'fais du son c'est grave deep
La prod c'est un boug qui joue du piano avec de l'arthrite
Ils t'rejetent la faute dessus, tu la r'jetes sur la street
C'matin j'me réveille car dans mon rêve on m'a tué
Faut pas qu'j'oublie que l'honneur ça se défend sur la durée
J'aurais jamais c'que j'mérite comme s'ils s'en étaient assurés
J'suis dans la crrr, j'écris winnterzuko sur la buéeYou might also likeEmbed"
